Group_Id	Gene_Symbol	Gene_Name	AAU	CTO	NOR	NFZgenbank	PLP	astyanax	austrofundulus	cyprinodon	fundulus	gadus	kryptolebias	medaka	poecilia	spotted_gar	stickleback	takifugu	tetraodon	tilapia	xmac	zebrafish
Group_0_191	bcl6a	B-cell CLL/lymphoma 6a (zinc finger protein 51) [Source:ZFIN%3BAcc:ZDB-GENE-040426-1696]	AAU|007235|maker-AAUscf64-pred_gff_Genewise-gene-0_115-mRNA-1	CTO|011800|maker-CTOv12scf175-pred_gff_Genewise-gene-0_202-mRNA-1	NOR|023540|evm-NORv12scf34568-processed-gene-0_17-mRNA-1	NFZgenbank|012447|rna23043	PLP|018663|maker-PLPv12scf34-pred_gff_Genewise-gene-1_50-mRNA-1	astyanax|004743|ENSAMXP00000004852_1	austrofundulus|014279|XM_014022352_1	cyprinodon|008328|XM_015380994_1	fundulus|010721|XM_012861185_2	gadus|018708|ENSGMOP00000020671_1	kryptolebias|011162|XM_017423539_2	medaka|014771|ENSORLP00000019520_1	poecilia|001698|ENSPFOP00000001508_2	spotted_gar|005204|ENSLOCP00000006274_1	stickleback|003680|ENSGACP00000005036_1	takifugu|002184|ENSTRUP00000005081_1	tetraodon|010802|ENSTNIP00000016773_1	tilapia|019300|ENSONIP00000024322_1	xmac|016431|ENSXMAP00000016489_1	zebrafish|009788|ENSDARP00000107695_2
Group_0_193	zbtb20	zinc finger and BTB domain containing 20%2C transcript variant X2	AAU|002773|maker-AAUscf234-pred_gff_Genewise-gene-0_226-mRNA-1	CTO|017299|maker-CTOv12scf87-pred_gff_Genewise-gene-1_102-mRNA-1	NOR|013283|evm-NORv12scf34737-processed-gene-2_53-mRNA-1	NFZgenbank|011782|rna21802	PLP|018229|maker-PLPv12scf15-pred_gff_Genewise-gene-2_6-mRNA-1	astyanax|006682|ENSAMXP00000006853_1	austrofundulus|013227|XM_014020636_1	cyprinodon|015292|XM_015393427_1	fundulus|006274|XM_012855342_2	gadus|002747|ENSGMOP00000002992_1	kryptolebias|018522|XM_017437799_2	medaka|012297|ENSORLP00000008537_2	poecilia|022426|ENSPFOP00000019493_2	spotted_gar|002719|ENSLOCP00000003202_1	stickleback|018799|ENSGACP00000027362_2	takifugu|016694|ENSTRUP00000043145_1	tetraodon|005188|ENSTNIP00000012934_1	tilapia|005187|ENSONIP00000006525_1	xmac|012891|ENSXMAP00000012932_1	zebrafish|014713|ENSDARP00000026694_6
Group_0_197	znf362b	zinc finger protein 362b [Source:ZFIN%3BAcc:ZDB-GENE-070424-35]	AAU|019981|maker-AAUscf188-pred_gff_Genewise-gene-0_113-mRNA-1	CTO|029898|CTOv12scf215	NOR|024874|maker-NORv12scf34591-pred_gff_Genewise-gene-0_122-mRNA-1	NFZgenbank|015299|rna28380	PLP|025429|PLPv12scf7	astyanax|015158|ENSAMXP00000015611_1	austrofundulus|011617|XM_014017870_1	cyprinodon|007282|XM_015379083_1	fundulus|017821|XM_012873423_2	gadus|015610|ENSGMOP00000017203_1	kryptolebias|008227|XM_017417785_2	medaka|004303|ENSORLP00000005900_1	poecilia|012647|ENSPFOP00000008907_2	spotted_gar|001257|ENSLOCP00000001440_1	stickleback|006508|ENSGACP00000009007_1	takifugu|014132|ENSTRUP00000036465_1	tetraodon|004219|ENSTNIP00000022576_1	tilapia|002179|ENSONIP00000002717_1	xmac|016658|ENSXMAP00000016716_1	zebrafish|015168|ENSDARP00000084183_4
Group_0_243	zbtb11	zinc finger and BTB domain containing 11	AAU|007236|evm-AAUscf64-processed-gene-0_13-mRNA-1	CTO|011798|maker-CTOv12scf175-augustus-gene-0_133-mRNA-1	NOR|023539|evm-NORv12scf34568-processed-gene-0_22-mRNA-1	NFZgenbank|020264|rna37438	PLP|001886|PLPv12scf760-frag-merged-region0-clust0-mRNA-1	astyanax|011813|ENSAMXP00000012145_1	austrofundulus|013280|XM_014020747_1	cyprinodon|008323|XM_015380970_1	fundulus|010717|XM_012861148_2	gadus|003741|ENSGMOP00000004137_1	kryptolebias|011166|XM_017423556_2	medaka|014860|ENSORLP00000019631_1	poecilia|001450|ENSPFOP00000000679_2	spotted_gar|009520|ENSLOCP00000011659_1	stickleback|013139|ENSGACP00000018025_1	takifugu|004271|ENSTRUP00000010273_1	tetraodon|010857|ENSTNIP00000016777_1	tilapia|019306|ENSONIP00000024329_1	xmac|016393|ENSXMAP00000016446_1	zebrafish|003433|ENSDARP00000101599_4
Group_1000_0	grb14	growth factor receptor bound protein 14%2C transcript variant X1	AAU|028507|SplitChimeric_1191_augustus_masked-AAUscf32-processed-gene-1_58-mRNA-1	CTO|004284|maker-CTOv12scf2-augustus-gene-1_104-mRNA-1	NOR|028854|maker-NORv12scf34755-pred_gff_Genewise-gene-0_56-mRNA-1	NFZgenbank|014758|rna27378	PLP|011030|maker-PLPv12scf2-augustus-gene-2_45-mRNA-1	astyanax|008416|ENSAMXP00000008646_1	austrofundulus|002388|XM_014001498_1	cyprinodon|002605|XM_015370491_1	fundulus|018164|XM_021322326_1	gadus|014334|ENSGMOP00000015775_1	kryptolebias|011656|XM_017424398_2	medaka|016110|ENSORLP00000021170_1	poecilia|021292|ENSPFOP00000017225_2	spotted_gar|008393|ENSLOCP00000010217_1	stickleback|005250|ENSGACP00000007247_1	takifugu|000867|ENSTRUP00000002093_1	tetraodon|013359|ENSTNIP00000019602_1	tilapia|008874|ENSONIP00000011167_1	xmac|011559|ENSXMAP00000011624_1	zebrafish|001500|ENSDARP00000089458_4
Group_1000_3	si:ch211-253b1.3	si:ch211-253b1.3 [Source:ZFIN%3BAcc:ZDB-GENE-091118-23]	AAU|018661|maker-AAUscf698-pred_gff_Genewise-gene-0_21-mRNA-1	CTO|028780|SplitChimeric_1624_evm-CTOv12scf8-processed-gene-0_180-mRNA-1	NOR|012471|maker-NORv12scf527-pred_gff_Genewise-gene-0_329-mRNA-1	NFZgenbank|012552|rna23225	PLP|012964|maker-PLPv12scf16-augustus-gene-2_349-mRNA-1	astyanax|019623|ENSAMXP00000020223_1	austrofundulus|009854|XM_014014829_1	cyprinodon|021833|XM_015404377_1	fundulus|011613|XM_021316537_1	gadus|007624|ENSGMOP00000008407_1	kryptolebias|018668|XM_025011087_1	medaka|013322|ENSORLP00000017682_1	poecilia|016939|ENSPFOP00000013333_2	spotted_gar|012262|ENSLOCP00000015129_1	stickleback|004179|ENSGACP00000005764_1	takifugu|007120|ENSTRUP00000017696_1	tetraodon|006927|ENSTNIP00000014813_1	tilapia|018091|ENSONIP00000022818_1	xmac|016894|ENSXMAP00000016967_1	zebrafish|022988|ENSDARP00000062698_5
Group_1002_2	tmem63c	transmembrane protein 63C	AAU|003811|maker-AAUscf3-pred_gff_Genewise-gene-2_305-mRNA-1	CTO|027043|evm-CTOv12scf28-processed-gene-1_291-mRNA-1	NOR|018778|maker-NORv12scf34722-pred_gff_Genewise-gene-0_80-mRNA-1	NFZgenbank|016653|rna30878	PLP|005250|maker-PLPv12scf12-pred_gff_Genewise-gene-0_183-mRNA-1	astyanax|002593|ENSAMXP00000002653_1	austrofundulus|000893|XM_014013056_1	cyprinodon|011538|XM_015386822_1	fundulus|000394|XM_021310520_1	gadus|015746|ENSGMOP00000017391_1	kryptolebias|000585|XM_017416317_2	medaka|015432|ENSORLP00000020353_1	poecilia|014474|ENSPFOP00000016347_2	spotted_gar|011018|ENSLOCP00000013578_1	stickleback|007505|ENSGACP00000010396_1	takifugu|018025|ENSTRUP00000046527_1	tetraodon|004662|ENSTNIP00000000681_1	tilapia|020141|ENSONIP00000025403_1	xmac|015150|ENSXMAP00000015253_1	zebrafish|014768|ENSDARP00000128675_1
Group_1002_3	tmem63a	transmembrane protein 63A [Source:ZFIN%3BAcc:ZDB-GENE-041210-107]	AAU|008651|maker-AAUscf103-pred_gff_Genewise-gene-0_252-mRNA-1	CTO|024611|maker-CTOv12scf130-pred_gff_Genewise-gene-0_229-mRNA-1	NOR|014659|evm-NORv12scf296-processed-gene-1_87-mRNA-1	NFZgenbank|004927|rna9190	PLP|006471|maker-PLPv12scf8-pred_gff_Genewise-gene-7_141-mRNA-1	astyanax|000564|ENSAMXP00000000572_1	austrofundulus|008249|XM_014011952_1	cyprinodon|013373|XM_015390069_1	fundulus|015089|XM_012868829_2	gadus|012129|ENSGMOP00000013368_1	kryptolebias|017562|XM_017436007_2	medaka|016104|ENSORLP00000021165_1	poecilia|003497|ENSPFOP00000009469_2	spotted_gar|015980|ENSLOCP00000019728_1	stickleback|015265|ENSGACP00000017653_2	takifugu|014931|ENSTRUP00000038500_1	tetraodon|006118|ENSTNIP00000019395_1	tilapia|000614|ENSONIP00000000780_1	xmac|004871|ENSXMAP00000004910_1	zebrafish|007603|ENSDARP00000104030_3
Group_1004_0	ptp4a1	protein tyrosine phosphatase type IVA%2C member 1%2C transcript variant X2	AAU|020338|maker-AAUscf82-pred_gff_Genewise-gene-1_160-mRNA-1	CTO|016619|maker-CTOv12scf472-pred_gff_Genewise-gene-0_69-mRNA-1	NOR|028141|maker-NORv12scf34435-pred_gff_Genewise-gene-0_119-mRNA-1	NFZgenbank|008275|rna15265	PLP|021070|maker-PLPv12scf93-pred_gff_Genewise-gene-1_201-mRNA-1	astyanax|002172|ENSAMXP00000002220_1	austrofundulus|014727|XM_014023079_1	cyprinodon|017032|XM_015396475_1	fundulus|015674|XM_012869842_2	gadus|007343|ENSGMOP00000008131_1	kryptolebias|015575|XM_017432146_2	medaka|000070|ENSORLP00000000095_1	poecilia|011634|ENSPFOP00000013605_2	spotted_gar|016987|ENSLOCP00000021043_1	stickleback|019578|ENSGACP00000026156_1	takifugu|008652|ENSTRUP00000021963_1	tetraodon|011369|ENSTNIP00000005851_1	tilapia|000156|ENSONIP00000000200_1	xmac|014384|ENSXMAP00000014430_1	zebrafish|015150|ENSDARP00000124821_2
Group_1006_2	ppp1r14ba	protein phosphatase 1%2C regulatory (inhibitor) subunit 14Ba [Source:ZFIN%3BAcc:ZDB-GENE-060825-331]	AAU|008067|maker-AAUscf119-pred_gff_Genewise-gene-0_137-mRNA-1	CTO|025888|maker-CTOv12scf199-augustus-gene-0_16-mRNA-1	NOR|004442|evm-NORv12scf77-processed-gene-0_3-mRNA-1	NFZgenbank|004216|rna7770	PLP|021355|maker-PLPv12scf20-pred_gff_Genewise-gene-3_29-mRNA-1	astyanax|017955|ENSAMXP00000018508_1	austrofundulus|012279|XM_014019025_1	cyprinodon|004412|XM_015373846_1	fundulus|019819|XM_012876792_2	gadus|006846|ENSGMOP00000007513_1	kryptolebias|013513|XM_017427976_1	medaka|004986|ENSORLP00000006823_1	poecilia|013205|ENSPFOP00000006737_2	spotted_gar|017571|ENSLOCP00000021713_1	stickleback|019547|ENSGACP00000026113_1	takifugu|015370|ENSTRUP00000039673_1	tetraodon|000227|ENSTNIP00000015992_1	tilapia|013495|ENSONIP00000016988_1	xmac|008648|ENSXMAP00000008680_1	zebrafish|010177|ENSDARP00000039826_5
Group_1008_0	slc35a3a	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter)%2C member A3a [Source:ZFIN%3BAcc:ZDB-GENE-081105-80]	AAU|013729|maker-AAUscf156-pred_gff_Genewise-gene-0_131-mRNA-1	CTO|016881|maker-CTOv12scf804-augustus-gene-0_13-mRNA-1	NOR|030334|SplitChimeric_332_evm-NORv12scf34539-processed-gene-0_24-mRNA-1	NFZgenbank|019741|rna36473	PLP|023261|maker-PLPv12scf140-pred_gff_Genewise-gene-0_36-mRNA-1	astyanax|018726|ENSAMXP00000019281_1	austrofundulus|016609|XM_014026006_1	cyprinodon|019871|XM_015401184_1	fundulus|010541|XM_012860991_2	gadus|017673|ENSGMOP00000019526_1	kryptolebias|018293|XM_017437369_2	medaka|004149|ENSORLP00000005679_1	poecilia|004245|ENSPFOP00000016661_2	spotted_gar|010187|ENSLOCP00000012498_1	stickleback|015596|ENSGACP00000021107_1	takifugu|002381|ENSTRUP00000005590_1	tetraodon|004748|ENSTNIP00000010651_1	tilapia|010649|ENSONIP00000013402_1	xmac|004475|ENSXMAP00000004503_1	zebrafish|015777|ENSDARP00000018371_7
Group_1008_4	slc35a2	solute carrier family 35 member A2	AAU|018200|maker-AAUscf28-pred_gff_Genewise-gene-2_198-mRNA-1	CTO|013879|maker-CTOv12scf925-pred_gff_Genewise-gene-0_13-mRNA-1	NOR|014558|maker-NORv12scf34743-augustus-gene-2_178-mRNA-1	NFZgenbank|020541|rna37921	PLP|022178|maker-PLPv12scf114-augustus-gene-0_321-mRNA-1	astyanax|017408|ENSAMXP00000017913_1	austrofundulus|019236|XM_014030120_1	cyprinodon|019650|XM_015400822_1	fundulus|006678|XM_012855955_2	gadus|006424|ENSGMOP00000007044_1	kryptolebias|020913|XM_017442031_2	medaka|017770|ENSORLP00000023310_1	poecilia|009209|ENSPFOP00000017622_2	spotted_gar|014551|ENSLOCP00000017946_1	stickleback|000277|ENSGACP00000000363_1	takifugu|012568|ENSTRUP00000032127_1	tetraodon|016530|ENSTNIP00000005424_1	tilapia|014591|ENSONIP00000018387_1	xmac|007106|ENSXMAP00000007133_1	zebrafish|005092|ENSDARP00000076420_4
Group_1008_5	slc35a1	solute carrier family 35 member A1	AAU|011478|evm-AAUscf4-processed-gene-1_75-mRNA-1	CTO|007938|maker-CTOv12scf20-pred_gff_Genewise-gene-3_54-mRNA-1	NOR|013603|evm-NORv12scf34599-processed-gene-0_56-mRNA-1	NFZgenbank|004709|rna8741	PLP|024588|SplitChimeric_111_augustus_masked-PLPv12scf1-processed-gene-3_159-mRNA-1	astyanax|013889|ENSAMXP00000014294_1	austrofundulus|012850|XM_014019999_1	cyprinodon|002209|XM_015369357_1	fundulus|022082|XM_012880670_2	gadus|004873|ENSGMOP00000005326_1	kryptolebias|005351|XM_017412009_2	medaka|010611|ENSORLP00000014269_1	poecilia|019791|ENSPFOP00000018591_1	spotted_gar|016891|ENSLOCP00000020924_1	stickleback|007852|ENSGACP00000010872_1	takifugu|017631|ENSTRUP00000045589_1	tetraodon|004224|ENSTNIP00000019503_1	tilapia|005847|ENSONIP00000007372_1	xmac|016887|ENSXMAP00000016949_1	zebrafish|016214|ENSDARP00000058776_3
Group_1009_0	fubp1	far upstream element binding protein 1%2C transcript variant X1	AAU|023955|maker-AAUscf68-augustus-gene-1_176-mRNA-1	CTO|023671|evm-CTOv12scf23-processed-gene-1_10-mRNA-1	NOR|029661|maker-NORv12scf321-augustus-gene-0_28-mRNA-7	NFZgenbank|009484|rna17480	PLP|007951|evm-PLPv12scf11-processed-gene-6_46-mRNA-1	astyanax|005525|ENSAMXP00000005663_1	austrofundulus|008822|XM_014012986_1	cyprinodon|014185|XM_015391524_1	fundulus|016529|XM_021320893_1	gadus|003264|ENSGMOP00000003597_1	kryptolebias|004834|XM_017411042_1	medaka|003243|ENSORLP00000004413_1	poecilia|019123|ENSPFOP00000024591_1	spotted_gar|003737|ENSLOCP00000004486_1	stickleback|018765|ENSGACP00000021873_2	takifugu|004556|ENSTRUP00000010974_1	tetraodon|014852|ENSTNIP00000006595_1	tilapia|018360|ENSONIP00000023140_1	xmac|007159|ENSXMAP00000007278_1	zebrafish|020101|ENSDARP00000075883_3
Group_1010_0	vezf1a	vascular endothelial zinc finger 1a [Source:ZFIN%3BAcc:ZDB-GENE-040108-4]	AAU|017584|maker-AAUscf15-pred_gff_Genewise-gene-0_2-mRNA-1	CTO|022100|maker-CTOv12scf44-pred_gff_Genewise-gene-2_58-mRNA-1	NOR|004847|evm-NORv12scf34712-processed-gene-1_111-mRNA-1	NFZgenbank|011920|rna22076	PLP|018333|maker-PLPv12scf15-augustus-gene-4_38-mRNA-1	astyanax|006596|ENSAMXP00000006766_1	austrofundulus|005280|XM_014006816_1	cyprinodon|014513|XM_015392103_1	fundulus|012734|XM_021317584_1	gadus|008676|ENSGMOP00000009548_1	kryptolebias|005629|XM_017412513_2	medaka|009032|ENSORLP00000012162_1	poecilia|019530|ENSPFOP00000019440_1	spotted_gar|004815|ENSLOCP00000005788_1	stickleback|020115|ENSGACP00000026827_1	takifugu|011364|ENSTRUP00000028987_1	tetraodon|007442|ENSTNIP00000014790_1	tilapia|001962|ENSONIP00000002460_1	xmac|000593|ENSXMAP00000000590_1	zebrafish|008920|ENSDARP00000032826_7
