Group_112_1	XM_015946039	rna7423	frmd7	XP_015801525.1
Group_815_1	XM_015947078	rna8495	LOC107377463	XP_015802564.1
Group_359_5	XM_015947284	rna8497	gata4	XP_015802770.1
Group_4979_0	XM_015947286	rna8499	fdft1	XP_015802772.1
Group_2758_1	XM_015947289	rna8501	LOC107377588	XP_015802775.1
Group_10_28	XM_015947079	rna8503	LOC107377464	XP_015802565.1
Group_1396_0	XM_015947320	rna8533	parp1	XP_015802806.1
Group_3732_0	XM_015947326	rna8539	nhsl1	XP_015802812.1
Group_7503_0	XM_015947347	rna8558	fam110c	XP_015802833.1
Group_7250_0	XM_015947353	rna8563	tmem18	XP_015802839.1
Group_143_15	XM_015947357	rna8567	gpr6	XP_015802843.1
Group_5680_0	XM_015947388	rna8598	mrpl19	XP_015802874.1
Group_320_6	XM_015947391	rna8600	eva1a	XP_015802877.1
Group_1552_0	XM_015947392	rna8601	tram2	XP_015802878.1
Group_2623_1	XM_015947393	rna8602	LOC107377643	XP_015802879.1
Group_1536_0	XM_015947394	rna8603	LOC107377644	XP_015802880.1
Group_2869_0	XM_015947396	rna8605	prep	XP_015802882.1
Group_280_1	XM_015947402	rna8611	LOC107377649	XP_015802888.1
Group_5389_0	XM_015947405	rna8614	mrap2	XP_015802891.1
Group_2911_1	XM_015947409	rna8618	LOC107377652	XP_015802895.1
Group_145_8	XM_015947085	rna8623	LOC107377469	XP_015802571.1
Group_1324_0	XM_015947420	rna8630	LOC107377658	XP_015802906.1
Group_57_14	XM_015947423	rna8632	rhob	XP_015802909.1
Group_2580_1	XM_015947424	rna8633	pum2	XP_015802910.1
Group_1651_0	XM_015947427	rna8636	laptm4a	XP_015802913.1
Group_142_23	XM_015947428	rna8637	LOC107377664	XP_015802914.1
Group_6753_0	XM_015947432	rna8638	ttc32	XP_015802918.1
Group_817_0	XM_015947431	rna8639	LOC107377665	XP_015802917.1
Group_817_1	XM_015947434	rna8641	LOC107377668	XP_015802920.1
Group_75_24	XM_015947442	rna8650	LOC107377674	XP_015802928.1
Group_1592_0	XM_015947446	rna8652	LOC107377676	XP_015802932.1
Group_5478_0	XM_015947448	rna8655	rd3	XP_015802934.1
Group_3626_0	XM_015947450	rna8656	slc30a1	XP_015802936.1
Group_230_7	XM_015947451	rna8657	nek2	XP_015802937.1
Group_6394_0	XM_015947455	rna8660	dtl	XP_015802941.1
Group_295_1	XM_015947463	rna8668	LOC107377691	XP_015802949.1
Group_5025_0	XM_015947466	rna8671	slc35f6	XP_015802952.1
Group_33_49	XM_015947569	rna8775	LOC107377746	XP_015803055.1
Group_6990_0	XM_015947573	rna8779	clec11a	XP_015803059.1
Group_9209_0	XM_015947593	rna8799	LOC107377767	XP_015803079.1
Group_6488_0	XM_015947599	rna8805	pbk	XP_015803085.1
Group_7090_0	XM_015947600	rna8809	ccdc25	XP_015803086.1
Group_4198_0	XM_015947684	rna8891	emc7	XP_015803170.1
Group_3193_1	XM_015947685	rna8892	katnbl1	XP_015803171.1
Group_341_2	XM_015947686	rna8894	LOC107377820	XP_015803172.1
Group_910_2	XM_015942201	rna40006	LOC107374060	XP_015797687.1
Group_5696_0	XM_015947691	rna8899	LOC107377823	XP_015803177.1
Group_84_12	XM_015947705	rna8904	LOC107377829	XP_015803191.1
Group_1042_2	XM_015947731	rna8935	LOC107377834	XP_015803217.1
Group_7365_0	XM_015947733	rna8936	csgr04h12orf57	XP_015803219.1
Group_7366_1	XM_015947732	rna8937	saysd1	XP_015803218.1
Group_6437_0	XM_015947735	rna8939	bpnt1	XP_015803221.1
Group_763_1	XM_015947738	rna8942	LOC107377839	XP_015803224.1
Group_1028_5	XM_015947830	rna9039	LOC107377902	XP_015803316.1
Group_637_7	XM_015947848	rna9050	LOC107377908	XP_015803334.1
Group_9292_0	XM_015948257	rna9482	LOC107378185	XP_015803743.1
Group_5138_0	XM_015948250	rna9488	ints9	XP_015803736.1
Group_2787_1	XM_015948254	rna9490	glrx5	XP_015803740.1
Group_6202_0	XM_015948234	rna9280	gtf2a1	XP_015803720.1
Group_423_4	XM_015948233	rna9281	tshr	XP_015803719.1
Group_325_6	XM_015948223	rna9290	LOC107378159	XP_015803709.1
Group_54_42	XM_015948083	rna9336	LOC107378066	XP_015803569.1
Group_6_56	XM_015948167	rna9346	klhl29	XP_015803653.1
Group_1502_2	XM_015948164	rna9349	trib2	XP_015803650.1
Group_0_84	XM_015948163	rna9351	LOC107378121	XP_015803649.1
Group_7291_0	XM_015948154	rna9358	chgb	XP_015803640.1
Group_5193_0	XM_015948155	rna9359	trmt6	XP_015803641.1
Group_90_16	XM_015948147	rna9365	plcb1	XP_015803633.1
Group_90_14	XM_015948082	rna9367	plcb4	XP_015803568.1
Group_4803_0	XM_015948146	rna9369	lamp5	XP_015803632.1
Group_470_1	XM_015948104	rna9411	fkbp3	XP_015803590.1
Group_1662_2	XM_015948098	rna9413	mdga2	XP_015803584.1
Group_128_14	XM_015948102	rna9414	LOC107378082	XP_015803588.1
Group_2977_1	XM_015948096	rna9417	mgat2	XP_015803582.1
Group_6228_0	XM_015947975	rna9263	csgr04h6orf58	XP_015803461.1
Group_894_3	XM_015947993	rna9246	itpkb	XP_015803479.1
Group_1505_1	XM_015947995	rna9244	adck3	XP_015803481.1
Group_426_4	XM_015947999	rna9239	LOC107378006	XP_015803485.1
Group_4539_0	XM_015948000	rna9238	LOC107378009	XP_015803486.1
Group_6520_0	XM_015948022	rna9217	hddc2	XP_015803508.1
Group_531_6	XM_015948029	rna9210	LOC107378025	XP_015803515.1
Group_339_2	XM_015948030	rna9209	elovl4	XP_015803516.1
Group_1100_1	XM_015948032	rna9207	LOC107378028	XP_015803518.1
Group_7410_0	XM_015948052	rna9185	mrps18a	XP_015803538.1
Group_1268_4	XM_015948053	rna9181	vegfa	XP_015803539.1
Group_1605_1	XM_015948064	rna9170	LOC107378049	XP_015803550.1
Group_6199_0	XM_015975510	rna36209	tab2	XP_015830996.1
Group_2329_1	XM_015948333	rna9521	disp1	XP_015803819.1
Group_6256_0	XM_015948340	rna9526	elp3	XP_015803826.1
Group_2624_1	XM_015948350	rna9530	pnoc	XP_015803836.1
Group_115_4	XM_015948356	rna9541	fzd3	XP_015803842.1
Group_4097_1	XM_015948357	rna9544	LOC107378254	XP_015803843.1
Group_547_4	XM_015942374	rna40188	LOC107374227	XP_015797860.1
Group_40_30	XM_015955510	rna16662	LOC107383083	XP_015810996.1
Group_40_24	XM_015955508	rna16660	cdh18	XP_015810994.1
Group_313_9	XM_015955497	rna16651	LOC107383076	XP_015810983.1
Group_5848_0	XM_015955492	rna16646	mbtps2	XP_015810978.1
Group_8544_1	XM_015955485	rna16639	LOC107383065	XP_015810971.1
Group_591_5	XM_015955482	rna16635	LOC107383062	XP_015810968.1
Group_3047_0	XM_015955476	rna16631	LOC107383058	XP_015810962.1
Group_1073_0	XM_015955468	rna16621	prtfdc1	XP_015810954.1
Group_1221_3	XM_015955463	rna16617	ptchd3	XP_015810949.1
Group_1479_2	XM_015955461	rna16615	gpr158	XP_015810947.1
Group_8421_0	XM_015955459	rna16613	LOC107383045	XP_015810945.1
Group_4_18	XM_015955458	rna16612	myo3a	XP_015810944.1
Group_5861_0	XM_015955455	rna16608	pdss1	XP_015810941.1
Group_836_3	XM_015955442	rna16597	acbd5	XP_015810928.1
Group_139_17	XM_015955441	rna16596	mastl	XP_015810927.1
Group_1589_1	XM_015955630	rna16593	LOC107383154	XP_015811116.1
Group_1589_0	XM_015955437	rna16592	LOC107383034	XP_015810923.1
Group_121_17	XM_015955629	rna16591	LOC107383153	XP_015811115.1
Group_156_8	XM_015955436	rna16590	LOC107383032	XP_015810922.1
Group_4487_0	XM_015955433	rna16587	bloc1s5	XP_015810919.1
Group_5740_0	XM_015955432	rna16586	eef1e1	XP_015810918.1
Group_5736_0	XM_015955430	rna16584	slc35b3	XP_015810916.1
Group_7516_0	XM_015955628	rna16583	ofcc1	XP_015811114.1
Group_1924_0	XM_015955425	rna16579	LOC107383022	XP_015810911.1
Group_602_3	XM_015955419	rna16573	LOC107383018	XP_015810905.1
Group_8105_0	XM_015955406	rna16560	dap	XP_015810892.1
Group_6038_0	XM_015955399	rna16554	nup58	XP_015810885.1
Group_178_12	XM_015955398	rna16553	mtmr6	XP_015810884.1
Group_6293_0	XM_015955386	rna16539	pex2	XP_015810872.1
Group_6300_0	XM_015955382	rna16535	pign	XP_015810868.1
Group_1579_2	XM_015955327	rna16480	pcyt1b	XP_015810813.1
Group_65_32	XM_015955322	rna16477	arx	XP_015810808.1
Group_4929_0	XM_015955321	rna16476	hgd	XP_015810807.1
Group_8372_0	XM_015955318	rna16470	prlh	XP_015810804.1
Group_42_5	XM_015955301	rna16464	sema5a	XP_015810787.1
Group_326_7	XM_015955310	rna16458	cct5	XP_015810796.1
Group_7360_0	XM_015955312	rna16457	cmbl	XP_015810798.1
Group_2605_1	XM_015955302	rna16455	march6	XP_015810788.1
Group_1078_3	XM_015955308	rna16452	neto1	XP_015810794.1
Group_3114_0	XM_015955299	rna16451	fbxo15	XP_015810785.1
Group_380_4	XM_015955289	rna16441	crispld1	XP_015810775.1
Group_380_1	XM_015955288	rna16440	pi15	XP_015810774.1
Group_2234_1	XM_015955286	rna16439	gdap1	XP_015810772.1
Group_878_0	XM_015955285	rna16438	jph1	XP_015810771.1
Group_6332_0	XM_015955284	rna16437	tceb1	XP_015810770.1
Group_51_15	XM_015955283	rna16436	ube2w	XP_015810769.1
Group_892_1	XM_015955277	rna16434	rdh10	XP_015810763.1
Group_3884_0	XM_015955276	rna16430	sbspon	XP_015810762.1
Group_22_38	XM_015955272	rna16427	trpa1	XP_015810758.1
Group_2613_1	XM_015955271	rna16426	msc	XP_015810757.1
Group_1552_1	XM_015955260	rna16413	tram1	XP_015810746.1
Group_1542_0	XM_015955253	rna16407	prdm14	XP_015810739.1
Group_605_4	XM_015955249	rna16403	sulf1	XP_015810735.1
Group_588_3	XM_015955247	rna16401	prex2	XP_015810733.1
Group_402_0	XM_015955246	rna16400	cpa6	XP_015810732.1
Group_236_10	XM_015955239	rna16397	arfgef1	XP_015810725.1
Group_5751_0	XM_015955244	rna16394	cops5	XP_015810730.1
Group_7677_0	XM_015955235	rna16389	mcmdc2	XP_015810721.1
Group_10_16	XM_015955236	rna16388	sgk3	XP_015810722.1
Group_772_1	XM_015955234	rna16387	mybl1	XP_015810720.1
Group_7355_0	XM_015955232	rna16385	rrs1	XP_015810718.1
Group_3436_0	XM_015955231	rna16384	crh	XP_015810717.1
Group_902_5	XM_015955230	rna16383	trim55	XP_015810716.1
Group_536_4	XM_015955224	rna16376	bhlhe22	XP_015810710.1
Group_3894_0	XM_015955223	rna16373	abhd10	XP_015810709.1
Group_514_0	XM_015955220	rna16372	tagln3	XP_015810706.1
Group_190_9	XM_015955219	rna16371	LOC107382878	XP_015810705.1
Group_588_0	XM_015955217	rna16369	LOC107382877	XP_015810703.1
Group_16_6	XM_015955214	rna16366	flt1	XP_015810700.1
Group_16_3	XM_015955212	rna16364	flt3	XP_015810698.1
Group_6310_0	XM_015955210	rna16363	urad	XP_015810696.1
Group_5093_1	XM_015955205	rna16356	rpl21	XP_015810691.1
Group_574_0	XM_015955201	rna16353	wasf3	XP_015810687.1
Group_49_32	XM_015955202	rna16352	cdk8	XP_015810688.1
Group_2238_0	XM_015955198	rna16348	shisa2	XP_015810684.1
Group_6447_0	XM_015955191	rna16344	usf3	XP_015810677.1
Group_5386_0	XM_015955185	rna16331	qtrt2	XP_015810671.1
Group_72_3	XM_015955130	rna16284	LOC107382816	XP_015810616.1
Group_823_0	XM_015955122	rna16280	LOC107382811	XP_015810608.1
Group_1184_0	XM_015955123	rna16277	LOC107382812	XP_015810609.1
Group_2877_1	XM_015955121	rna16276	LOC107382810	XP_015810607.1
Group_435_6	XM_015955120	rna16271	LOC107382809	XP_015810606.1
Group_402_7	XM_015955109	rna16267	cpb1	XP_015810595.1
Group_23_5	XM_015955118	rna16266	agtr1	XP_015810604.1
Group_153_21	XM_015955108	rna16264	zic1	XP_015810594.1
Group_1858_0	XM_015955105	rna16260	LOC107382801	XP_015810591.1
Group_4642_0	XM_015954606	rna15734	nphp3	XP_015810092.1
Group_312_4	XM_015955094	rna16249	trpc1	XP_015810580.1
Group_6399_0	XM_015954609	rna15733	uba5	XP_015810095.1
Group_6971_0	XM_015954611	rna15755	LOC107382470	XP_015810097.1
Group_2893_0	XM_015954612	rna15756	LOC107382471	XP_015810098.1
Group_2181_2	XM_015954616	rna15759	LOC107382473	XP_015810102.1
Group_8966_0	XM_015954617	rna15760	LOC107382474	XP_015810103.1
Group_19_16	XM_015954618	rna15761	htr5a	XP_015810104.1
Group_3476_0	XM_015954622	rna15768	rbm33	XP_015810108.1
Group_960_0	XM_015954627	rna15772	shh	XP_015810113.1
Group_2517_1	XM_015954628	rna15773	lmbr1	XP_015810114.1
Group_4355_0	XM_015954630	rna15774	nom1	XP_015810116.1
Group_114_3	XM_015954633	rna15777	dnajb6	XP_015810119.1
Group_7303_0	XM_015954645	rna15788	LOC107382492	XP_015810131.1
Group_1226_2	XM_015954647	rna15790	plxdc2	XP_015810133.1
Group_417_2	XM_015954650	rna15799	cacnb2	XP_015810136.1
Group_3039_0	XM_015954664	rna15808	tmem236	XP_015810150.1
Group_5939_1	XM_015954667	rna15811	tyms	XP_015810153.1
Group_4245_0	XM_015954669	rna15812	enosf1	XP_015810155.1
Group_43_48	XM_015954668	rna15813	yes1	XP_015810154.1
Group_1957_2	XM_015954678	rna15821	emilin2	XP_015810164.1
Group_2457_0	XM_015954689	rna15832	LOC107382522	XP_015810175.1
Group_23_29	XM_015954691	rna15833	oprk1	XP_015810177.1
Group_84_22	XM_015954692	rna15835	LOC107382525	XP_015810178.1
Group_2020_3	XM_015954693	rna15836	lypla1	XP_015810179.1
Group_7297_0	XM_015954694	rna15837	mrpl15	XP_015810180.1
Group_111_5	XM_015954783	rna15838	LOC107382578	XP_015810269.1
Group_111_3	XM_015954695	rna15840	LOC107382529	XP_015810181.1
Group_4230_0	XM_015954701	rna15845	vps41	XP_015810187.1
Group_136_18	XM_015954702	rna15846	pou6f2	XP_015810188.1
Group_6997_0	XM_015954705	rna15847	yae1d1	XP_015810191.1
Group_4146_0	XM_015954703	rna15848	LOC107382535	XP_015810189.1
Group_4229_0	XM_015954704	rna15849	ankh	XP_015810190.1
Group_857_1	XM_015954706	rna15850	myc	XP_015810192.1
Group_2040_1	XM_015954712	rna15857	nfx1	XP_015810198.1
Group_1298_1	XM_015954721	rna15865	abcf2	XP_015810207.1
Group_2611_2	XM_015954759	rna15911	puf60	XP_015810245.1
Group_2455_1	XM_015954780	rna15920	tmx3	XP_015810266.1
Group_4514_0	XM_015954779	rna15919	pxdc1	XP_015810265.1
Group_117_8	XM_015954778	rna15918	prpf4b	XP_015810264.1
Group_4045_1	XM_015954969	rna16129	txndc5	XP_015810455.1
Group_103_16	XM_015954968	rna16128	LOC107382712	XP_015810454.1
Group_4215_0	XM_015954957	rna16122	ipo4	XP_015810443.1
Group_7514_0	XM_015954962	rna16121	LOC107382707	XP_015810448.1
Group_2920_1	XM_015954963	rna16119	fen1	XP_015810449.1
Group_870_4	XM_015954955	rna16116	LOC107382701	XP_015810441.1
Group_1428_4	XM_015954953	rna16114	psme1	XP_015810439.1
Group_393_3	XM_015954911	rna16067	prmt6	XP_015810397.1
Group_119_11	XM_015954910	rna16062	olfm3	XP_015810396.1
Group_50_35	XM_015954887	rna16041	LOC107382657	XP_015810373.1
Group_115_14	XM_015954885	rna16037	fzd8	XP_015810371.1
Group_3_20	XM_015954874	rna16022	LOC107382648	XP_015810360.1
Group_3303_1	XM_015942497	rna40325	LOC107374348	XP_015797983.1
Group_3438_1	XM_015942496	rna40326	fgfbp1	XP_015797982.1
Group_5271_0	XM_015975055	rna35719	gatb	XP_015830541.1
Group_766_4	XM_015954989	rna16145	inhbb	XP_015810475.1
Group_8166_0	XM_015954130	rna15718	tmem187	XP_015809616.1
Group_19_37	XM_015954562	rna15712	LOC107382429	XP_015810048.1
Group_2388_0	XM_015954138	rna15705	fam114a1	XP_015809624.1
Group_6356_0	XM_015954147	rna15699	lias	XP_015809633.1
Group_12_55	XM_015954150	rna15693	LOC107382150	XP_015809636.1
Group_21_44	XM_015954152	rna15691	melk	XP_015809638.1
Group_65_20	XM_015954565	rna15690	pax5	XP_015810051.1
Group_394_0	XM_015954190	rna15652	LOC107382174	XP_015809676.1
Group_1732_0	XM_015941624	rna39357	LOC107373495	XP_015797110.1
Group_6633_0	XM_015954124	rna15721	rps3a	XP_015809610.1
Group_6062_0	XM_015975972	rna36593	LOC107396309	XP_015831458.1
Group_7665_0	XM_015977087	rna37776	LOC107397169	XP_015832573.1
Group_1439_0	XM_015977085	rna37774	LOC107397168	XP_015832571.1
Group_5245_0	XM_015942658	rna40511	gcc2	XP_015798144.1
Group_6603_0	XM_015954222	rna15621	tmem175	XP_015809708.1
Group_4417_0	XM_015954223	rna15620	kiaa0368	XP_015809709.1
Group_499_8	XM_015954244	rna15594	LOC107382199	XP_015809730.1
Group_462_8	XM_015954256	rna15592	LOC107382208	XP_015809742.1
Group_138_2	XM_015954261	rna15577	LOC107382211	XP_015809747.1
Group_8153_1	XM_015954274	rna15565	LOC107382221	XP_015809760.1
Group_316_7	XM_015954277	rna15562	plppr2	XP_015809763.1
Group_3430_0	XM_015954280	rna15561	elof1	XP_015809766.1
Group_3_5	XM_015954281	rna15558	LOC107382226	XP_015809767.1
Group_31_56	XM_015954282	rna15557	LOC107382227	XP_015809768.1
Group_5721_0	XM_015954579	rna15556	LOC107382449	XP_015810065.1
Group_3653_0	XM_015954290	rna15547	nags	XP_015809776.1
Group_1726_5	XM_015954292	rna15545	LOC107382232	XP_015809778.1
Group_1260_1	XM_015954293	rna15544	LOC107382233	XP_015809779.1
Group_9_1	XM_015954296	rna15541	LOC107382236	XP_015809782.1
Group_9031_0	XM_015954302	rna15535	zglp1	XP_015809788.1
Group_7156_0	XM_015954303	rna15534	fdx1l	XP_015809789.1
Group_6_11	XM_015954306	rna15530	keap1	XP_015809792.1
Group_143_13	XM_015954307	rna15529	LOC107382245	XP_015809793.1
Group_3756_0	XM_015954339	rna15495	ttc26	XP_015809825.1
Group_24_19	XM_015946993	rna8182	map3k8	XP_015802479.1
Group_1537_1	XM_015954399	rna15429	cdkn2d	XP_015809885.1
Group_5722_0	XM_015954413	rna15416	rnaseh2a	XP_015809899.1
Group_88_13	XM_015954416	rna15411	LOC107382309	XP_015809902.1
Group_501_5	XM_015954419	rna15408	LOC107382312	XP_015809905.1
Group_2412_1	XM_015954426	rna15403	LOC107382314	XP_015809912.1
Group_7124_0	XM_015954427	rna15402	cenpm	XP_015809913.1
Group_3941_1	XM_015954436	rna15390	znf207	XP_015809922.1
Group_710_4	XM_015954438	rna15387	LOC107382328	XP_015809924.1
Group_427_7	XM_015954446	rna15377	usp43	XP_015809932.1
Group_6026_0	XM_015954449	rna15374	stx8	XP_015809935.1
Group_365_2	XM_015954462	rna15361	evi5l	XP_015809948.1
Group_1337_1	XM_015954496	rna15321	hnrnpll	XP_015809982.1
Group_66_38	XM_015977098	rna37797	LOC107397179	XP_015832584.1
Group_4_33	XM_015977094	rna37796	LOC107397175	XP_015832580.1
Group_7888_0	XM_015952861	rna13966	rec114	XP_015808347.1
Group_356_6	XM_015952860	rna13968	hcn4	XP_015808346.1
Group_1919_1	XM_015952857	rna13971	dhdh	XP_015808343.1
Group_1892_2	XM_015952847	rna13981	LOC107381262	XP_015808333.1
Group_2901_1	XM_015952846	rna13982	LOC107381260	XP_015808332.1
Group_27_5	XM_015952844	rna13984	slc6a2	XP_015808330.1
Group_1054_0	XM_015952843	rna13985	lpcat2	XP_015808329.1
Group_86_16	XM_015952842	rna13986	mmp2	XP_015808328.1
Group_262_2	XM_015952840	rna13987	irx6	XP_015808326.1
Group_262_6	XM_015952839	rna13989	irx5	XP_015808325.1
Group_262_0	XM_015952837	rna13991	irx3	XP_015808323.1
Group_5477_0	XM_015952836	rna13994	fto	XP_015808322.1
Group_5475_0	XM_015952835	rna13996	aktip	XP_015808321.1
Group_590_1	XM_015952826	rna14005	tox3	XP_015808312.1
Group_1140_3	XM_015952824	rna14008	cyld	XP_015808310.1
Group_2323_2	XM_015952822	rna14010	nkd1	XP_015808308.1
Group_150_8	XM_015952813	rna14018	adcy7	XP_015808299.1
Group_1776_1	XM_015954065	rna15238	papd5	XP_015809551.1
Group_7278_0	XM_015954066	rna15237	heatr3	XP_015809552.1
Group_4423_0	XM_015954067	rna15236	cnep1r1	XP_015809553.1
