OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end
Group_2870_1	023588	hormad1	HORMA domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-040718-49]	chrLG3	5929637	5937305
Group_1429_1	023590	tnfaip8l2b	tumor necrosis factor%2C alpha-induced protein 8-like 2b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1359]	chrLG3	5648590	5855222
Group_14_36	023663	loc107379177		chrLG3	4752190	4767316
Group_756_2	023600	rpz	rapunzel [Source:ZFIN%3BAcc:ZDB-GENE-070117-651]	chrLG3	3632119	3632781
Group_812_4	026010	lmna	lamin A [Source:ZFIN%3BAcc:ZDB-GENE-020424-3]	chrLG3	3519624	3547116
Group_7414_0	023637	dcst2	DC-STAMP domain containing 2%2C transcript variant X2	chrLG3	2913389	2927498
Group_249_7	026016	slc25a11	solute carrier family 25 member 11	chrLG3	2734172	2769353
Group_2854_1	026017	nxnl1	nucleoredoxin-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-070424-115]	chrLG3	2724649	2725529
Group_59_3	026018	adgre5b.3	adhesion G protein-coupled receptor E5b%2C duplicate 3 [Source:ZFIN%3BAcc:ZDB-GENE-121214-275]	chrLG3	2639049	2682339
Group_2742_0	000071	e2f7	E2F transcription factor 7%2C transcript variant X1	chrLG17	14278991	14284037
Group_236_9	018997	lgals9l5	lectin%2C galactoside-binding%2C soluble%2C 9 (galectin 9)-like 5 [Source:ZFIN%3BAcc:ZDB-GENE-070822-22]	chrLG18	640430	648146
Group_3833_0	018973	iws1	IWS1%2C SUPT6H interacting protein%2C transcript variant X1	chrLG18	652170	662598
Group_2685_1	018974	parl	presenilin associated%2C rhomboid-like%2C transcript variant X1	chrLG18	843208	855568
Group_2792_0	025820	exoc3l2b	exocyst complex component 3-like 2b [Source:ZFIN%3BAcc:ZDB-GENE-100728-5]	chrLG18	896965	944125
Group_1257_1	018980	wdr62	WD repeat domain 62 [Source:ZFIN%3BAcc:ZDB-GENE-060503-291]	chrLG18	1258774	1280769
Group_72_5	019003	or112-1	odorant receptor%2C family A%2C subfamily 112%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-990415-195]	chrLG18	1368345	1369325
Group_6235_0	019007	lipt2	lipoyl(octanoyl) transferase 2 (putative)	chrLG18	1419151	1420075
Group_317_7	018984	abcg1	ATP-binding cassette%2C sub-family G (WHITE)%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-070424-84]	chrLG18	1454011	1491460
Group_28_1	019008	loc107379911		chrLG18	1505731	1506681
Group_1082_2	011215	nme3	NME/NM23 nucleoside diphosphate kinase 3%2C transcript variant X1	chrLG16	5647392	5649303
Group_743_4	019360	lgi1b	leucine-rich%2C glioma inactivated 1b [Source:ZFIN%3BAcc:ZDB-GENE-060217-1]	chrLG7	17119927	17145268
Group_6040_0	019341	fra10ac1	FRA10A associated CGG repeat 1 [Source:ZFIN%3BAcc:ZDB-GENE-041010-95]	chrLG7	17141759	17175610
Group_94_30	018024	tbx4	T-box 4 [Source:ZFIN%3BAcc:ZDB-GENE-991124-5]	chrLG18	32571363	32613777
Group_46_6	008501	crygm6	crystallin%2C gamma M6 [Source:ZFIN%3BAcc:ZDB-GENE-050516-7]	chrLG24	3075562	3076347
Group_2444_0	008509	tubgcp3	tubulin gamma complex associated protein 3%2C transcript variant X1	chrLG24	2704784	2739384
Group_4297_0	008510	cdadc1	cytidine and dCMP deaminase domain containing 1%2C transcript variant X1	chrLG24	2610902	2650065
Group_1633_2	008548	cab39l	calcium binding protein 39 like	chrLG24	2606833	2608741
Group_197_8	004993	hbbe2	hemoglobin beta embryonic-2 [Source:ZFIN%3BAcc:ZDB-GENE-040702-1]	chrLG10	20334613	20336559
Group_2772_0-Group_2772_1	005003	gid4	GID complex subunit 4 homolog [Source:HGNC Symbol%3BAcc:HGNC:28453]	chrLG10	20544671	20547610
Group_357_7	004972	pvalb9	parvalbumin 9 [Source:ZFIN%3BAcc:ZDB-GENE-030805-4]	chrLG10	20913523	20914519
Group_56_33	004978	loc107388170		chrLG10	21047765	21053591
Group_14_35	005029	raraa	retinoic acid receptor%2C alpha a [Source:ZFIN%3BAcc:ZDB-GENE-980526-284]	chrLG10	21670752	21704151
Group_1922_1	017786	eif2ak2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol%3BAcc:HGNC:9437]	chrLG22	8502685	8515341
Group_578_0	005201	map1a	microtubule associated protein 1A [Source:HGNC Symbol%3BAcc:HGNC:6835]	chrLG2	25283809	25300485
Group_5005_0	002495	si:dkeyp-84f3.5	si:dkeyp-84f3.5 [Source:ZFIN%3BAcc:ZDB-GENE-050208-162]	chrLG3	23232502	23281003
Group_0_11	002501	wu:fe05a04	wu:fe05a04 [Source:ZFIN%3BAcc:ZDB-GENE-030131-4873]	chrLG3	23427655	23440098
Group_46_29	007716	crybb3	crystallin beta B3	chrLG12	8300166	8301262
Group_1726_2	007790	rnf34a	ring finger protein 34a [Source:ZFIN%3BAcc:ZDB-GENE-030131-6135]	chrLG12	9744347	9747999
Group_237_1	007794	rorb	RAR related orphan receptor B	chrLG12	9905292	9908365
Group_1073_3	007803	bnip3la	BCL2/adenovirus E1B interacting protein 3-like a [Source:ZFIN%3BAcc:ZDB-GENE-030131-2283]	chrLG12	10132913	10134973
Group_511_4	007804	ppp2r2aa	protein phosphatase 2%2C regulatory subunit B%2C alpha a [Source:ZFIN%3BAcc:ZDB-GENE-130530-565]	chrLG12	10138316	10143561
Group_6252_0	024078	gins4	GINS complex subunit 4 (Sld5 homolog)	chrLG12	10753994	10755469
Group_2060_0	007849	tmem2	transmembrane protein 2	chrLG12	11359503	11374608
Group_3411_1	007825	loc107395270		chrLG12	12363736	12369437
Group_507_5	024088	apol1	apolipoprotein L%2C 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-3217]	chrLG12	12973676	13004373
Group_2108_0	000139	cc2d1b	coiled-coil and C2 domain containing 1B	chrLG12	13490287	13499374
Group_46_20	007926	crygn1	crystallin%2C gamma N1 [Source:ZFIN%3BAcc:ZDB-GENE-050225-1]	chrLG12	14103046	14105150
Group_3173_1	024095	zgc:162969	zgc:162969 [Source:ZFIN%3BAcc:ZDB-GENE-041008-244]	chrLG12	14873603	14874192
Group_375_8	007941	ap1m1	adaptor related protein complex 1 mu 1 subunit	chrLG12	14964011	14975481
Group_47_9	012358	sema3e	semaphorin 3E%2C transcript variant X1	chrLG2	17372064	17388497
Group_8120_0	012368	slc25a53	solute carrier family 25 member 53	chrLG2	16597831	16598712
Group_8750_0	019863	lrrc53	leucine rich repeat containing 53 [Source:ZFIN%3BAcc:ZDB-GENE-131121-432]	chrLG6	13050725	13052674
Group_1116_0	005066	fam13a	family with sequence similarity 13 member A%2C transcript variant X1	chrLG5	24974369	25018143
Group_745_0	005086	anp32b	acidic nuclear phosphoprotein 32 family member B	chrLG5	25146732	25152464
Group_160_3	005073	lrrc8db	leucine rich repeat containing 8 family%2C member Db [Source:ZFIN%3BAcc:ZDB-GENE-061013-487]	chrLG5	25525850	25528402
Group_0_151	005092	gfi1ab	growth factor independent 1A transcription repressor b [Source:ZFIN%3BAcc:ZDB-GENE-040116-8]	chrLG5	26189419	26194226
Group_0_60	005097	znf648	zinc finger protein 648 [Source:ZFIN%3BAcc:ZDB-GENE-120215-149]	chrLG5	26381600	26407688
Group_1425_1	022185	rfc2	replication factor C subunit 2	chrLG1	27170190	27172363
Group_252_10	022152	usp11	ubiquitin specific peptidase 11 [Source:ZFIN%3BAcc:ZDB-GENE-081104-421]	chrLG1	27176445	27182753
Group_2392_0	022186	zgc:86609	zgc:86609 [Source:ZFIN%3BAcc:ZDB-GENE-050102-7]	chrLG1	27190976	27193570
Group_476_7	025940	iqsec2	IQ motif and Sec7 domain 2 [Source:HGNC Symbol%3BAcc:HGNC:29059]	chrLG1	27199763	27216621
Group_998_2	022156	tbc1d25	TBC1 domain family%2C member 25 [Source:ZFIN%3BAcc:ZDB-GENE-041111-25]	chrLG1	27447648	27453015
Group_364_2-Group_364_4	003552	inadl	InaD-like (Drosophila) [Source:ZFIN%3BAcc:ZDB-GENE-030616-129]	chrLG4	26146566	26215967
Group_3_99	025047	galr1b	galanin receptor 1b [Source:ZFIN%3BAcc:ZDB-GENE-140624-1]	chrLG4	26984167	26992431
Group_5563_0	003564	agrp	agouti related neuropeptide	chrLG4	27006205	27006975
Group_3099_2	025051	si:ch211-112g6.4	si:ch211-112g6.4 [Source:ZFIN%3BAcc:ZDB-GENE-160728-119]	chrLG4	27308354	27311737
Group_5242_0	014290	xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3%2C transcript variant X1	chrLG5	15752801	15770156
Group_95_8	014291	serpina10a	serpin peptidase inhibitor%2C clade A (alpha-1 antiproteinase%2C antitrypsin)%2C member 10a [Source:ZFIN%3BAcc:ZDB-GENE-041014-246]	chrLG5	15770175	15791917
Group_14_43	020914	nr1i2	pregnane X receptor  [Source:RefSeq peptide%3BAcc:NP_001269825]	chrLG7	21121012	21131524
Group_3095_1	020936	fstl1a	follistatin-like 1a [Source:ZFIN%3BAcc:ZDB-GENE-030131-4148]	chrLG7	21023842	21031222
Group_409_4	000201	bco2l	beta-carotene 15%2C 15-dioxygenase 2%2C like [Source:ZFIN%3BAcc:ZDB-GENE-010509-1]	chrLG12	16486761	16548850
Group_4829_0	023773	ate1	arginyltransferase 1%2C transcript variant X2	chrLG22	6302814	6359228
Group_18_33	023776	loc107377160		chrLG22	5744417	5745223
Group_3_52	003653	ltb4r2a	leukotriene B4 receptor 2a [Source:ZFIN%3BAcc:ZDB-GENE-140106-272]	chrLG22	5713414	5719421
Group_3613_0	005252	bbof1	basal body orientation factor 1	chrLG5	10516609	10524587
Group_383_1	005297	cacng4a	calcium channel%2C voltage-dependent%2C gamma subunit 4a [Source:ZFIN%3BAcc:ZDB-GENE-120215-100]	chrLG5	9410487	9420894
Group_382_3	023876	kpna7	karyopherin alpha 7 (importin alpha 8) [Source:ZFIN%3BAcc:ZDB-GENE-040426-2023]	chrLG5	8538752	8541619
Group_3880_0	000216	atp5h	ATP synthase%2C H+ transporting%2C mitochondrial Fo complex subunit D%2C transcript variant X2	chrLG5	8418382	8420128
Group_427_7	005388	srl	sarcalumenin [Source:HGNC Symbol%3BAcc:HGNC:11295]	chrLG5	7805714	7826452
Group_203_6	005445	ptger1a	prostaglandin E receptor 1a (subtype EP1) [Source:ZFIN%3BAcc:ZDB-GENE-120215-261]	chrLG5	5004416	5029557
Group_714_5	023908	syngr2b	synaptogyrin 2b [Source:ZFIN%3BAcc:ZDB-GENE-070424-19]	chrLG5	3751199	3758980
Group_65_18	008288	sytl1	synaptotagmin-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-060503-439]	chrLG13	20417184	20426140
Group_503_5	008319	ndrg1a	N-myc downstream regulated 1a [Source:ZFIN%3BAcc:ZDB-GENE-030826-34]	chrLG13	21062622	21082558
Group_1646_1	008303	cdca7b	cell division cycle associated 7b [Source:ZFIN%3BAcc:ZDB-GENE-030131-607]	chrLG13	21395476	21414185
Group_2763_1	008306	ferd3l	Fer3-like bHLH transcription factor	chrLG13	21541512	21541967
Group_7392_0	008331	fam133b	family with sequence similarity 133 member B	chrLG13	21625008	21634707
Group_723_3	019927	creb5a	cAMP responsive element binding protein 5a [Source:ZFIN%3BAcc:ZDB-GENE-120827-2]	chrLG13	22716016	22741793
Group_218_3	019910	hoxa10	homeobox A10	chrLG13	22580830	22582804
Group_40_29	019911	hoxa9a	homeobox A9a [Source:ZFIN%3BAcc:ZDB-GENE-000823-1]	chrLG13	22570348	22576416
Group_40_6	019913	hoxa1	homeobox A1	chrLG13	22524979	22526362
Group_4506_1	019935	dazl	deleted in azoospermia like%2C transcript variant X2	chrLG13	22180555	22185181
Group_442_5	015793	ablim3	actin binding LIM protein family member 3 [Source:HGNC Symbol%3BAcc:HGNC:29132]	chrLG3	19821816	19915875
Group_613_0	002406	impg2	interphotoreceptor matrix proteoglycan 2	chrLG7	14723358	14747206
Group_8071_0	002410	si:dkey-100n23.5	si:dkey-100n23.5 [Source:ZFIN%3BAcc:ZDB-GENE-070912-347]	chrLG7	14574198	14628229
Group_1805_0	002397	fbxl3	F-box and leucine-rich repeat protein 3	chrLG7	14418433	14420000
Group_2670_1	023719	hao2	hydroxyacid oxidase 2 (long chain)%2C transcript variant X1	chrLG7	14165154	14281753
Group_8444_0	006017	c14orf132	chromosome 14 open reading frame 132 [Source:HGNC Symbol%3BAcc:HGNC:20346]	chrLG19	1509473	1509721
Group_436_0	000284	tmc2a	transmembrane channel-like 2a [Source:ZFIN%3BAcc:ZDB-GENE-060526-280]	chrLG8	28994432	29000234
Group_878_2	025012	ncam3	neural cell adhesion molecule 3 [Source:ZFIN%3BAcc:ZDB-GENE-131127-340]	chrLG8	13109270	13135071
Group_8416_0	002917	loc107374743		chrLG8	17812636	17817484
Group_2758_1	002959	hnrpkl	heterogeneous nuclear ribonucleoprotein K%2C like [Source:ZFIN%3BAcc:ZDB-GENE-040426-1923]	chrLG8	17942203	17949389
Group_113_6	023708	dnajb9b	DnaJ (Hsp40) homolog%2C subfamily B%2C member 9b [Source:ZFIN%3BAcc:ZDB-GENE-050522-76]	chrLG17	11270871	11271871
Group_9005_1	000315	loc107376755		chrLG14	260770	261222
Group_866_1	008641	znf219	zinc finger protein 219 [Source:ZFIN%3BAcc:ZDB-GENE-110623-1]	chrLG14	2440317	2477077
Group_902_3	000325	spock2	sparc/osteonectin%2C cwcv and kazal-like domains proteoglycan (testican) 2	chrLG10	13878155	13912806
Group_569_1	006208	lrit2	leucine-rich repeat%2C Ig-like and transmembrane domains 2	chrLG10	13574569	13577097
Group_2428_1	006193	bub3	BUB3 mitotic checkpoint protein	chrLG10	13464431	13465960
Group_379_4	024206	dpysl5a	dihydropyrimidinase-like 5a [Source:ZFIN%3BAcc:ZDB-GENE-030131-3136]	chrLG2	5038290	5043147
Group_31_42	010067	kcna1a	potassium voltage-gated channel%2C shaker-related subfamily%2C member 1a [Source:ZFIN%3BAcc:ZDB-GENE-110408-15]	chrLG2	5628340	5629812
Group_22_56	025359	camk1db	calcium/calmodulin-dependent protein kinase 1Db [Source:ZFIN%3BAcc:ZDB-GENE-070112-1872]	chrLG2	5906649	5943439
Group_2923_0	008963	fam198a	family with sequence similarity 198 member A	chrLG3	29335322	29362256
Group_862_2	008952	mc2r	melanocortin 2 receptor [Source:ZFIN%3BAcc:ZDB-GENE-030502-2]	chrLG3	29147388	29148473
Group_175_7	025943	slc7a10a	solute carrier family 7 (neutral amino acid transporter light chain%2C asc system)%2C member 10a [Source:ZFIN%3BAcc:ZDB-GENE-080116-1]	chrLG4	21265187	21319800
Group_876_1	012618	loc107374250		chrLG8	22760014	22772163
Group_2840_1	012581	rnf185	ring finger protein 185%2C transcript variant X1	chrLG8	23067899	23069544
Group_3768_0	012587	morn3	MORN repeat containing 3	chrLG8	23122565	23123490
Group_1442_2	025464	lrrc75b	leucine rich repeat containing 75B [Source:HGNC Symbol%3BAcc:HGNC:33155]	chrLG8	23166081	23166548
Group_80_26	012612	gnaz	G protein subunit alpha z	chrLG8	23611222	23622263
Group_606_5	024336	scarb2	scavenger receptor class B member 2	chrLG8	23680465	23687195
Group_5678_0	025469	morn5	MORN repeat containing 5	chrLG8	23911223	23917654
Group_87_1	012712	lhx6	LIM homeobox 6%2C transcript variant X1	chrLG8	23919535	23929043
Group_511_5	012778	ppp2r2ab	protein phosphatase 2%2C regulatory subunit B%2C alpha b [Source:ZFIN%3BAcc:ZDB-GENE-030131-5474]	chrLG8	28041506	28047740
Group_51_17	023259	zgc:153115	zgc:153115 [Source:ZFIN%3BAcc:ZDB-GENE-061013-418]	chrLG6	3272009	3273416
Group_2587_1	025992	hs2st1a	heparan sulfate 2-O-sulfotransferase 1a [Source:ZFIN%3BAcc:ZDB-GENE-070112-2312]	chrLG6	2814500	2838815
Group_0_150	025994	loc107396365		chrLG6	2644770	3176622
Group_7225_0	002592	si:dkey-48p11.3	si:dkey-48p11.3 [Source:ZFIN%3BAcc:ZDB-GENE-100427-1]	chrLG15	25506628	25507709
Group_31_10	016614	kcnd1	potassium voltage-gated channel subfamily D member 1	chrLG10	5492235	5524613
Group_798_4	002381	hdac3	histone deacetylase 3	chrLG23	2781623	2787039
Group_4_110	002374	rab33a	RAB33A%2C member RAS oncogene family [Source:ZFIN%3BAcc:ZDB-GENE-060825-283]	chrLG23	2722777	2727213
Group_1271_1	002375	fmr1	fragile X mental retardation 1%2C transcript variant X1	chrLG23	2701682	2722770
Group_1787_1	019302	rassf9	Ras association domain family member 9	chrLG2	958131	993920
Group_3831_1	017851	ercc4	excision repair cross-complementation group 4	chrLG10	23026498	23051371
Group_71_16	017880	gdf2	growth differentiation factor 2 [Source:ZFIN%3BAcc:ZDB-GENE-100107-1]	chrLG10	22150628	22152126
Group_183_16	007398	c1ql1	complement C1q like 1 [Source:HGNC Symbol%3BAcc:HGNC:24182]	chrLG10	14816142	14824585
Group_4_81	021172	rab5b	RAB5B%2C member RAS oncogene family [Source:ZFIN%3BAcc:ZDB-GENE-040426-2593]	chrLG7	2843392	2844816
Group_1910_1	016462	sbno1	strawberry notch homolog 1 [Source:HGNC Symbol%3BAcc:HGNC:22973]	chrLG8	12622784	12641916
Group_617_2	000399	tmem150c	transmembrane protein 150C%2C transcript variant X1	chrLG8	12262718	12267821
Group_2470_0	016481	sec31a	SEC31 homolog A%2C COPII coat complex component%2C transcript variant X1	chrLG8	12237867	12257095
Group_7904_0	018149	vgf	VGF nerve growth factor inducible [Source:ZFIN%3BAcc:ZDB-GENE-121009-2]	chrLG11	28911465	28913468
Group_953_2	018153	aldocb	aldolase C%2C fructose-bisphosphate%2C b [Source:ZFIN%3BAcc:ZDB-GENE-030821-1]	chrLG11	28789569	28791776
Group_486_2	018180	hhla2a.2	HERV-H LTR-associating 2a%2C tandem duplicate 2 [Source:ZFIN%3BAcc:ZDB-GENE-091204-324]	chrLG11	27929368	27931081
Group_856_1	018218	zdhhc20a	zinc finger%2C DHHC-type containing 20a [Source:ZFIN%3BAcc:ZDB-GENE-070424-38]	chrLG11	27889329	27895236
Group_256_8	018238	cabz01071180.1	unknown	chrLG11	26997116	27010539
Group_8567_0	024660	si:ch211-117m20.4	si:ch211-117m20.4 [Source:ZFIN%3BAcc:ZDB-GENE-060526-20]	chrLG11	26917326	26917918
Group_116_13	018304	unknown		chrLG11	25851323	25852255
Group_214_8	018307	ppm1nb	protein phosphatase%2C Mg2+/Mn2+ dependent%2C 1Nb (putative) [Source:ZFIN%3BAcc:ZDB-GENE-071004-34]	chrLG11	25806194	25808611
Group_38_4	018326	cx27.5	connexin 27.5 [Source:ZFIN%3BAcc:ZDB-GENE-010619-2]	chrLG11	25564585	25567299
Group_14_12	018327	ar	androgen receptor	chrLG11	25501707	25527914
Group_7_68	024670	bx957322.1	unknown	chrLG11	24214986	24217394
Group_25_36	018368	cldn7b	claudin 7b [Source:ZFIN%3BAcc:ZDB-GENE-001103-5]	chrLG11	24117896	24119882
Group_6622_0	018353	pdss2	prenyl (decaprenyl) diphosphate synthase%2C subunit 2	chrLG11	23253340	23296726
Group_3826_0	018358	nrde2	NRDE-2%2C necessary for RNA interference%2C domain containing%2C transcript variant X1	chrLG11	23187633	23196516
Group_2115_0	018381	ttc7b	tetratricopeptide repeat domain 7B	chrLG11	23149793	23161193
Group_67_18	021229	katnb1	katanin p80 (WD repeat containing) subunit B 1	chrLG10	898597	941870
Group_379_6	023953	dpysl3	dihydropyrimidinase-like 3 [Source:ZFIN%3BAcc:ZDB-GENE-050720-2]	chrLG11	785092	827592
Group_1281_1	023860	senp6	SUMO1/sentrin specific peptidase 6	chrLG15	8581374	8602192
Group_2978_0	025133	si:ch73-290k24.5	si:ch73-290k24.5 [Source:ZFIN%3BAcc:ZDB-GENE-110411-284]	chrLG15	8316128	8334902
Group_112_0	017650	epb41l1	erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol%3BAcc:HGNC:3378]	chrLG20	33376745	33445718
Group_24_30	017642	drd1a	dopamine receptor D1a [Source:ZFIN%3BAcc:ZDB-GENE-130522-1]	chrLG20	34043447	34044162
Group_375_0	013570	ap1m2	adaptor related protein complex 1 mu 2 subunit	chrLG5	18016694	18030219
Group_1613_2	002621	armc1	armadillo repeat containing 1 [Source:HGNC Symbol%3BAcc:HGNC:17684]	chrLG6	24099816	24106917
Group_340_7	002627	dlg1l	discs%2C large (Drosophila) homolog 1%2C like [Source:ZFIN%3BAcc:ZDB-GENE-050222-3]	chrLG6	23719730	23733282
Group_1906_2	002630	phb2	prohibitin 2	chrLG6	23573256	23589230
Group_1033_1	002614	fam49ba	family with sequence similarity 49%2C member Ba [Source:ZFIN%3BAcc:ZDB-GENE-030131-9537]	chrLG6	23564050	23573249
Group_472_1	002636	slc39a6	solute carrier family 39 (zinc transporter)%2C member 6 [Source:ZFIN%3BAcc:ZDB-GENE-030131-3023]	chrLG6	23318952	23370537
Group_239_10	012895	cxadr	coxsackie virus and adenovirus receptor	chrLG10	6561684	6637350
Group_5244_0	012891	atg101	autophagy related 101%2C transcript variant X1	chrLG10	6754788	6755508
Group_2577_0	012902	arg1	arginase 1 [Source:HGNC Symbol%3BAcc:HGNC:663]	chrLG10	6958249	6972441
Group_1240_2	012912	ankfn1	ankyrin repeat and fibronectin type III domain containing 1	chrLG10	7016043	7041046
Group_2483_1	025479	stxbp4	syntaxin binding protein 4	chrLG10	7125098	7172607
Group_1546_2	000446	plekha1b	pleckstrin homology domain containing%2C family A (phosphoinositide binding specific) member 1b [Source:ZFIN%3BAcc:ZDB-GENE-110408-54]	chrLG10	7232810	7238540
Group_44_32	025480	grid1b	glutamate receptor%2C ionotropic%2C delta 1b [Source:ZFIN%3BAcc:ZDB-GENE-121214-84]	chrLG10	7502107	7590138
Group_30_44	000449	arf1	ADP-ribosylation factor 1 [Source:ZFIN%3BAcc:ZDB-GENE-010724-5]	chrLG10	8285609	8287601
Group_40_0	012941	hoxb6b	homeobox B6b [Source:ZFIN%3BAcc:ZDB-GENE-000823-7]	chrLG10	8797982	8799480
Group_5803_0	012983	cdk5rap3	CDK5 regulatory subunit associated protein 3	chrLG10	8875190	8879943
Group_1936_1	013008	sost	sclerostin [Source:ZFIN%3BAcc:ZDB-GENE-110411-139]	chrLG10	9502607	9505554
Group_1243_2	013011	tmem106a	transmembrane protein 106A	chrLG10	9567028	9569098
Group_1208_1	013013	g6pca.1	glucose-6-phosphatase a%2C catalytic subunit%2C tandem duplicate 1 [Source:ZFIN%3BAcc:ZDB-GENE-031001-4]	chrLG10	9592376	9594634
Group_2062_1	000455	lasp1	LIM and SH3 protein 1 [Source:HGNC Symbol%3BAcc:HGNC:6513]	chrLG10	9787748	9792933
Group_1048_0	013071	timp2a	TIMP metallopeptidase inhibitor 2a [Source:ZFIN%3BAcc:ZDB-GENE-030612-1]	chrLG10	11529580	11540306
Group_6312_0	013104	pgs1	phosphatidylglycerophosphate synthase 1	chrLG10	11571253	11583361
Group_3929_0	013075	eef2k	eukaryotic elongation factor 2 kinase%2C transcript variant X1	chrLG10	11612003	11630317
Group_2171_2	019789	bcl7bb	B-cell CLL/lymphoma 7B%2C b [Source:ZFIN%3BAcc:ZDB-GENE-010328-17]	chrLG18	23588527	23591736
Group_5869_0	008680	adat2	adenosine deaminase%2C tRNA specific 2	chrLG15	10048465	10050254
Group_16_16	008688	pak6b	p21 protein (Cdc42/Rac)-activated kinase 6b [Source:ZFIN%3BAcc:ZDB-GENE-041014-121]	chrLG15	9716808	9720504
Group_3538_1	008690	unknown		chrLG15	9704830	9705057
Group_810_3	008691	kif26aa	kinesin family member 26Aa [Source:ZFIN%3BAcc:ZDB-GENE-041001-148]	chrLG15	9592490	9612602
Group_51_35	008696	klf11a	Kruppel-like factor 11a [Source:ZFIN%3BAcc:ZDB-GENE-030131-3568]	chrLG15	9340506	9342238
Group_461_6	008228	fam46c	family with sequence similarity 46 member C%2C transcript variant X2	chrLG7	3767735	3768883
Group_1632_0	013137	slc15a1b	solute carrier family 15 (oligopeptide transporter)%2C member 1b [Source:ZFIN%3BAcc:ZDB-GENE-030131-4661]	chrLG24	5595902	5609599
Group_2719_0	013155	gcga	glucagon a [Source:ZFIN%3BAcc:ZDB-GENE-010219-1]	chrLG24	5672811	5675165
