Group_34_14	XM_015946248	rna7464	chrnb1	XP_015801734.1
Group_4487_0	XM_015955433	rna16587	bloc1s5	XP_015810919.1
Group_5740_0	XM_015955432	rna16586	eef1e1	XP_015810918.1
Group_5736_0	XM_015955430	rna16584	slc35b3	XP_015810916.1
Group_7516_0	XM_015955628	rna16583	ofcc1	XP_015811114.1
Group_1924_0	XM_015955425	rna16579	LOC107383022	XP_015810911.1
Group_6293_0	XM_015955386	rna16539	pex2	XP_015810872.1
Group_1579_2	XM_015955327	rna16480	pcyt1b	XP_015810813.1
Group_65_32	XM_015955322	rna16477	arx	XP_015810808.1
Group_4929_0	XM_015955321	rna16476	hgd	XP_015810807.1
Group_42_5	XM_015955301	rna16464	sema5a	XP_015810787.1
Group_3114_0	XM_015955299	rna16451	fbxo15	XP_015810785.1
Group_878_0	XM_015955285	rna16438	jph1	XP_015810771.1
Group_3884_0	XM_015955276	rna16430	sbspon	XP_015810762.1
Group_605_4	XM_015955249	rna16403	sulf1	XP_015810735.1
Group_402_0	XM_015955246	rna16400	cpa6	XP_015810732.1
Group_7355_0	XM_015955232	rna16385	rrs1	XP_015810718.1
Group_16_6	XM_015955214	rna16366	flt1	XP_015810700.1
Group_2238_0	XM_015955198	rna16348	shisa2	XP_015810684.1
Group_6447_0	XM_015955191	rna16344	usf3	XP_015810677.1
Group_823_0	XM_015955122	rna16280	LOC107382811	XP_015810608.1
Group_1184_0	XM_015955123	rna16277	LOC107382812	XP_015810609.1
Group_435_6	XM_015955120	rna16271	LOC107382809	XP_015810606.1
Group_1858_0	XM_015955105	rna16260	LOC107382801	XP_015810591.1
Group_6971_0	XM_015954611	rna15755	LOC107382470	XP_015810097.1
Group_3476_0	XM_015954622	rna15768	rbm33	XP_015810108.1
Group_960_0	XM_015954627	rna15772	shh	XP_015810113.1
Group_114_3	XM_015954633	rna15777	dnajb6	XP_015810119.1
Group_1226_2	XM_015954647	rna15790	plxdc2	XP_015810133.1
Group_5939_1	XM_015954667	rna15811	tyms	XP_015810153.1
Group_4045_1	XM_015954969	rna16129	txndc5	XP_015810455.1
Group_4215_0	XM_015954957	rna16122	ipo4	XP_015810443.1
Group_7514_0	XM_015954962	rna16121	LOC107382707	XP_015810448.1
Group_2920_1	XM_015954963	rna16119	fen1	XP_015810449.1
Group_50_35	XM_015954887	rna16041	LOC107382657	XP_015810373.1
Group_3303_1	XM_015942497	rna40325	LOC107374348	XP_015797983.1
Group_3438_1	XM_015942496	rna40326	fgfbp1	XP_015797982.1
Group_8166_0	XM_015954130	rna15718	tmem187	XP_015809616.1
Group_7665_0	XM_015977087	rna37776	LOC107397169	XP_015832573.1
Group_1439_0	XM_015977085	rna37774	LOC107397168	XP_015832571.1
Group_499_8	XM_015954244	rna15594	LOC107382199	XP_015809730.1
Group_31_56	XM_015954282	rna15557	LOC107382227	XP_015809768.1
Group_3653_0	XM_015954290	rna15547	nags	XP_015809776.1
Group_9031_0	XM_015954302	rna15535	zglp1	XP_015809788.1
Group_7156_0	XM_015954303	rna15534	fdx1l	XP_015809789.1
Group_143_13	XM_015954307	rna15529	LOC107382245	XP_015809793.1
Group_1537_1	XM_015954399	rna15429	cdkn2d	XP_015809885.1
Group_5722_0	XM_015954413	rna15416	rnaseh2a	XP_015809899.1
Group_88_13	XM_015954416	rna15411	LOC107382309	XP_015809902.1
Group_3941_1	XM_015954436	rna15390	znf207	XP_015809922.1
Group_710_4	XM_015954438	rna15387	LOC107382328	XP_015809924.1
Group_1892_2	XM_015952847	rna13981	LOC107381262	XP_015808333.1
Group_2901_1	XM_015952846	rna13982	LOC107381260	XP_015808332.1
Group_86_16	XM_015952842	rna13986	mmp2	XP_015808328.1
Group_262_2	XM_015952840	rna13987	irx6	XP_015808326.1
Group_262_6	XM_015952839	rna13989	irx5	XP_015808325.1
Group_262_0	XM_015952837	rna13991	irx3	XP_015808323.1
Group_590_1	XM_015952826	rna14005	tox3	XP_015808312.1
Group_2323_2	XM_015952822	rna14010	nkd1	XP_015808308.1
Group_150_8	XM_015952813	rna14018	adcy7	XP_015808299.1
Group_1954_0	XM_015954100	rna15204	LOC107382107	XP_015809586.1
Group_121_22	XM_015953182	rna14149	LOC107381485	XP_015808668.1
Group_132_22	XM_015953155	rna14228	LOC107381462	XP_015808641.1
Group_2569_0	XM_015950609	rna11718	cilp	XP_015806095.1
Group_5632_0	XM_015953151	rna14231	casc4	XP_015808637.1
Group_2006_1	XM_015953149	rna14234	fam189a1	XP_015808635.1
Group_2232_1	XM_015953127	rna14258	dagla	XP_015808613.1
Group_4052_0	XM_015953036	rna14351	ogfod1	XP_015808522.1
Group_7335_0	XM_015953035	rna14352	nudt21	XP_015808521.1
Group_8327_1	XM_015953032	rna14354	LOC107381397	XP_015808518.1
Group_0_66	XM_015953031	rna14355	LOC107381396	XP_015808517.1
Group_870_2	XM_015953022	rna14356	LOC107381391	XP_015808508.1
Group_4793_0	XM_015953021	rna14364	ccpg1	XP_015808507.1
Group_670_3	XM_015952998	rna14385	adam10	XP_015808484.1
Group_4_71	XM_015952989	rna14393	myo1e	XP_015808475.1
Group_178_10	XM_015952988	rna14394	mtmr10	XP_015808474.1
Group_380_5	XM_015952974	rna14407	crispld2	XP_015808460.1
Group_1300_0	XM_015953308	rna14432	LOC107381562	XP_015808794.1
Group_1681_1	XM_015952957	rna14435	clec3a	XP_015808443.1
Group_1718_0	XM_015952932	rna14460	LOC107381326	XP_015808418.1
Group_4172_1	XM_015952931	rna14465	pdcd5	XP_015808417.1
Group_4769_0	XM_015952925	rna14466	mvd	XP_015808411.1
Group_6943_0	XM_015952926	rna14467	LOC107381322	XP_015808412.1
Group_5766_0	XM_015952922	rna14468	tcf25	XP_015808408.1
Group_2314_2	XM_015952913	rna14478	LOC107381309	XP_015808399.1
Group_8936_0	XM_015975216	rna35873	LOC107395765	XP_015830702.1
Group_1662_0	XM_015952881	rna14508	mdga1	XP_015808367.1
Group_2057_0	XM_015953748	rna14598	zdhhc13	XP_015809234.1
Group_6621_0	XM_015953631	rna14725	senp8	XP_015809117.1
Group_246_4	XM_015953605	rna14740	itga11	XP_015809091.1
Group_24_18	XM_015953581	rna14766	map2k5	XP_015809067.1
Group_1100_4	XM_015953472	rna14874	prss23	XP_015808958.1
Group_229_3	XM_015953452	rna14893	itgb6	XP_015808938.1
Group_8_68	XM_015953414	rna14934	pcdh20	XP_015808900.1
Group_3189_1	XM_015952730	rna13870	cmtm3	XP_015808216.1
Group_518_4	XM_015952733	rna13873	galns	XP_015808219.1
Group_5419_0	XM_015952806	rna13877	acsf3	XP_015808292.1
Group_4689_0	XM_015952777	rna13920	LOC107381209	XP_015808263.1
Group_74_10	XM_015952809	rna13935	LOC107381233	XP_015808295.1
Group_69_25	XM_015953952	rna15154	LOC107382000	XP_015809438.1
Group_1749_2	XM_015953950	rna15157	phospho2	XP_015809436.1
Group_180_19	XM_015953937	rna15170	slc7a10	XP_015809423.1
Group_840_3	XM_015953867	rna14991	LOC107381931	XP_015809353.1
Group_102_2	XM_015973311	rna33943	LOC107394385	XP_015828797.1
Group_93_10	XM_015974505	rna35134	LOC107395189	XP_015829991.1
Group_421_2	XM_015973585	rna34214	LOC107394595	XP_015829071.1
Group_6617_0	XM_015973591	rna34218	dpm3	XP_015829077.1
Group_6643_0	XM_015975663	rna36325	pdss2	XP_015831149.1
Group_139_2	XM_015975678	rna36321	rock2	XP_015831164.1
Group_7500_0	XM_015973751	rna34379	LOC107394694	XP_015829237.1
Group_23_55	XM_015973832	rna34378	LOC107394748	XP_015829318.1
Group_1208_1	XM_015973792	rna34416	hey1	XP_015829278.1
Group_870_1	XM_015973796	rna34421	fam65b	XP_015829282.1
Group_1018_2	XM_015973849	rna34465	rbm24	XP_015829335.1
Group_8334_0	XM_015973848	rna34466	stmnd1	XP_015829334.1
Group_491_1	XM_015973997	rna34607	LOC107394841	XP_015829483.1
Group_1734_0	XM_015974002	rna34610	LOC107394844	XP_015829488.1
Group_8328_0	XM_015973925	rna34525	susd5	XP_015829411.1
Group_1347_5	XM_015973890	rna34556	arpp21	XP_015829376.1
Group_1629_2	XM_015967273	rna27872	gpr173	XP_015822759.1
Group_950_3	XM_015967260	rna27886	LOC107390506	XP_015822746.1
Group_294_7	XM_015976145	rna36783	LOC107396425	XP_015831631.1
Group_2452_1	XM_015967204	rna27938	LOC107390473	XP_015822690.1
Group_1001_0	XM_015967179	rna27963	LOC107390461	XP_015822665.1
Group_577_1	XM_015967165	rna27975	sall4	XP_015822651.1
Group_739_0	XM_015967155	rna27985	tshz2	XP_015822641.1
Group_2480_1	XM_015967024	rna28119	hsd17b10	XP_015822510.1
Group_541_0	XM_015967014	rna28128	ttpal	XP_015822500.1
Group_0_106	XM_015966978	rna28162	zbtb17	XP_015822464.1
Group_2436_3	XM_015966979	rna28163	hspb7	XP_015822465.1
Group_2025_2	XM_015966964	rna28177	nadk	XP_015822450.1
Group_6757_0	XM_015967476	rna28199	lrrc47	XP_015822962.1
Group_5055_0	XM_015967422	rna28274	eif2s2	XP_015822908.1
Group_1456_1	XM_015967427	rna28275	LOC107390603	XP_015822913.1
Group_472_1	XM_015967503	rna28293	LOC107390674	XP_015822989.1
Group_990_5	XM_015967504	rna28294	stac3	XP_015822990.1
Group_17_27	XM_015967509	rna28299	LOC107390677	XP_015822995.1
Group_1436_1	XM_015967532	rna28323	espn	XP_015823018.1
Group_5092_0	XM_015967537	rna28330	acot7	XP_015823023.1
Group_462_5	XM_015967580	rna28374	LOC107390715	XP_015823066.1
Group_5868_0	XM_015967581	rna28375	LOC107390717	XP_015823067.1
Group_8405_1	XM_015967588	rna28381	LOC107390719	XP_015823074.1
Group_590_3	XM_015967592	rna28386	LOC107390723	XP_015823078.1
Group_6249_0	XM_015967666	rna28459	ctnnbip1	XP_015823152.1
Group_8567_0	XM_015967673	rna28466	LOC107390762	XP_015823159.1
Group_65_2	XM_015967740	rna28529	alx3	XP_015823226.1
Group_1863_2	XM_015967741	rna28530	rbm15	XP_015823227.1
Group_5579_0	XM_015967764	rna28553	smc5	XP_015823250.1
Group_2631_1	XM_015967766	rna28555	LOC107390823	XP_015823252.1
Group_672_1	XM_015967777	rna28567	LOC107390830	XP_015823263.1
Group_1254_2	XM_015967781	rna28568	larp4	XP_015823267.1
Group_102_0	XM_015967816	rna28599	LOC107390848	XP_015823302.1
Group_2471_1	XM_015967854	rna28636	tmem9	XP_015823340.1
Group_249_0	XM_015967909	rna28690	LOC107390905	XP_015823395.1
Group_191_2	XM_015967919	rna28698	hoxc11	XP_015823405.1
Group_55_18	XM_015967917	rna28705	LOC107390911	XP_015823403.1
Group_55_20	XM_015967921	rna28706	hoxc4	XP_015823407.1
Group_676_1	XM_015967930	rna28711	nfe2	XP_015823416.1
Group_7494_0	XM_015967947	rna28727	fkbpl	XP_015823433.1
Group_6590_0	XM_015967952	rna28734	ccdc115	XP_015823438.1
Group_243_2	XM_015941989	rna39748	LOC107373848	XP_015797475.1
Group_1495_2	XM_015941811	rna39553	LOC107373672	XP_015797297.1
Group_361_9	XM_015968059	rna28823	ggt7	XP_015823545.1
Group_3002_1	XM_015968068	rna28834	rnf114	XP_015823554.1
Group_206_11	XM_015968072	rna28838	slc9a8	XP_015823558.1
Group_1788_0	XM_015968074	rna28840	emilin3	XP_015823560.1
Group_1860_2	XM_015968077	rna28844	samd10	XP_015823563.1
Group_2281_0	XM_015968080	rna28846	znf512b	XP_015823566.1
Group_1485_2	XM_015968086	rna28852	zbtb46	XP_015823572.1
Group_1310_0	XM_015968093	rna28860	birc7	XP_015823579.1
Group_1122_3	XM_015968096	rna28861	ythdf1	XP_015823582.1
Group_305_10	XM_015968099	rna28864	slc17a9	XP_015823585.1
Group_4247_0	XM_015968178	rna28941	fbxw12	XP_015823664.1
Group_195_2	XM_015968215	rna28978	brpf1	XP_015823701.1
Group_1349_2	XM_015968270	rna29030	LOC107391153	XP_015823756.1
Group_1552_2	XM_015968285	rna29045	LOC107391156	XP_015823771.1
Group_660_0	XM_015968286	rna29046	LOC107391157	XP_015823772.1
Group_1187_3	XM_015968310	rna29067	LOC107391170	XP_015823796.1
Group_40_6	XM_015968323	rna29080	cdh4	XP_015823809.1
Group_54_8	XM_015968412	rna29167	rho	XP_015823898.1
Group_1284_0	XM_015968643	rna29536	LOC107391363	XP_015824129.1
Group_6828_0	XM_015968650	rna29539	LOC107391368	XP_015824136.1
Group_214_2	XM_015960020	rna21094	fam83d	XP_015815506.1
Group_603_5	XM_015960019	rna21095	zhx3	XP_015815505.1
Group_1140_2	XM_015960022	rna21097	LOC107385871	XP_015815508.1
Group_534_1	XM_015960027	rna21101	LOC107385873	XP_015815513.1
Group_605_2	XM_015960035	rna21111	LOC107385878	XP_015815521.1
Group_73_7	XM_015959946	rna21022	cntn3	XP_015815432.1
Group_3203_1	XM_015960079	rna21009	prok2	XP_015815565.1
Group_2416_1	XM_015974411	rna35028	LOC107395123	XP_015829897.1
Group_201_12	XM_015959820	rna20887	oxtr	XP_015815306.1
Group_1185_1	XM_015959795	rna20863	LOC107385722	XP_015815281.1
Group_3027_0	XM_015959792	rna20858	LOC107385719	XP_015815278.1
Group_6906_0	XM_015959788	rna20857	uroc1	XP_015815274.1
Group_13_32	XM_015959789	rna20856	LOC107385717	XP_015815275.1
Group_5605_0	XM_015959777	rna20843	rft1	XP_015815263.1
Group_9028_0	XM_015959616	rna20689	LOC107385620	XP_015815102.1
Group_724_2	XM_015959615	rna20688	mettl21b	XP_015815101.1
Group_210_1	XM_015959611	rna20684	dgka	XP_015815097.1
Group_13_29	XM_015959588	rna20661	mapkapk2	XP_015815074.1
Group_4883_0	XM_015959562	rna20638	tmem183a	XP_015815048.1
Group_856_2	XM_015959558	rna20635	myog	XP_015815044.1
Group_2484_1	XM_015959514	rna20590	LOC107385556	XP_015815000.1
Group_32_39	XM_015959509	rna20587	LOC107385551	XP_015814995.1
Group_4899_0	XM_015959510	rna20585	pusl1	XP_015814996.1
Group_2452_0	XM_015959492	rna20570	dnajc11	XP_015814978.1
Group_370_8	XM_015959487	rna20563	LOC107385538	XP_015814973.1
Group_390_11	XM_015959460	rna20537	LOC107385527	XP_015814946.1
Group_144_0	XM_015959444	rna20522	plxna1	XP_015814930.1
Group_958_0	XM_015959436	rna20511	msx1	XP_015814922.1
Group_934_7	XM_015959409	rna20487	tmem233	XP_015814895.1
Group_1611_2	XM_015959404	rna20482	LOC107385491	XP_015814890.1
Group_1209_3	XM_015960070	rna20416	LOC107385912	XP_015815556.1
Group_4907_0	XM_015959321	rna20398	lyar	XP_015814807.1
Group_466_4	XM_015959319	rna20396	synpr	XP_015814805.1
Group_1533_0	XM_015959298	rna20376	lrig1	XP_015814784.1
Group_135_2	XM_015959297	rna20374	LOC107385437	XP_015814783.1
Group_2228_1	XM_015959295	rna20373	suclg2	XP_015814781.1
Group_6245_0	XM_015959285	rna20361	tmf1	XP_015814771.1
Group_1789_1	XM_015959284	rna20360	uba3	XP_015814770.1
Group_2405_0	XM_015959243	rna20314	LOC107385403	XP_015814729.1
Group_590_4	XM_015959198	rna20267	tox2	XP_015814684.1
Group_2723_0	XM_015959196	rna20265	st7l	XP_015814682.1
Group_472_0	XM_015959164	rna20233	nxph4	XP_015814650.1
Group_766_3	XM_015959152	rna20222	LOC107385337	XP_015814638.1
Group_6647_0	XM_015959099	rna20166	rpl29	XP_015814585.1
Group_905_3	XM_015959072	rna20140	timp4	XP_015814558.1
Group_5295_0	XM_015960066	rna20135	terf2ip	XP_015815552.1
Group_5794_0	XM_015959061	rna20121	park7	XP_015814547.1
Group_39_44	XM_015959013	rna20079	LOC107385251	XP_015814499.1
Group_1322_0	XM_015958915	rna19982	rbm5	XP_015814401.1
Group_344_0	XM_015958809	rna19883	LOC107385134	XP_015814295.1
Group_3062_1	XM_015958811	rna19882	LOC107385136	XP_015814297.1
Group_1099_4	XM_015958810	rna19881	LOC107385135	XP_015814296.1
Group_3204_0	XM_015958808	rna19879	LOC107385132	XP_015814294.1
Group_38_11	XM_015958804	rna19877	rad54l2	XP_015814290.1
Group_309_5	XM_015958766	rna19841	LOC107385115	XP_015814252.1
Group_40_5	XM_015958759	rna19835	LOC107385112	XP_015814245.1
Group_294_0	XM_015958656	rna19735	LOC107385055	XP_015814142.1
Group_25_0	XM_015958642	rna19722	LOC107385045	XP_015814128.1
Group_81_21	XM_015958592	rna19676	LOC107385025	XP_015814078.1
Group_158_10	XM_015958590	rna19675	grm4	XP_015814076.1
Group_449_0	XM_015958431	rna19504	rims4	XP_015813917.1
Group_1810_2	XM_015975492	rna36170	fam84a	XP_015830978.1
Group_32_21	XM_015975458	rna36168	ddx1	XP_015830944.1
Group_516_2	XM_015960583	rna21161	inpp5e	XP_015816069.1
Group_94_32	XM_015960168	rna21571	wnt11	XP_015815654.1
Group_55_31	XM_015960798	rna21792	gsx1	XP_015816284.1
Group_770_3	XM_015960862	rna21852	LOC107386459	XP_015816348.1
Group_6074_0	XM_015960983	rna21971	cwc15	XP_015816469.1
Group_996_0	XM_015961141	rna22125	LOC107386615	XP_015816627.1
Group_48_2	XM_015977352	rna38058	gabra3	XP_015832838.1
Group_220_0	XM_015961157	rna22142	ppm1e	XP_015816643.1
Group_4728_0	XM_015961173	rna22152	tbl2	XP_015816659.1
Group_2086_1	XM_015961166	rna22159	ncor1	XP_015816652.1
Group_6439_0	XM_015961180	rna22164	zswim7	XP_015816666.1
Group_10_49	XM_015961197	rna22186	LOC107386663	XP_015816683.1
Group_3_89	XM_015961240	rna22223	rab24	XP_015816726.1
Group_1290_0	XM_015961271	rna22253	spry4	XP_015816757.1
Group_2950_0	XM_015961279	rna22261	yipf5	XP_015816765.1
Group_609_5	XM_015961281	rna22262	kctd16	XP_015816767.1
Group_19_40	XM_015974884	rna35527	LOC107395488	XP_015830370.1
Group_958_1	XM_015961291	rna22272	LOC107386720	XP_015816777.1
Group_647_5	XM_015961293	rna22275	LOC107386722	XP_015816779.1
Group_206_1	XM_015961305	rna22288	LOC107386731	XP_015816791.1
Group_2445_1	XM_015961365	rna22340	LOC107386759	XP_015816851.1
Group_5965_0	XM_015961362	rna22344	htatsf1	XP_015816848.1
Group_2857_0	XM_015961371	rna22346	LOC107386763	XP_015816857.1
Group_2315_0	XM_015961386	rna22366	ccni2	XP_015816872.1
Group_8422_0	XM_015961410	rna22393	LOC107386788	XP_015816896.1
Group_258_1	XM_015961478	rna22446	tcf7	XP_015816964.1
Group_1667_0	XM_015961626	rna22594	postn	XP_015817112.1
Group_2008_0	XM_015961671	rna22637	chordc1	XP_015817157.1
Group_8322_0	XM_015961722	rna22689	LOC107386998	XP_015817208.1
Group_2297_0	XM_015961796	rna22764	LOC107387043	XP_015817282.1
Group_6591_0	XM_015961810	rna22774	znhit3	XP_015817296.1
Group_5833_0	XM_015963715	rna24618	cops3	XP_015819201.1
Group_6968_0	XM_015963714	rna24617	nt5m	XP_015819200.1
Group_7214_0	XM_015963601	rna24489	enthd2	XP_015819087.1
Group_1641_0	XM_015963365	rna24249	LOC107388025	XP_015818851.1
Group_17_24	XM_015963250	rna24136	kif22	XP_015818736.1
Group_124_17	XM_015963228	rna24118	LOC107387945	XP_015818714.1
Group_7702_0	XM_015963198	rna24086	LOC107387928	XP_015818684.1
Group_46_31	XM_015963178	rna24061	psmc5	XP_015818664.1
Group_360_13	XM_015963143	rna24023	gfra1	XP_015818629.1
Group_1167_0	XM_015963140	rna24021	LOC107387889	XP_015818626.1
Group_2474_1	XM_015963085	rna23971	LOC107387856	XP_015818571.1
Group_5013_0	XM_015962594	rna23916	coasy	XP_015818080.1
Group_715_1	XM_015962570	rna23892	samd8	XP_015818056.1
Group_978_3	XM_015963028	rna23845	spock2	XP_015818514.1
Group_65_22	XM_015963011	rna23830	LOC107387816	XP_015818497.1
Group_168_13	XM_015962959	rna23778	LOC107387781	XP_015818445.1
Group_323_0	XM_015962545	rna23774	dock1	XP_015818031.1
Group_7134_0	XM_015962953	rna23772	LOC107387777	XP_015818439.1
Group_2670_0	XM_015962929	rna23750	LOC107387767	XP_015818415.1
Group_5122_0	XM_015962834	rna23649	timm23	XP_015818320.1
Group_542_1	XM_015962825	rna23642	LOC107387708	XP_015818311.1
Group_73_17	XM_015962803	rna23620	sdk2	XP_015818289.1
Group_145_15	XM_015962786	rna23596	LOC107387674	XP_015818272.1
Group_3882_0	XM_015962785	rna23595	lsm12	XP_015818271.1
Group_6229_0	XM_015962430	rna23436	snf8	XP_015817916.1
Group_7555_0	XM_015962435	rna23431	mrm1	XP_015817921.1
Group_2594_1	XM_015962477	rna23392	syde1	XP_015817963.1
Group_639_4	XM_015962299	rna23113	pbx1	XP_015817785.1
Group_6381_0	XM_015962307	rna23100	dr1	XP_015817793.1
Group_111_14	XM_015962343	rna23070	sox14	XP_015817829.1
Group_0_191	XM_015962367	rna23043	bcl6	XP_015817853.1
Group_3_122	XM_015971642	rna32351	LOC107393351	XP_015827128.1
Group_1987_1	XM_015971623	rna32338	sbno2	XP_015827109.1
Group_2569_1	XM_015971612	rna32323	cilp2	XP_015827098.1
Group_2501_0	XM_015971527	rna32243	fkbp8	XP_015827013.1
Group_1219_3	XM_015971391	rna32110	c2cd4c	XP_015826877.1
Group_860_5	XM_015971334	rna32054	LOC107393148	XP_015826820.1
Group_1259_1	XM_015971335	rna32053	LOC107393149	XP_015826821.1
Group_596_3	XM_015971277	rna32052	osbpl9	XP_015826763.1
Group_9170_0	XM_015971301	rna32017	LOC107393121	XP_015826787.1
Group_1529_0	XM_015971300	rna32016	tnfaip8l1	XP_015826786.1
Group_738_2	XM_015970609	rna31920	negr1	XP_015826095.1
Group_69_21	XM_015970612	rna31918	adgrl4	XP_015826098.1
Group_6350_0	XM_015970815	rna31722	ndufa7	XP_015826301.1
Group_1223_0	XM_015970828	rna31709	arid3a	XP_015826314.1
Group_2673_0	XM_015970908	rna31631	plvap	XP_015826394.1
Group_43_20	XM_015970942	rna31612	LOC107392881	XP_015826428.1
Group_1813_2	XM_015970948	rna31593	LOC107392884	XP_015826434.1
Group_92_24	XM_015971143	rna31383	LOC107393016	XP_015826629.1
Group_6853_0	XM_015969018	rna29766	apopt1	XP_015824504.1
Group_7479_0	XM_015969017	rna29765	bag5	XP_015824503.1
Group_662_1	XM_015969232	rna29978	LOC107391788	XP_015824718.1
Group_213_1	XM_015969352	rna30052	LOC107391873	XP_015824838.1
Group_6503_0	XM_015969354	rna30059	manba	XP_015824840.1
Group_1564_2	XM_015969375	rna30077	LOC107391884	XP_015824861.1
Group_2275_0	XM_015969407	rna30107	letm1	XP_015824893.1
Group_7869_0	XM_015969447	rna30151	LOC107391934	XP_015824933.1
Group_4424_0	XM_015969190	rna30168	golga5	XP_015824676.1
Group_1157_2	XM_015969194	rna30220	atl1	XP_015824680.1
Group_839_0	XM_015969650	rna30405	ptbp1	XP_015825136.1
Group_771_3	XM_015969704	rna30462	LOC107392115	XP_015825190.1
Group_232_11	XM_015969727	rna30481	LOC107392129	XP_015825213.1
Group_3518_1	XM_015969792	rna30545	ddhd1	XP_015825278.1
Group_7657_0	XM_015969808	rna30564	csgr16h15orf41	XP_015825294.1
Group_2354_0	XM_015969826	rna30574	fam98b	XP_015825312.1
Group_795_4	XM_015969857	rna30611	luzp1	XP_015825343.1
Group_1122_2	XM_015969871	rna30624	ythdf2	XP_015825357.1
Group_467_3	XM_015969879	rna30632	cnksr1	XP_015825365.1
Group_7746_0	XM_015969906	rna30643	tmem234	XP_015825392.1
Group_679_4	XM_015969918	rna30669	rlf	XP_015825404.1
Group_2251_2	XM_015969957	rna30704	colec11	XP_015825443.1
Group_5125_0	XM_015969983	rna30727	itgb1bp1	XP_015825469.1
Group_190_1	XM_015959627	rna20699	LOC107385629	XP_015815113.1
Group_1418_1	XM_015959623	rna20698	smarcc2	XP_015815109.1
Group_442_4	XM_015959626	rna20697	myl6	XP_015815112.1
Group_5637_0	XM_015959625	rna20696	tsfm	XP_015815111.1
Group_207_4	XM_015959620	rna20693	LOC107385624	XP_015815106.1
Group_247_7	XM_015969992	rna30738	ivd	XP_015825478.1
Group_405_6	XM_015970042	rna30782	slc38a6	XP_015825528.1
Group_2940_0	XM_015970081	rna30823	ubr7	XP_015825567.1
Group_8170_0	XM_015970089	rna30828	fam181a	XP_015825575.1
Group_8554_0	XM_015970090	rna30831	LOC107392341	XP_015825576.1
Group_9036_0	XM_015970100	rna30842	csgr16h14orf180	XP_015825586.1
Group_813_0	XM_015970121	rna30854	msh4	XP_015825607.1
Group_5812_0	XM_015970128	rna30870	ap5m1	XP_015825614.1
Group_4665_0	XM_015970135	rna30877	zdhhc22	XP_015825621.1
