Group_112_1	XM_015946039	rna7423	frmd7	XP_015801525.1
Group_739_4	XM_015973752	rna34380	LOC107394695	XP_015829238.1
Group_1693_2	XM_015973764	rna34390	LOC107394702	XP_015829250.1
Group_46_2	XM_015973995	rna34604	pex1	XP_015829481.1
Group_2797_0	XM_015975239	rna35901	LOC107395789	XP_015830725.1
Group_124_1	XM_015974034	rna34651	LOC107394873	XP_015829520.1
Group_174_1	XM_015973888	rna34560	LOC107394792	XP_015829374.1
Group_265_11	XM_015967174	rna27967	LOC107390458	XP_015822660.1
Group_119_23	XM_015943204	rna4470	LOC107374912	XP_015798690.1
Group_8033_0	XM_015967087	rna28057	LOC107390406	XP_015822573.1
Group_1818_3	XM_015966976	rna28165	fam131c	XP_015822462.1
Group_6379_0	XM_015966966	rna28175	slc35e2b	XP_015822452.1
Group_6567_0	XM_015967470	rna28190	dffb	XP_015822956.1
Group_1673_3	XM_015967394	rna28283	LOC107390584	XP_015822880.1
Group_6721_0	XM_015967625	rna28419	srm	XP_015823111.1
Group_6130_0	XM_015967637	rna28436	pgd	XP_015823123.1
Group_4280_0	XM_015967821	rna28602	naa10	XP_015823307.1
Group_133_16	XM_015967880	rna28663	acvr1b	XP_015823366.1
Group_721_2	XM_015967889	rna28672	LOC107390890	XP_015823375.1
Group_418_0	XM_015967962	rna28745	csrp1	XP_015823448.1
Group_177_12	XM_015967989	rna28772	LOC107390966	XP_015823475.1
Group_32_1	XM_015968026	rna28793	ddx20	XP_015823512.1
Group_94_23	XM_015968180	rna28940	wnt7a	XP_015823666.1
Group_370_4	XM_015968419	rna29173	tcf15	XP_015823905.1
Group_6225_0	XM_015968442	rna29191	taf11	XP_015823928.1
Group_470_4	XM_015968470	rna29221	LOC107391264	XP_015823956.1
Group_1746_0	XM_015959936	rna21010	rybp	XP_015815422.1
Group_359_2	XM_015959782	rna20849	gata2	XP_015815268.1
Group_556_1	XM_015959563	rna20640	tfeb	XP_015815049.1
Group_1441_0	XM_015959542	rna20619	gnl3	XP_015815028.1
Group_8120_0	XM_015959518	rna20592	tmem167b	XP_015815004.1
Group_6847_0	XM_015959515	rna20591	b3galt6	XP_015815001.1
Group_5854_0	XM_015959493	rna20569	phf13	XP_015814979.1
Group_3112_1	XM_015959488	rna20565	LOC107385539	XP_015814974.1
Group_2893_1	XM_015959459	rna20536	LOC107385526	XP_015814945.1
Group_431_6	XM_015959311	rna20389	prickle2	XP_015814797.1
Group_1378_1	XM_015959230	rna20302	LOC107385394	XP_015814716.1
Group_6967_0	XM_015959228	rna20293	bloc1s1	XP_015814714.1
Group_94_12	XM_015959195	rna20264	wnt2b	XP_015814681.1
Group_5695_0	XM_015959065	rna20130	LOC107385281	XP_015814551.1
Group_5253_0	XM_015959049	rna20118	mrps16	XP_015814535.1
Group_27_9	XM_015960061	rna19936	LOC107385903	XP_015815547.1
Group_101_12	XM_015958849	rna19917	LOC107385159	XP_015814335.1
Group_2906_1	XM_015958638	rna19718	LOC107385042	XP_015814124.1
Group_274_4	XM_015960087	rna19717	LOC107385935	XP_015815573.1
Group_144_15	XM_015958561	rna19645	LOC107385003	XP_015814047.1
Group_293_1	XM_015958430	rna19502	LOC107384913	XP_015813916.1
Group_6046_0	XM_015958057	rna19129	orc4	XP_015813543.1
Group_1680_1	XM_015960542	rna21204	LOC107386249	XP_015816028.1
Group_2886_0	XM_015960794	rna21790	LOC107386419	XP_015816280.1
Group_319_1	XM_015960871	rna21861	abcg4	XP_015816357.1
Group_2374_1	XM_015960874	rna21864	hinfp	XP_015816360.1
Group_2628_0	XM_015960893	rna21881	LOC107386473	XP_015816379.1
Group_2944_1	XM_015961143	rna22126	LOC107386618	XP_015816629.1
Group_1042_0	XM_015961181	rna22166	specc1	XP_015816667.1
Group_5410_0	XM_015961207	rna22192	frmd8	XP_015816693.1
Group_433_3	XM_015961303	rna22287	LOC107386729	XP_015816789.1
Group_1708_2	XM_015961414	rna22397	LOC107386791	XP_015816900.1
Group_51_22	XM_015961489	rna22456	ube2b	XP_015816975.1
Group_85_4	XM_015961641	rna22608	LOC107386946	XP_015817127.1
Group_116_1	XM_015961775	rna22742	dhx33	XP_015817261.1
Group_487_8	XM_015961780	rna22745	hspb1	XP_015817266.1
Group_1603_0	XM_015962065	rna23013	orai2	XP_015817551.1
Group_628_6	XM_015962062	rna23014	bckdk	XP_015817548.1
Group_1649_2	XM_015962067	rna23022	LOC107387220	XP_015817553.1
Group_2619_1	XM_015963591	rna24478	LOC107388179	XP_015819077.1
Group_4292_0	XM_015963486	rna24366	mki67	XP_015818972.1
Group_632_3	XM_015963483	rna24361	LOC107388096	XP_015818969.1
Group_2426_1	XM_015962637	rna23958	med1	XP_015818123.1
Group_4830_0	XM_015962634	rna23953	pnmt	XP_015818120.1
Group_199_6	XM_015962571	rna23893	dusp13	XP_015818057.1
Group_1158_2	XM_015962566	rna23889	LOC107387550	XP_015818052.1
Group_95_16	XM_015963045	rna23860	LOC107387836	XP_015818531.1
Group_280_3	XM_015962917	rna23734	epas1	XP_015818403.1
Group_84_18	XM_015962817	rna23633	LOC107387702	XP_015818303.1
Group_4010_1	XM_015962416	rna23454	prr15l	XP_015817902.1
Group_2914_0	XM_015962418	rna23447	skap1	XP_015817904.1
Group_3965_0	XM_015962431	rna23435	msl1	XP_015817917.1
Group_88_10	XM_015962152	rna23258	LOC107387279	XP_015817638.1
Group_5390_0	XM_015962293	rna23119	LOC107387361	XP_015817779.1
Group_0_115	XM_015962303	rna23108	LOC107387367	XP_015817789.1
Group_1618_1	XM_015962314	rna23097	fam69a	XP_015817800.1
Group_87_26	XM_015962340	rna23073	lmo4	XP_015817826.1
Group_15_20	XM_015975590	rna36259	LOC107396066	XP_015831076.1
Group_38_37	XM_015975577	rna36227	chd1l	XP_015831063.1
Group_1124_2	XM_015977342	rna38051	LOC107397367	XP_015832828.1
Group_969_1	XM_015971526	rna32242	ssbp4	XP_015827012.1
Group_3244_1	XM_015971448	rna32168	LOC107393225	XP_015826934.1
Group_1631_1	XM_015970993	rna31540	pgm1	XP_015826479.1
Group_4952_0	XM_015971198	rna31331	tbc1d7	XP_015826684.1
Group_5421_0	XM_015969063	rna29824	jmjd7	XP_015824549.1
Group_918_0	XM_015969012	rna29767	klc1	XP_015824498.1
Group_6640_0	XM_015969460	rna30164	tc2n	XP_015824946.1
Group_6934_0	XM_015969580	rna30349	mbip	XP_015825066.1
Group_2144_1	XM_015969584	rna30354	plekhh1	XP_015825070.1
Group_152_17	XM_015969827	rna30583	kcnk10	XP_015825313.1
Group_3498_0	XM_015970083	rna30825	unc79	XP_015825569.1
Group_2556_3	XM_015970097	rna30833	otub2	XP_015825583.1
Group_5593_0	XM_015970122	rna30853	vcpkmt	XP_015825608.1
Group_6315_0	XM_015970192	rna30929	csgr16h14orf1	XP_015825678.1
Group_758_2	XM_015970201	rna30940	prox2	XP_015825687.1
Group_97_13	XM_015969616	rna30955	ltbp2	XP_015825102.1
Group_1738_2	XM_015970225	rna30966	LOC107392428	XP_015825711.1
Group_1450_0	XM_015970292	rna31026	adssl1	XP_015825778.1
Group_6066_0	XM_015970295	rna31034	gchfr	XP_015825781.1
Group_8063_0	XM_015970375	rna31115	LOC107392522	XP_015825861.1
Group_536_6	XM_015970449	rna31190	LOC107392569	XP_015825935.1
Group_6230_0	XM_015970450	rna31191	bsdc1	XP_015825936.1
Group_3055_0	XM_015970453	rna31192	marcksl1	XP_015825939.1
Group_325_7	XM_015969093	rna29852	LOC107391680	XP_015824579.1
Group_683_2	XM_015971923	rna32625	arhgap25	XP_015827409.1
Group_439_0	XM_015972129	rna32824	LOC107393628	XP_015827615.1
Group_881_2	XM_015972174	rna32867	LOC107393650	XP_015827660.1
Group_5920_0	XM_015972219	rna32911	lsm1	XP_015827705.1
Group_1083_3	XM_015972250	rna32942	LOC107393701	XP_015827736.1
Group_4347_0	XM_015972265	rna32956	mn1	XP_015827751.1
Group_3278_1	XM_015972360	rna33049	LOC107393763	XP_015827846.1
Group_457_0	XM_015972480	rna33152	mef2c	XP_015827966.1
Group_4651_0	XM_015972486	rna33157	ccnh	XP_015827972.1
Group_7345_0	XM_015972487	rna33159	LOC107393878	XP_015827973.1
Group_171_1	XM_015976087	rna36737	LOC107396387	XP_015831573.1
Group_3308_0	XM_015972493	rna33164	xrcc4	XP_015827979.1
Group_263_13	XM_015972497	rna33168	LOC107393889	XP_015827983.1
Group_2584_1	XM_015972508	rna33174	LOC107393895	XP_015827994.1
Group_6170_0	XM_015972526	rna33196	dimt1	XP_015828012.1
Group_727_2	XM_015972643	rna33308	ankrd13a	XP_015828129.1
Group_981_5	XM_015973023	rna33356	gas2l1	XP_015828509.1
Group_1114_1	XM_015973076	rna33372	LOC107394221	XP_015828562.1
Group_2969_1	XM_015973071	rna33392	LOC107394216	XP_015828557.1
Group_5997_0	XM_015973059	rna33393	usp39	XP_015828545.1
Group_6318_0	XM_015972737	rna33498	ndc80	XP_015828223.1
Group_1333_1	XM_015972819	rna33572	me2	XP_015828305.1
Group_7352_0	XM_015972837	rna33588	smim15	XP_015828323.1
Group_307_3	XM_015972847	rna33597	dock8	XP_015828333.1
Group_3417_0	XM_015972850	rna33600	csgr18h9orf3	XP_015828336.1
Group_2578_1	XM_015973102	rna33730	LOC107394240	XP_015828588.1
Group_6781_0	XM_015973201	rna33829	ccno	XP_015828687.1
Group_2970_0	XM_015973264	rna33890	LOC107394343	XP_015828750.1
Group_241_3	XM_015973256	rna33891	LOC107394339	XP_015828742.1
Group_2678_0	XM_015962484	rna2324	snrpf	XP_015817970.1
Group_4236_0	XM_015961440	rna2214	itfg2	XP_015816926.1
Group_4237_0	XM_015960329	rna2109	gnptab	XP_015815815.1
Group_2100_1	XM_015960306	rna2107	dram1	XP_015815792.1
Group_412_2	XM_015959945	rna2064	lum	XP_015815431.1
Group_8580_0	XM_015959790	rna2049	LOC107385714	XP_015815276.1
Group_2879_1	XM_015959132	rna1978	klhdc10	XP_015814618.1
Group_94_16	XM_015958578	rna1916	LOC107385014	XP_015814064.1
Group_2921_1	XM_015957969	rna1855	LOC107384616	XP_015813455.1
Group_1746_1	XM_015957832	rna1837	yaf2	XP_015813318.1
Group_2154_0	XM_015957240	rna1777	strip2	XP_015812726.1
Group_3657_0	XM_015951110	rna1219	qdpr	XP_015806596.1
Group_569_2	XM_015950627	rna1166	LOC107379728	XP_015806113.1
Group_2294_0	XM_015948260	rna914	srpx2	XP_015803746.1
Group_323_3	XM_015945700	rna652	dock2	XP_015801186.1
Group_8_76	XM_015945347	rna606	LOC107376311	XP_015800833.1
Group_5346_0	XM_015944139	rna485	slu7	XP_015799625.1
Group_190_12	XM_015944126	rna484	LOC107375544	XP_015799612.1
Group_1489_3	XM_015943828	rna454	phykpl	XP_015799314.1
Group_33_20	XM_015975224	rna35882	LOC107395771	XP_015830710.1
Group_357_4	XM_015950656	rna169	LOC107379485	XP_015806142.1
Group_198_8	XM_015972114	rna32809	LOC107393620	XP_015827600.1
Group_522_4	XM_015948483	rna9666	camsap3	XP_015803969.1
Group_5_71	XM_015948492	rna9674	LOC107378343	XP_015803978.1
Group_197_13	XM_015948555	rna9731	LOC107378374	XP_015804041.1
Group_159_3	XM_015948587	rna9765	igfals	XP_015804073.1
Group_540_7	XM_015948674	rna9855	LOC107378459	XP_015804160.1
Group_4865_0	XM_015948684	rna9864	psmc3ip	XP_015804170.1
Group_30_15	XM_015948793	rna9977	LOC107378535	XP_015804279.1
Group_91_4	XM_015948931	rna10175	fcgbp	XP_015804417.1
Group_2467_0	XM_015948933	rna10138	LOC107378627	XP_015804419.1
Group_2837_1	XM_015949113	rna10341	nrsn1	XP_015804599.1
Group_580_6	XM_015949105	rna10351	e2f3	XP_015804591.1
Group_6644_0	XM_015949060	rna10397	gpatch3	XP_015804546.1
Group_1572_0	XM_015949145	rna10305	cobl	XP_015804631.1
Group_2473_1	XM_015949353	rna10420	seh1l	XP_015804839.1
Group_1529_2	XM_015949879	rna11031	LOC107379218	XP_015805365.1
Group_1536_2	XM_015949916	rna11073	LOC107379244	XP_015805402.1
Group_4811_0	XM_015949917	rna11075	atg5	XP_015805403.1
Group_2490_0	XM_015950081	rna11245	oscp1	XP_015805567.1
Group_225_1	XM_015950082	rna11246	LOC107379362	XP_015805568.1
Group_377_11	XM_015950085	rna11249	zc3h12a	XP_015805571.1
Group_5677_0	XM_015950116	rna11279	taf12	XP_015805602.1
Group_1017_3	XM_015950194	rna11354	ing4	XP_015805680.1
Group_943_3	XM_015950238	rna11399	clstn3	XP_015805724.1
Group_8316_0	XM_015950324	rna11439	LOC107379533	XP_015805810.1
Group_6517_0	XM_015950285	rna11444	rabac1	XP_015805771.1
Group_49_6	XM_015950293	rna11453	gsk3a	XP_015805779.1
Group_2_30	XM_015950543	rna11505	LOC107379681	XP_015806029.1
Group_7293_0	XM_015950659	rna11680	LOC107379750	XP_015806145.1
Group_7324_0	XM_015965432	rna26303	wfdc1	XP_015820918.1
Group_1139_1	XM_015964849	rna25715	LOC107389005	XP_015820335.1
Group_145_9	XM_015964818	rna25683	lrrc4c	XP_015820304.1
Group_28_21	XM_015964724	rna25588	LOC107388921	XP_015820210.1
Group_3475_0	XM_015964649	rna25518	LOC107388877	XP_015820135.1
Group_1210_0	XM_015964461	rna25335	tln2	XP_015819947.1
Group_5431_0	XM_015964391	rna25261	rpl4	XP_015819877.1
Group_3064_0	XM_015964164	rna25028	hbp1	XP_015819650.1
Group_3323_0	XM_015963910	rna24832	LOC107388402	XP_015819396.1
Group_650_5	XM_015964149	rna2930	LOC107388587	XP_015819635.1
Group_614_1	XM_015964632	rna2888	foxk1	XP_015820118.1
Group_560_4	XM_015965063	rna2842	ttc39b	XP_015820549.1
Group_678_1	XM_015963820	rna24735	cav2	XP_015819306.1
Group_136_1	XM_015975616	rna36284	pou4f2	XP_015831102.1
Group_8749_0	XM_015967164	rna2636	LOC107390450	XP_015822650.1
Group_3035_0	XM_015967406	rna2612	LOC107390583	XP_015822892.1
Group_1096_1	XM_015968123	rna2531	sgcz	XP_015823609.1
Group_14_43	XM_015968174	rna2527	LOC107391098	XP_015823660.1
Group_472_3	XM_015974689	rna35324	LOC107395327	XP_015830175.1
Group_1193_6	XM_015955860	rna17002	LOC107383314	XP_015811346.1
Group_205_5	XM_015956271	rna17550	lrrc30	XP_015811757.1
Group_243_3	XM_015956622	rna17749	b4galt2	XP_015812108.1
Group_2755_0	XM_015956715	rna17839	gbx1	XP_015812201.1
Group_4477_0	XM_015956723	rna17846	rb1cc1	XP_015812209.1
Group_727_0	XM_015956765	rna17889	LOC107383889	XP_015812251.1
Group_749_6	XM_015957203	rna18324	LOC107384128	XP_015812689.1
Group_7387_0	XM_015944129	rna5318	fam45a	XP_015799615.1
Group_2144_0	XM_015944104	rna5348	plekhh2	XP_015799590.1
Group_6033_0	XM_015944437	rna5710	lmbrd1	XP_015799923.1
Group_3053_1	XM_015944854	rna6114	fam196a	XP_015800340.1
Group_266_5	XM_015944880	rna6138	LOC107376007	XP_015800366.1
Group_1041_1	XM_015944898	rna6155	gtpbp2	XP_015800384.1
Group_6407_0	XM_015945024	rna6276	pno1	XP_015800510.1
Group_308_4	XM_015945042	rna6296	mcm8	XP_015800528.1
Group_2511_0	XM_015945957	rna6386	LOC107376697	XP_015801443.1
Group_6988_0	XM_015945956	rna6387	fam195b	XP_015801442.1
Group_1214_0	XM_015945695	rna6648	LOC107376548	XP_015801181.1
Group_486_5	XM_015942117	rna39905	LOC107373975	XP_015797603.1
Group_3909_1	XM_015976858	rna37548	fancl	XP_015832344.1
Group_6041_0	XM_015945289	rna7068	poldip3	XP_015800775.1
Group_4873_0	XM_015945147	rna7214	epor	XP_015800633.1
Group_64_8	XM_015952089	rna13239	LOC107380757	XP_015807575.1
Group_7123_0	XM_015952143	rna13295	scg2	XP_015807629.1
Group_8021_0	XM_015952023	rna13170	tirap	XP_015807509.1
Group_2462_1	XM_015951988	rna13127	slc37a4	XP_015807474.1
Group_533_2	XM_015951801	rna13040	LOC107380514	XP_015807287.1
Group_5958_0	XM_015951652	rna12875	vps53	XP_015807138.1
Group_2540_1	XM_015951653	rna12874	fam101b	XP_015807139.1
Group_1294_3	XM_015951564	rna12783	cbl	XP_015807050.1
Group_2701_1	XM_015951514	rna12730	mlf1	XP_015807000.1
Group_6629_0	XM_015951479	rna12691	fkrp	XP_015806965.1
Group_1371_3	XM_015951477	rna12689	LOC107380304	XP_015806963.1
Group_2107_0	XM_015951416	rna12629	gfm1	XP_015806902.1
Group_4144_0	XM_015951359	rna12570	urb1	XP_015806845.1
Group_1408_2	XM_015943706	rna5002	npnt	XP_015799192.1
Group_1242_1	XM_015943170	rna4447	LOC107374871	XP_015798656.1
Group_7172_0	XM_015943035	rna4308	cacfd1	XP_015798521.1
Group_6327_0	XM_015942993	rna4266	rpl37	XP_015798479.1
Group_1674_2	XM_015942871	rna4143	smad7	XP_015798357.1
Group_453_5	XM_015942475	rna4024	traf2	XP_015797961.1
Group_6031_0	XM_015942468	rna4023	coq4	XP_015797954.1
Group_1786_3	XM_015974905	rna4017	LOC107395506	XP_015830391.1
Group_93_13	XM_015942283	rna4001	LOC107374131	XP_015797769.1
Group_7284_0	XM_015942184	rna3992	ermp1	XP_015797670.1
Group_361_1	XM_015941425	rna3882	LOC107373258	XP_015796911.1
Group_83_22	XM_015974766	rna3696	LOC107395392	XP_015830252.1
Group_4657_1	XM_015976787	rna3690	LOC107396934	XP_015832273.1
Group_16_38	XM_015976472	rna3653	musk	XP_015831958.1
Group_4846_1	XM_015974476	rna3468	rpl17	XP_015829962.1
Group_4747_0	XM_015970466	rna3280	cenpk	XP_015825952.1
Group_8_71	XM_015972203	rna3104	LOC107393665	XP_015827689.1
Group_1512_0	XM_015966833	rna27657	LOC107390233	XP_015822319.1
Group_1951_0	XM_015966832	rna27656	LOC107390232	XP_015822318.1
Group_83_5	XM_015966292	rna27590	lrp1b	XP_015821778.1
Group_12_57	XM_015966711	rna27526	LOC107390153	XP_015822197.1
Group_2009_0	XM_015975844	rna36500	cps1	XP_015831330.1
Group_834_0	XM_015966646	rna27456	LOC107390105	XP_015822132.1
Group_4542_0	XM_015966562	rna27371	slc38a11	XP_015822048.1
Group_1582_1	XM_015966502	rna27318	mettl8	XP_015821988.1
Group_192_12	XM_015966479	rna27295	LOC107390011	XP_015821965.1
Group_304_2	XM_015966448	rna27265	pde11a	XP_015821934.1
Group_1925_2	XM_015966449	rna27264	LOC107389987	XP_015821935.1
Group_799_2	XM_015966402	rna27217	dct	XP_015821888.1
Group_8_74	XM_015966394	rna27209	LOC107389957	XP_015821880.1
Group_1647_2	XM_015966352	rna27169	LOC107389931	XP_015821838.1
Group_923_0	XM_015966339	rna27157	LOC107389924	XP_015821825.1
Group_2213_0	XM_015966219	rna27066	xk	XP_015821705.1
Group_2871_1	XM_015966194	rna27043	LOC107389820	XP_015821680.1
Group_1914_0	XM_015966162	rna27014	st6gal2	XP_015821648.1
Group_4726_0	XM_015966090	rna26943	tfg	XP_015821576.1
Group_4535_0	XM_015965945	rna26798	sestd1	XP_015821431.1
Group_2749_1	XM_015965919	rna26763	fam124a	XP_015821405.1
Group_93_24	XM_015965835	rna26681	tbx15	XP_015821321.1
Group_8068_1	XM_015952351	rna13354	boll	XP_015807837.1
Group_232_0	XM_015952546	rna13643	slitrk1	XP_015808032.1
