Group_3511_0	XM_015947006	rna8293	ppargc1a	XP_015802492.1
Group_527_0	XM_015973574	rna34209	LOC107394574	XP_015829060.1
Group_534_5	XM_015973609	rna34236	LOC107394610	XP_015829095.1
Group_475_6	XM_015973610	rna34237	slc39a4	XP_015829096.1
Group_8285_0	XM_015973850	rna34467	triqk	XP_015829336.1
Group_82_27	XM_015967239	rna27906	guca1b	XP_015822725.1
Group_1619_1	XM_015967019	rna28123	LOC107390367	XP_015822505.1
Group_7874_0	XM_015966989	rna28154	LOC107390348	XP_015822475.1
Group_68_14	XM_015966974	rna28167	epha2	XP_015822460.1
Group_917_2	XM_015967497	rna28223	arih2	XP_015822983.1
Group_1575_2	XM_015967436	rna28257	tkt	XP_015822922.1
Group_5101_0	XM_015967445	rna28382	ttc34	XP_015822931.1
Group_7551_0	XM_015967677	rna28471	plekhn1	XP_015823163.1
Group_1367_1	XM_015967762	rna28551	kiaa1324	XP_015823248.1
Group_368_7	XM_015967804	rna28589	LOC107390840	XP_015823290.1
Group_44_4	XM_015967846	rna28635	cacna1s	XP_015823332.1
Group_1007_0	XM_015967876	rna28660	LOC107390882	XP_015823362.1
Group_286_11	XM_015967943	rna28724	LOC107390931	XP_015823429.1
Group_3342_0	XM_015967958	rna28738	apobec2	XP_015823444.1
Group_1330_2	XM_015941990	rna39747	bgn	XP_015797476.1
Group_1001_1	XM_015941991	rna39749	LOC107373850	XP_015797477.1
Group_141_15	XM_015941813	rna39556	LOC107373673	XP_015797299.1
Group_283_3	XM_015968067	rna28833	mafb	XP_015823553.1
Group_110_6-Group_110_8	XM_015968148	rna28913	LOC107391089	XP_015823634.1
Group_881_5	XM_015968151	rna28918	LOC107391091	XP_015823637.1
Group_7532_0	XM_015968163	rna28928	LOC107391096	XP_015823649.1
Group_728_2	XM_015968181	rna28946	LOC107391104	XP_015823667.1
Group_239_2	XM_015968182	rna28947	LOC107391105	XP_015823668.1
Group_54_7	XM_015968243	rna29005	LOC107391139	XP_015823729.1
Group_7059_0	XM_015968430	rna29184	pym1	XP_015823916.1
Group_7322_0	XM_015968625	rna29372	fam50a	XP_015824111.1
Group_1213_0	XM_015977214	rna37923	bcap31	XP_015832700.1
Group_7200_0	XM_015968648	rna29543	LOC107391367	XP_015824134.1
Group_1724_2	XM_015959938	rna21012	gxylt2	XP_015815424.1
Group_550_3	XM_015959830	rna20896	LOC107385744	XP_015815316.1
Group_5321_0	XM_015959780	rna20846	eefsec	XP_015815266.1
Group_20_61	XM_015959610	rna20683	LOC107385615	XP_015815096.1
Group_396_3	XM_015959573	rna20648	srgap2	XP_015815059.1
Group_594_1	XM_015959521	rna20596	LOC107385561	XP_015815007.1
Group_2947_0	XM_015959516	rna20589	cda	XP_015815002.1
Group_2_42	XM_015959513	rna20588	LOC107385555	XP_015814999.1
Group_121_2	XM_015959386	rna20460	LOC107385482	XP_015814872.1
Group_5610_0	XM_015959340	rna20417	LOC107385463	XP_015814826.1
Group_294_3	XM_015959289	rna20366	LOC107385432	XP_015814775.1
Group_6821_0	XM_015959223	rna20284	rtfdc1	XP_015814709.1
Group_1495_0	XM_015959194	rna20261	cttnbp2nl	XP_015814680.1
Group_1673_2	XM_015959174	rna20243	LOC107385348	XP_015814660.1
Group_405_3	XM_015958918	rna19985	LOC107385195	XP_015814404.1
Group_7899_0	XM_015958886	rna19955	csgr10h3orf67	XP_015814372.1
Group_2331_0	XM_015958807	rna19876	bap1	XP_015814293.1
Group_1349_0	XM_015958741	rna19829	dido1	XP_015814227.1
Group_101_27	XM_015958573	rna19658	LOC107385012	XP_015814059.1
Group_8388_0	XM_015958477	rna19550	LOC107384948	XP_015813963.1
Group_1435_1	XM_015958404	rna19478	lrrc38	XP_015813890.1
Group_632_2	XM_015941143	rna38787	LOC107372951	XP_015796629.1
Group_7628_0	XM_015958094	rna19159	med11	XP_015813580.1
Group_3130_1	XM_015975449	rna36131	mdn1	XP_015830935.1
Group_2759_1	XM_015960543	rna21205	LOC107386250	XP_015816029.1
Group_4798_0	XM_015960131	rna21615	nccrp1	XP_015815617.1
Group_24_52	XM_015960830	rna21820	LOC107386444	XP_015816316.1
Group_5654_0	XM_015960837	rna21836	wdr44	XP_015816323.1
Group_0_201	XM_015960848	rna21841	LOC107386453	XP_015816334.1
Group_1033_0	XM_015960908	rna21897	sat2	XP_015816394.1
Group_1044_2	XM_015961102	rna22085	sez6	XP_015816588.1
Group_1623_4	XM_015961160	rna22145	slc37a2	XP_015816646.1
Group_4298_0	XM_015961171	rna22151	mybbp1a	XP_015816657.1
Group_8835_0	XM_015961188	rna22177	LOC107386656	XP_015816674.1
Group_381_8	XM_015961200	rna22187	LOC107386665	XP_015816686.1
Group_6242_0	XM_015961201	rna22188	zfpl1	XP_015816687.1
Group_2485_1	XM_015961236	rna22218	kctd7	XP_015816722.1
Group_3_62	XM_015961315	rna22298	LOC107386736	XP_015816801.1
Group_97_9	XM_015961326	rna22309	cd248	XP_015816812.1
Group_24_26	XM_015961401	rna22392	stk10	XP_015816887.1
Group_8263_0	XM_015961474	rna22443	csgr11h5orf15	XP_015816960.1
Group_562_1	XM_015961706	rna22670	LOC107386982	XP_015817192.1
Group_574_1	XM_015961803	rna22770	LOC107387047	XP_015817289.1
Group_5267_0	XM_015961809	rna22777	pigw	XP_015817295.1
Group_310_8	XM_015961923	rna22861	dtx2	XP_015817409.1
Group_3179_0	XM_015962007	rna22962	LOC107387191	XP_015817493.1
Group_7692_0	XM_015963722	rna24625	slc39a11	XP_015819208.1
Group_347_6	XM_015963718	rna24619	LOC107388270	XP_015819204.1
Group_3172_1	XM_015963355	rna24241	LOC107388020	XP_015818841.1
Group_2237_1	XM_015963346	rna24231	LOC107388013	XP_015818832.1
Group_1701_0	XM_015963195	rna24081	LOC107387925	XP_015818681.1
Group_2151_1	XM_015962576	rna23902	LOC107387556	XP_015818062.1
Group_693_4	XM_015962567	rna23891	LOC107387551	XP_015818053.1
Group_1847_1	XM_015962568	rna23890	comtd1	XP_015818054.1
Group_6236_0	XM_015963027	rna23843	anapc16	XP_015818513.1
Group_1189_2	XM_015963023	rna23842	ddit4	XP_015818509.1
Group_6337_0	XM_015962862	rna23686	pgs1	XP_015818348.1
Group_6729_0	XM_015962840	rna23653	nat9	XP_015818326.1
Group_7452_0	XM_015962836	rna23652	LOC107387714	XP_015818322.1
Group_38_26	XM_015962442	rna23426	srcap	XP_015817928.1
Group_2738_1	XM_015962341	rna23072	LOC107387394	XP_015817827.1
Group_235_1	XM_015976498	rna37156	LOC107396682	XP_015831984.1
Group_99_1	XM_015971589	rna32301	fgf22	XP_015827075.1
Group_153_15	XM_015971491	rna32209	glis1	XP_015826977.1
Group_60_12	XM_015971452	rna32172	LOC107393228	XP_015826938.1
Group_3403_1	XM_015971359	rna32077	spata6	XP_015826845.1
Group_1262_0	XM_015971337	rna32055	eps15	XP_015826823.1
Group_5179_0	XM_015971299	rna32015	cope	XP_015826785.1
Group_2728_0	XM_015970549	rna31987	LOC107392656	XP_015826035.1
Group_6420_0	XM_015970689	rna31845	ppp1r2	XP_015826175.1
Group_83_16	XM_015970816	rna31721	LOC107392804	XP_015826302.1
Group_8269_0	XM_015970912	rna31628	ushbp1	XP_015826398.1
Group_1981_0	XM_015970928	rna31594	tpr	XP_015826414.1
Group_77_8	XM_015969243	rna29929	LOC107391801	XP_015824729.1
Group_177_9	XM_015969583	rna30353	slc25a21	XP_015825069.1
Group_1563_1	XM_015969587	rna30357	mta1	XP_015825073.1
Group_314_11	XM_015969658	rna30409	LOC107392086	XP_015825144.1
Group_922_0	XM_015969703	rna30457	LOC107392114	XP_015825189.1
Group_6035_0	XM_015969706	rna30460	d2hgdh	XP_015825192.1
Group_6175_0	XM_015969870	rna30623	LOC107392207	XP_015825356.1
Group_5720_0	XM_015969607	rna30650	fancm	XP_015825093.1
Group_4479_0	XM_015969927	rna30677	mtfr1l	XP_015825413.1
Group_143_3	XM_015969934	rna30685	LOC107392251	XP_015825420.1
Group_408_5	XM_015959618	rna20691	LOC107385622	XP_015815104.1
Group_284_7	XM_015970039	rna30786	six4	XP_015825525.1
Group_1079_1	XM_015970054	rna30793	dhrs7	XP_015825540.1
Group_864_2	XM_015970103	rna30845	kif26a	XP_015825589.1
Group_5586_0	XM_015970142	rna30882	coq6	XP_015825628.1
Group_8632_0	XM_015970240	rna30979	fsip1	XP_015825726.1
Group_341_3	XM_015970242	rna30981	thbs1	XP_015825728.1
Group_637_0	XM_015970307	rna31046	spint1	XP_015825793.1
Group_1006_4	XM_015970311	rna31047	ppp1r14d	XP_015825797.1
Group_463_2	XM_015970371	rna31111	LOC107392519	XP_015825857.1
Group_2307_1	XM_015970413	rna31151	ralgapa2	XP_015825899.1
Group_1513_1	XM_015970419	rna31172	scaf8	XP_015825905.1
Group_7121_0	XM_015975440	rna36103	LOC107395964	XP_015830926.1
Group_152_24	XM_015969144	rna29903	LOC107391721	XP_015824630.1
Group_152_23	XM_015969143	rna29902	LOC107391720	XP_015824629.1
Group_6398_0	XM_015969126	rna29889	trappc12	XP_015824612.1
Group_148_6	XM_015971881	rna32587	ppp1cc	XP_015827367.1
Group_1158_0	XM_015971917	rna32620	LOC107393515	XP_015827403.1
Group_5755_0	XM_015971919	rna32621	snrnp27	XP_015827405.1
Group_2033_0	XM_015971922	rna32624	LOC107393519	XP_015827408.1
Group_6522_0	XM_015972033	rna32728	pop5	XP_015827519.1
Group_761_2	XM_015972088	rna32785	lgi3	XP_015827574.1
Group_21_59	XM_015942319	rna40132	LOC107374177	XP_015797805.1
Group_115_1	XM_015972128	rna32822	fzd10	XP_015827614.1
Group_5503_0	XM_015972130	rna32826	slc15a4	XP_015827616.1
Group_639_1	XM_015972162	rna32849	pbx3	XP_015827648.1
Group_525_3	XM_015972251	rna32943	LOC107393702	XP_015827737.1
Group_1663_2	XM_015972255	rna32947	LOC107393706	XP_015827741.1
Group_1091_2	XM_015972272	rna32967	dbnl	XP_015827758.1
Group_1669_3	XM_015972388	rna33080	LOC107393783	XP_015827874.1
Group_3251_0	XM_015972410	rna33102	adgrv1	XP_015827896.1
Group_4938_0	XM_015972418	rna33115	kiaa0825	XP_015827904.1
Group_4531_0	XM_015972606	rna33273	lztr1	XP_015828092.1
Group_1809_1	XM_015972622	rna33286	kctd10	XP_015828108.1
Group_774_4	XM_015972444	rna33288	LOC107393834	XP_015827930.1
Group_754_4	XM_015973073	rna33408	mthfd2	XP_015828559.1
Group_2756_1	XM_015973074	rna33416	kmt5a	XP_015828560.1
Group_8186_0	XM_015972776	rna33528	idnk	XP_015828262.1
Group_1783_1	XM_015972824	rna33576	LOC107394074	XP_015828310.1
Group_602_4	XM_015972864	rna33612	plcxd3	XP_015828350.1
Group_6795_0	XM_015972934	rna33679	hsd17b4	XP_015828420.1
Group_2765_1	XM_015972960	rna33701	LOC107394165	XP_015828446.1
Group_2587_1	XM_015973150	rna33780	hic2	XP_015828636.1
Group_6749_0	XM_015973157	rna33784	utp15	XP_015828643.1
Group_1954_1	XM_015973214	rna33845	gas1	XP_015828700.1
Group_5927_0	XM_015973215	rna33847	ccdc84	XP_015828701.1
Group_31_41	XM_015940558	rna38131	LOC107372354	XP_015796044.1
Group_2298_2	XM_015961213	rna2192	LOC107386672	XP_015816699.1
Group_4024_0	XM_015960249	rna2102	mcat	XP_015815735.1
Group_3090_1	XM_015958050	rna1864	atxn7l1	XP_015813536.1
Group_28_20	XM_015957988	rna1857	fgl2	XP_015813474.1
Group_7848_0	XM_015957607	rna1815	thap5	XP_015813093.1
Group_1115_0	XM_015956699	rna1719	LOC107383858	XP_015812185.1
Group_5661_0	XM_015956571	rna1708	LOC107383778	XP_015812057.1
Group_7189_0	XM_015954800	rna1515	nudt5	XP_015810286.1
Group_7287_0	XM_015953611	rna1476	csgr01h12orf45	XP_015809097.1
Group_2552_0	XM_015951162	rna1224	tapt1	XP_015806648.1
Group_48_25	XM_015950839	rna1190	glrb	XP_015806325.1
Group_584_5	XM_015950614	rna1165	lrit3	XP_015806100.1
Group_808_0	XM_015950481	rna1155	LOC107379637	XP_015805967.1
Group_5348_0	XM_015949212	rna1020	gpr101	XP_015804698.1
Group_111_8	XM_015949008	rna996	sox3	XP_015804494.1
Group_1399_1	XM_015948905	rna988	LOC107378595	XP_015804391.1
Group_4545_0	XM_015948088	rna897	nkap	XP_015803574.1
Group_1356_1	XM_015947090	rna799	fermt3	XP_015802576.1
Group_1512_2	XM_015946611	rna753	LOC107377168	XP_015802097.1
Group_752_2	XM_015945299	rna600	LOC107376280	XP_015800785.1
Group_55_5	XM_015944286	rna499	LOC107375644	XP_015799772.1
Group_117_5	XM_015943778	rna440	LOC107375315	XP_015799264.1
Group_1397_2	XM_015943622	rna434	atp7a	XP_015799108.1
Group_10_55	XM_015974113	rna145	LOC107394670	XP_015829599.1
Group_1082_2	XM_015946153	rna99	zdhhc2	XP_015801639.1
Group_1687_0	XM_015948437	rna9622	tmed1	XP_015803923.1
Group_686_0	XM_015948619	rna9800	tmem184a	XP_015804105.1
Group_5880_0	XM_015948705	rna9879	gosr2	XP_015804191.1
Group_126_10	XM_015948934	rna10136	LOC107378628	XP_015804420.1
Group_262_4	XM_015949118	rna10335	irx4	XP_015804604.1
Group_1203_5	XM_015949085	rna10374	LOC107378725	XP_015804571.1
Group_4060_0	XM_015975762	rna36416	mrs2	XP_015831248.1
Group_2694_0	XM_015949066	rna10393	tmem222	XP_015804552.1
Group_1200_2	XM_015949065	rna10394	LOC107378713	XP_015804551.1
Group_60_16	XM_015949144	rna10307	LOC107378761	XP_015804630.1
Group_2534_1	XM_015949177	rna10273	fbxo32	XP_015804663.1
Group_7154_0	XM_015949316	rna10452	LOC107378858	XP_015804802.1
Group_3927_1	XM_015974920	rna35572	mms22l	XP_015830406.1
Group_5561_0	XM_015949452	rna10622	zadh2	XP_015804938.1
Group_7319_0	XM_015949918	rna11076	dctn3	XP_015805404.1
Group_738_0	XM_015950026	rna11189	iglon5	XP_015805512.1
Group_8527_0	XM_015950039	rna11203	LOC107379327	XP_015805525.1
Group_1893_3	XM_015950112	rna11277	LOC107379384	XP_015805598.1
Group_5940_0	XM_015950322	rna11306	LOC107379531	XP_015805808.1
Group_8404_0	XM_015950204	rna11363	cd27	XP_015805690.1
Group_3243_0	XM_015950217	rna11377	ltbr	XP_015805703.1
Group_57_34-Group_57_35	XM_015950227	rna11387	LOC107379463	XP_015805713.1
Group_5454_0	XM_015950241	rna11398	lpcat3	XP_015805727.1
Group_794_1	XM_015950465	rna11753	gem	XP_015805951.1
Group_1052_0	XM_015950491	rna11779	fam171a1	XP_015805977.1
Group_6608_0	XM_015950662	rna11716	ino80c	XP_015806148.1
Group_2450_0	XM_015965269	rna26141	kdelc2	XP_015820755.1
Group_3501_0	XM_015964991	rna25863	nup160	XP_015820477.1
Group_7711_0	XM_015964828	rna25694	trim44	XP_015820314.1
Group_6078_0	XM_015964703	rna25565	bend7	XP_015820189.1
Group_8746_0	XM_015964647	rna25515	LOC107388875	XP_015820133.1
Group_1270_1	XM_015964576	rna25451	ddx11	XP_015820062.1
Group_2676_0	XM_015964530	rna25403	LOC107388816	XP_015820016.1
Group_771_1	XM_015964512	rna25386	LOC107388803	XP_015819998.1
Group_1219_1	XM_015964460	rna25334	LOC107388768	XP_015819946.1
Group_1674_0	XM_015964382	rna25250	smad6	XP_015819868.1
Group_7548_0	XM_015964381	rna25247	iqch	XP_015819867.1
Group_708_2	XM_015964159	rna25026	hsp90b1	XP_015819645.1
Group_209_8	XM_015964037	rna24953	LOC107388483	XP_015819523.1
Group_0_81	XM_015964562	rna2891	LOC107388826	XP_015820048.1
Group_37_9	XM_015964736	rna2874	LOC107388927	XP_015820222.1
Group_261_6	XM_015965334	rna2816	coro2a	XP_015820820.1
Group_391_0	XM_015967891	rna2558	LOC107390888	XP_015823377.1
Group_3573_0	XM_015968069	rna2538	LOC107391030	XP_015823555.1
Group_1104_3	XM_015969074	rna2508	LOC107391664	XP_015824560.1
Group_449_1	XM_015955952	rna17102	rims3	XP_015811438.1
Group_5594_0	XM_015955957	rna17106	trappc3	XP_015811443.1
Group_1404_2	XM_015956516	rna17202	nmnat2	XP_015812002.1
Group_2812_1	XM_015956073	rna17363	LOC107383454	XP_015811559.1
Group_4289_0	XM_015956076	rna17369	lig1	XP_015811562.1
Group_5361_0	XM_015956372	rna17655	sec62	XP_015811858.1
Group_2292_0	XM_015956373	rna17656	samd7	XP_015811859.1
Group_45_0	XM_015956711	rna17836	LOC107383866	XP_015812197.1
Group_534_0	XM_015956738	rna17862	snai2	XP_015812224.1
Group_7159_0	XM_015956768	rna17891	efcab14	XP_015812254.1
Group_2656_1	XM_015957005	rna18128	LOC107384014	XP_015812491.1
Group_7_32	XM_015957738	rna18327	LOC107384460	XP_015813224.1
Group_8653_0	XM_015957743	rna18601	LOC107384469	XP_015813229.1
Group_8748_0	XM_015943995	rna5139	LOC107375453	XP_015799481.1
Group_5656_0	XM_015967393	rna28288	eif3l	XP_015822879.1
Group_6719_0	XM_015944134	rna5312	fam204a	XP_015799620.1
Group_65_4	XM_015944018	rna5339	LOC107375473	XP_015799504.1
Group_7823_0	XM_015944495	rna5773	oit3	XP_015799981.1
Group_152_13	XM_015977108	rna37813	kcnk1	XP_015832594.1
Group_1344_0	XM_015944346	rna5613	golga7b	XP_015799832.1
Group_28_5	XM_015975343	rna36010	angpt2	XP_015830829.1
Group_284_3	XM_015944623	rna5884	six3	XP_015800109.1
Group_2478_0	XM_015944679	rna5934	LOC107375870	XP_015800165.1
Group_3828_0	XM_015944814	rna6076	pibf1	XP_015800300.1
Group_185_9	XM_015945039	rna6091	nkx1-2	XP_015800525.1
Group_4914_0	XM_015944847	rna6107	edrf1	XP_015800333.1
Group_944_3	XM_015974878	rna35524	LOC107395483	XP_015830364.1
Group_2180_0	XM_015944905	rna6161	plek	XP_015800391.1
Group_5578_0	XM_015945903	rna6438	hn1l	XP_015801389.1
Group_2881_0	XM_015945761	rna6586	LOC107376591	XP_015801247.1
Group_6691_0	XM_015945745	rna6592	nup85	XP_015801231.1
Group_1104_4	XM_015945643	rna6701	LOC107376517	XP_015801129.1
Group_10_45	XM_015951833	rna13076	rps6kb1	XP_015807319.1
Group_273_0	XM_015951759	rna12995	LOC107380487	XP_015807245.1
Group_115_0	XM_015951703	rna12941	fzd4	XP_015807189.1
Group_2891_0	XM_015951643	rna12865	LOC107380403	XP_015807129.1
Group_328_1	XM_015951624	rna12846	scarf1	XP_015807110.1
Group_447_0	XM_015951597	rna12818	LOC107380372	XP_015807083.1
Group_6632_0	XM_015951570	rna12791	rnf26	XP_015807056.1
Group_109_20	XM_015951548	rna12768	pde9a	XP_015807034.1
Group_5962_0	XM_015951422	rna12633	csgr06h19orf54	XP_015806908.1
Group_312_3	XM_015951370	rna12582	LOC107380230	XP_015806856.1
Group_887_0	XM_015951336	rna12546	stoml3	XP_015806822.1
Group_327_7	XM_015951279	rna12497	nectin1	XP_015806765.1
Group_2_94	XM_015951915	rna12389	LOC107380615	XP_015807401.1
Group_247_8	XM_015951148	rna12364	acad8	XP_015806634.1
Group_258_4	XM_015943378	rna5077	lef1	XP_015798864.1
Group_1537_2	XM_015943725	rna5021	cdkn2b	XP_015799211.1
Group_2928_1	XM_015943648	rna4933	cisd2	XP_015799134.1
Group_2107_1	XM_015943261	rna4535	gfm2	XP_015798747.1
Group_74_17	XM_015943222	rna4491	LOC107374931	XP_015798708.1
Group_3066_1	XM_015942831	rna4098	znf462	XP_015798317.1
Group_1420_0	XM_015942821	rna4089	prrc2b	XP_015798307.1
Group_1854_0	XM_015942766	rna4065	astn2	XP_015798252.1
Group_858_4	XM_015942369	rna4011	LOC107374219	XP_015797855.1
Group_32_22	XM_015942265	rna4000	ddx54	XP_015797751.1
Group_8090_0	XM_015942124	rna3988	kiaa2026	XP_015797610.1
Group_103_26	XM_015942025	rna3974	LOC107373881	XP_015797511.1
Group_5954_0	XM_015977103	rna3732	noc4l	XP_015832589.1
Group_21_60	XM_015976963	rna3716	ulk1	XP_015832449.1
Group_1257_1	XM_015976812	rna3699	LOC107396958	XP_015832298.1
Group_1554_0	XM_015976212	rna3622	LOC107396458	XP_015831698.1
Group_4274_1	XM_015975708	rna3569	tmed2	XP_015831194.1
Group_1313_1	XM_015974078	rna3426	LOC107394896	XP_015829564.1
Group_101_17	XM_015940770	rna38367	LOC107372550	XP_015796256.1
Group_1501_1	XM_015970805	rna3248	xylt1	XP_015826291.1
Group_1767_0	XM_015965519	rna26382	asb1	XP_015821005.1
Group_797_5	XM_015966756	rna27567	LOC107390186	XP_015822242.1
Group_112_13	XM_015966748	rna27559	ptpn4	XP_015822234.1
Group_1037_1	XM_015966694	rna27503	LOC107390140	XP_015822180.1
Group_20_1	XM_015966621	rna27434	nr4a2	XP_015822107.1
Group_193_13	XM_015966488	rna27304	LOC107390018	XP_015821974.1
Group_2403_1	XM_015966475	rna27288	scrn3	XP_015821961.1
Group_111_18	XM_015966403	rna27218	sox21	XP_015821889.1
Group_400_9	XM_015966391	rna27206	LOC107389954	XP_015821877.1
Group_6883_0	XM_015966371	rna27184	trappc2	XP_015821857.1
Group_5675_0	XM_015966338	rna27156	rpe	XP_015821824.1
Group_22_22	XM_015966221	rna27068	LOC107389836	XP_015821707.1
Group_994_4	XM_015966191	rna27040	ildr2	XP_015821677.1
Group_9034_0	XM_015966187	rna27029	cd247	XP_015821673.1
Group_5911_0	XM_015966136	rna26987	mrpl30	XP_015821622.1
Group_7_7	XM_015965586	rna26848	LOC107389455	XP_015821072.1
Group_115_13	XM_015965941	rna26792	LOC107389686	XP_015821427.1
Group_536_5	XM_015965927	rna26774	olig1	XP_015821413.1
Group_92_23	XM_015952423	rna13769	LOC107380986	XP_015807909.1
