OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha	p	dN	dS	pN	pS	DoS
Group_1423_1	17823	loc107396751		chr1	2908813	2911816	0	1	4	4	1	0	-0.5
Group_1423_3	17822	zgc:194355	zgc:194355 [Source:ZFIN%3BAcc:ZDB-GENE-081022-106]	chr1	2913381	2915373	0.5	1	6	3	1	1	0.166666666666667
Group_157_2	9905	slc4a11	solute carrier family 4%2C sodium borate transporter%2C member 11 [Source:ZFIN%3BAcc:ZDB-GENE-090313-183]	chr1	3698351	3865632	0.136363636363636	1	22	19	7	7	0.0365853658536586
Group_32_17	9908	fga	fibrinogen alpha chain	chr1	4141000	4145333	-1.29166666666667	0.418535469107551	6	11	5	4	-0.202614379084967
Group_32_10	9902	fgb	fibrinogen beta chain	chr1	4159110	4165368	0.386363636363636	0.677616747181965	11	9	3	4	0.121428571428571
Group_3_90	10960	si:ch73-379f7.4	si:ch73-379f7.4 [Source:ZFIN%3BAcc:ZDB-GENE-120215-247]	chr1	4516830	4517885	0.777777777777778	0.187988482106129	6	4	2	6	0.35
Group_273_4	30464	si:ch73-106g13.1	si:ch73-106g13.1 [Source:ZFIN%3BAcc:ZDB-GENE-110408-58]	chr1	5256149	5261156	0.125	1	10	7	5	4	0.0326797385620915
Group_1040_2	10999	arfip1	ADP-ribosylation factor interacting protein 1 (arfaptin 1) [Source:ZFIN%3BAcc:ZDB-GENE-040426-2690]	chr1	5321537	5335968	-3	0.27218782249742	2	12	2	3	-0.257142857142857
Group_1097_2	10976	loc107376814		chr1	5339139	5356606	0.542483660130719	0.34126909001557	17	10	7	9	0.19212962962963
Group_925_0	30459	rnf150b	ring finger protein 150b [Source:ZFIN%3BAcc:ZDB-GENE-050417-470]	chr1	5695963	5718338	0.333333333333333	1	3	4	1	2	0.0952380952380952
Group_317_3	10983	abcg2a	ATP-binding cassette%2C sub-family G (WHITE)%2C member 2a [Source:ZFIN%3BAcc:ZDB-GENE-050517-35]	chr1	5761153	5782276	0.535714285714286	0.67490380683784	7	13	2	8	0.15
Group_19_40	11001	cdkl2	cyclin dependent kinase like 2 [Source:HGNC Symbol%3BAcc:HGNC:1782]	chr1	5813317	5815953	-1.2	0.586790505675955	5	11	2	2	-0.1875
Group_12_47	10985	tec	tec protein tyrosine kinase	chr1	5863471	5900813	0.541666666666667	0.651340996168582	12	11	2	4	0.188405797101449
Group_67_27	1593	fbxw7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol%3BAcc:HGNC:16712]	chr1	6104196	6113074	-0.857142857142857	0.671497584541063	4	13	4	7	-0.128342245989305
Group_2757_1	11005	otud4	OTU deubiquitinase 4	chr1	6188106	6207119	0.323529411764706	1	34	23	2	2	0.0964912280701754
Group_377_5	30462	ednrab	endothelin receptor type Ab [Source:ZFIN%3BAcc:ZDB-GENE-040426-2364]	chr1	6265968	6271593	0.0545454545454546	1	11	13	4	5	0.0138888888888889
Group_4268_0	30465	rfwd3	ring finger and WD repeat domain 3	chr1	6801480	6829760	0.230769230769231	1	13	20	1	2	0.0606060606060606
Group_306_3	5762	trpc5a	transient receptor potential cation channel%2C subfamily C%2C member 5a [Source:ZFIN%3BAcc:ZDB-GENE-040812-1]	chr1	7007555	7128529	0.15	1	5	17	2	8	0.0272727272727273
Group_1659_1	4099	tmem55bb	transmembrane protein 55Bb [Source:ZFIN%3BAcc:ZDB-GENE-121214-195]	chr1	7655020	7670015	0.8	0.193027325346615	6	6	2	10	0.333333333333333
Group_1329_1	5113	loc107376899		chr1	7797211	7810493	0.184247538677918	0.647063163835225	79	29	20	9	0.0418263090676884
Group_339_2	5115	dysf	dysferlin%2C transcript variant X1	chr1	7984480	8096182	0.0723684210526315	1	24	47	9	19	0.016599597585513
Group_4734_0	5116	tkfc	triokinase and FMN cyclase	chr1	8562457	8571153	-0.2	1	5	16	3	8	-0.0346320346320346
Group_3795_1	5117	si:dkey-9k7.3	si:dkey-9k7.3 [Source:ZFIN%3BAcc:ZDB-GENE-160728-12]	chr1	8571263	8590944	-0.444444444444444	0.742969549808066	9	13	8	8	-0.0909090909090909
Group_248_11	15047	si:dkey-85k7.10	si:dkey-85k7.10 [Source:ZFIN%3BAcc:ZDB-GENE-160728-49]	chr1	8796038	8797229	-1.5	0.612616099071207	4	10	3	3	-0.214285714285714
Group_2093_0	15035	gigyf1	GRB10 interacting GYF protein 1%2C transcript variant X1	chr1	8828637	8841817	0.111111111111111	1	9	12	2	3	0.0285714285714285
Group_4563_0	15036	wrap53	WD repeat containing%2C antisense to TP53	chr1	8851629	8863103	0.0454545454545454	1	11	14	3	4	0.0114285714285715
Group_923_2	15037	efnb3a	ephrin-B3a [Source:ZFIN%3BAcc:ZDB-GENE-100316-1]	chr1	8903454	9014288	-2.5	0.490909090909091	1	7	1	2	-0.208333333333333
Group_1096_0	30705	kdm6ba	lysine (K)-specific demethylase 6B%2C a [Source:ZFIN%3BAcc:ZDB-GENE-091005-1]	chr1	9890506	9899628	-0.117647058823529	1	51	57	5	5	-0.0277777777777778
Group_2151_1	15050	tdrd7	tudor domain containing 7 [Source:HGNC Symbol%3BAcc:HGNC:30831]	chr1	9923651	9956098	0.416666666666667	0.729223005015859	18	28	3	8	0.118577075098814
Group_2543_1	1484	rpgrip1	retinitis pigmentosa GTPase regulator interacting protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-091204-394]	chr1	9987603	10007177	0.814935064935065	0.0158784267817076	28	19	3	11	0.381458966565349
Group_5_44	15052	ct573322.1	unknown	chr1	10017841	10024791	0.142857142857143	1	14	12	4	4	0.0384615384615384
Group_5_19	15043	zgc:92594	zgc:92594 [Source:ZFIN%3BAcc:ZDB-GENE-040718-482]	chr1	10295543	10308284	0.802197802197802	0.0640965231669879	13	6	3	7	0.38421052631579
Group_64_24	15045	styx	serine/threonine/tyrosine interacting protein	chr1	10470985	10477753	0.5	1	4	2	1	1	0.166666666666667
Group_4566_0	15059	amfr	autocrine motility factor receptor%2C E3 ubiquitin protein ligase%2C transcript variant X2	chr1	10489201	10515278	-1.44444444444444	0.3125	9	22	1	0	-0.709677419354839
Group_47_25	20334	sema4f	ssemaphorin 4F [Source:HGNC Symbol%3BAcc:HGNC:10734]	chr1	10567130	10683017	0.836734693877551	0.0307962446319355	28	16	2	7	0.414141414141414
Group_1217_0	20335	dok1b	docking protein 1b [Source:ZFIN%3BAcc:ZDB-GENE-040426-2063]	chr1	10843404	10870951	0.777777777777778	0.0337288119718938	21	14	4	12	0.35
Group_4042_0	20331	nagk	N-acetylglucosamine kinase	chr1	10872779	10876054	-0.222222222222222	1	6	11	2	3	-0.0470588235294118
Group_507_2	20332	si:cabz01007807.1	si:cabz01007807.1 [Source:ZFIN%3BAcc:ZDB-GENE-160728-149]	chr1	10876802	10932734	0.674641148325359	0.0171535558548025	55	34	10	19	0.273149941882991
Group_105_8	26678	arhgef40	Rho guanine nucleotide exchange factor (GEF) 40 [Source:ZFIN%3BAcc:ZDB-GENE-110623-2]	chr1	11136239	11163058	0.111111111111111	1	33	44	8	12	0.0285714285714285
Group_866_1	26679	znf219	zinc finger protein 219 [Source:ZFIN%3BAcc:ZDB-GENE-110623-1]	chr1	11163062	11212531	-0.423076923076923	1	26	37	2	2	-0.0873015873015873
Group_5_27	26682	btr12	bloodthirsty-related gene family%2C member 12 [Source:ZFIN%3BAcc:ZDB-GENE-060929-548]	chr1	11300387	11315313	0.6875	0.55	8	5	1	2	0.282051282051282
Group_5_30	26683	si:dkey-46i9.6	si:dkey-46i9.6 [Source:ZFIN%3BAcc:ZDB-GENE-160114-63]	chr1	11325158	11329765	0.228571428571429	1	7	9	3	5	0.0625
Group_5584_0	26686	fam193a	family with sequence similarity 193 member A%2C transcript variant X1	chr1	11442090	11463760	0.126050420168067	1	34	52	4	7	0.0317124735729387
Group_115_11	26694	sfrp2	secreted frizzled-related protein 2	chr1	11489017	11492349	0.75	0.545454545454546	4	3	1	3	0.321428571428571
Group_67_19	31448	plrg1	pleiotropic regulator 1	chr1	11597093	11610013	-23	0.0075187969924812	2	16	3	0	-0.888888888888889
Group_5_45	5987	loc107395471		chr1	11858950	11900653	0.3	0.730448245798635	15	9	7	6	0.0865384615384616
Group_393_1	5988	khnyn	KH and NYN domain containing [Source:HGNC Symbol%3BAcc:HGNC:20166]	chr1	11922072	11953440	-0.143518518518519	1	24	19	13	9	-0.03276955602537
Group_151_5	5989	loc107376988		chr1	11960348	12008577	-0.111111111111111	1	21	35	4	6	-0.025
Group_1030_1	5991	lpcat4	lysophosphatidylcholine acyltransferase 4	chr1	12018260	12034813	0.0833333333333334	0.835876776699547	64	22	32	12	0.0169133192389006
Group_148_3	5992	slc12a6	solute carrier family 12 member 6	chr1	12041296	12070665	0.41875	0.522153684649096	10	31	3	16	0.086007702182285
Group_614_3	5993	tox4b	TOX high mobility group box family member 4 b [Source:ZFIN%3BAcc:ZDB-GENE-080220-49]	chr1	12076433	12086997	0.04	1	5	12	2	5	0.00840336134453784
Group_10_77	6002	cysltr1	cysteinyl leukotriene receptor 1 [Source:ZFIN%3BAcc:ZDB-GENE-050522-250]	chr1	12152841	12153884	0.166666666666667	1	4	10	1	3	0.0357142857142857
Group_10_22	5997	lpar4	lysophosphatidic acid receptor 4 [Source:ZFIN%3BAcc:ZDB-GENE-120201-1]	chr1	12291977	12296769	-2.33333333333333	0.476190476190476	3	10	1	1	-0.269230769230769
Group_10_16	821	gpr174	G protein-coupled receptor 174	chr1	12296773	12321769	0.386363636363636	1	22	27	1	2	0.115646258503401
Group_1766_1	30003	zgc:92287	zgc:92287 [Source:ZFIN%3BAcc:ZDB-GENE-040718-350]	chr1	12358504	12364113	0.4	0.689056400592274	10	6	5	5	0.125
Group_6327_0	30004	pm20d1.2	peptidase M20 domain containing 1%2C tandem duplicate 2 [Source:ZFIN%3BAcc:ZDB-GENE-061013-637]	chr1	12367131	12378316	0.0833333333333334	1	8	11	2	3	0.0210526315789473
Group_23_39	3743	nfasc	neurofascin [Source:HGNC Symbol%3BAcc:HGNC:29866]	chr1	12448560	12459898	-1.91666666666667	0.33360940305817	9	35	3	4	-0.224025974025974
Group_131_1	3750	slc16a7	solute carrier family 16%2C member 7 (monocarboxylic acid transporter 2) [Source:ZFIN%3BAcc:ZDB-GENE-051113-248]	chr1	12474493	12478096	-2.29411764705882	0.376114081996435	17	14	4	1	-0.251612903225807
Group_1751_0	3749	arl6ip5b	ADP-ribosylation factor-like 6 interacting protein 5b [Source:ZFIN%3BAcc:ZDB-GENE-040718-223]	chr1	12638512	12642513	-1.66666666666667	1	3	8	1	1	-0.227272727272727
Group_488_2	30001	lmod3	leiomodin 3	chr1	12646750	12650355	-0.333333333333333	0.743823668227187	15	20	6	6	-0.0714285714285715
Group_1312_0	30002	frmd4bb	FERM domain containing 4Bb [Source:ZFIN%3BAcc:ZDB-GENE-100921-74]	chr1	12658286	12674550	-3.4	0.0433750779596724	12	33	8	5	-0.348717948717949
Group_544_0	3748	mitf	melanogenesis associated transcription factor [Source:HGNC Symbol%3BAcc:HGNC:7105]	chr1	12714678	12749667	0.875	0.0911715287001328	9	9	1	8	0.388888888888889
Group_24_8	3737	htr2cl1	5-hydroxytryptamine (serotonin) receptor 2C%2C G protein-coupled-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-081104-48]	chr1	12979779	13044325	0.259259259259259	1	9	10	4	6	0.0736842105263157
Group_407_4	3745	dnd1	DND microRNA-mediated repression inhibitor 1 [Source:ZFIN%3BAcc:ZDB-GENE-030828-4]	chr1	13445010	13508390	-0.615384615384615	0.525691699604743	13	7	3	0	-0.35
Group_4960_0	6168	smg7	SMG7 nonsense mediated mRNA decay factor%2C transcript variant X1	chr1	13673635	13685513	0.333333333333333	1	12	28	2	7	0.0777777777777778
Group_8159_0	6172	si:dkey-171c9.3	si:dkey-171c9.3 [Source:ZFIN%3BAcc:ZDB-GENE-141216-372]	chr1	14051505	14052299	-2.23076923076923	0.145606567345698	13	7	6	0	-0.35
Group_225_9	6189	clcn5a	chloride channel%2C voltage-sensitive 5a [Source:ZFIN%3BAcc:ZDB-GENE-091113-15]	chr1	14169450	14221106	-3.5	0.280013759889921	4	12	3	2	-0.35
Group_679_1	6190	shroom4	shroom family member 4%2C transcript variant X1	chr1	14227025	14335635	-1.73913043478261	0.216192814942727	46	42	9	3	-0.227272727272727
Group_7763_0	6174	bmp15	bone morphogenetic protein 15	chr1	14343262	14345901	0.770833333333333	0.265054528212423	24	11	1	2	0.352380952380952
Group_3968_0	6178	nhsl2	NHS-like 2 [Source:ZFIN%3BAcc:ZDB-GENE-130530-951]	chr1	14636865	14740524	0.587096774193548	0.43418066073332	31	32	2	5	0.206349206349206
Group_514_6	6180	irs4a	insulin receptor substrate 4a [Source:ZFIN%3BAcc:ZDB-GENE-120215-92]	chr1	14999892	15019916	-0.663865546218487	0.521507528934981	17	33	6	7	-0.121538461538462
Group_8_13	6181	col4a6	collagen%2C type IV%2C alpha 6 [Source:ZFIN%3BAcc:ZDB-GENE-101001-2]	chr1	15210928	15275708	0.734848484848485	0.0170409685733563	33	35	5	20	0.285294117647059
Group_2352_0	23146	atf6b	activating transcription factor 6 beta%2C transcript variant X1	chr1	15337501	15354907	-0.111111111111111	1	9	20	4	8	-0.0229885057471264
Group_3029_0	23113	ring1	ring finger protein 1	chr1	15455390	15458382	-5	0.197058823529412	2	12	2	2	-0.357142857142857
Group_2544_1	23105	ccs	copper chaperone for superoxide dismutase%2C transcript variant X1	chr1	15892643	15905662	-2	0.307692307692307	3	9	1	0	-0.75
Group_610_2	23134	si:ch211-168d1.3	si:ch211-168d1.3 [Source:ZFIN%3BAcc:ZDB-GENE-160113-13]	chr1	16134302	16192060	-1.14285714285714	1	14	15	2	1	-0.183908045977011
Group_2517_1	23133	nit1	nitrilase 1	chr1	16242864	16250803	-0.75	1	6	7	3	2	-0.138461538461538
Group_225_8	23131	clcn3	chloride voltage-gated channel 3%2C transcript variant X1	chr1	16267043	16291516	0.333333333333333	1	4	16	1	6	0.0571428571428572
Group_6057_0	23099	aadat	aminoadipate aminotransferase%2C transcript variant X1	chr1	16325172	16331891	0.4	1	10	6	2	2	0.125
Group_6059_0	23128	ino80b	INO80 complex subunit B%2C transcript variant X1	chr1	16332978	16339271	0.0833333333333334	1	6	11	1	2	0.0196078431372549
Group_4153_0	23098	intu	inturned planar cell polarity protein%2C transcript variant X1	chr1	16338013	16360640	0.5	0.357516948535341	17	17	5	10	0.166666666666667
Group_3716_0	23127	wdr19	WD repeat domain 19	chr1	16368409	16386247	0.684848484848485	0.188514988237914	11	26	2	15	0.179650238473768
Group_6924_0	23126	trmt10b	tRNA methyltransferase 10B%2C transcript variant X2	chr1	16387368	16399432	0.777777777777778	0.318885448916409	9	4	2	4	0.358974358974359
Group_8157_0	23096	loc107377113		chr1	16418376	16419806	0.733333333333333	0.403508771929824	15	2	2	1	0.215686274509804
Group_298_2	23124	loc107377055		chr1	16439805	16446598	0.0833333333333334	1	9	11	3	4	0.0214285714285715
Group_235_2	23094	f13a1b	coagulation factor XIII%2C A1 polypeptide b [Source:ZFIN%3BAcc:ZDB-GENE-030131-9634]	chr1	16506231	16518080	0.591836734693878	0.445500968622442	14	20	2	7	0.189542483660131
Group_18_24	23121	si:dkey-185m8.2	si:dkey-185m8.2 [Source:ZFIN%3BAcc:ZDB-GENE-160114-60]	chr1	16526947	16534964	-0.25	0.585347633835946	72	54	25	15	-0.0535714285714286
Group_2743_1	23093	cant1a	calcium activated nucleotidase 1a [Source:ZFIN%3BAcc:ZDB-GENE-040426-2441]	chr1	16568319	16569714	0.3125	1	8	11	1	2	0.087719298245614
Group_8387_0	23120	ankrd53	ankyrin repeat domain 53	chr1	16588831	16591942	-0.8	1	20	12	3	1	-0.125
Group_2246_1	23117	ical1	islet cell autoantigen 1-like [Source:ZFIN%3BAcc:ZDB-GENE-030910-4]	chr1	16789430	16798196	0.2	1	6	8	3	5	0.0535714285714285
Group_129_4	23087	bmpr2	bone morphogenetic protein receptor type II	chr1	16812526	16836675	0.585714285714286	0.651777454737677	14	29	1	5	0.158914728682171
Group_289_6	23116	dock9b	dedicator of cytokinesis 9b [Source:ZFIN%3BAcc:ZDB-GENE-090916-2]	chr1	16873575	16939669	-0.15625	1	16	37	3	6	-0.0314465408805031
Group_2773_0	23079	unknown		chr1	17318186	17353833	-1.44444444444444	0.64472049689441	9	11	4	2	-0.216666666666667
Group_85_0	23066	mmp16b	matrix metallopeptidase 16b (membrane-inserted) [Source:ZFIN%3BAcc:ZDB-GENE-061009-22]	chr1	17499509	17525638	0.4375	1	4	9	1	4	0.107692307692308
Group_373_6	23075	egfra	epidermal growth factor receptor a (erythroblastic leukemia viral (v-erb-b) oncogene homolog%2C avian) [Source:ZFIN%3BAcc:ZDB-GENE-030918-1]	chr1	17537206	17580782	-0.3	1	8	26	2	5	-0.0504201680672269
Group_2414_1	23074	npc1	Niemann-Pick disease%2C type C1	chr1	17586032	17607300	0.564516129032258	0.304669717860779	31	27	3	6	0.201149425287356
Group_1453_0	23065	cables1	Cdk5 and Abl enzyme substrate 1	chr1	17614781	17649803	0.666666666666667	0.387535334499933	8	8	2	6	0.25
Group_2626_1	23073	abhd3	abhydrolase domain containing 3	chr1	17781105	17803236	-5	0.25	1	6	1	0	-0.857142857142857
Group_4174_0	23071	usp14	ubiquitin specific peptidase 14	chr1	17930601	17938698	-0.222222222222222	1	9	22	2	4	-0.043010752688172
Group_6300_0	23061	thoc1	THO complex 1	chr1	17934534	17939242	-0.6	1	5	16	1	2	-0.0952380952380952
Group_2271_1	23058	kctd7	potassium channel tetramerization domain containing 7	chr1	18106494	18118707	0.55	1	10	9	1	2	0.192982456140351
Group_9019_0	23069	si:dkey-183i3.6	si:dkey-183i3.6 [Source:ZFIN%3BAcc:ZDB-GENE-141212-342]	chr1	18128542	18134007	0	1	3	3	1	0	-0.5
Group_1180_2	23044	znf346	zinc finger protein 346%2C transcript variant X1	chr1	18362280	18373389	-0.6	1	5	8	1	1	-0.115384615384615
Group_2178_1	23052	larp1	La ribonucleoprotein domain family member 1%2C transcript variant X1	chr1	18402056	18448573	-1.5	0.574470692772007	12	30	2	2	-0.214285714285714
Group_7492_0	23042	faxdc2	fatty acid hydroxylase domain containing 2	chr1	18450883	18457840	-4.5	0.214285714285714	2	11	1	0	-0.846153846153846
Group_2328_0	23048	rnf14	ring finger protein 14	chr1	18651450	18659663	-0.625	0.66183574879227	8	13	3	3	-0.119047619047619
Group_638_2	1911	arhgap26	Rho GTPase activating protein 26%2C transcript variant X1	chr1	18814952	18929184	-1.375	0.375208565072302	8	19	3	3	-0.203703703703704
Group_4205_0	1910	grxcr2	glutaredoxin and cysteine rich domain containing 2	chr1	19401671	19525857	-4	0.166666666666667	2	5	2	0	-0.714285714285714
Group_4233_0	23027	larsb	leucyl-tRNA synthetase b [Source:ZFIN%3BAcc:ZDB-GENE-030114-7]	chr1	19525859	19554973	0.654545454545455	0.639943074003795	11	19	1	5	0.2
Group_2213_0	1909	rbm27	RNA binding motif protein 27%2C transcript variant X1	chr1	19554975	19573756	-1.25641025641026	0.413318720122314	13	22	4	3	-0.2
Group_397_6	23029	adad2	adenosine deaminase domain containing 2%2C transcript variant X3	chr1	20128386	20139654	0.925925925925926	0.0375198728139905	27	6	1	3	0.568181818181818
Group_59_12	23021	adgrg4b	adhesion G protein-coupled receptor G4b [Source:ZFIN%3BAcc:ZDB-GENE-091204-201]	chr1	20142305	20149954	0.444444444444444	0.514641332235407	14	14	5	9	0.142857142857143
Group_423_5	23020	fhl1b	four and a half LIM domains 1b [Source:ZFIN%3BAcc:ZDB-GENE-031219-1]	chr1	20161062	20164477	0.666666666666667	0.588235294117647	7	7	1	3	0.25
Group_202_10	23019	slc9a6b	solute carrier family 9%2C subfamily A (NHE6%2C cation proton antiporter 6)%2C member 6b [Source:ZFIN%3BAcc:ZDB-GENE-080226-2]	chr1	20177634	20192317	-0.8	1	5	18	1	2	-0.115942028985507
Group_4_50	22995	rab39b	RAB39B%2C member RAS oncogene family [Source:HGNC Symbol%3BAcc:HGNC:16499]	chr1	20238569	20239975	0.117647058823529	1	17	5	3	1	0.0227272727272727
Group_610_1	23007	rin1a	Ras and Rab interactor 1a [Source:ZFIN%3BAcc:ZDB-GENE-091204-129]	chr1	20297892	20301652	-0.0625	1	12	17	3	4	-0.0147783251231527
Group_4373_0	22993	dpp3	dipeptidyl peptidase 3%2C transcript variant X2	chr1	20301800	20308708	-1.83333333333333	0.452851496329757	3	17	1	2	-0.183333333333333
Group_92_22	22992	cd248	CD248 molecule	chr1	20320003	20323376	0.660714285714286	0.182004320778287	21	19	3	8	0.252272727272727
Group_1384_0	22991	loc107386744		chr1	20356791	20390685	0.153777777777778	0.689794829546348	75	68	14	15	0.0417169037858693
Group_105_10	23006	mcf2b	MCF.2 cell line derived transforming sequence b [Source:ZFIN%3BAcc:ZDB-GENE-091118-4]	chr1	20419961	20445453	-0.333333333333333	1	10	20	2	3	-0.0666666666666667
Group_2_95	22989	f9b	coagulation factor IXb [Source:ZFIN%3BAcc:ZDB-GENE-060421-7346]	chr1	20448443	20457181	-0.583333333333333	0.693720870191459	12	19	4	4	-0.112903225806452
Group_442_5	22987	ablim3	actin binding LIM protein family member 3 [Source:HGNC Symbol%3BAcc:HGNC:29132]	chr1	20527754	20606199	0.816666666666667	0.18336070060208	12	11	1	5	0.355072463768116
Group_2429_1	23002	il12bb	interleukin 12B%2C b [Source:ZFIN%3BAcc:ZDB-GENE-030131-7937]	chr1	20678719	20682307	-1	1	8	8	2	1	-0.166666666666667
Group_5055_0	22986	ublcp1	ubiquitin like domain containing CTD phosphatase 1	chr1	20683102	20686890	-1	1	2	8	1	2	-0.133333333333333
Group_10_78	22998	cysltr3	cysteinyl leukotriene receptor 3 [Source:ZFIN%3BAcc:ZDB-GENE-131127-536]	chr1	20901606	20920562	0.775	0.103998769845846	16	6	3	5	0.352272727272727
Group_1385_0	30057	etnppl	ethanolamine-phosphate phospho-lyase	chr1	21013251	21025003	0	1	9	9	5	5	0
Group_256_10	4598	slc24a2	solute carrier family 24 member 2 [Source:HGNC Symbol%3BAcc:HGNC:10976]	chr1	21061846	21132791	-2.75	0.403508771929824	2	15	1	2	-0.215686274509804
Group_6808_0	4597	sepsecs	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase%2C transcript variant X1	chr1	21153580	21177723	-2.2	0.462450592885375	5	16	1	1	-0.261904761904762
Group_68_20	19346	adamtsl1	ADAMTS like 1%2C transcript variant X1	chr1	21211116	21325765	0.111111111111111	1	9	16	1	2	0.0266666666666667
Group_854_3	19347	dennd4c	DENN/MADD domain containing 4C [Source:ZFIN%3BAcc:ZDB-GENE-120727-13]	chr1	21442494	21465722	0.293333333333333	1	25	53	2	6	0.0705128205128205
Group_626_2	19344	zdhhc21	zinc finger DHHC-type containing 21	chr1	21551578	21566857	0.2	1	5	4	1	0	-0.444444444444444
Group_997_3	22372	usp53	ubiquitin specific peptidase 53 [Source:HGNC Symbol%3BAcc:HGNC:29255]	chr1	21755712	21810633	0.791666666666667	0.219399196738398	20	25	1	6	0.301587301587302
Group_692_2	22373	myoz2a	myozenin 2a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1880]	chr1	21834196	21852482	-1.28571428571429	0.470588235294118	7	8	2	0	-0.533333333333333
Group_612_2	22370	sec24d	SEC24 homolog D%2C COPII coat complex component%2C transcript variant X1	chr1	21895147	21909010	0	1	18	30	3	5	0
Group_999_1	22375	adgra3	adhesion G protein-coupled receptor A3	chr1	22256931	22329798	0.425837320574163	0.541810029534116	19	30	4	11	0.12108843537415
Group_452_4	22371	gba3	glucosidase%2C beta%2C acid 3 (gene/pseudogene) [Source:ZFIN%3BAcc:ZDB-GENE-050522-351]	chr1	22330973	22338501	-1.25	0.625839767985413	4	12	3	4	-0.178571428571429
Group_2293_1	22376	ppargc1a	PPARG coactivator 1 alpha%2C transcript variant X1	chr1	22583589	22623874	-3.19047619047619	0.111933395004625	21	22	4	0	-0.511627906976744
Group_182_3	2869	loc107377411		chr1	22986852	23302404	-0.466666666666667	0.488326813522368	32	64	11	15	-0.0897435897435898
Group_59_0	2870	adgrl3	adhesion G protein-coupled receptor L3 [Source:HGNC Symbol%3BAcc:HGNC:20974]	chr1	23402411	23809927	-0.875	0.325580754889575	15	45	5	8	-0.134615384615385
Group_364_7	2865	mpdz	multiple PDZ domain crumbs cell polarity complex component%2C transcript variant X1	chr1	23876132	23969197	0.151515151515151	1	33	42	4	6	0.04
Group_751_0	2872	tyrp1a	tyrosinase-related protein 1a [Source:ZFIN%3BAcc:ZDB-GENE-070718-2]	chr1	24028327	24033582	-2	0.490196078431373	4	12	1	1	-0.25
Group_18_33	296	loc107377160		chr1	24262201	24266421	0.5875	0.400791077455164	20	11	3	4	0.216589861751152
Group_215_4	11737	arhgef11	Rho guanine nucleotide exchange factor 11%2C transcript variant X1	chr1	24317814	24353667	-0.277777777777778	0.784992904320626	36	46	8	8	-0.0609756097560976
Group_1104_3	11738	vangl2	VANGL planar cell polarity protein 2 [Source:HGNC Symbol%3BAcc:HGNC:15511]	chr1	24378576	24388745	0	1	6	12	3	6	0
Group_3483_0	16906	si:cabz01080528.1	si:cabz01080528.1 [Source:ZFIN%3BAcc:ZDB-GENE-160728-36]	chr1	25019701	25028270	0.423076923076923	0.719017145687489	8	20	3	13	0.0982142857142857
