Genus	Ref	Species	Code	GenomeSize	R1	R2
Archiaphyosemion	CTO	AMS	C18.AMS	1,009,897,968	./trim/trimmed_2015_11_18/C18AMS_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C18AMS_2.fq.trimmed.paired.fq
Archiaphyosemion	CTO	APT	C19.APT	1,056,928,381	./trim/trimmed_2015_11_18/C19APT_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C19APT_2.fq.trimmed.paired.fq
Archiaphyosemion	CTO	ARG	A18.ARG	992,333,635	./trim/trimmed_2015_11_18/A18ARG_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/A18ARG_2.fq.trimmed.paired.fq
Callopanchax	CTO	CHW	C13.CHW	1,569,288,918	./trim/trimmed_2015_11_18/C13CHW_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C13CHW_2.fq.trimmed.paired.fq
Callopanchax	CTO	CMR	C14.CMR	758,861,639	./trim/trimmed_2015_11_18/C14CMR_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C14CMR_2.fq.trimmed.paired.fq
Callopanchax	CTO	CSB	12.CSB	1,000,569,874	./trim/trimmed_2015_11_18/12CSB_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/12CSB_2.fq.trimmed.paired.fq
Callopanchax	CTO	CTO	CTO	1,008,777,674	./pseudogenomes/refs/CTO.fa	-
Epiplatys	CTO	EDG	E18.EDG	723,242,076	./trim/trimmed_2016_5_3/concat/E18.EDG_1.concat.fq.gz	./trim/trimmed_2016_5_3/concat/E18.EDG_2.concat.fq.gz
Epiplatys	CTO	EGH	C3.EGH	987,499,864	./trim/trimmed_2015_11_18/C3EGH_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C3EGH_2.fq.trimmed.paired.fq
Epiplatys	CTO	EGN	C5.EGN	1,108,620,114	./trim/trimmed_2015_11_18/C5EGN_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C5EGN_2.fq.trimmed.paired.fq
Epiplatys	CTO	ELM	C7.ELM	1,025,674,944	./trim/trimmed_2015_11_18/C7ELM_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C7ELM_2.fq.trimmed.paired.fq
Epiplatys	CTO	EMF	14.EMF	1,053,682,529	./trim/trimmed_2015_11_18/14EMF_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/14EMF_2.fq.trimmed.paired.fq
Epiplatys	CTO	ESP	C6.ESP	1,303,276,956	./trim/trimmed_2015_11_18/C6ESP_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C6ESP_2.fq.trimmed.paired.fq
Epiplatys	CTO	ETO	C2.ETO	800,990,051	./trim/trimmed_2015_11_18/C2ETO_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C2ETO_2.fq.trimmed.paired.fq
Scriptaphyosemion	CTO	SBT	C8.SBT	941,750,505	./trim/trimmed_2015_12_18/C8.SBT_1.fq.gz.trimmed.paired.fq.gz	./trim/trimmed_2015_12_18/C8.SBT_2.fq.gz.trimmed.paired.fq.gz
Scriptaphyosemion	CTO	SCV	C11.SCV	804,159,757	./trim/trimmed_2015_12_18/C11SCV_concat_1.fq.gz.trimmed.paired.fq.gz	./trim/trimmed_2015_12_18/C11SCV_concat_2.fq.gz.trimmed.paired.fq.gz
Scriptaphyosemion	CTO	SGG	C9.SGG	944,920,331	./trim/trimmed_2015_12_18/C9.SGG_1.fq.gz.trimmed.paired.fq.gz	./trim/trimmed_2015_12_18/C9.SGG_2.fq.gz.trimmed.paired.fq.gz
Scriptaphyosemion	CTO	SSC	M1.SSC	863,172,144	./trim/trimmed_2016_5_3/M1.SSC_1.fq.gz.trimmed.paired.fq.gz	./trim/trimmed_2016_5_3/M1.SSC_2.fq.gz.trimmed.paired.fq.gz
Fundulopanchax	NOR	FAM	G2.FAM	916,360,783	./trim/trimmed_2016_5_3/concat/G2.FAM_1.concat.fq.gz	./trim/trimmed_2016_5_3/concat/G2.FAM_2.concat.fq.gz
Fundulopanchax	NOR	FDL	C29.FDL	1,534,992,525	./trim/trimmed_2015_11_18/C29FDL_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C29FDL_2.fq.trimmed.paired.fq
Fundulopanchax	NOR	FFL	J3.FFL	1,267,267,683	./trim/trimmed_2016_5_3/J3.FFL_1.fq.gz.trimmed.paired.fq.gz	./trim/trimmed_2016_5_3/J3.FFL_2.fq.gz.trimmed.paired.fq.gz
Fundulopanchax	NOR	FSC	C31.FSC	1,630,152,194	./trim/trimmed_2015_11_18/C31FSC_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C31FSC_2.fq.trimmed.paired.fq
Fundulopanchax	NOR	FSJ	J1.FSJ	1,136,901,875	./trim/trimmed_2016_5_3/J1.FSJ_1.fq.gz.trimmed.paired.fq.gz	./trim/trimmed_2016_5_3/J1.FSJ_2.fq.gz.trimmed.paired.fq.gz
Fundulosoma	NOR	FTH	FTH	1,208,317,331	./trim/trimmed_denovo_PE_run4/FTH_30x_CAGATC_1.fq.gz.trimmed.paired.fq.gz,./trim/trimmed_denovo_PE_run5/FTH_30x_Final_1.fq.gz.trimmed.paired.fq.gz,./trim/trimmed_denovo_PE_run7/FTH_30x_S5_L001_R1_001.fastq.gz.trimmed.paired.fq.gz,./trim/trimmed_denovo_PE_run7/FTH_30x_S5_L002_R1_001.fastq.gz.trimmed.paired.fq.gz	./trim/trimmed_denovo_PE_run4/FTH_30x_CAGATC_2.fq.gz.trimmed.paired.fq.gz,./trim/trimmed_denovo_PE_run5/FTH_30x_Final_2.fq.gz.trimmed.paired.fq.gz,./trim/trimmed_denovo_PE_run7/FTH_30x_S5_L001_R2_001.fastq.gz.trimmed.paired.fq.gz,./trim/trimmed_denovo_PE_run7/FTH_30x_S5_L002_R2_001.fastq.gz.trimmed.paired.fq.gz
Nothobranchius	NOR	FGR	4.FGR	1,341,395,182	./trim/trimmed_2015_11_18/4FGR_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/4FGR_2.fq.trimmed.paired.fq
Nothobranchius	NOR	NFS	C35.NFS	1,004,695,345	./trim/trimmed_2017_3_3/C35.NFS_R1.fastq.gz.trimmed.paired.fq.gz,./trim/trimmed_2015_11_18/C35NFS_1.fq.trimmed.paired.fq	./trim/trimmed_2017_3_3/C35.NFS_R2.fastq.gz.trimmed.paired.fq.gz,./trim/trimmed_2015_11_18/C35NFS_2.fq.trimmed.paired.fq
Nothobranchius	NOR	NKF	C37.NKF	2,392,117,399	./trim/trimmed_2017_3_3/C37.NKF_R1.fastq.gz.trimmed.paired.fq.gz,./trim/trimmed_2015_11_18/C37NKF_1.fq.trimmed.paired.fq	./trim/trimmed_2017_3_3/C37.NKF_R2.fastq.gz.trimmed.paired.fq.gz,./trim/trimmed_2015_11_18/C37NKF_2.fq.trimmed.paired.fq
Nothobranchius	NOR	NOC	C40.NOC	2,012,338,370	./trim/trimmed_2017_3_3/C40.NOC_R1.fastq.gz.trimmed.paired.fq.gz,./trim/trimmed_2015_11_18/C40NOC_1.fq.trimmed.paired.fq	./trim/trimmed_2017_3_3/C40.NOC_R2.fastq.gz.trimmed.paired.fq.gz,./trim/trimmed_2015_11_18/C40NOC_2.fq.trimmed.paired.fq
Nothobranchius	NOR	NOR	NOR	1,548,592,001	./pseudogenomes/refs/NOR.fa	-
Nothobranchius	NOR	NRC	G1.NRC	1,300,759,172	./trim/trimmed_2016_5_3/concat/G1.NRC_1.concat.fq.gz	./trim/trimmed_2016_5_3/concat/G1.NRC_2.concat.fq.gz
Nothobranchius	NOR	NVG	V3.NVG	1,168,405,699	./trim/trimmed_2015_12_18/V3.NVG_1.fq.gz.trimmed.paired.fq.gz	./trim/trimmed_2015_12_18/V3.NVG_2.fq.gz.trimmed.paired.fq.gz
Nothobranchius	NOR	NVS	NVS	1,251,485,153	./trim/trimmed_2017_3_3/NVS_R1.fastq.gz.trimmed.paired.fq.gz,./trim/trimmed_2015_11_18/10NVS_1.fq.trimmed.paired.fq	./trim/trimmed_2017_3_3/NVS_R2.fastq.gz.trimmed.paired.fq.gz,./trim/trimmed_2015_11_18/10NVS_2.fq.trimmed.paired.fq
Nothobranchius	NOR	NFZ	NFZ	1581000000	./pseudogenomes/correctedfq/BGI170_PE_1.fq.gz.trimmed.paired.fq.gz	./pseudogenomes/correctedfq/BGI170_PE_2.fq.gz.trimmed.paired.fq.gz
Pronothobranchius	NOR	PSY	PSY	1,325,180,029	./trim/trimmed_denovo_PE_run4/PSY_30x_CTTGTA_1.fq.gz.trimmed.paired.fq.gz	./trim/trimmed_denovo_PE_run4/PSY_30x_CTTGTA_2.fq.gz.trimmed.paired.fq.gz
Aplocheilus	PLP	APL	C44.APL	884,480,483	./trim/trimmed_2015_11_18/C44APL_1.fq.trimmed.paired.fq	./trim/trimmed_2015_11_18/C44APL_2.fq.trimmed.paired.fq
Pachypanchax	PLP	PLP	PLP	827,623,774	./pseudogenomes/refs/PLP.fa	-
