rna0	XM_015955279
rna112	XM_015945244
rna113	XM_015944789
rna114	XM_015944708
rna115	XM_015944951
rna116	XM_015944867
rna117	XM_015945052
rna118	XM_015944584
rna119	XM_015944474
rna120	XM_015944183
rna121	XM_015944350
rna122	XM_015944269
rna123	XM_015944073
rna124	XM_015943997
rna125	XM_015943914
rna126	XM_015957946
rna127	XM_015943686
rna128	XM_015943610
rna129	XM_015943806
rna130	XM_015943491
rna131	XM_015943377
rna132	XM_015943307
rna134	XM_015943052
rna136	XM_015942932
rna137	XM_015942810
rna138	XM_015941963
rna139	XM_015946372
rna140	XM_015941115
rna141	XM_015940523
rna142	XM_015976324
rna143	XM_015975201
rna145	XM_015974113
rna146	XM_015972170
rna147	XM_015972951
rna148	XM_015969383
rna149	XM_015970190
rna150	XM_015970981
rna151	XM_015967415
rna152	XM_015968203
rna153	XM_015966229
rna154	XM_015965030
rna155	XM_015963828
rna156	XM_015963084
rna157	XM_015952549
rna158	XM_015953331
rna159	XM_015955591
rna160	XM_015954081
rna161	XM_015954819
rna162	XM_015958735
rna163	XM_015956389
rna164	XM_015957947
rna165	XM_015957166
rna166	XM_015960685
rna167	XM_015959952
rna168	XM_015961878
rna169	XM_015950656
rna170	XM_015951427
rna171	XM_015949487
rna172	XM_015948735
rna173	XM_015945205
rna174	XM_015947140
rna176	XM_015946373
rna177	XM_015957702
rna178	XM_015957579
rna179	XM_015957284
rna180	XM_015957364
rna181	XM_015957450
rna183	XM_015956832
rna184	XM_015956708
rna185	XM_015956624
rna186	XM_015956350
rna187	XM_015956414
rna188	XM_015956525
rna189	XM_015956221
rna190	XM_015956092
rna191	XM_015955970
rna192	XM_015959310
rna193	XM_015959391
rna194	XM_015959469
rna195	XM_015959678
rna196	XM_015959592
rna197	XM_015959761
rna198	XM_015959835
rna199	XM_015959953
rna200	XM_015960034
rna201	XM_015960100
rna202	XM_015957869
rna203	XM_015957983
rna204	XM_015958092
rna206	XM_015960325
rna207	XM_015960209
rna209	XM_015958222
rna210	XM_015958334
rna211	XM_015960850
rna212	XM_015960770
rna213	XM_015960533
rna214	XM_015960686
rna215	XM_015960607
rna216	XM_015960974
rna217	XM_015961218
rna218	XM_015961101
rna219	XM_015961343
rna220	XM_015961421
rna221	XM_015961615
rna222	XM_015961492
rna223	XM_015961730
rna224	XM_015961846
rna225	XM_015961959
rna226	XM_015962082
rna227	XM_015962201
rna228	XM_015962441
rna229	XM_015962524
rna230	XM_015962325
rna231	XM_015962642
rna232	XM_015962713
rna235	XM_015963323
rna236	XM_015963163
rna237	XM_015963406
rna238	XM_015963244
rna239	XM_015963041
rna240	XM_015962960
rna241	XM_015963522
rna242	XM_015963633
rna244	XM_015964376
rna245	XM_015964289
rna246	XM_015964068
rna247	XM_015963987
rna248	XM_015963911
rna249	XM_015964161
rna250	XM_015958452
rna251	XM_015963793
rna252	XM_015964573
rna253	XM_015964493
rna254	XM_015964701
rna255	XM_015964822
rna256	XM_015964901
rna257	XM_015965031
rna259	XM_015965237
rna260	XM_015965358
rna261	XM_015965578
rna262	XM_015965693
rna263	XM_015965772
rna264	XM_015965971
rna265	XM_015965895
rna266	XM_015966103
rna267	XM_015966230
rna268	XM_015966334
rna269	XM_015966459
rna270	XM_015966539
rna271	XM_015966741
rna272	XM_015966664
rna274	XM_015966929
rna276	XM_015967046
rna281	XM_015967256
rna284	XM_015967452
rna285	XM_015967694
rna286	XM_015967565
rna287	XM_015967815
rna288	XM_015967938
rna289	XM_015968040
rna290	XM_015968292
rna291	XM_015968160
rna292	XM_015968415
rna293	XM_015968545
rna294	XM_015968628
rna295	XM_015968744
rna296	XM_015968817
rna297	XM_015968895
rna299	XM_015969160
rna300	XM_015969230
rna301	XM_015969082
rna302	XM_015969304
rna303	XM_015969424
rna305	XM_015970025
rna306	XM_015969936
rna307	XM_015969853
rna308	XM_015969769
rna309	XM_015969684
rna310	XM_015970104
rna311	XM_015969615
rna312	XM_015970349
rna313	XM_015970430
rna314	XM_015970228
rna315	XM_015970652
rna316	XM_015970734
rna317	XM_015958693
rna320	XM_015971437
rna321	XM_015971321
rna322	XM_015971249
rna323	XM_015971134
rna324	XM_015971554
rna325	XM_015971753
rna326	XM_015971675
rna327	XM_015972086
rna328	XM_015971874
rna329	XM_015971963
rna330	XM_015972208
rna331	XM_015972328
rna332	XM_015972407
rna333	XM_015972466
rna334	XM_015972537
rna335	XM_015972617
rna336	XM_015958822
rna337	XM_015972832
rna338	XM_015972746
rna339	XM_015972952
rna340	XM_015973085
rna343	XM_015973280
rna344	XM_015973347
rna346	XM_015973416
rna347	XM_015973571
rna348	XM_015958950
rna350	XM_015973671
rna351	XM_015973833
rna352	XM_015973961
rna353	XM_015973754
rna354	XM_015974073
rna355	XM_015974635
rna356	XM_015974746
rna357	XM_015974888
rna358	XM_015974816
rna359	XM_015974526
rna360	XM_015974460
rna361	XM_015974197
rna362	XM_015974348
rna363	XM_015974277
rna364	XM_015975160
rna365	XM_015975273
rna366	XM_015974989
rna367	XM_015975053
rna368	XM_015975378
rna369	XM_015975675
rna370	XM_015975829
rna371	XM_015975749
rna372	XM_015975598
rna373	XM_015975517
rna374	XM_015975442
rna375	XM_015975944
rna376	XM_015976064
rna378	XM_015976258
rna379	XM_015976435
rna380	XM_015976364
rna381	XM_015976547
rna382	XM_015976650
rna383	XM_015976808
rna384	XM_015976746
rna385	XM_015976908
rna386	XM_015976983
rna387	XM_015977051
rna389	XM_015977227
rna390	XM_015977306
rna391	XM_015943201
rna392	XM_015943211
rna393	XM_015943221
rna395	XM_015943240
rna396	XM_015943272
rna397	XM_015943253
rna398	XM_015943260
rna400	XM_015943303
rna401	XM_015943315
rna402	XM_015943324
rna408	XM_015943357
rna409	XM_015943366
rna410	XM_015943373
rna411	XM_015943381
rna412	XM_015943393
rna413	XM_015943415
rna414	XM_015943448
rna415	XM_015943438
rna416	XM_015943427
rna417	XM_015943402
rna418	XM_015943460
rna419	XM_015943468
rna420	XM_015943479
rna423	XM_015943514
rna424	XM_015943536
rna425	XM_015943527
rna426	XM_015943560
rna427	XM_015943584
rna428	XM_015943548
rna429	XM_015943599
rna430	XM_015943572
rna431	XM_015943611
rna432	XM_015943634
rna433	XM_015943641
rna434	XM_015943622
rna435	XM_015943652
rna436	XM_015941596
rna437	XM_015943663
rna438	XM_015943698
rna439	XM_015943673
rna440	XM_015943778
rna441	XM_015943785
rna442	XM_015943743
rna443	XM_015943709
rna444	XM_015943734
rna445	XM_015943759
rna446	XM_015943726
rna447	XM_015943719
rna448	XM_015943751
rna449	XM_015943767
rna450	XM_015943883
rna451	XM_015943893
rna452	XM_015943900
rna453	XM_015943869
rna454	XM_015943828
rna455	XM_015943834
rna456	XM_015943831
rna457	XM_015943840
rna458	XM_015943859
rna459	XM_015943850
rna460	XM_015943816
rna461	XM_015943807
rna462	XM_015943797
rna463	XM_015943962
rna464	XM_015943915
rna465	XM_015943939
rna466	XM_015943949
rna467	XM_015943932
rna468	XM_015943925
rna469	XM_015943972
rna470	XM_015943998
rna471	XM_015944023
rna472	XM_015944016
rna473	XM_015944046
rna474	XM_015944054
rna475	XM_015944038
rna479	XM_015944065
rna481	XM_015944100
rna482	XM_015944087
rna483	XM_015944078
rna484	XM_015944126
rna485	XM_015944139
rna486	XM_015944144
rna487	XM_015944151
rna488	XM_015944160
rna489	XM_015944175
rna490	XM_015944170
rna491	XM_015944200
rna492	XM_015944209
rna493	XM_015944187
rna494	XM_015944225
rna495	XM_015944237
rna496	XM_015944249
rna497	XM_015953946
rna498	XM_015944260
rna499	XM_015944286
rna501	XM_015944307
rna502	XM_015944319
rna503	XM_015944328
rna504	XM_015944340
rna505	XM_015944351
rna507	XM_015944407
rna508	XM_015944378
rna509	XM_015944369
rna510	XM_015944387
rna511	XM_015944394
rna513	XM_015944432
rna514	XM_015944442
rna515	XM_015944456
rna516	XM_015944479
rna517	XM_015944469
rna519	XM_015944503
rna520	XM_015944516
rna521	XM_015944527
rna522	XM_015944541
rna523	XM_015944536
rna525	XM_015944552
rna526	XM_015944560
rna527	XM_015944585
rna529	XM_015944606
rna530	XM_015944615
rna531	XM_015944625
rna532	XM_015944629
rna533	XM_015944664
rna534	XM_015944642
rna535	XM_015944653
rna536	XM_015944676
rna537	XM_015944686
rna538	XM_015944699
rna539	XM_015944709
rna540	XM_015944720
rna541	XM_015944729
rna542	XM_015944740
rna543	XM_015944752
rna544	XM_015944781
rna545	XM_015944772
rna546	XM_015944764
rna548	XM_015944805
rna549	XM_015944817
rna550	XM_015944828
rna551	XM_015944839
rna552	XM_015944859
rna553	XM_015944852
rna554	XM_015944929
rna555	XM_015944923
rna556	XM_015944900
rna557	XM_015944884
rna558	XM_015944892
rna559	XM_015944910
rna560	XM_015944873
rna561	XM_015944945
rna562	XM_015944980
rna563	XM_015944962
rna564	XM_015944988
rna565	XM_015944972
rna566	XM_015945031
rna567	XM_015945000
rna568	XM_015945008
rna569	XM_015945013
rna570	XM_015945020
rna571	XM_015945040
rna572	XM_015945050
rna573	XM_015945059
rna574	XM_015941677
rna575	XM_015941782
rna576	XM_015945087
rna577	XM_015945102
rna578	XM_015945094
rna579	XM_015945070
rna580	XM_015945080
rna581	XM_015945116
rna582	XM_015945109
rna583	XM_015945122
rna584	XM_015945138
rna585	XM_015945130
rna586	XM_015945151
rna587	XM_015945164
rna588	XM_015945176
rna590	XM_015945193
rna591	XM_015945206
rna592	XM_015945217
rna595	XM_015945272
rna596	XM_015945279
rna597	XM_015945288
rna598	XM_015945260
rna599	XM_015945253
rna600	XM_015945299
rna601	XM_015945308
rna603	XM_015945336
rna604	XM_015945328
rna606	XM_015945347
rna607	XM_015945356
rna608	XM_015941882
rna609	XM_015945368
rna610	XM_015945393
rna611	XM_015941964
rna612	XM_015942055
rna613	XM_015945381
rna614	XM_015942137
rna615	XM_015945406
rna616	XM_015945428
rna617	XM_015945437
rna618	XM_015945620
rna619	XM_015945581
rna620	XM_015945606
rna621	XM_015942232
rna622	XM_015945570
rna623	XM_015942323
rna624	XM_015945594
rna625	XM_015945632
rna626	XM_015945525
rna627	XM_015945541
rna628	XM_015945507
rna629	XM_015945532
rna630	XM_015941292
rna631	XM_015941371
rna632	XM_015945552
rna633	XM_015941456
rna634	XM_015945559
rna635	XM_015941525
rna636	XM_015945463
rna637	XM_015945498
rna638	XM_015945472
rna639	XM_015945517
rna640	XM_015945448
rna641	XM_015945455
rna642	XM_015945480
rna643	XM_015945489
rna644	XM_015945645
rna646	XM_015945689
rna647	XM_015945676
rna649	XM_015942417
rna650	XM_015942511
rna651	XM_015954009
rna652	XM_015945700
rna653	XM_015945713
rna654	XM_015945721
rna655	XM_015945732
rna656	XM_015945744
rna657	XM_015945766
rna658	XM_015945774
rna659	XM_015945783
rna660	XM_015945757
rna661	XM_015945789
rna662	XM_015945798
rna663	XM_015945804
rna664	XM_015945813
rna665	XM_015945825
rna666	XM_015945850
rna667	XM_015945840
rna668	XM_015945857
rna669	XM_015945886
rna670	XM_015945870
rna671	XM_015945879
rna672	XM_015945898
rna673	XM_015945907
rna674	XM_015945944
rna675	XM_015945933
rna676	XM_015945923
rna677	XM_015945970
rna678	XM_015945962
rna679	XM_015945955
rna681	XM_015945999
rna682	XM_015946000
rna683	XM_015946011
rna684	XM_015945983
rna685	XM_015945995
rna686	XM_015946022
rna687	XM_015942603
rna688	XM_015946042
rna689	XM_015946034
rna690	XM_015946055
rna691	XM_015946082
rna692	XM_015946091
rna693	XM_015946131
rna694	XM_015946144
rna695	XM_015946118
rna696	XM_015946066
rna698	XM_015946104
rna699	XM_015946156
rna700	XM_015946164
rna704	XM_015946187
rna705	XM_015946208
rna706	XM_015946194
rna707	XM_015946201
rna708	XM_015946216
rna710	XM_015954052
rna711	XM_015946230
rna712	XM_015946238
rna713	XM_015954060
rna714	XM_015946246
rna715	XM_015946281
rna716	XM_015946258
rna717	XM_015946289
rna718	XM_015946272
rna719	XM_015946297
rna720	XM_015946265
rna721	XM_015946303
rna722	XM_015946312
rna723	XM_015946320
rna724	XM_015946332
rna725	XM_015946340
rna726	XM_015946374
rna727	XM_015946354
rna728	XM_015946361
rna729	XM_015946386
rna730	XM_015946397
rna731	XM_015946406
rna732	XM_015946440
rna733	XM_015946447
rna734	XM_015946418
rna735	XM_015946428
rna736	XM_015946458
rna737	XM_015954069
rna738	XM_015942697
rna739	XM_015946484
rna740	XM_015946497
rna741	XM_015946470
rna742	XM_015946530
rna743	XM_015946536
rna744	XM_015946520
rna745	XM_015946539
rna746	XM_015946550
rna747	XM_015946558
rna748	XM_015946566
rna749	XM_015946579
rna750	XM_015946585
rna753	XM_015946611
rna754	XM_015946617
rna755	XM_015946622
rna756	XM_015946634
rna757	XM_015946649
rna758	XM_015946658
rna759	XM_015946671
rna760	XM_015946679
rna761	XM_015946698
rna762	XM_015942823
rna763	XM_015946712
rna764	XM_015946727
rna766	XM_015946747
rna767	XM_015946761
rna768	XM_015946859
rna769	XM_015946785
rna770	XM_015946773
rna771	XM_015946850
rna772	XM_015946819
rna773	XM_015946828
rna774	XM_015946840
rna775	XM_015946835
rna776	XM_015946797
rna777	XM_015946807
rna778	XM_015946883
rna779	XM_015946872
rna780	XM_015946888
rna781	XM_015946900
rna782	XM_015946912
rna783	XM_015946919
rna784	XM_015946930
rna785	XM_015946969
rna786	XM_015946953
rna787	XM_015946963
rna788	XM_015946943
rna789	XM_015946991
rna790	XM_015946982
rna791	XM_015947003
rna792	XM_015946998
rna793	XM_015947015
rna794	XM_015947027
rna795	XM_015947043
rna796	XM_015947080
rna797	XM_015947059
rna798	XM_015947070
rna799	XM_015947090
rna800	XM_015947132
rna801	XM_015947123
rna802	XM_015947103
rna803	XM_015947110
rna804	XM_015947145
rna805	XM_015947163
rna806	XM_015947155
rna807	XM_015942835
rna808	XM_015947175
rna809	XM_015947183
rna810	XM_015947195
rna811	XM_015947204
rna812	XM_015947229
rna813	XM_015947216
rna816	XM_015947256
rna817	XM_015947288
rna818	XM_015947270
rna819	XM_015947279
rna820	XM_015947330
rna821	XM_015947300
rna822	XM_015947308
rna823	XM_015947318
rna824	XM_015947344
rna825	XM_015947358
rna826	XM_015947398
rna827	XM_015947412
rna828	XM_015947430
rna829	XM_015947381
rna830	XM_015947390
rna831	XM_015947421
rna832	XM_015947404
rna833	XM_015947370
rna834	XM_015947441
rna835	XM_015947453
rna836	XM_015947465
rna837	XM_015947489
rna838	XM_015947477
rna839	XM_015947503
rna840	XM_015947511
rna841	XM_015947545
rna842	XM_015947528
rna843	XM_015947537
rna844	XM_015947519
rna845	XM_015942881
rna847	XM_015947605
rna848	XM_015947598
rna849	XM_015947592
rna850	XM_015947615
rna851	XM_015947638
rna852	XM_015947662
rna853	XM_015947679
rna854	XM_015947651
rna855	XM_015947671
rna858	XM_015947703
rna859	XM_015947689
rna860	XM_015947726
rna861	XM_015947715
rna862	XM_015947750
rna863	XM_015947742
rna864	XM_015947734
rna865	XM_015947775
rna866	XM_015947762
rna867	XM_015947787
rna868	XM_015947805
rna869	XM_015947799
rna871	XM_015947840
rna873	XM_015947827
rna875	XM_015947870
rna876	XM_015947922
rna877	XM_015947892
rna878	XM_015947899
rna879	XM_015947883
rna880	XM_015947907
rna881	XM_015947935
rna882	XM_015947945
rna883	XM_015947953
rna884	XM_015948003
rna885	XM_015948015
rna886	XM_015947964
rna887	XM_015947976
rna888	XM_015947983
rna889	XM_015947992
rna890	XM_015948028
rna891	XM_015948040
rna892	XM_015948055
rna893	XM_015948047
rna894	XM_015948063
rna895	XM_015948070
rna896	XM_015948079
rna897	XM_015948088
rna898	XM_015948101
rna899	XM_015948113
rna900	XM_015948216
rna901	XM_015948177
rna902	XM_015948187
rna903	XM_015948205
rna904	XM_015948198
rna905	XM_015948126
rna906	XM_015948166
rna908	XM_015948134
rna909	XM_015948149
rna910	XM_015948142
rna911	XM_015948157
rna912	XM_015948230
rna913	XM_015948240
rna914	XM_015948260
rna915	XM_015948249
rna916	XM_015948272
rna918	XM_015942919
rna920	XM_015948300
rna921	XM_015948291
rna922	XM_015948281
rna923	XM_015948315
rna924	XM_015948324
rna925	XM_015948376
rna926	XM_015948336
rna927	XM_015948355
rna928	XM_015948362
rna929	XM_015948370
rna930	XM_015948382
rna931	XM_015948393
rna932	XM_015948345
rna933	XM_015948405
rna934	XM_015948414
rna935	XM_015948419
rna936	XM_015948431
rna937	XM_015948453
rna938	XM_015948440
rna939	XM_015948465
rna940	XM_015948494
rna941	XM_015948477
rna942	XM_015948486
rna943	XM_015948550
rna944	XM_015948507
rna945	XM_015948523
rna946	XM_015948514
rna947	XM_015948537
rna948	XM_015948571
rna949	XM_015948561
rna950	XM_015948583
rna951	XM_015948595
rna952	XM_015948665
rna953	XM_015948656
rna954	XM_015948614
rna955	XM_015948621
rna956	XM_015948606
rna957	XM_015948635
rna958	XM_015948628
rna959	XM_015948644
rna960	XM_015948675
rna961	XM_015948701
rna962	XM_015948686
rna963	XM_015948714
rna964	XM_015948726
rna965	XM_015948739
rna966	XM_015948749
rna967	XM_015948758
rna968	XM_015948775
rna969	XM_015948770
rna970	XM_015954097
rna971	XM_015948787
rna972	XM_015948796
rna973	XM_015948886
rna974	XM_015948814
rna975	XM_015948823
rna976	XM_015948869
rna977	XM_015948861
rna978	XM_015948832
rna979	XM_015948851
rna980	XM_015948842
rna981	XM_015948809
rna982	XM_015948877
rna983	XM_015948898
rna984	XM_015948906
rna985	XM_015948914
rna986	XM_015948922
rna987	XM_015948928
rna988	XM_015948905
rna989	XM_015948949
rna990	XM_015948959
rna991	XM_015948966
rna992	XM_015948975
rna993	XM_015948937
rna994	XM_015948985
rna995	XM_015948994
rna996	XM_015949008
rna998	XM_015949055
rna999	XM_015949048
rna1000	XM_015949078
rna1001	XM_015949087
rna1002	XM_015949069
rna1003	XM_015949063
rna1004	XM_015949030
rna1005	XM_015949038
rna1007	XM_015949108
rna1008	XM_015949097
rna1009	XM_015949112
rna1011	XM_015949142
rna1012	XM_015949132
rna1013	XM_015949159
rna1014	XM_015949165
rna1015	XM_015949151
rna1018	XM_015949189
rna1019	XM_015949200
rna1020	XM_015949212
rna1021	XM_015949225
rna1022	XM_015949222
rna1023	XM_015949293
rna1024	XM_015949262
rna1026	XM_015949282
rna1027	XM_015949271
rna1028	XM_015949233
rna1029	XM_015949243
rna1030	XM_015949250
rna1031	XM_015949307
rna1032	XM_015949320
rna1033	XM_015949345
rna1034	XM_015949333
rna1035	XM_015949358
rna1036	XM_015949364
rna1037	XM_015949373
rna1038	XM_015949412
rna1039	XM_015949420
rna1040	XM_015949387
rna1041	XM_015949393
rna1042	XM_015949442
rna1043	XM_015949425
rna1044	XM_015949401
rna1045	XM_015949436
rna1046	XM_015949464
rna1047	XM_015949380
rna1048	XM_015949448
rna1049	XM_015949456
rna1050	XM_015949483
rna1051	XM_015949476
rna1052	XM_015949493
rna1053	XM_015949516
rna1054	XM_015949529
rna1055	XM_015949559
rna1056	XM_015949542
rna1057	XM_015949550
rna1058	XM_015949571
rna1059	XM_015949585
rna1060	XM_015949598
rna1061	XM_015949641
rna1062	XM_015949619
rna1063	XM_015949628
rna1064	XM_015949610
rna1065	XM_015949649
rna1066	XM_015949661
rna1067	XM_015949670
rna1068	XM_015949678
rna1070	XM_015949692
rna1073	XM_015949712
rna1074	XM_015949732
rna1075	XM_015949724
rna1076	XM_015949739
rna1077	XM_015942945
rna1078	XM_015949750
rna1079	XM_015949762
rna1080	XM_015949820
rna1081	XM_015949802
rna1082	XM_015949794
rna1083	XM_015949811
rna1084	XM_015949775
rna1085	XM_015949782
rna1086	XM_015949791
rna1087	XM_015949878
rna1088	XM_015949832
rna1089	XM_015949855
rna1090	XM_015949865
rna1091	XM_015949844
rna1092	XM_015949890
rna1093	XM_015949901
rna1095	XM_015949939
rna1097	XM_015949979
rna1098	XM_015949970
rna1099	XM_015949991
rna1100	XM_015954126
rna1101	XM_015950010
rna1102	XM_015950001
rna1104	XM_015950034
rna1105	XM_015950022
rna1106	XM_015950045
rna1107	XM_015950057
rna1108	XM_015950080
rna1109	XM_015950087
rna1110	XM_015950067
rna1111	XM_015950099
rna1112	XM_015950111
rna1113	XM_015950123
rna1114	XM_015950131
rna1115	XM_015950137
rna1116	XM_015942969
rna1117	XM_015942982
rna1118	XM_015954137
rna1119	XM_015950145
rna1120	XM_015950157
rna1121	XM_015950171
rna1122	XM_015950185
rna1126	XM_015950231
rna1128	XM_015950269
rna1129	XM_015950251
rna1130	XM_015950276
rna1131	XM_015950259
rna1133	XM_015950288
rna1134	XM_015950308
rna1135	XM_015950319
rna1137	XM_015950330
rna1138	XM_015950338
rna1139	XM_015950349
rna1140	XM_015950358
rna1141	XM_015950369
rna1142	XM_015950379
rna1144	XM_015950392
rna1145	XM_015950400
rna1146	XM_015950410
rna1147	XM_015950419
rna1148	XM_015950430
rna1154	XM_015950494
rna1155	XM_015950481
rna1156	XM_015950514
rna1157	XM_015950506
rna1161	XM_015950551
rna1162	XM_015950542
rna1163	XM_015950563
rna1164	XM_015943016
rna1165	XM_015950614
rna1166	XM_015950627
rna1167	XM_015943029
rna1168	XM_015950677
rna1169	XM_015950664
rna1170	XM_015950669
rna1171	XM_015950685
rna1172	XM_015950640
rna1174	XM_015950647
rna1175	XM_015950695
rna1176	XM_015950738
rna1177	XM_015950730
rna1178	XM_015950722
rna1179	XM_015950714
rna1180	XM_015950707
rna1183	XM_015950781
rna1184	XM_015950770
rna1185	XM_015950759
rna1188	XM_015950812
rna1189	XM_015950820
rna1190	XM_015950839
rna1191	XM_015950869
rna1192	XM_015950862
rna1193	XM_015950877
rna1194	XM_015950855
rna1196	XM_015950889
rna1197	XM_015950850
rna1198	XM_015943040
rna1199	XM_015950898
rna1200	XM_015954194
rna1201	XM_015950909
rna1202	XM_015950931
rna1203	XM_015950938
rna1204	XM_015950951
rna1206	XM_015950964
rna1207	XM_015951079
rna1208	XM_015951068
rna1209	XM_015951009
rna1210	XM_015951034
rna1211	XM_015951024
rna1212	XM_015951015
rna1213	XM_015951043
rna1214	XM_015951050
rna1215	XM_015951059
rna1216	XM_015943053
rna1217	XM_015951097
rna1218	XM_015951089
rna1219	XM_015951110
rna1220	XM_015951141
rna1221	XM_015951123
rna1222	XM_015951133
rna1223	XM_015951150
rna1224	XM_015951162
rna1225	XM_015951176
rna1226	XM_015951199
rna1227	XM_015951191
rna1228	XM_015951184
rna1229	XM_015951207
rna1230	XM_015951216
rna1231	XM_015951235
rna1232	XM_015951226
rna1233	XM_015951247
rna1235	XM_015951264
rna1236	XM_015951303
rna1237	XM_015951293
rna1238	XM_015951282
rna1239	XM_015951276
rna1240	XM_015951314
rna1241	XM_015951326
rna1242	XM_015951347
rna1243	XM_015951337
rna1244	XM_015951356
rna1247	XM_015954229
rna1248	XM_015954236
rna1249	XM_015951377
rna1250	XM_015951390
rna1251	XM_015951409
rna1252	XM_015951402
rna1254	XM_015943065
rna1255	XM_015951460
rna1256	XM_015951469
rna1257	XM_015951480
rna1258	XM_015951487
rna1259	XM_015951495
rna1260	XM_015951529
rna1261	XM_015951518
rna1262	XM_015951509
rna1263	XM_015951542
rna1264	XM_015943078
rna1265	XM_015951555
rna1266	XM_015951568
rna1267	XM_015951580
rna1269	XM_015951621
rna1271	XM_015951600
rna1273	XM_015951612
rna1274	XM_015951637
rna1275	XM_015951648
rna1276	XM_015951658
rna1277	XM_015951669
rna1279	XM_015951689
rna1282	XM_015951724
rna1283	XM_015951716
rna1284	XM_015951757
rna1285	XM_015951750
rna1286	XM_015951737
rna1287	XM_015951769
rna1290	XM_015951788
rna1291	XM_015951796
rna1292	XM_015951807
rna1293	XM_015951832
rna1294	XM_015951819
rna1296	XM_015951844
rna1297	XM_015951855
rna1298	XM_015951862
rna1299	XM_015951873
rna1301	XM_015951888
rna1302	XM_015951897
rna1303	XM_015951908
rna1304	XM_015951925
rna1305	XM_015951931
rna1307	XM_015951941
rna1308	XM_015951953
rna1309	XM_015951955
rna1310	XM_015951970
rna1311	XM_015951963
rna1312	XM_015951982
rna1313	XM_015951994
rna1314	XM_015952006
rna1315	XM_015952019
rna1316	XM_015952024
rna1318	XM_015952046
rna1319	XM_015952070
rna1320	XM_015952056
rna1321	XM_015952063
rna1322	XM_015952079
rna1324	XM_015952095
rna1325	XM_015952121
rna1326	XM_015952130
rna1328	XM_015952142
rna1329	XM_015952153
rna1330	XM_015952163
rna1331	XM_015952174
rna1332	XM_015952185
rna1333	XM_015952197
rna1334	XM_015952208
rna1335	XM_015952236
rna1336	XM_015952229
rna1337	XM_015952220
rna1338	XM_015952248
rna1339	XM_015952261
rna1340	XM_015952273
rna1341	XM_015952285
rna1342	XM_015952294
rna1343	XM_015952303
rna1344	XM_015952317
rna1345	XM_015952330
rna1346	XM_015952343
rna1347	XM_015952360
rna1348	XM_015952366
rna1349	XM_015952352
rna1350	XM_015952364
rna1351	XM_015952377
rna1352	XM_015952383
rna1353	XM_015952392
rna1354	XM_015952412
rna1355	XM_015952403
rna1356	XM_015952421
rna1357	XM_015952432
rna1359	XM_015943120
rna1360	XM_015952460
rna1361	XM_015952452
rna1362	XM_015952470
rna1363	XM_015952487
rna1364	XM_015952478
rna1365	XM_015952499
rna1366	XM_015952510
rna1367	XM_015952529
rna1368	XM_015952522
rna1369	XM_015952541
rna1370	XM_015952581
rna1371	XM_015952557
rna1372	XM_015952551
rna1373	XM_015952566
rna1374	XM_015943132
rna1376	XM_015952593
rna1377	XM_015952615
rna1378	XM_015952626
rna1379	XM_015952640
