Group_Id	Gene_Symbol	Gene_Name	AAU	CTO	NOR	PLP
Group_0_71	rest	RE1 silencing transcription factor	007952	022179	025495	005574
Group_0_72	zbtb48	zinc finger and BTB domain containing 48	020365	001325	006773	015022
Group_0_73	znf366	zinc finger protein 366 [Source:ZFIN%3BAcc:ZDB-GENE-110408-46]	011029	021753	008341	010340
Group_0_74	znf710b	zinc finger protein 710b [Source:ZFIN%3BAcc:ZDB-GENE-120503-2]	018968	017741	017042	004630
Group_0_75	znf710a	zinc finger protein 710a [Source:ZFIN%3BAcc:ZDB-GENE-030131-5559]	008009	014908	005520	009785
Group_0_76	loc107394451		029490	013767	031067	023981
Group_0_81	zbtb11	zinc finger and BTB domain containing 11	007236	011798	023539	001886
Group_0_83	zbtb20	zinc finger and BTB domain containing 20%2C transcript variant X2	002773	017299	013283	018229
Group_0_84	zbtb45	zinc finger and BTB domain containing 45 [Source:HGNC Symbol%3BAcc:HGNC:23715]	020330	016611	000685	002087
Group_0_85	znf652	zinc finger protein 652	028053	015470	006053	013860
Group_0_86	zbtb47a	zinc finger and BTB domain containing 47a [Source:ZFIN%3BAcc:ZDB-GENE-081104-121]	028416	025936	000018	017956
Group_0_91	loc107385273		024537	001196	023317	009184
Group_0_93	si:ch211-128m15.3	si:ch211-128m15.3 [Source:ZFIN%3BAcc:ZDB-GENE-141222-69]	028881	016078	001549	004059
Group_0_96	si:ch1073-224n8.1	si:ch1073-224n8.1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5649]	012528	017258	013295	018213
Group_0_100	zbtb7a	zinc finger and BTB domain containing 7A%2C transcript variant X1	011624	012505	022490	012097
Group_0_101	zbtb7b	zinc finger and BTB domain containing 7B [Source:ZFIN%3BAcc:ZDB-GENE-040426-1134]	022937	027498	025993	016057
Group_0_104	loc107390136		022292	029861	024430	010810
Group_0_105	prdm4	PR domain 4%2C transcript variant X1	024639	022542	023606	010243
Group_0_106	loc107394974		019719	001836	015954	001839
Group_0_107	prdm1	PR/SET domain 1 [Source:HGNC Symbol%3BAcc:HGNC:9346]	002267	007816	021908	017304
Group_0_108	prdm1a	PR domain containing 1a%2C with ZNF domain [Source:ZFIN%3BAcc:ZDB-GENE-030131-2193]	016543	024709	016689	023583
Group_0_109	znf410	zinc finger protein 410 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1817]	024821	013567	021527	003382
Group_0_110	loc107378318		027497	029458	000196	020616
Group_0_118	zbtb24	zinc finger and BTB domain containing 24	019228	023030	017604	023240
Group_0_120	zbtb14	zinc finger and BTB domain containing 14	006206	025396	000752	014036
Group_0_121	e4f1	E4F transcription factor 1%2C transcript variant X1	018091	015775	017775	010129
Group_0_122	znf143b	zinc finger protein 143b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1586]	008405	027858	020254	024117
Group_0_124	znf362b	zinc finger protein 362b [Source:ZFIN%3BAcc:ZDB-GENE-070424-35]	019981	029898	024874	025429
Group_0_125	znf362a	zinc finger protein 362a [Source:ZFIN%3BAcc:ZDB-GENE-061103-547]	006675	015170	003446	002184
Group_0_127	si:ch211-154o6.2	si:ch211-154o6.2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-2855]	006420	028315	015800	001172
Group_0_129	prdm10	PR domain 10%2C transcript variant X1	019425	019402	028635	011470
Group_0_130	znf131	zinc finger protein 131%2C transcript variant X2	011035	005679	014187	010347
Group_0_131	bcl6b	B-cell CLL/lymphoma 6%2C member B%2C transcript variant X1	000700	006887	029894	025346
Group_0_132	bcl6a	B-cell CLL/lymphoma 6a (zinc finger protein 51) [Source:ZFIN%3BAcc:ZDB-GENE-040426-1696]	007235	011800	023540	018663
Group_0_133	bcl6ab	B-cell CLL/lymphoma 6a%2C genome duplicate b [Source:ZFIN%3BAcc:ZDB-GENE-030131-7523]	013706	016878	008487	023283
Group_0_134	si:ch211-236k19.4	si:ch211-236k19.4 [Source:ZFIN%3BAcc:ZDB-GENE-060526-122]	029474	028825	026926	013964
Group_0_139	zbtb16a	zinc finger and BTB domain containing 16a [Source:ZFIN%3BAcc:ZDB-GENE-030131-1989]	008851	017039	014036	007217
Group_0_141	zbtb32	zinc finger and BTB domain containing 32	009143	025482	012778	021519
Group_0_142	hic1	hypermethylated in cancer 1%2C transcript variant X1	019461	016459	004249	011316
Group_0_143	hic2	hypermethylated in cancer 2	015199	021861	030312	022898
Group_0_144	mynn	myoneurin%2C transcript variant X1	000409	008339	001862	025039
Group_0_145	fezf2	FEZ family zinc finger 2	000028	026646	028180	015595
Group_0_147	loc107376145		024275	009372	026632	000753
Group_0_150	loc107396365		030404	003000	000908	025994
Group_0_151	gfi1ab	growth factor independent 1A transcription repressor b [Source:ZFIN%3BAcc:ZDB-GENE-040116-8]	029698	020539	001281	005092
Group_0_152	loc107378317		027459	019708	031171	001597
Group_0_153	zbtb39	zinc finger and BTB domain containing 39	000478	028484	029822	006801
Group_0_154	zbtb41	zinc finger and BTB domain containing 41	019946	011518	022217	013675
Group_0_155	loc107376917		028392	007564	002748	000610
Group_0_159	loc107387938		018869	021132	024736	023770
Group_0_162	zbtb40	zinc finger and BTB domain containing 40	026228	028735	007432	024732
Group_0_163	znf236	zinc finger protein 236 [Source:ZFIN%3BAcc:ZDB-GENE-041111-195]	003663	009016	020103	002845
Group_0_164	znf721	zinc finger protein 721	015191	001802	001000	022912
Group_0_165	zbtb17	zinc finger and BTB domain containing 17	029672	028538	027436	003016
Group_0_166	znf628	zinc finger protein 628	006385	027572	013122	015982
Group_0_168	znf319	zinc finger protein 319 [Source:ZFIN%3BAcc:ZDB-GENE-090406-2]	021776	017636	002541	021738
Group_0_169	loc107379038		025891	030318	022055	000776
Group_0_170	si:ch211-108m2.2	si:ch211-108m2.2 [Source:ZFIN%3BAcc:ZDB-GENE-160728-135]	007101	020883	024116	015044
Group_0_174	si: zfos-932h1.3	si: zfos-932h1.3 [Source:ZFIN%3BAcc:ZDB-GENE-141222-4]	024470	000729	001889	006915
Group_0_178	znf668	zinc finger protein 668 [Source:ZFIN%3BAcc:ZDB-GENE-041001-46]	026167	012011	014323	006904
Group_0_179	si:dkeyp-113d7.1	si:dkeyp-113d7.1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-755]	008880	030057	005210	025584
Group_0_180	loc107397360		029303	029625	001140	024130
Group_1_6	nod1	nucleotide binding oligomerization domain containing 1%2C transcript variant X1	022761	022509	030510	008961
Group_1_7	nod2	nucleotide-binding oligomerization domain containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-061108-4]	005219	007734	018170	007659
Group_1_8	nlrx1	NLR family member X1 [Source:ZFIN%3BAcc:ZDB-GENE-071119-3]	024916	009057	011561	018032
Group_1_13	nlrc3	NLR family%2C CARD domain containing 3	029477	012021	031586	024028
Group_1_19	nlrc3l	NLR family%2C CARD domain containing 3-like [Source:ZFIN%3BAcc:ZDB-GENE-121214-346]	020816	029534	001880	023947
Group_1_20	si:dkey-17e16.8	si:dkey-17e16.8 [Source:ZFIN%3BAcc:ZDB-GENE-091204-248]	013651	017272	030945	018257
Group_10_0	ptafr	platelet-activating factor receptor [Source:ZFIN%3BAcc:ZDB-GENE-131127-236]	012368	028696	023642	006025
Group_10_6	gpr171	G protein-coupled receptor 171 [Source:ZFIN%3BAcc:ZDB-GENE-131121-339]	025208	017877	017084	018963
Group_10_7	p2ry13	purinergic receptor P2Y13 [Source:HGNC Symbol%3BAcc:HGNC:4537]	030439	028954	001189	025621
Group_10_9	p2ry13	purinergic receptor P2Y%2C G-protein coupled%2C 13 [Source:ZFIN%3BAcc:ZDB-GENE-110208-5]	030440	028955	021928	025620
Group_10_10	p2ry12	purinergic receptor P2Y%2C G-protein coupled%2C 12 [Source:ZFIN%3BAcc:ZDB-GENE-110208-4]	014858	007467	021927	025623
Group_10_15	cu694531.2	unknown	030401	030215	031987	025792
Group_10_16	gpr174	G protein-coupled receptor 174	013337	016761	000821	013602
Group_10_18	loc107384460		030236	029964	028793	013291
Group_10_22	lpar4	lysophosphatidic acid receptor 4 [Source:ZFIN%3BAcc:ZDB-GENE-120201-1]	029149	016759	005997	013604
Group_10_23	lpar6a	lysophosphatidic acid receptor 6a [Source:ZFIN%3BAcc:ZDB-GENE-061013-343]	021414	025705	016132	011436
Group_10_26	lpar5b	lysophosphatidic acid receptor 5b [Source:ZFIN%3BAcc:ZDB-GENE-081022-116]	021880	013831	025677	009076
Group_10_27	lpar5b	lysophosphatidic acid receptor 5b [Source:ZFIN%3BAcc:ZDB-GENE-081022-116]	030685	009654	032176	009039
Group_10_29	gpr31	G protein-coupled receptor 31 [Source:ZFIN%3BAcc:ZDB-GENE-070705-34]	018022	002736	029313	008468
Group_10_30	hcar1-2	hydroxycarboxylic acid receptor 1-2 [Source:ZFIN%3BAcc:ZDB-GENE-111111-6]	029361	019937	030025	003587
Group_10_32	loc107387242		016492	009792	023170	012903
Group_10_33	hcar1-3	hydroxycarboxylic acid receptor 1-3 [Source:ZFIN%3BAcc:ZDB-GENE-081107-48]	028292	006259	017165	019215
Group_10_36	oxgr1a.2	oxoglutarate (alpha-ketoglutarate) receptor 1a%2C tandem duplicate 2 [Source:ZFIN%3BAcc:ZDB-GENE-090312-1]	020179	008928	013414	013147
Group_10_37	sucnr1	succinate receptor 1	014856	007469	004209	015420
Group_10_42	p2ry4	pyrimidinergic receptor P2Y4	004116	022431	031600	020212
Group_10_43	p2ry2	purinergic receptor P2Y2	019283	018609	025330	021086
Group_10_46	loc107387222		026486	030316	006610	025136
Group_10_51	gpr132b	G protein-coupled receptor 132b [Source:ZFIN%3BAcc:ZDB-GENE-040724-83]	004692	029675	016642	008684
Group_10_55	gpr4	G protein-coupled receptor 4 [Source:ZFIN%3BAcc:ZDB-GENE-101202-1]	016055	005443	003718	008435
Group_10_56	gpr68	G protein-coupled receptor 68 [Source:HGNC Symbol%3BAcc:HGNC:4519]	020127	015389	015760	010154
Group_10_57	gpr65	G protein-coupled receptor 65 [Source:ZFIN%3BAcc:ZDB-GENE-120709-81]	012345	028713	023663	022572
Group_10_58	gpr20	G protein-coupled receptor 20 [Source:HGNC Symbol%3BAcc:HGNC:4475]	022802	025581	031859	024508
Group_10_59	cabz01073735.1	unknown	018716	020151	010635	006582
Group_10_60	si:dkey-211g8.9	si:dkey-211g8.9 [Source:ZFIN%3BAcc:ZDB-GENE-120215-191]	012817	004016	021334	025245
Group_10_62	loc107379318		013924	024746	009809	015855
Group_10_65	si:dkey-163m14.2	si:dkey-163m14.2 [Source:ZFIN%3BAcc:ZDB-GENE-120215-47]	016910	026975	014005	024700
Group_10_68	f2rl2	coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol%3BAcc:HGNC:3539]	000443	026970	014017	018708
Group_10_71	p2ry8	purinergic receptor P2Y%2C G-protein coupled%2C 8 [Source:ZFIN%3BAcc:ZDB-GENE-070912-447]	014126	028930	031984	020074
Group_10_72	gpr17	G protein-coupled receptor 17	007244	011815	023553	018674
Group_10_75	si:ch211-184m13.4	si:ch211-184m13.4 [Source:ZFIN%3BAcc:ZDB-GENE-070912-160]	014133	006924	017932	024722
Group_10_76	cabz01054884.1	unknown	023518	016291	022320	015019
Group_10_77	cysltr1	cysteinyl leukotriene receptor 1 [Source:ZFIN%3BAcc:ZDB-GENE-050522-250]	029154	016781	006002	013610
Group_10_78	cysltr3	cysteinyl leukotriene receptor 3 [Source:ZFIN%3BAcc:ZDB-GENE-131127-536]	025064	021434	022998	021721
Group_100_0	slc2a1b	solute carrier family 2 (facilitated glucose transporter)%2C member 1b [Source:ZFIN%3BAcc:ZDB-GENE-090915-1]	026296	011305	011933	005811
Group_100_1	slc2a3a	solute carrier family 2 (facilitated glucose transporter)%2C member 3a [Source:ZFIN%3BAcc:ZDB-GENE-040718-390]	016968	019014	030150	016742
Group_100_2	slc2a3b	solute carrier family 2 (facilitated glucose transporter)%2C member 3b [Source:ZFIN%3BAcc:ZDB-GENE-121031-5]	028659	027528	030588	016031
Group_100_3	slc2a2	solute carrier family 2 member 2	029999	012281	030028	008080
Group_100_4	slc2a4	solute carrier family 2 member 4	002483	006902	003854	009518
Group_100_6	slc2a8	solute carrier family 2 (facilitated glucose transporter)%2C member 8 [Source:ZFIN%3BAcc:ZDB-GENE-030829-25]	028921	021539	008193	016319
Group_100_7	slc2a6	solute carrier family 2 (facilitated glucose transporter)%2C member 6 [Source:ZFIN%3BAcc:ZDB-GENE-081104-301]	014746	004874	008026	004468
Group_100_8	loc107397313		020219	022513	000078	020049
Group_100_10	slc2a13b	solute carrier family 2 (facilitated glucose transporter)%2C member 13b [Source:ZFIN%3BAcc:ZDB-GENE-090812-1]	009109	027843	021155	019304
Group_100_12	slc2a12	solute carrier family 2 member 12	022473	021044	016535	006259
Group_100_13	slc2a9	solute carrier family 2 member 9%2C transcript variant X2	001084	025298	025405	008347
Group_100_14	slc2a15a	solute carrier family 2 (facilitated glucose transporter)%2C member 15a [Source:ZFIN%3BAcc:ZDB-GENE-060531-109]	028307	026526	015135	024407
Group_100_15	slc2a15b	Oryzias latipes solute carrier family 2%2C facilitated glucose transporter member 9-like (slc2a15b)%2C mRNA. [Source:RefSeq mRNA%3BAcc:NM_001278846]	002592	008558	028432	005520
Group_100_17	slc2a9l1	solute carrier family 2 (facilitated glucose transporter)%2C member 9-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-090915-3]	015868	008747	025408	008351
Group_100_18	slc2a11l	solute carrier family 2 (facilitated glucose transporter)%2C member 11-like [Source:ZFIN%3BAcc:ZDB-GENE-061215-118]	021997	007233	029025	012610
Group_100_20	slc2a11a	solute carrier family 2 (facilitated glucose transporter)%2C member 11a [Source:ZFIN%3BAcc:ZDB-GENE-080723-20]	028698	029234	009599	025604
Group_100_23	slc2a11b	solute carrier family 2 (facilitated glucose transporter)%2C member 11b [Source:ZFIN%3BAcc:ZDB-GENE-070705-96]	028586	011454	025571	018456
Group_100_24	slc2a11b	solute carrier family 2 (facilitated glucose transporter)%2C member 11b [Source:ZFIN%3BAcc:ZDB-GENE-070705-96]	005438	011455	025570	018455
Group_100_25	slc2a5	solute carrier family 2 member 5	021075	005092	007545	011784
Group_100_26	slc2a1a	solute carrier family 2 (facilitated glucose transporter)%2C member 1a [Source:ZFIN%3BAcc:ZDB-GENE-030131-3158]	018176	001655	011277	022194
Group_1000_1	tmem30c	transmembrane protein 30C [Source:ZFIN%3BAcc:ZDB-GENE-040426-1127]	014187	006963	010420	019350
Group_1000_3	tmem30ab	transmembrane protein 30Ab [Source:ZFIN%3BAcc:ZDB-GENE-030131-5884]	025111	018522	009833	023856
Group_1001_0	grb10b	growth factor receptor-bound protein 10b [Source:ZFIN%3BAcc:ZDB-GENE-091020-12]	029518	022832	022897	016382
Group_1001_1	grb14	growth factor receptor bound protein 14%2C transcript variant X1	028507	004284	028854	011030
Group_1001_2	si:ch211-253b1.3	si:ch211-253b1.3 [Source:ZFIN%3BAcc:ZDB-GENE-091118-23]	018661	028780	012471	012964
Group_1001_3	grb10a	growth factor receptor-bound protein 10a [Source:ZFIN%3BAcc:ZDB-GENE-040822-32]	014511	019455	004867	016506
Group_1002_0	b3gat1a	beta-1%2C3-glucuronyltransferase 1 (glucuronosyltransferase P) a [Source:ZFIN%3BAcc:ZDB-GENE-050419-21]	010934	025740	005170	018796
Group_1002_1	b3gat2	beta-1%2C3-glucuronyltransferase 2	020453	019132	003366	013729
Group_1002_2	loc107386313		009722	013384	025849	000781
Group_1003_0	lonrf2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol%3BAcc:HGNC:24788]	009435	013474	004383	019157
Group_1003_1	lonrf1	LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN%3BAcc:ZDB-GENE-101021-4]	025706	005314	027550	009851
Group_1003_2	lonrf1l	LON peptidase N-terminal domain and ring finger 1%2C like [Source:ZFIN%3BAcc:ZDB-GENE-081104-397]	016147	013333	004921	002653
Group_1003_3	lonrf3	LON peptidase N-terminal domain and ring finger 3 [Source:HGNC Symbol%3BAcc:HGNC:21152]	000765	026664	006210	013638
Group_1004_0	znf281b	zinc finger protein 281b [Source:ZFIN%3BAcc:ZDB-GENE-050220-1]	018557	006076	005247	024182
Group_1004_1	znf281a	zinc finger protein 281a [Source:ZFIN%3BAcc:ZDB-GENE-131126-34]	025563	015483	016794	014693
Group_1004_3	znf148	zinc finger protein 148%2C transcript variant X2	029739	019276	025181	010767
Group_1005_0	fbxl20	F-box and leucine-rich repeat protein 20 [Source:ZFIN%3BAcc:ZDB-GENE-081031-27]	021863	015486	029640	013893
Group_1005_1	si:dkey-192l18.9	si:dkey-192l18.9 [Source:ZFIN%3BAcc:ZDB-GENE-120709-25]	005106	004141	029226	003811
Group_1005_4	fbxl2	F-box and leucine-rich repeat protein 2	028609	026912	031267	007094
Group_1006_0	card11	caspase recruitment domain family member 11%2C transcript variant X1	018294	009164	027956	004424
Group_1006_1	card9	caspase recruitment domain family%2C member 9 [Source:ZFIN%3BAcc:ZDB-GENE-060531-94]	003294	025676	002793	002294
Group_1006_3	card14	caspase recruitment domain family member 14	004810	021901	016429	014943
Group_1008_0	eya1	EYA transcriptional coactivator and phosphatase 1%2C transcript variant X2	020618	004056	013065	004793
Group_1008_1	eya3	EYA transcriptional coactivator and phosphatase 3 [Source:ZFIN%3BAcc:ZDB-GENE-060503-864]	019740	004760	005772	001836
Group_1008_2	eya4	EYA transcriptional coactivator and phosphatase 4%2C transcript variant X1	022470	024514	016533	006262
Group_1008_3	eya2	EYA transcriptional coactivator and phosphatase 2%2C transcript variant X2	026986	004436	007256	005652
Group_1009_0	ccnt1	cyclin T1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-6397]	019150	026691	007229	022109
Group_1009_1	ccnt2b	cyclin T2b [Source:ZFIN%3BAcc:ZDB-GENE-030131-183]	023684	018289	013412	020683
Group_1009_2	ccnk	cyclin K%2C transcript variant X1	008609	013511	008072	006769
Group_1009_3	ccnt2a	cyclin T2a [Source:ZFIN%3BAcc:ZDB-GENE-030131-5779]	010977	006323	030400	010784
Group_101_0	bmp1b	bone morphogenetic protein 1b [Source:ZFIN%3BAcc:ZDB-GENE-060818-2]	028810	005787	002684	007843
Group_101_1	tll1	tolloid-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-041020-1]	004585	015538	000647	017756
Group_101_3	bmp1	bone morphogenetic protein 1 [Source:HGNC Symbol%3BAcc:HGNC:1067]	022013	007216	003264	012593
Group_101_4	si:cabz01033205.3	si:cabz01033205.3 [Source:ZFIN%3BAcc:ZDB-GENE-160728-150]	008383	002401	019707	009062
Group_101_5	cdcp2	CUB domain containing protein 2	012752	023744	031269	007972
Group_101_9	svep1	sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain containing 1%2C transcript variant X1	025286	019249	024697	001677
Group_101_11	si:ch211-233f16.1	si:ch211-233f16.1 [Source:ZFIN%3BAcc:ZDB-GENE-120214-1]	010262	020148	022135	012474
Group_101_12	csmd2	CUB and Sushi multiple domains 2	002419	028667	027232	022947
Group_101_13	csmd1	CUB and Sushi multiple domains 1%2C transcript variant X1	006978	010587	013432	020421
Group_101_14	cubn	cubilin (intrinsic factor-cobalamin receptor) [Source:ZFIN%3BAcc:ZDB-GENE-060228-6]	030083	028998	003584	006731
Group_101_16	pcolce2b	procollagen C-endopeptidase enhancer 2b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1177]	002919	002924	016597	007045
Group_101_17	pcolcea	procollagen C-endopeptidase enhancer a [Source:ZFIN%3BAcc:ZDB-GENE-041014-370]	017599	022066	002926	024676
Group_1010_0	scn1bb	sodium channel%2C voltage-gated%2C type I%2C beta b [Source:ZFIN%3BAcc:ZDB-GENE-090408-1]	012814	001219	021338	007548
Group_1010_3	scn3b	sodium channel%2C voltage-gated%2C type III%2C beta [Source:ZFIN%3BAcc:ZDB-GENE-070920-2]	029692	012677	030133	015297
Group_1010_4	si:ch211-225p5.8	si:ch211-225p5.8 [Source:ZFIN%3BAcc:ZDB-GENE-060503-783]	015646	030264	005827	023630
Group_1011_0	cart3	cocaine- and amphetamine-regulated transcript 3 [Source:ZFIN%3BAcc:ZDB-GENE-120223-5]	023704	011574	014763	013230
Group_1011_2	si:ch73-380l10.2	si:ch73-380l10.2 [Source:ZFIN%3BAcc:ZDB-GENE-141216-416]	023703	011573	011095	013229
Group_1011_3	cartpt	CART prepropeptide [Source:HGNC Symbol%3BAcc:HGNC:24323]	017254	011386	023713	008125
Group_1011_4	cart2	cocaine- and amphetamine-regulated transcript 2 [Source:ZFIN%3BAcc:ZDB-GENE-050417-23]	020792	018109	004802	021821
Group_1012_0	prdx1	peroxiredoxin 1 [Source:ZFIN%3BAcc:ZDB-GENE-050320-35]	008294	011508	027791	003518
Group_1012_1	prdx2	peroxiredoxin 2	013054	012941	006471	005499
Group_1012_2	prdx3	peroxiredoxin 3	028335	008180	005297	019246
Group_1012_3	prdx4	peroxiredoxin 4 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1096]	002759	002390	013235	018198
Group_1013_3	mapre2	microtubule associated protein RP/EB family member 2%2C transcript variant X1	029516	028919	006660	013451
Group_1014_0	tpd52l2b	tumor protein D52-like 2b [Source:ZFIN%3BAcc:ZDB-GENE-030131-822]	023884	010438	024970	000067
Group_1014_1	tpd52l2a	tumor protein D52-like 2a [Source:ZFIN%3BAcc:ZDB-GENE-030131-7047]	017769	016687	028249	015541
Group_1014_2	tpd52	tumor protein D52%2C transcript variant X1	010175	026888	021856	012425
Group_1015_1	sat2b	spermidine/spermine N1-acetyltransferase family member 2b [Source:ZFIN%3BAcc:ZDB-GENE-040718-292]	012518	017290	018159	025787
Group_1015_3	sat1	spermidine/spermine N1-acetyltransferase 1	009204	023407	006838	003470
Group_1016_0	dio3	deiodinase%2C iodothyronine type III [Source:HGNC Symbol%3BAcc:HGNC:2885]	024801	024788	031950	003390
Group_1016_1	dio2	deiodinase%2C iodothyronine%2C type II	020108	027391	015746	008922
Group_1017_0	lsm14aa	LSM14A mRNA processing body assembly factor a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1567]	004733	018112	004791	000631
Group_1017_2	lsm14b	LSM family member 14B [Source:ZFIN%3BAcc:ZDB-GENE-040426-779]	014708	008261	005682	007260
Group_1017_3	lsm14ab	LSM14A mRNA processing body assembly factor b [Source:ZFIN%3BAcc:ZDB-GENE-040426-2462]	030215	026799	022048	025257
Group_1019_0	hs6st3a	heparan sulfate 6-O-sulfotransferase 3a [Source:ZFIN%3BAcc:ZDB-GENE-120215-57]	020181	008944	013405	013162
Group_1019_2	hs6st1b	heparan sulfate 6-O-sulfotransferase 1b [Source:ZFIN%3BAcc:ZDB-GENE-070103-2]	012383	005615	023699	022621
Group_1019_4	hs6st2	heparan sulfate 6-O-sulfotransferase 2 [Source:ZFIN%3BAcc:ZDB-GENE-030909-14]	004076	022478	029773	020254
Group_102_2	sptbn2	spectrin%2C beta%2C non-erythrocytic 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-787]	012526	017261	013293	018215
Group_102_3	si:ch73-262h23.4	si:ch73-262h23.4 [Source:ZFIN%3BAcc:ZDB-GENE-081031-8]	016045	023559	016996	008427
Group_102_4	sptb	spectrin%2C beta%2C erythrocytic [Source:ZFIN%3BAcc:ZDB-GENE-000906-1]	017261	022966	009257	008066
Group_102_5	actn3a	actinin alpha 3a [Source:ZFIN%3BAcc:ZDB-GENE-000329-9]	015966	019216	023107	004192
Group_102_6	actn2b	actinin%2C alpha 2b [Source:ZFIN%3BAcc:ZDB-GENE-051127-39]	020874	022799	005085	009309
Group_102_7	actn4	actinin alpha 4%2C transcript variant X6	019434	019394	030044	024266
