ENSLOCP00000000416	lcat (1 of many)	lecithin-cholesterol acyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-010716-3]
ENSLOCP00000022454	slc5a3a	solute carrier family 5 (sodium/myo-inositol cotransporter)%2C member 3a [Source:ZFIN%3BAcc:ZDB-GENE-090312-3]
ENSLOCP00000010324	unknown	unknown
ENSLOCP00000015022	cox20 (1 of many)	COX20 cytochrome c oxidase assembly factor [Source:ZFIN%3BAcc:ZDB-GENE-040718-467]
ENSLOCP00000015027	unknown	unknown
ENSLOCP00000015031	unknown	unknown
ENSLOCP00000000639	unknown	unknown
ENSLOCP00000000099	slc32a1 (1 of many)	solute carrier family 32 (GABA vesicular transporter)%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-061201-1]
ENSLOCP00000000490	unknown	unknown
ENSLOCP00000000738	fam117aa (1 of many)	family with sequence similarity 117%2C member Aa [Source:ZFIN%3BAcc:ZDB-GENE-110606-4]
ENSLOCP00000000171	unknown	unknown
ENSLOCP00000000743	unknown	unknown
ENSLOCP00000000568	unknown	unknown
ENSLOCP00000000349	zbtb8b	zinc finger and BTB domain containing 8B [Source:ZFIN%3BAcc:ZDB-GENE-050417-42]
ENSLOCP00000000385	zbtb8a (1 of many)	zinc finger and BTB domain containing 8A [Source:ZFIN%3BAcc:ZDB-GENE-060421-5153]
ENSLOCP00000021959	cnr2 (1 of many)	cannabinoid receptor 2 [Source:ZFIN%3BAcc:ZDB-GENE-040702-7]
ENSLOCP00000007890	unknown	unknown
ENSLOCP00000000042	unknown	unknown
ENSLOCP00000016852	akap8l (1 of many)	A kinase (PRKA) anchor protein 8-like [Source:ZFIN%3BAcc:ZDB-GENE-040426-2303]
ENSLOCP00000000023	unknown	unknown
ENSLOCP00000000649	unknown	unknown
ENSLOCP00000007868	akap8l (1 of many)	A kinase (PRKA) anchor protein 8-like [Source:ZFIN%3BAcc:ZDB-GENE-040426-2303]
ENSLOCP00000000263	foxn4 (1 of many)	forkhead box N4 [Source:ZFIN%3BAcc:ZDB-GENE-990415-277]
ENSLOCP00000000786	unknown	unknown
ENSLOCP00000000661	unknown	unknown
ENSLOCP00000000555	unknown	unknown
ENSLOCP00000000946	unknown	unknown
ENSLOCP00000021418	unknown	unknown
ENSLOCP00000000408	unknown	unknown
ENSLOCP00000008694	unknown	unknown
ENSLOCP00000000679	fut11	fucosyltransferase 11 (alpha (1%2C3) fucosyltransferase) [Source:ZFIN%3BAcc:ZDB-GENE-060929-728]
ENSLOCP00000022453	rab9b (1 of many)	RAB9B%2C member RAS oncogene family [Source:ZFIN%3BAcc:ZDB-GENE-091118-112]
ENSLOCP00000000347	unknown	unknown
ENSLOCP00000000450	unknown	unknown
ENSLOCP00000001232	unknown	unknown
ENSLOCP00000000094	unknown	unknown
ENSLOCP00000001026	unknown	unknown
ENSLOCP00000000755	unknown	unknown
ENSLOCP00000000556	unknown	unknown
ENSLOCP00000000170	unknown	unknown
ENSLOCP00000000087	thop1	thimet oligopeptidase 1 [Source:ZFIN%3BAcc:ZDB-GENE-040718-47]
ENSLOCP00000000131	unknown	unknown
ENSLOCP00000000370	AVPR2 (1 of many)	arginine vasopressin receptor 2 [Source:HGNC Symbol%3BAcc:HGNC:897]
ENSLOCP00000000062	AVPR2 (1 of many)	arginine vasopressin receptor 2 [Source:HGNC Symbol%3BAcc:HGNC:897]
ENSLOCP00000000446	aldh3b2	aldehyde dehydrogenase 3 family%2C member B2 [Source:ZFIN%3BAcc:ZDB-GENE-060531-79]
ENSLOCP00000000477	unknown	unknown
ENSLOCP00000017028	unknown	unknown
ENSLOCP00000001283	unknown	unknown
ENSLOCP00000000058	unknown	unknown
ENSLOCP00000000748	unknown	unknown
ENSLOCP00000000136	unknown	unknown
ENSLOCP00000000474	PRF1 (1 of many)	perforin 1 [Source:HGNC Symbol%3BAcc:HGNC:9360]
ENSLOCP00000000096	unknown	unknown
ENSLOCP00000000662	unknown	unknown
ENSLOCP00000000718	unknown	unknown
ENSLOCP00000000102	PRF1 (1 of many)	perforin 1 [Source:HGNC Symbol%3BAcc:HGNC:9360]
ENSLOCP00000000362	wbscr16 (1 of many)	Williams-Beuren syndrome chromosome region 16 homolog (human) [Source:ZFIN%3BAcc:ZDB-GENE-060526-370]
ENSLOCP00000000397	unknown	unknown
ENSLOCP00000017356	unknown	unknown
ENSLOCP00000022419	unknown	unknown
ENSLOCP00000008172	unknown	unknown
ENSLOCP00000014083	zgc:162396 (1 of many)	zgc:162396 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1190]
ENSLOCP00000000109	unknown	unknown
ENSLOCP00000000598	unknown	unknown
ENSLOCP00000017363	unknown	unknown
ENSLOCP00000000360	unknown	unknown
ENSLOCP00000000387	unknown	unknown
ENSLOCP00000000520	unknown	unknown
ENSLOCP00000000686	unknown	unknown
ENSLOCP00000000795	si:ch73-141c7.1 (1 of many)	si:ch73-141c7.1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1760]
ENSLOCP00000021728	unknown	unknown
ENSLOCP00000021960	unknown	unknown
ENSLOCP00000022211	unknown	unknown
ENSLOCP00000022456	unknown	unknown
ENSLOCP00000000532	unknown	unknown
ENSLOCP00000000424	unknown	unknown
ENSLOCP00000000439	unknown	unknown
ENSLOCP00000000384	unknown	unknown
ENSLOCP00000021927	unknown	unknown
ENSLOCP00000000392	unknown	unknown
ENSLOCP00000000250	PRADC1	protease associated domain containing 1 [Source:HGNC Symbol%3BAcc:HGNC:16047]
ENSLOCP00000000053	unknown	unknown
ENSLOCP00000000389	unknown	unknown
ENSLOCP00000000432	unknown	unknown
ENSLOCP00000000492	unknown	unknown
ENSLOCP00000000441	unknown	unknown
ENSLOCP00000000411	unknown	unknown
ENSLOCP00000000261	unknown	unknown
ENSLOCP00000000594	unknown	unknown
ENSLOCP00000021971	unknown	unknown
ENSLOCP00000021269	unknown	unknown
ENSLOCP00000000291	unknown	unknown
ENSLOCP00000000318	unknown	unknown
ENSLOCP00000000266	unknown	unknown
ENSLOCP00000000444	unknown	unknown
ENSLOCP00000000619	tspo	translocator protein [Source:ZFIN%3BAcc:ZDB-GENE-041010-125]
ENSLOCP00000000570	unknown	unknown
ENSLOCP00000000467	unknown	unknown
ENSLOCP00000000828	unknown	unknown
ENSLOCP00000022216	unknown	unknown
ENSLOCP00000000344	unknown	unknown
ENSLOCP00000000082	unknown	unknown
ENSLOCP00000000085	unknown	unknown
ENSLOCP00000000608	unknown	unknown
ENSLOCP00000000190	unknown	unknown
ENSLOCP00000000078	unknown	unknown
ENSLOCP00000021475	unknown	unknown
ENSLOCP00000000345	unknown	unknown
ENSLOCP00000000702	unknown	unknown
ENSLOCP00000022067	unknown	unknown
ENSLOCP00000000340	unknown	unknown
ENSLOCP00000008372	unknown	unknown
ENSLOCP00000000228	unknown	unknown
ENSLOCP00000017022	unknown	unknown
ENSLOCP00000007832	unknown	unknown
ENSLOCP00000022075	unknown	unknown
ENSLOCP00000000202	unknown	unknown
ENSLOCP00000000655	unknown	unknown
ENSLOCP00000000386	unknown	unknown
ENSLOCP00000000191	unknown	unknown
ENSLOCP00000000106	unknown	unknown
ENSLOCP00000000339	unknown	unknown
ENSLOCP00000008154	unknown	unknown
ENSLOCP00000000438	unknown	unknown
ENSLOCP00000022077	unknown	unknown
ENSLOCP00000000536	unknown	unknown
ENSLOCP00000000798	unknown	unknown
ENSLOCP00000000582	unknown	unknown
ENSLOCP00000000374	unknown	unknown
ENSLOCP00000000327	unknown	unknown
ENSLOCP00000017526	unknown	unknown
ENSLOCP00000000781	unknown	unknown
ENSLOCP00000000478	unknown	unknown
ENSLOCP00000000731	unknown	unknown
ENSLOCP00000021415	unknown	unknown
ENSLOCP00000000430	unknown	unknown
ENSLOCP00000000617	unknown	unknown
ENSLOCP00000009457	unknown	unknown
ENSLOCP00000022420	unknown	unknown
ENSLOCP00000000317	unknown	unknown
ENSLOCP00000000687	unknown	unknown
ENSLOCP00000022215	unknown	unknown
ENSLOCP00000000452	unknown	unknown
ENSLOCP00000000496	unknown	unknown
ENSLOCP00000017361	unknown	unknown
ENSLOCP00000021407	unknown	unknown
ENSLOCP00000001535	unknown	unknown
ENSLOCP00000000829	unknown	unknown
ENSLOCP00000021433	unknown	unknown
ENSLOCP00000000487	unknown	unknown
ENSLOCP00000021193	unknown	unknown
ENSLOCP00000000752	unknown	unknown
ENSLOCP00000021432	unknown	unknown
ENSLOCP00000013716	unknown	unknown
ENSLOCP00000021409	unknown	unknown
ENSLOCP00000000485	unknown	unknown
ENSLOCP00000000160	unknown	unknown
ENSLOCP00000000673	unknown	unknown
ENSLOCP00000000766	unknown	unknown
ENSLOCP00000000407	VSTM2A	V-set and transmembrane domain containing 2A [Source:HGNC Symbol%3BAcc:HGNC:28499]
ENSLOCP00000000454	klf6a	Kruppel-like factor 6a [Source:ZFIN%3BAcc:ZDB-GENE-021115-9]
ENSLOCP00000000500	fzd8a	frizzled class receptor 8a [Source:ZFIN%3BAcc:ZDB-GENE-000328-3]
ENSLOCP00000000552	GJD4	gap junction protein delta 4 [Source:HGNC Symbol%3BAcc:HGNC:23296]
ENSLOCP00000000597	ccny	cyclin Y [Source:ZFIN%3BAcc:ZDB-GENE-091117-45]
ENSLOCP00000000684	CREM	cAMP responsive element modulator [Source:HGNC Symbol%3BAcc:HGNC:2352]
ENSLOCP00000000642	CREM	cAMP responsive element modulator [Source:HGNC Symbol%3BAcc:HGNC:2352]
ENSLOCP00000000726	cul2	cullin 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8032]
ENSLOCP00000000765	cul2	cullin 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8032]
ENSLOCP00000000819	pard3	par-3 family cell polarity regulator [Source:ZFIN%3BAcc:ZDB-GENE-030925-47]
ENSLOCP00000000847	pard3	par-3 family cell polarity regulator [Source:ZFIN%3BAcc:ZDB-GENE-030925-47]
ENSLOCP00000000887	nrp1a	neuropilin 1a [Source:ZFIN%3BAcc:ZDB-GENE-030519-2]
ENSLOCP00000000931	itgb1a	integrin%2C beta 1a [Source:ZFIN%3BAcc:ZDB-GENE-060803-2]
ENSLOCP00000000960	itgb1a	integrin%2C beta 1a [Source:ZFIN%3BAcc:ZDB-GENE-060803-2]
ENSLOCP00000000980	unknown	unknown
ENSLOCP00000000896	zgc:101560	zgc:101560 [Source:ZFIN%3BAcc:ZDB-GENE-041010-75]
ENSLOCP00000000928	zgc:101560	zgc:101560 [Source:ZFIN%3BAcc:ZDB-GENE-041010-75]
ENSLOCP00000000961	bpgm	2%2C3-bisphosphoglycerate mutase [Source:ZFIN%3BAcc:ZDB-GENE-040718-375]
ENSLOCP00000000987	CALD1	caldesmon 1 [Source:HGNC Symbol%3BAcc:HGNC:1441]
ENSLOCP00000001033	tnnt2e	troponin T2e%2C cardiac [Source:ZFIN%3BAcc:ZDB-GENE-041210-27]
ENSLOCP00000001089	DNM1L	dynamin 1 like [Source:HGNC Symbol%3BAcc:HGNC:2973]
ENSLOCP00000001113	DNM1L	dynamin 1 like [Source:HGNC Symbol%3BAcc:HGNC:2973]
ENSLOCP00000001167	dnajb9a	DnaJ (Hsp40) homolog%2C subfamily B%2C member 9a [Source:ZFIN%3BAcc:ZDB-GENE-050626-115]
ENSLOCP00000001139	dnajb9a	DnaJ (Hsp40) homolog%2C subfamily B%2C member 9a [Source:ZFIN%3BAcc:ZDB-GENE-050626-115]
ENSLOCP00000001195	THAP5	THAP domain containing 5 [Source:HGNC Symbol%3BAcc:HGNC:23188]
ENSLOCP00000001209	unknown	unknown
ENSLOCP00000001253	pnpla8	patatin-like phospholipase domain containing 8 [Source:ZFIN%3BAcc:ZDB-GENE-070705-553]
ENSLOCP00000001273	pnpla8	patatin-like phospholipase domain containing 8 [Source:ZFIN%3BAcc:ZDB-GENE-070705-553]
ENSLOCP00000001368	nrcama	neuronal cell adhesion molecule a [Source:ZFIN%3BAcc:ZDB-GENE-041210-235]
ENSLOCP00000001400	nrcama	neuronal cell adhesion molecule a [Source:ZFIN%3BAcc:ZDB-GENE-041210-235]
ENSLOCP00000001463	cntn1b	contactin 1b [Source:ZFIN%3BAcc:ZDB-GENE-041210-236]
ENSLOCP00000001488	cntn1b	contactin 1b [Source:ZFIN%3BAcc:ZDB-GENE-041210-236]
ENSLOCP00000001503	unknown	unknown
ENSLOCP00000001519	pdzrn4	PDZ domain containing ring finger 4 [Source:ZFIN%3BAcc:ZDB-GENE-041210-237]
ENSLOCP00000001549	gxylt1b	glucoside xylosyltransferase 1b [Source:ZFIN%3BAcc:ZDB-GENE-041210-116]
ENSLOCP00000001569	yaf2	YY1 associated factor 2 [Source:ZFIN%3BAcc:ZDB-GENE-041210-115]
ENSLOCP00000001590	yaf2	YY1 associated factor 2 [Source:ZFIN%3BAcc:ZDB-GENE-041210-115]
ENSLOCP00000001613	zcrb1	zinc finger CCHC-type and RNA binding motif 1 [Source:ZFIN%3BAcc:ZDB-GENE-041210-114]
ENSLOCP00000001633	zcrb1	zinc finger CCHC-type and RNA binding motif 1 [Source:ZFIN%3BAcc:ZDB-GENE-041210-114]
ENSLOCP00000001646	pphln1	periphilin 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1873]
ENSLOCP00000001689	prickle1a	prickle homolog 1a [Source:ZFIN%3BAcc:ZDB-GENE-030724-5]
ENSLOCP00000001675	prickle1a	prickle homolog 1a [Source:ZFIN%3BAcc:ZDB-GENE-030724-5]
ENSLOCP00000001704	unknown	unknown
ENSLOCP00000001802	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20 [Source:HGNC Symbol%3BAcc:HGNC:17178]
ENSLOCP00000001850	pus7l	pseudouridylate synthase 7-like [Source:ZFIN%3BAcc:ZDB-GENE-050419-188]
ENSLOCP00000001831	pus7l	pseudouridylate synthase 7-like [Source:ZFIN%3BAcc:ZDB-GENE-050419-188]
ENSLOCP00000001866	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol%3BAcc:HGNC:17967]
ENSLOCP00000001907	twf1b	twinfilin actin-binding protein 1b [Source:ZFIN%3BAcc:ZDB-GENE-040711-3]
ENSLOCP00000001887	twf1b	twinfilin actin-binding protein 1b [Source:ZFIN%3BAcc:ZDB-GENE-040711-3]
ENSLOCP00000001923	unknown	unknown
ENSLOCP00000021545	unknown	unknown
ENSLOCP00000010490	unknown	unknown
ENSLOCP00000021610	unknown	unknown
ENSLOCP00000010506	si:rp71-84d19.3	si:rp71-84d19.3 [Source:ZFIN%3BAcc:ZDB-GENE-070912-719]
ENSLOCP00000010525	slc10a2	solute carrier family 10 (sodium/bile acid cotransporter)%2C member 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1328]
ENSLOCP00000010544	si:dkey-22a1.3	si:dkey-22a1.3 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5651]
ENSLOCP00000010564	kdelc1	KDEL (Lys-Asp-Glu-Leu) containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-878]
ENSLOCP00000010577	kdelc1	KDEL (Lys-Asp-Glu-Leu) containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-878]
ENSLOCP00000010596	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol%3BAcc:HGNC:5989]
ENSLOCP00000010607	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol%3BAcc:HGNC:5989]
ENSLOCP00000010630	unknown	unknown
ENSLOCP00000010618	unknown	unknown
ENSLOCP00000010642	unknown	unknown
ENSLOCP00000021611	olig2	oligodendrocyte lineage transcription factor 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-4013]
ENSLOCP00000021612	olig1	oligodendrocyte transcription factor 1 [Source:ZFIN%3BAcc:ZDB-GENE-050107-2]
ENSLOCP00000010659	unknown	unknown
ENSLOCP00000010671	unknown	unknown
ENSLOCP00000000601	kcnk2a	potassium channel%2C subfamily K%2C member 2a [Source:ZFIN%3BAcc:ZDB-GENE-061226-2]
ENSLOCP00000000640	kcnk2a	potassium channel%2C subfamily K%2C member 2a [Source:ZFIN%3BAcc:ZDB-GENE-061226-2]
ENSLOCP00000000685	kcnk2a	potassium channel%2C subfamily K%2C member 2a [Source:ZFIN%3BAcc:ZDB-GENE-061226-2]
ENSLOCP00000000721	cgref1	cell growth regulator with EF-hand domain 1 [Source:ZFIN%3BAcc:ZDB-GENE-131121-137]
ENSLOCP00000000762	si:dkey-121j17.5	si:dkey-121j17.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-4745]
ENSLOCP00000000794	si:dkey-121j17.5	si:dkey-121j17.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-4745]
ENSLOCP00000000826	ABHD1	abhydrolase domain containing 1 [Source:HGNC Symbol%3BAcc:HGNC:17553]
ENSLOCP00000000855	ctsba	cathepsin Ba [Source:ZFIN%3BAcc:ZDB-GENE-040426-2650]
ENSLOCP00000000880	fdft1	farnesyl-diphosphate farnesyltransferase 1 [Source:ZFIN%3BAcc:ZDB-GENE-081104-242]
ENSLOCP00000000908	gata4	GATA binding protein 4 [Source:ZFIN%3BAcc:ZDB-GENE-980526-476]
ENSLOCP00000000938	xkr5	X-linked Kx blood group related 5 [Source:ZFIN%3BAcc:ZDB-GENE-160113-27]
ENSLOCP00000000971	tram2	translocation associated membrane protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2024]
ENSLOCP00000001002	efhc1	EF-hand domain (C-terminal) containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1300]
ENSLOCP00000001022	H3F3A (1 of many)	H3 histone family member 3A [Source:HGNC Symbol%3BAcc:HGNC:4764]
ENSLOCP00000001055	unknown	unknown
ENSLOCP00000001081	mrpl19	mitochondrial ribosomal protein L19 [Source:ZFIN%3BAcc:ZDB-GENE-040801-55]
ENSLOCP00000001104	mrpl19	mitochondrial ribosomal protein L19 [Source:ZFIN%3BAcc:ZDB-GENE-040801-55]
ENSLOCP00000001137	gcfc2	GC-rich sequence DNA-binding factor 2 [Source:ZFIN%3BAcc:ZDB-GENE-080204-19]
ENSLOCP00000001168	itsn2b	intersectin 2b [Source:ZFIN%3BAcc:ZDB-GENE-050309-102]
ENSLOCP00000001188	itsn2b	intersectin 2b [Source:ZFIN%3BAcc:ZDB-GENE-050309-102]
ENSLOCP00000001214	fam228a	family with sequence similarity 228%2C member A [Source:ZFIN%3BAcc:ZDB-GENE-041014-83]
ENSLOCP00000001230	si:ch211-175f11.5	si:ch211-175f11.5 [Source:ZFIN%3BAcc:ZDB-GENE-131121-583]
ENSLOCP00000001272	si:ch73-21k16.5	si:ch73-21k16.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8374]
ENSLOCP00000001291	unknown	unknown
ENSLOCP00000001306	unknown	unknown
ENSLOCP00000001324	unknown	unknown
ENSLOCP00000001348	reps1	RALBP1 associated Eps domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9536]
ENSLOCP00000001363	abracl	ABRA C-terminal like [Source:ZFIN%3BAcc:ZDB-GENE-030131-8594]
ENSLOCP00000001385	heca	hdc homolog%2C cell cycle regulator [Source:ZFIN%3BAcc:ZDB-GENE-041001-173]
ENSLOCP00000001403	heca	hdc homolog%2C cell cycle regulator [Source:ZFIN%3BAcc:ZDB-GENE-041001-173]
ENSLOCP00000001422	TXLNB	taxilin beta [Source:HGNC Symbol%3BAcc:HGNC:21617]
ENSLOCP00000022213	cited2	Cbp/p300-interacting transactivator%2C with Glu/Asp-rich carboxy-terminal domain%2C 2 [Source:ZFIN%3BAcc:ZDB-GENE-041010-141]
ENSLOCP00000021414	unknown	unknown
ENSLOCP00000000364	sema4ab	sema domain%2C immunoglobulin domain (Ig)%2C transmembrane domain (TM) and short cytoplasmic domain%2C (semaphorin) 4Ab [Source:ZFIN%3BAcc:ZDB-GENE-060503-363]
ENSLOCP00000000403	unknown	unknown
ENSLOCP00000000451	ntrk1	neurotrophic tyrosine kinase%2C receptor%2C type 1 [Source:ZFIN%3BAcc:ZDB-GENE-980526-118]
ENSLOCP00000000479	unknown	unknown
ENSLOCP00000000530	afp4	antifreeze protein type IV [Source:ZFIN%3BAcc:ZDB-GENE-030131-5217]
ENSLOCP00000000612	unknown	unknown
ENSLOCP00000000586	unknown	unknown
ENSLOCP00000000674	si:ch211-171l17.4	si:ch211-171l17.4 [Source:ZFIN%3BAcc:ZDB-GENE-050208-534]
ENSLOCP00000000412	unknown	unknown
ENSLOCP00000000449	unknown	unknown
ENSLOCP00000000488	unknown	unknown
ENSLOCP00000000535	unknown	unknown
ENSLOCP00000000578	unknown	unknown
ENSLOCP00000000621	unknown	unknown
ENSLOCP00000000665	unknown	unknown
ENSLOCP00000000707	unknown	unknown
ENSLOCP00000000746	unknown	unknown
ENSLOCP00000000816	unknown	unknown
ENSLOCP00000000788	unknown	unknown
ENSLOCP00000000849	unknown	unknown
ENSLOCP00000000866	unknown	unknown
ENSLOCP00000000893	unknown	unknown
ENSLOCP00000000912	unknown	unknown
ENSLOCP00000000940	unknown	unknown
ENSLOCP00000000966	unknown	unknown
ENSLOCP00000000998	pnp5a	purine nucleoside phosphorylase 5a [Source:ZFIN%3BAcc:ZDB-GENE-040426-2553]
ENSLOCP00000001029	kcnj9	potassium inwardly-rectifying channel%2C subfamily J%2C member 9 [Source:ZFIN%3BAcc:ZDB-GENE-081104-42]
ENSLOCP00000001048	eif3f	eukaryotic translation initiation factor 3%2C subunit F [Source:ZFIN%3BAcc:ZDB-GENE-100215-2]
ENSLOCP00000001075	unknown	unknown
ENSLOCP00000001100	ndufs2	NADH dehydrogenase (ubiquinone) Fe-S protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-050522-273]
ENSLOCP00000001134	pvrl4	poliovirus receptor-related 4 [Source:ZFIN%3BAcc:ZDB-GENE-070912-114]
ENSLOCP00000001162	unknown	unknown
ENSLOCP00000001191	unknown	unknown
ENSLOCP00000001218	unknown	unknown
ENSLOCP00000001286	kirrelb	kin of IRRE like b [Source:ZFIN%3BAcc:ZDB-GENE-070912-173]
ENSLOCP00000001265	kirrelb	kin of IRRE like b [Source:ZFIN%3BAcc:ZDB-GENE-070912-173]
ENSLOCP00000001300	unknown	unknown
ENSLOCP00000001312	unknown	unknown
ENSLOCP00000001331	unknown	unknown
ENSLOCP00000001343	unknown	unknown
ENSLOCP00000001359	unknown	unknown
ENSLOCP00000001387	unknown	unknown
ENSLOCP00000001412	unknown	unknown
ENSLOCP00000001441	unknown	unknown
ENSLOCP00000001453	unknown	unknown
ENSLOCP00000001471	unknown	unknown
ENSLOCP00000000548	unknown	unknown
ENSLOCP00000022175	unknown	unknown
ENSLOCP00000000618	unknown	unknown
ENSLOCP00000000581	unknown	unknown
ENSLOCP00000000667	unknown	unknown
ENSLOCP00000000697	unknown	unknown
ENSLOCP00000022176	unknown	unknown
ENSLOCP00000022177	unknown	unknown
ENSLOCP00000000300	nmbr	neuromedin B receptor [Source:ZFIN%3BAcc:ZDB-GENE-041014-369]
ENSLOCP00000000332	cx23	connexin 23 [Source:ZFIN%3BAcc:ZDB-GENE-050320-121]
ENSLOCP00000000319	cx23	connexin 23 [Source:ZFIN%3BAcc:ZDB-GENE-050320-121]
ENSLOCP00000000381	vta1	vesicle (multivesicular body) trafficking 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2154]
ENSLOCP00000000427	vta1	vesicle (multivesicular body) trafficking 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2154]
ENSLOCP00000000482	adgrg6	adhesion G protein-coupled receptor G6 [Source:ZFIN%3BAcc:ZDB-GENE-041014-357]
ENSLOCP00000000537	adgrg6	adhesion G protein-coupled receptor G6 [Source:ZFIN%3BAcc:ZDB-GENE-041014-357]
ENSLOCP00000000579	unknown	unknown
ENSLOCP00000000627	hivep2a	human immunodeficiency virus type I enhancer binding protein 2a [Source:ZFIN%3BAcc:ZDB-GENE-041014-354]
ENSLOCP00000000708	hivep2a	human immunodeficiency virus type I enhancer binding protein 2a [Source:ZFIN%3BAcc:ZDB-GENE-041014-354]
ENSLOCP00000000668	hivep2a	human immunodeficiency virus type I enhancer binding protein 2a [Source:ZFIN%3BAcc:ZDB-GENE-041014-354]
ENSLOCP00000000747	aig1	androgen-induced 1 (H. sapiens) [Source:ZFIN%3BAcc:ZDB-GENE-041014-358]
ENSLOCP00000000782	adat2	adenosine deaminase%2C tRNA-specific 2%2C TAD2 homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-041014-360]
ENSLOCP00000000817	pex3	peroxisomal biogenesis factor 3 [Source:ZFIN%3BAcc:ZDB-GENE-040426-979]
ENSLOCP00000000871	fuca2	fucosidase%2C alpha-L- 2%2C plasma [Source:ZFIN%3BAcc:ZDB-GENE-040822-39]
ENSLOCP00000000848	fuca2	fucosidase%2C alpha-L- 2%2C plasma [Source:ZFIN%3BAcc:ZDB-GENE-040822-39]
ENSLOCP00000000903	atf3	activating transcription factor 3 [Source:ZFIN%3BAcc:ZDB-GENE-040426-728]
ENSLOCP00000000932	batf3	basic leucine zipper transcription factor%2C ATF-like 3 [Source:ZFIN%3BAcc:ZDB-GENE-041014-356]
