Group_5479_0	XM_015946519	rna7751	plaa	XP_015802005.1
Group_85_6	XM_015951360	rna12571	LOC107380224	XP_015806846.1
Group_1366_0	XM_015951103	rna12324	med13	XP_015806589.1
Group_75_9	XM_015950676	rna11815	capn5	XP_015806162.1
Group_3179_1	XM_015950678	rna11816	omp	XP_015806164.1
Group_95_28	XM_015943658	rna4941	tacr3	XP_015799144.1
Group_598_5	XM_015943033	rna4306	map1b	XP_015798519.1
Group_1217_2	XM_015942861	rna4130	shc3	XP_015798347.1
Group_442_2	XM_015942782	rna4067	LOC107374630	XP_015798268.1
Group_3_113	XM_015942245	rna3999	LOC107374090	XP_015797731.1
Group_99_2	XM_015940899	rna3812	LOC107372696	XP_015796385.1
Group_8_57	XM_015972216	rna3103	LOC107393673	XP_015827702.1
Group_5487_0	XM_015966834	rna27659	kctd4	XP_015822320.1
Group_4303_1	XM_015966557	rna27369	ttc21b	XP_015822043.1
Group_185_4	XM_015966491	rna27307	dlx1	XP_015821977.1
Group_923_4	XM_015966340	rna27158	LOC107389925	XP_015821826.1
Group_528_4	XM_015966256	rna27097	irs2	XP_015821742.1
Group_273_3	XM_015966166	rna27018	LOC107389806	XP_015821652.1
Group_578_4	XM_015966140	rna26992	mgat4a	XP_015821626.1
Group_805_5	XM_015966098	rna26950	il1rapl1	XP_015821584.1
Group_5341_0	XM_015965981	rna26836	itgbl1	XP_015821467.1
Group_2962_0	XM_015952451	rna13736	mmadhc	XP_015807937.1
