Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_5906_0 trappc1  have too few sites, skip
Group_452_4 gba3  have too few sites, skip
Group_2293_1 ppargc1a  have too few sites, skip
Group_4343_0 caap1  have too few sites, skip
Group_1990_1 lurap1l  have too few sites, skip
Group_751_0 tyrp1a  have too few sites, skip
Group_4632_0 mfsd8  have too few sites, skip
Group_1490_2 si:dkey-33c12.4  have too few sites, skip
Group_1086_1 sgcz  have too few sites, skip
Group_2438_1 rbpms  have too few sites, skip
Group_783_4 filip1l  have too few sites, skip
Group_3012_1 ect2l  have too few sites, skip
Group_2695_0 ccdc28a  have too few sites, skip
Group_123_14 atp1a1a.4  have too few sites, skip
Group_294_7 ctdsp1  have too few sites, skip
Group_38_28 si:dkey-91f15.8  have too few sites, skip
Group_254_8 igfbp2a  have too few sites, skip
Group_254_10 igfbp5a  have too few sites, skip
Group_722_2 mettl21a  have too few sites, skip
Group_903_4 creb1a  have too few sites, skip
Group_843_1 ramp1  have too few sites, skip
Group_240_9 acadl  have too few sites, skip
Group_557_4 osbpl11  have too few sites, skip
Group_1292_3 gpd1c  have too few sites, skip
Group_1902_2 tmem182b  have too few sites, skip
Group_7461_0 mrps9  have too few sites, skip
Group_1469_0 zgc:172295  have too few sites, skip
Group_2358_1 mtrf1  have too few sites, skip
Group_5786_0 nelfa  have too few sites, skip
Group_441_3 si:dkeyp-75h12.2  have too few sites, skip
Group_9143_0 si:dkeyp-75h12.7  have too few sites, skip
Group_4175_0 msmp  have too few sites, skip
Group_6043_0 rgp1  have too few sites, skip
Group_6966_0 zgc:162331  have too few sites, skip
Group_175_0 slc7a7  have too few sites, skip
Group_7766_0 si:ch211-212k18.11  have too few sites, skip
Group_6766_0 ttc5  have too few sites, skip
Group_6857_0 mettl3  have too few sites, skip
Group_9395_0 si:dkey-85k7.7  have too few sites, skip
Group_454_1 tm4sf5  have too few sites, skip
Group_25_32 cldn15a  have too few sites, skip
Group_73_28 cckar  have too few sites, skip
Group_6231_0 tbc1d19  have too few sites, skip
Group_1182_1 stim2b  have too few sites, skip
Group_1825_0 nat8l  have too few sites, skip
Group_4668_0 poln  have too few sites, skip
Group_1083_4 tinf2  have too few sites, skip
Group_7577_0 mrpl52  have too few sites, skip
Group_986_2 per1b  have too few sites, skip
Group_9226_0 si:dkey-19b23.8  have too few sites, skip
Group_8480_0 si:dkey-19b23.7  have too few sites, skip
Group_7277_0 rell1  have too few sites, skip
Group_5896_0 zgc:194312  have too few sites, skip
Group_240_0 acadvl  have too few sites, skip
Group_9060_0 si:ch73-335l21.2  have too few sites, skip
Group_514_3 si:ch73-335l21.1  have too few sites, skip
Group_131_12 slc16a13  have too few sites, skip
Group_767_3 loc107397291  have too few sites, skip
Group_65_13 si:dkey-93n13.3  have too few sites, skip
Group_2425_0 hdlbpb  have too few sites, skip
Group_5873_0 neurl4  have too few sites, skip
Group_5_46 si:dkey-219e21.2  have too few sites, skip
Group_1475_1 tp53  have too few sites, skip
Group_100_4 slc2a4  have too few sites, skip
Group_1793_0 eif5al1  have too few sites, skip
Group_3993_0 gps2  have too few sites, skip
Group_349_6 gabarap  have too few sites, skip
Group_4653_0 phf23b  have too few sites, skip
Group_1781_0 plscr3b  have too few sites, skip
Group_6029_0 trmt44  have too few sites, skip
Group_1232_0 eif4ebp3  have too few sites, skip
Group_7578_0 si:ch211-160j14.2  have too few sites, skip
Group_368_4 si:dkey-34l15.2  have too few sites, skip
Group_2844_0 dok7  have too few sites, skip
Group_1301_2 rgs12a  have too few sites, skip
Group_273_5 coro1b  have too few sites, skip
Group_185_10 osbp  have too few sites, skip
Group_5577_0 sec63  have too few sites, skip
Group_7272_0 si:ch211-286f9.2  have too few sites, skip
Group_939_0 ppp1r14c  have too few sites, skip
Group_847_3 si:ch73-217b7.1  have too few sites, skip
Group_744_2 myb  have too few sites, skip
Group_278_4 hbs1l  have too few sites, skip
Group_166_12 aldh8a1  have too few sites, skip
Group_6_22 sgk1  have too few sites, skip
Group_100_12 slc2a12  have too few sites, skip
Group_1280_1 tbpl1  have too few sites, skip
Group_2648_1 tcf21  have too few sites, skip
Group_1008_2 eya4  have too few sites, skip
Group_4783_0 rps12  have too few sites, skip
Group_2095_1 fam167ab  have too few sites, skip
Group_4617_0 ccm2  have too few sites, skip
Group_224_7 slco3a1  have too few sites, skip
Group_14_60 nr2f2  have too few sites, skip
Group_3881_0 tnip1  have too few sites, skip
Group_1045_1 si:ch211-278j3.3  have too few sites, skip
Group_0_39 znf513  have too few sites, skip
Group_6068_0 eif2b4  have too few sites, skip
Group_318_6 phf2  have too few sites, skip
Group_42_40 chrna2b  have too few sites, skip
Group_3242_1 batf  have too few sites, skip
Group_794_1 tgfb3  have too few sites, skip
Group_1531_0 jdp2b  have too few sites, skip
Group_521_3 si:ch211-153j24.3  have too few sites, skip
Group_4818_1 eif2b2  have too few sites, skip
Group_3232_0 pdgfrl  have too few sites, skip
Group_7510_0 sybl1  have too few sites, skip
Group_8264_0 polr1d  have too few sites, skip
Group_377_7 ednr  have too few sites, skip
Group_5192_0 lsm11  have too few sites, skip
Group_5006_0 thg1l  have too few sites, skip
Group_511_1 ppp2r2ba  have too few sites, skip
Group_6425_0 rpl26  have too few sites, skip
Group_119_15 nkx2.5  have too few sites, skip
Group_3017_1 stc2  have too few sites, skip
Group_432_5 foxo3b  have too few sites, skip
Group_1275_0 sesn1  have too few sites, skip
Group_130_10 ppil6  have too few sites, skip
Group_1743_1 msgn1  have too few sites, skip
Group_5737_0 mrps10  have too few sites, skip
Group_5738_0 tmem181  have too few sites, skip
Group_1857_1 dynlt1  have too few sites, skip
Group_1999_0 zbtb2b  have too few sites, skip
Group_319_0 xkr6b  have too few sites, skip
Group_179_10 mtmr9  have too few sites, skip
Group_6568_0 pinx1  have too few sites, skip
Group_9627_0 unknown  have too few sites, skip
Group_12_31 blk  have too few sites, skip
Group_1184_2 fndc4a  have too few sites, skip
Group_631_0 stxbp5a  have too few sites, skip
Group_6034_0 si:ch211-101l18.9  have too few sites, skip
Group_1412_1 nme6  have too few sites, skip
Group_4_94 rab32a  have too few sites, skip
Group_354_4 unknown  have too few sites, skip
Group_1525_0 si:ch211-212g7.6  have too few sites, skip
Group_3133_1 si:dkey-25e12.3  have too few sites, skip
Group_799_2 ncoa7  have too few sites, skip
Group_4488_0 fdft1  have too few sites, skip
Group_6_62 si:dkey-121j17.5  have too few sites, skip
Group_195_10 si:dkey-121b10.7  have too few sites, skip
Group_32_16 si:ch211-203k16.3  have too few sites, skip
Group_1299_2 rps6kc1  have too few sites, skip
Group_20_19 ptpn14  have too few sites, skip
Group_151_16 si:dkey-206f10.1  have too few sites, skip
Group_1123_3 hebp2  have too few sites, skip
Group_5393_0 cmtr1  have too few sites, skip
Group_2636_0 fam150ba  have too few sites, skip
Group_818_2 fig4  have too few sites, skip
Group_145_3 gpr6  have too few sites, skip
Group_40_10 gsx1  have too few sites, skip
Group_26_30 pdgfra  have too few sites, skip
Group_972_3 rbm24a  have too few sites, skip
Group_2253_1 cap2  have too few sites, skip
Group_9232_0 si:ch1073-228h2.2  have too few sites, skip
Group_19_10 mapk15  have too few sites, skip
Group_213_5 fam83hb  have too few sites, skip
Group_6118_0 snrpd1  have too few sites, skip
Group_7897_0 chrac1  have too few sites, skip
Group_6675_0 uqcrb  have too few sites, skip
Group_6676_0 mterf3  have too few sites, skip
Group_3296_1 fam92a1  have too few sites, skip
Group_13_19 klhl38a  have too few sites, skip
Group_8899_0 baalc  have too few sites, skip
Group_5751_0 tmem64  have too few sites, skip
Group_5891_0 zgc:111986  have too few sites, skip
Group_4107_0 gmnn  have too few sites, skip
Group_1192_0 hey1  have too few sites, skip
Group_1014_2 tpd52  have too few sites, skip
Group_6024_0 mrpl53  have too few sites, skip
Group_177_17 fabp11a  have too few sites, skip
Group_2847_1 fam8a1a  have too few sites, skip
Group_8233_0 ccdc167  have too few sites, skip
Group_584_2 wasf1  have too few sites, skip
Group_2996_1 mettl24  have too few sites, skip
Group_627_0 acat2  have too few sites, skip
Group_105_14 plekhg1  have too few sites, skip
Group_1595_2 smek1  have too few sites, skip
Group_880_1 mycn  have too few sites, skip
Group_5855_0 mrpl19  have too few sites, skip
Group_3102_1 efhc1  have too few sites, skip
Group_9628_0 unknown  have too few sites, skip
Group_44_6 grik2  have too few sites, skip
Group_7417_1 ripply2  have too few sites, skip
Group_5444_0 mrap2a  have too few sites, skip
Group_121_11 lrg1  have too few sites, skip
Group_56_7 rhob  have too few sites, skip
Group_1573_1 laptm4a  have too few sites, skip
Group_137_16 matn3a  have too few sites, skip
Group_767_0 si:dkeyp-50f7.2  have too few sites, skip
Group_767_1 si:ch211-223m11.2  have too few sites, skip
Group_1709_2 elmsan1a  have too few sites, skip
Group_6364_1 churc1  have too few sites, skip
Group_6364_0 churc1  have too few sites, skip
Group_2451_1 znf106a  have too few sites, skip
Group_1637_0 nrbp1  have too few sites, skip
Group_1572_2 si:dkey-12h9.6  have too few sites, skip
Group_443_2 rhag  have too few sites, skip
Group_5554_0 rd3  have too few sites, skip
Group_5044_0 rnf8  have too few sites, skip
Group_5519_0 tcte1  have too few sites, skip
Group_1187_1 tmem151ba  have too few sites, skip
Group_1195_1 nfkbie  have too few sites, skip
Group_5995_0 slc35b2  have too few sites, skip
Group_659_3 hsp90ab1  have too few sites, skip
Group_5027_0 eif2s1a  have too few sites, skip
Group_6496_0 atp6v1d  have too few sites, skip
Group_2346_0 gphnb  have too few sites, skip
Group_7009_0 slc35a4  have too few sites, skip
Group_1287_0 ndst1a  have too few sites, skip
Group_4222_0 rbm22  have too few sites, skip
Group_692_1 myoz3a  have too few sites, skip
Group_30_8 arl3l2  have too few sites, skip
Group_495_1 rfx6  have too few sites, skip
Group_2686_1 mllt4a  have too few sites, skip
Group_7983_0 ptrhd1  have too few sites, skip
Group_3536_0 tbc1d32  have too few sites, skip
Group_651_2 hsdl1  have too few sites, skip
Group_38_33 cx34.5  have too few sites, skip
Group_38_36-Group_38_37 loc107396001  have too few sites, skip
Group_6736_0 arv1  have too few sites, skip
Group_3329_1 fam89a  have too few sites, skip
Group_7529_0 zgc:194224  have too few sites, skip
Group_6824_0 ccdc25  have too few sites, skip
Group_155_8 loc107377778  have too few sites, skip
Group_17_9 kif3c  have too few sites, skip
Group_4_29 rab10  have too few sites, skip
Group_5807_0 nup43  have too few sites, skip
Group_2595_1 pcmt  have too few sites, skip
Group_677_1 tfap2b  have too few sites, skip
Group_677_3 tfap2d  have too few sites, skip
Group_627_2 hadhb  have too few sites, skip
Group_14_13 esr2a  have too few sites, skip
Group_7794_0 knstrn  have too few sites, skip
Group_59_19 adgrg11  have too few sites, skip
Group_5981_0 mtif3  have too few sites, skip
Group_7019_0 abracl  have too few sites, skip
Group_1064_2 scara3  have too few sites, skip
Group_4146_0 scg5  have too few sites, skip
Group_1670_1 grem1a  have too few sites, skip
Group_4801_0 aven  have too few sites, skip
Group_3940_0 emc7  have too few sites, skip
Group_3221_1 katnbl1  have too few sites, skip
Group_1560_1 pmelb  have too few sites, skip
Group_6035_0 sarnp  have too few sites, skip
Group_192_10 avpr2  have too few sites, skip
Group_131_20 slc16a1b  have too few sites, skip
Group_860_3 pip4k2c  have too few sites, skip
Group_254_4 igfbp6b  have too few sites, skip
Group_4929_0 letmd1  have too few sites, skip
Group_4544_0 zgc:56699  have too few sites, skip
Group_2321_0 grasp  have too few sites, skip
Group_206_10 dgkaa  have too few sites, skip
Group_5527_0 rnf41  have too few sites, skip
Group_15_46 ankrd52a  have too few sites, skip
Group_6668_0 cs  have too few sites, skip
Group_1467_0 si:dkey-190g6.2  have too few sites, skip
Group_309_8 dpp10  have too few sites, skip
Group_6670_0 si:ch211-210c8.6  have too few sites, skip
Group_7350_0 dazap2  have too few sites, skip
Group_134_8 pou6f1  have too few sites, skip
Group_1717_0 tfcp2  have too few sites, skip
Group_825_0 csrnp2  have too few sites, skip
Group_3107_0 slc48a1a  have too few sites, skip
Group_20_23 ptpn22  have too few sites, skip
Group_7377_0 si:dkey-205h13.1  have too few sites, skip
Group_5259_0 pink1  have too few sites, skip
Group_2_81 loc107390419  have too few sites, skip
Group_334_0 thbs1b  have too few sites, skip
Group_348_5 si:dkey-11e23.3  have too few sites, skip
Group_946_2 slc10a1  have too few sites, skip
Group_2868_1 max  have too few sites, skip
Group_1693_1 si:dkey-126h10.1  have too few sites, skip
Group_336_7 ttll2  have too few sites, skip
Group_10_29 gpr31  have too few sites, skip
Group_2240_0 msra  have too few sites, skip
Group_1196_0 slc30a2  have too few sites, skip
Group_177_0 fabp7b  have too few sites, skip
Group_434_6 zgc:101840  have too few sites, skip
Group_2522_2 vash2  have too few sites, skip
Group_7022_0 nsl1  have too few sites, skip
Group_3242_0 batf3  have too few sites, skip
Group_1531_2 atf3  have too few sites, skip
Group_5867_0 pex3  have too few sites, skip
Group_5869_0 adat2  have too few sites, skip
Group_2898_0 aig1  have too few sites, skip
Group_599_0 hivep2a  have too few sites, skip
Group_2961_0 ahsa1a  have too few sites, skip
Group_6501_0 vipas39  have too few sites, skip
Group_10_51 gpr132b  have too few sites, skip
Group_9_65 myh6  have too few sites, skip
Group_3538_1 unknown  have too few sites, skip
Group_5170_0 zbtb1  have too few sites, skip
Group_1999_2 zbtb25  have too few sites, skip
Group_1515_1 mboat2b  have too few sites, skip
Group_15_10 kidins220b  have too few sites, skip
Group_159_0 zic1  have too few sites, skip
Group_159_17 zic4  have too few sites, skip
Group_1781_1 si:ch73-206p6.1  have too few sites, skip
Group_202_9 slc9a9  have too few sites, skip
Group_2830_1 u2surp  have too few sites, skip
Group_4099_0 vta1  have too few sites, skip
Group_3790_0 gje1  have too few sites, skip
Group_95_8 serpina10a  have too few sites, skip
Group_7669_0 tmem251  have too few sites, skip
Group_1000_3 tmem30ab  have too few sites, skip
Group_4629_0 rps7  have too few sites, skip
Group_4063_1 rnaseh1  have too few sites, skip
Group_1047_2 unknown  have too few sites, skip
Group_6925_0 slc35d3  have too few sites, skip
Group_6561_0 naa20  have too few sites, skip
Group_5069_0 crnkl1  have too few sites, skip
Group_8134_0 loc107378189  have too few sites, skip
Group_7110_0 prkrip1  have too few sites, skip
Group_6079_0 pla2g7  have too few sites, skip
Group_6078_0 sf3b6  have too few sites, skip
Group_9422_0 loc107378185  have too few sites, skip
Group_5541_0 acbd6  have too few sites, skip
Group_206_2 dgkq  have too few sites, skip
Group_580_2 mgat4b  have too few sites, skip
Group_976_1 trak2  have too few sites, skip
Group_16_29 stradb  have too few sites, skip
Group_209_7 nbeal1  have too few sites, skip
Group_3815_1 fdx1  have too few sites, skip
Group_388_4 cpo  have too few sites, skip
Group_27_14 ches1  have too few sites, skip
Group_6165_0 gtf2a1  have too few sites, skip
Group_6714_0 cep128  have too few sites, skip
Group_4887_0 snw1  have too few sites, skip
Group_9153_0 loc107378154  have too few sites, skip
Group_891_3 ccdc85cb  have too few sites, skip
Group_4366_0 si:ch211-197l9.4  have too few sites, skip
Group_403_2 clic5b  have too few sites, skip
Group_4959_0 mut  have too few sites, skip
Group_467_0 fkbp1b  have too few sites, skip
Group_2575_0 ubxn2a  have too few sites, skip
Group_21_16 trib2  have too few sites, skip
Group_1518_0 napbb  have too few sites, skip
Group_7335_0 chgb  have too few sites, skip
Group_71_5 bmp2b  have too few sites, skip
Group_6124_0 lamp5  have too few sites, skip
Group_16_19 pak5  have too few sites, skip
Group_7761_0 ccdc69  have too few sites, skip
Group_7528_0 loc107378102  have too few sites, skip
Group_700_4 evl  have too few sites, skip
Group_117_12 actr10  have too few sites, skip
Group_4335_0 naa30  have too few sites, skip
Group_146_12 otx2  have too few sites, skip
Group_467_4 fkbp3  have too few sites, skip
Group_1438_0 mdga2  have too few sites, skip
Group_1535_0 mettl2a  have too few sites, skip
Group_226_5 itgb3a  have too few sites, skip
Group_504_0 ppp2r5cb  have too few sites, skip
Group_1016_0 dio3  have too few sites, skip
Group_2995_1 mgat2  have too few sites, skip
Group_659_4 hsp90aa1.1  have too few sites, skip
Group_1719_0 chac1  have too few sites, skip
Group_5057_0 pigh  have too few sites, skip
Group_5057_1 pigh  have too few sites, skip
Group_1565_0 zfyve1  have too few sites, skip
Group_5060_0 dcaf4l2  have too few sites, skip
Group_768_3 dpf3  have too few sites, skip
Group_2114_2 stx7l  have too few sites, skip
Group_281_6 ctgfa  have too few sites, skip
Group_1982_1 si:dkey-177p2.18  have too few sites, skip
Group_1816_2 tmem200a  have too few sites, skip
Group_5597_0 rnf217  have too few sites, skip
Group_6599_0 hddc2  have too few sites, skip
Group_8407_0 loc107378023  have too few sites, skip
Group_624_0 soga3b  have too few sites, skip
Group_311_7 elovl4b  have too few sites, skip
Group_461_1 fam46ab  have too few sites, skip
Group_5663_0 ccnc  have too few sites, skip
Group_134_5 pou3f2a  have too few sites, skip
Group_7380_0 mrps18a  have too few sites, skip
Group_1283_0 vegfab  have too few sites, skip
Group_2233_0 naga  have too few sites, skip
Group_3140_1 wdr26b  have too few sites, skip
Group_1652_0 si:ch211-57i17.1  have too few sites, skip
Group_5246_1 si:ch211-57i17.5  have too few sites, skip
Group_5734_0 si:ch73-21k16.4  have too few sites, skip
Group_6155_0 cgrrf1  have too few sites, skip
Group_39_32 psmc6  have too few sites, skip
Group_2553_0 tab2  have too few sites, skip
Group_39_41 katna1  have too few sites, skip
Group_7169_0 srp9  have too few sites, skip
Group_3401_0 tcf23  have too few sites, skip
Group_2214_0 traf3ip2  have too few sites, skip
Group_304_1 mcm3  have too few sites, skip
Group_1657_2 paqr8  have too few sites, skip
Group_1025_1-Group_1025_2 snap25  have too few sites, skip
Group_3560_1 ankef1b  have too few sites, skip
Group_59_27 loc107378232  have too few sites, skip
Group_59_23 adgrf3b  have too few sites, skip
Group_5312_0 brox  have too few sites, skip
Group_2995_0 si:ch73-91k6.2  have too few sites, skip
Group_2415_1 disp1  have too few sites, skip
Group_1651_0 hmbox1b  have too few sites, skip
Group_17_34 kif13bb  have too few sites, skip
Group_2682_0 pnocb  have too few sites, skip
Group_115_5 fzd3a  have too few sites, skip
Group_4030_1 lft1  have too few sites, skip
Group_810_2 kif26bb  have too few sites, skip
Group_7053_0 zgc:162161  have too few sites, skip
Group_292_0 psma6a  have too few sites, skip
Group_1195_0 nfkbiaa  have too few sites, skip
Group_1596_0 brms1lb  have too few sites, skip
Group_4994_0 amd1  have too few sites, skip
Group_3402_1 tnfrsf21  have too few sites, skip
Group_80_5 gnal  have too few sites, skip
Group_1625_0 chodl  have too few sites, skip
Group_711_1 prkag2a  have too few sites, skip
Group_5978_0 xrcc2  have too few sites, skip
Group_883_2 kmt2ca  have too few sites, skip
Group_6654_0 nub1  have too few sites, skip
Group_46_19 crygn2  have too few sites, skip
Group_7087_0 sugct  have too few sites, skip
Group_52_17 unknown  have too few sites, skip
Group_2080_1 asph  have too few sites, skip
Group_565_1 clvs1  have too few sites, skip
Group_2403_1 riok3  have too few sites, skip
Group_235_3 f13a1a.1  have too few sites, skip
Group_1297_3 nrn1a  have too few sites, skip
Group_3935_0 fars2  have too few sites, skip
Group_1510_2 si:ch211-152c8.5  have too few sites, skip
Group_2599_1 cyb5a  have too few sites, skip
Group_8116_0 si:ch211-152c8.2  have too few sites, skip
Group_7067_0 fam69c  have too few sites, skip
Group_1514_2 tmeff1b  have too few sites, skip
Group_534_3 murcb  have too few sites, skip
Group_1430_1 ssr1  have too few sites, skip
Group_1506_0 ezh2  have too few sites, skip
Group_2149_0 cldn11b  have too few sites, skip
Group_290_4 slc7a14b  have too few sites, skip
Group_1814_2 rpl22l1  have too few sites, skip
Group_1793_1 eif5a  have too few sites, skip
Group_4317_0 lrrc31  have too few sites, skip
Group_3485_0 lrrc34  have too few sites, skip
Group_5682_0 eif2s3  have too few sites, skip
Group_13_60 klhl15  have too few sites, skip
Group_1015_3 sat1  have too few sites, skip
Group_42_30 chrnd  have too few sites, skip
Group_351_6 lipib  have too few sites, skip
Group_4179_0 eif1axa  have too few sites, skip
Group_2386_1 pdha1b  have too few sites, skip
Group_96_4 vipr2  have too few sites, skip
Group_2704_1 tnfsf10  have too few sites, skip
Group_1219_0 nceh1b  have too few sites, skip
Group_2496_0 emc9  have too few sites, skip
Group_7306_0 lsm5  have too few sites, skip
Group_6343_0 avl9  have too few sites, skip
Group_13_8 kbtbd2  have too few sites, skip
Group_7325_0 rnf152  have too few sites, skip
Group_862_4 mc4r  have too few sites, skip
Group_49_1 cdh12a  have too few sites, skip
Group_49_27 cdh18  have too few sites, skip
Group_1955_1 epc1a  have too few sites, skip
Group_1649_2 ggh  have too few sites, skip
Group_1212_3 ptchd1  have too few sites, skip
Group_5518_0 mbtps2  have too few sites, skip
Group_1404_0 map3k15  have too few sites, skip
Group_57_36 tmtopsb  have too few sites, skip
Group_2964_1 and1  have too few sites, skip
Group_9337_0 myeov2  have too few sites, skip
Group_677_0 tfap2a  have too few sites, skip
Group_1984_0 tmem14ca  have too few sites, skip
Group_605_2 plcxd2  have too few sites, skip
Group_2922_0 tmem56a  have too few sites, skip
Group_409_2 bco1  have too few sites, skip
Group_4076_0 zc2hc1a  have too few sites, skip
Group_174_1 ctnnd2  have too few sites, skip
Group_8063_0 dap  have too few sites, skip
Group_233_7 loc107382995  have too few sites, skip
Group_6058_0 pex2  have too few sites, skip
Group_5066_0 si:dkey-94e7.1  have too few sites, skip
Group_122_12 zgc:112332  have too few sites, skip
Group_4877_0 tpk1  have too few sites, skip
Group_6673_0 c8g  have too few sites, skip
Group_2363_1 msrb2  have too few sites, skip
Group_6647_0 commd3  have too few sites, skip
Group_6421_0 skida1  have too few sites, skip
Group_944_0 si:ch211-217a12.1  have too few sites, skip
