Group_4096_1	XM_015946263	rna7482	wrap53	XP_015801749.1
Group_6748_0	XM_015960764	rna2146	ndufb2	XP_015816250.1
Group_5925_0	XM_015960318	rna2106	ccdc53	XP_015815804.1
Group_992_0	XM_015960272	rna2103	LOC107386087	XP_015815758.1
Group_3021_1	XM_015959778	rna2050	LOC107385704	XP_015815264.1
Group_145_13	XM_015959717	rna2038	LOC107385666	XP_015815203.1
Group_6314_0	XM_015959356	rna2001	mest	XP_015814842.1
Group_3_48	XM_015957957	rna1854	LOC107384610	XP_015813443.1
Group_289_7	XM_015957570	rna1812	LOC107384342	XP_015813056.1
Group_668_0	XM_015957314	rna1784	lrrn3	XP_015812800.1
Group_418_1	XM_015955605	rna1595	LOC107383140	XP_015811091.1
Group_1354_5	XM_015951377	rna1249	LOC107380232	XP_015806863.1
Group_1412_2	XM_015949529	rna1054	LOC107378992	XP_015805015.1
Group_3012_1	XM_015948465	rna939	LOC107378322	XP_015803951.1
Group_444_5	XM_015948440	rna938	LOC107378306	XP_015803926.1
Group_1826_1	XM_015948040	rna891	tmem255a	XP_015803526.1
Group_474_2	XM_015943673	rna439	LOC107375248	XP_015799159.1
Group_129_14	XM_015943611	rna431	atp10b	XP_015799097.1
Group_1082_1	XM_015943253	rna397	zdhhc15	XP_015798739.1
Group_4240_0	XM_015943221	rna393	kiaa2022	XP_015798707.1
Group_207_7	XM_015971437	rna320	LOC107393191	XP_015826923.1
Group_863_2	XM_015942891	rna34	LOC107372317	XP_015798377.1
Group_62_23	XM_015948490	rna9672	LOC107378341	XP_015803976.1
Group_307_4	XM_015948545	rna9724	LOC107378366	XP_015804031.1
Group_557_2	XM_015948586	rna9764	LOC107378393	XP_015804072.1
Group_1012_3	XM_015948623	rna9803	elfn1	XP_015804109.1
Group_94_0	XM_015948704	rna9878	LOC107378473	XP_015804190.1
Group_477_5	XM_015948791	rna9975	map3k3	XP_015804277.1
Group_2139_1	XM_015953869	rna14989	kat2a	XP_015809355.1
Group_614_2	XM_015948924	rna10091	foxk2	XP_015804410.1
Group_8534_0	XM_015948969	rna10192	LOC107378652	XP_015804455.1
Group_5526_0	XM_015949089	rna10370	mal2	XP_015804575.1
Group_6572_0	XM_015949057	rna10401	pigv	XP_015804543.1
Group_262_9	XM_015949122	rna10329	irx1	XP_015804608.1
Group_64_0	XM_015949123	rna10326	adamts16	XP_015804609.1
Group_5955_0	XM_015949192	rna10257	mdh2	XP_015804678.1
Group_4891_0	XM_015949255	rna10511	prdm13	XP_015804741.1
Group_1890_2	XM_015950025	rna11188	LOC107379316	XP_015805511.1
Group_692_0	XM_015950037	rna11200	LOC107379324	XP_015805523.1
Group_5635_0	XM_015950038	rna11201	dhdds	XP_015805524.1
Group_3007_0	XM_015950078	rna11243	eva1b	XP_015805564.1
Group_37_29	XM_015950084	rna11248	grik3	XP_015805570.1
Group_444_6	XM_015950106	rna11271	LOC107379380	XP_015805592.1
Group_0_160	XM_015950146	rna11308	znf628	XP_015805632.1
Group_38_43	XM_015950223	rna11385	chd4	XP_015805709.1
Group_94_33	XM_015950226	rna11386	LOC107379462	XP_015805712.1
Group_7490_0	XM_015950232	rna11392	atn1	XP_015805718.1
Group_2439_1	XM_015950291	rna11451	cic	XP_015805777.1
Group_2771_1	XM_015950604	rna11568	cnot3	XP_015806090.1
Group_9105_0	XM_015950486	rna11774	LOC107379642	XP_015805972.1
Group_4644_0	XM_015950646	rna11675	gtpbp10	XP_015806132.1
Group_6597_0	XM_015965425	rna26292	mlycd	XP_015820911.1
Group_739_1	XM_015964954	rna25826	tshz3	XP_015820440.1
Group_800_2	XM_015964836	rna25702	rassf7	XP_015820322.1
Group_47_6	XM_015964789	rna25651	kras	XP_015820275.1
Group_42_31	XM_015964629	rna25500	sema3d	XP_015820115.1
Group_403_2	XM_015964618	rna25493	LOC107388857	XP_015820104.1
Group_58_21	XM_015964569	rna25443	LOC107388834	XP_015820055.1
Group_7428_0	XM_015964568	rna25442	bbs10	XP_015820054.1
Group_1183_0	XM_015964501	rna25375	ankrd34c	XP_015819987.1
Group_5730_0	XM_015964474	rna25349	etfa	XP_015819960.1
Group_5717_0	XM_015964454	rna25330	ice2	XP_015819940.1
Group_50_0	XM_015964445	rna25318	LOC107388757	XP_015819931.1
Group_6996_0	XM_015964379	rna25246	csgr13h15orf61	XP_015819865.1
Group_373_2	XM_015964363	rna25234	LOC107388705	XP_015819849.1
Group_1952_1	XM_015964320	rna25193	LOC107388684	XP_015819806.1
Group_228_1	XM_015964167	rna25032	LOC107388601	XP_015819653.1
Group_1185_3	XM_015964165	rna25030	LOC107388599	XP_015819651.1
Group_144_2	XM_015964134	rna25001	plxnb2	XP_015819620.1
Group_4250_0	XM_015964133	rna25000	tubgcp6	XP_015819619.1
Group_1653_1	XM_015964127	rna24992	dbx2	XP_015819613.1
Group_4185_0	XM_015964022	rna24937	cnot4	XP_015819508.1
Group_2561_0	XM_015964019	rna24933	LOC107388472	XP_015819505.1
Group_1816_2	XM_015964018	rna24932	LOC107388471	XP_015819504.1
Group_1289_3	XM_015963995	rna24906	dhtkd1	XP_015819481.1
Group_958_3	XM_015967755	rna2568	LOC107390813	XP_015823241.1
Group_2056_0	XM_015968857	rna2501	bptf	XP_015824343.1
Group_150_9	XM_015955655	rna16796	LOC107383184	XP_015811141.1
Group_191_11	XM_015955934	rna17084	hoxa10	XP_015811420.1
Group_50_26	XM_015956359	rna17643	klf2	XP_015811845.1
Group_23_13	XM_015956627	rna17754	LOC107383818	XP_015812113.1
Group_4054_0	XM_015956794	rna17915	wrnip1	XP_015812280.1
Group_424_4	XM_015956815	rna17936	tns3	XP_015812301.1
Group_3_112	XM_015957271	rna18390	rab2a	XP_015812757.1
Group_50_23	XM_015957344	rna18468	klf18	XP_015812830.1
Group_7421_0	XM_015943992	rna5143	mkks	XP_015799478.1
Group_26_20	XM_015944012	rna5238	LOC107375466	XP_015799498.1
Group_4111_0	XM_015944112	rna5337	ttl	XP_015799598.1
Group_4481_0	XM_015944617	rna5876	lrpprc	XP_015800103.1
Group_1433_1	XM_015944813	rna6075	dis3	XP_015800299.1
Group_98_23	XM_015944822	rna6081	agt	XP_015800308.1
Group_3411_0	XM_015944823	rna6082	LOC107375971	XP_015800309.1
Group_525_1	XM_015944874	rna6132	ppp2r2d	XP_015800360.1
Group_1714_5	XM_015944917	rna6174	LOC107376033	XP_015800403.1
Group_2111_0	XM_015945958	rna6384	LOC107376698	XP_015801444.1
Group_419_3	XM_015945815	rna6523	tob1	XP_015801301.1
Group_198_2	XM_015945691	rna6652	LOC107376544	XP_015801177.1
Group_1066_2	XM_015945653	rna6690	LOC107376523	XP_015801139.1
Group_2744_0	XM_015945583	rna6762	dnaja3	XP_015801069.1
Group_111_0	XM_015945563	rna6784	LOC107376462	XP_015801049.1
Group_187_7	XM_015945262	rna7096	LOC107376254	XP_015800748.1
Group_33_15	XM_015976013	rna36666	LOC107396344	XP_015831499.1
Group_5704_0	XM_015952029	rna13173	ilvbl	XP_015807515.1
Group_8046_0	XM_015951996	rna13141	LOC107380691	XP_015807482.1
Group_8047_0	XM_015951933	rna13044	wdr49	XP_015807419.1
Group_7374_0	XM_015951770	rna13008	pid1	XP_015807256.1
Group_73_20	XM_015951485	rna12697	LOC107380311	XP_015806971.1
Group_280_7	XM_015951475	rna12687	npas1	XP_015806961.1
Group_1438_0	XM_015951474	rna12686	arhgap35	XP_015806960.1
Group_103_28	XM_015951453	rna12666	LOC107380286	XP_015806939.1
Group_529_2	XM_015951430	rna12642	fosb	XP_015806916.1
Group_85_6	XM_015951360	rna12571	LOC107380224	XP_015806846.1
Group_1880_0	XM_015951151	rna12366	vps26b	XP_015806637.1
Group_1366_0	XM_015951103	rna12324	med13	XP_015806589.1
Group_2476_1	XM_015951025	rna12186	LOC107380027	XP_015806511.1
Group_75_9	XM_015950676	rna11815	capn5	XP_015806162.1
Group_3179_1	XM_015950678	rna11816	omp	XP_015806164.1
Group_95_28	XM_015943658	rna4941	tacr3	XP_015799144.1
Group_6116_0	XM_015943632	rna4919	mettl14	XP_015799118.1
Group_598_5	XM_015943033	rna4306	map1b	XP_015798519.1
Group_114_20	XM_015942983	rna4254	LOC107374748	XP_015798469.1
Group_1217_2	XM_015942861	rna4130	shc3	XP_015798347.1
Group_1163_4	XM_015942820	rna4088	LOC107374669	XP_015798306.1
Group_5074_0	XM_015942816	rna4084	nup214	XP_015798302.1
Group_442_2	XM_015942782	rna4067	LOC107374630	XP_015798268.1
Group_4346_0	XM_015942710	rna4056	znf618	XP_015798196.1
Group_1542_3	XM_015942495	rna4027	prdm12	XP_015797981.1
Group_3_113	XM_015942245	rna3999	LOC107374090	XP_015797731.1
Group_95_5	XM_015941358	rna3870	LOC107373190	XP_015796844.1
Group_99_2	XM_015940899	rna3812	LOC107372696	XP_015796385.1
Group_37_15	XM_015976536	rna3665	LOC107396711	XP_015832022.1
Group_5070_0	XM_015974273	rna3443	slc38a9	XP_015829759.1
Group_217_3	XM_015974466	rna3467	mfhas1	XP_015829952.1
Group_5052_0	XM_015970229	rna3309	csgr02h10orf76	XP_015825715.1
Group_2218_0	XM_015971622	rna3168	pi4k2b	XP_015827108.1
Group_8_57	XM_015972216	rna3103	LOC107393673	XP_015827702.1
Group_5487_0	XM_015966834	rna27659	kctd4	XP_015822320.1
Group_115_10	XM_015966827	rna27652	LOC107390230	XP_015822313.1
Group_2754_1	XM_015966726	rna27536	LOC107390162	XP_015822212.1
Group_1459_1	XM_015966660	rna27471	nme9	XP_015822146.1
Group_88_0	XM_015966622	rna27435	kcnj3	XP_015822108.1
Group_93_1	XM_015966580	rna27391	tbr1	XP_015822066.1
Group_164_6	XM_015966571	rna27382	kcnh7	XP_015822057.1
Group_1000_0	XM_015966567	rna27378	grb14	XP_015822053.1
Group_4303_1	XM_015966557	rna27369	ttc21b	XP_015822043.1
Group_185_4	XM_015966491	rna27307	dlx1	XP_015821977.1
Group_8_59	XM_015966396	rna27211	LOC107389959	XP_015821882.1
Group_8_72	XM_015966395	rna27210	LOC107389958	XP_015821881.1
Group_923_4	XM_015966340	rna27158	LOC107389925	XP_015821826.1
Group_60_35	XM_015966337	rna27154	ackr3	XP_015821823.1
Group_528_4	XM_015966256	rna27097	irs2	XP_015821742.1
Group_2976_1	XM_015966234	rna27078	LOC107389840	XP_015821720.1
Group_273_3	XM_015966166	rna27018	LOC107389806	XP_015821652.1
Group_578_4	XM_015966140	rna26992	mgat4a	XP_015821626.1
Group_391_3	XM_015966110	rna26963	kpna3	XP_015821596.1
Group_805_5	XM_015966098	rna26950	il1rapl1	XP_015821584.1
Group_795_2	XM_015966093	rna26949	filip1l	XP_015821579.1
Group_1745_1	XM_015966034	rna26890	acod1	XP_015821520.1
Group_4129_0	XM_015965989	rna26847	clybl	XP_015821475.1
Group_5341_0	XM_015965981	rna26836	itgbl1	XP_015821467.1
Group_5585_0	XM_015965965	rna26820	med14	XP_015821451.1
Group_4763_1	XM_015965914	rna26753	dirc2	XP_015821400.1
