Group_984_1	XM_015946264	rna7483	efnb3	XP_015801750.1
Group_5824_0	XM_015953014	rna14371	mns1	XP_015808500.1
Group_964_2	XM_015952893	rna14488	LOC107381298	XP_015808379.1
Group_1759_1	XM_015953698	rna14645	mapk8ip1	XP_015809184.1
Group_282_2	XM_015953690	rna14654	chst1	XP_015809176.1
Group_224_14	XM_015956340	rna17619	trpm5	XP_015811826.1
Group_31_8	XM_015953678	rna14669	cd151	XP_015809164.1
Group_746_5	XM_015953600	rna14746	anp32a	XP_015809086.1
Group_5343_0	XM_015952723	rna13864	nae1	XP_015808209.1
Group_114_7	XM_015953942	rna15165	dnaja2	XP_015809428.1
Group_5768_0	XM_015973313	rna33945	rp9	XP_015828799.1
Group_102_1	XM_015973310	rna33942	galnt12	XP_015828796.1
Group_1681_0	XM_015973514	rna34151	LOC107394540	XP_015829000.1
Group_1636_0	XM_015974599	rna35225	LOC107395261	XP_015830085.1
Group_773_1	XM_015973631	rna34259	hdgf	XP_015829117.1
Group_5964_0	XM_015973633	rna34261	mrpl24	XP_015829119.1
Group_2832_1	XM_015973682	rna34310	LOC107394652	XP_015829168.1
Group_6723_0	XM_015973784	rna34414	zbtb10	XP_015829270.1
Group_66_15	XM_015973884	rna34564	snrnp40	XP_015829370.1
Group_1190_1	XM_015973883	rna34565	nkain1	XP_015829369.1
Group_780_4	XM_015973863	rna34585	LOC107394772	XP_015829349.1
Group_6391_0	XM_015967218	rna27925	pm20d1	XP_015822704.1
Group_6842_0	XM_015943206	rna4472	sdf4	XP_015798692.1
Group_624_0	XM_015967408	rna28236	prkar2a	XP_015822894.1
Group_2117_0	XM_015967396	rna28282	LOC107390586	XP_015822882.1
Group_1851_4	XM_015967574	rna28366	LOC107390710	XP_015823060.1
Group_1116_0	XM_015967590	rna28384	LOC107390721	XP_015823076.1
Group_349_7	XM_015967606	rna28400	ttll9	XP_015823092.1
Group_2463_0	XM_015967638	rna28431	tardbp	XP_015823124.1
Group_549_7	XM_015967461	rna28545	lhfpl5	XP_015822947.1
Group_396_2	XM_015967819	rna28603	arhgap4	XP_015823305.1
Group_1233_2	XM_015967825	rna28607	fam3a	XP_015823311.1
Group_81_16	XM_015967959	rna28742	LOC107390943	XP_015823445.1
Group_2269_2	XM_015968193	rna28957	tspan31	XP_015823679.1
Group_1856_1	XM_015968319	rna29075	ss18l1	XP_015823805.1
Group_1867_0	XM_015968386	rna29144	LOC107391219	XP_015823872.1
Group_370_7	XM_015968588	rna29335	LOC107391324	XP_015824074.1
Group_820_0	XM_015959940	rna21014	pdzrn3	XP_015815426.1
Group_158_1	XM_015959814	rna20881	LOC107385736	XP_015815300.1
Group_119_24	XM_015959707	rna20772	LOC107385662	XP_015815193.1
Group_7300_0	XM_015959546	rna20621	spcs1	XP_015815032.1
Group_17_15	XM_015959525	rna20599	kif21b	XP_015815011.1
Group_5836_0	XM_015959502	rna20578	ube2j2	XP_015814988.1
Group_61_29	XM_015959424	rna20503	LOC107385502	XP_015814910.1
Group_2348_0	XM_015959385	rna20459	nop56	XP_015814871.1
Group_6352_0	XM_015959318	rna20395	thoc7	XP_015814804.1
Group_5395_0	XM_015959299	rna20377	slc25a26	XP_015814785.1
Group_4536_0	XM_015959191	rna20258	fam212b	XP_015814677.1
Group_78_40	XM_015959177	rna20249	LOC107385350	XP_015814663.1
Group_1496_2	XM_015959063	rna20133	iffo2	XP_015814549.1
Group_76_37	XM_015958919	rna19986	LOC107385196	XP_015814405.1
Group_728_3	XM_015958774	rna19848	LOC107385119	XP_015814260.1
Group_1676_2	XM_015958657	rna19737	LOC107385057	XP_015814143.1
Group_175_13	XM_015958622	rna19703	LOC107385037	XP_015814108.1
Group_1731_1	XM_015958588	rna19674	nudt3	XP_015814074.1
Group_1018_4	XM_015958470	rna19539	LOC107384941	XP_015813956.1
Group_699_5	XM_015958434	rna19510	ahcy	XP_015813920.1
Group_3620_1	XM_015958402	rna19475	lactbl1	XP_015813888.1
Group_5299_0	XM_015958311	rna19385	nicn1	XP_015813797.1
Group_96_32	XM_015958063	rna19134	LOC107384689	XP_015813549.1
Group_1211_2	XM_015958069	rna19141	LOC107384695	XP_015813555.1
Group_2532_0	XM_015960544	rna21203	LOC107386251	XP_015816030.1
Group_103_8	XM_015960233	rna21510	bmp3	XP_015815719.1
Group_360_5	XM_015960805	rna21799	LOC107386429	XP_015816291.1
Group_5650_0	XM_015960836	rna21828	LOC107386447	XP_015816322.1
Group_205_0	XM_015960843	rna21829	lrch2	XP_015816329.1
Group_255_5	XM_015960911	rna21902	slc25a35	XP_015816397.1
Group_215_13	XM_015961064	rna22050	msi2	XP_015816550.1
Group_82_5	XM_015961130	rna22114	LOC107386610	XP_015816616.1
Group_5555_0	XM_015961206	rna22193	vps51	XP_015816692.1
Group_1635_1	XM_015961211	rna22197	cnih2	XP_015816697.1
Group_2142_0	XM_015961251	rna22235	larp1	XP_015816737.1
Group_5739_0	XM_015961374	rna22355	crcp	XP_015816860.1
Group_10_26	XM_015961411	rna22394	stk32a	XP_015816897.1
Group_2470_1	XM_015961490	rna22457	cdkn2aipnl	XP_015816976.1
Group_1077_5	XM_015961517	rna22486	LOC107386865	XP_015817003.1
Group_15_1	XM_015961529	rna22496	LOC107386875	XP_015817015.1
Group_7726_0	XM_015961774	rna22741	c1qbp	XP_015817260.1
Group_27_32	XM_015961812	rna22780	LOC107387056	XP_015817298.1
Group_6612_0	XM_015961832	rna22792	emc6	XP_015817318.1
Group_383_2	XM_015961831	rna22793	p2rx5	XP_015817317.1
Group_39_36	XM_015962648	rna24433	LOC107387605	XP_015818134.1
Group_1569_1	XM_015963410	rna24291	rab11fip3	XP_015818896.1
Group_2745_1	XM_015963368	rna24252	tbc1d24	XP_015818854.1
Group_6185_0	XM_015963354	rna24239	cog7	XP_015818840.1
Group_4547_0	XM_015963206	rna24091	LOC107387931	XP_015818692.1
Group_765_0	XM_015963196	rna24082	LOC107387926	XP_015818682.1
Group_2067_2	XM_015963194	rna24080	spop	XP_015818680.1
Group_155_20	XM_015963185	rna24072	LOC107387920	XP_015818671.1
Group_5838_0	XM_015963149	rna24033	LOC107387899	XP_015818635.1
Group_866_1	XM_015963142	rna24022	atrnl1	XP_015818628.1
Group_6_19	XM_015963088	rna23974	LOC107387858	XP_015818574.1
Group_199_8	XM_015962581	rna23894	LOC107387559	XP_015818067.1
Group_134_1	XM_015963063	rna23872	ppif	XP_015818549.1
Group_1212_2	XM_015963002	rna23821	LOC107387808	XP_015818488.1
Group_152_12	XM_015962945	rna23764	LOC107387773	XP_015818431.1
Group_2177_0	XM_015962928	rna23748	LOC107387766	XP_015818414.1
Group_186_10	XM_015962406	rna23458	osbpl7	XP_015817892.1
Group_55_12	XM_015962421	rna23442	hoxb6	XP_015817907.1
Group_5830_0	XM_015974321	rna34932	tbc1d23	XP_015829807.1
Group_695_3	XM_015975544	rna36254	LOC107396043	XP_015831030.1
Group_652_4	XM_015975586	rna36247	rs1	XP_015831072.1
Group_7871_0	XM_015971587	rna32295	csgr17h19orf70	XP_015827073.1
Group_5187_0	XM_015971590	rna32302	polrmt	XP_015827076.1
Group_6419_1	XM_015970831	rna31706	LOC107392813	XP_015826317.1
Group_7294_0	XM_015970832	rna31705	ndufs7	XP_015826318.1
Group_2417_1	XM_015970924	rna31616	rexo1	XP_015826410.1
Group_300_11	XM_015971018	rna31513	cyr61	XP_015826504.1
Group_84_37	XM_015971154	rna31373	LOC107393021	XP_015826640.1
Group_47_33	XM_015942387	rna40201	LOC107374239	XP_015797873.1
Group_49_34	XM_015969204	rna30209	cdkl1	XP_015824690.1
Group_580_0	XM_015969874	rna30627	e2f2	XP_015825360.1
Group_5170_0	XM_015969963	rna30711	cmpk2	XP_015825449.1
Group_6475_0	XM_015969964	rna30712	rsad2	XP_015825450.1
Group_3382_1	XM_015969991	rna30737	bahd1	XP_015825477.1
Group_6669_0	XM_015970043	rna30784	mnat1	XP_015825529.1
Group_537_6	XM_015970056	rna30797	rtn1	XP_015825542.1
Group_5554_0	XM_015970077	rna30817	chmp3	XP_015825563.1
Group_3598_1	XM_015970143	rna30884	bbof1	XP_015825629.1
Group_7891_0	XM_015970294	rna31025	siva1	XP_015825780.1
Group_1042_3	XM_015970341	rna31078	LOC107392498	XP_015825827.1
Group_795_1	XM_015970442	rna31181	LOC107392563	XP_015825928.1
Group_152_0	XM_015941784	rna39523	kcnk5	XP_015797270.1
Group_6426_0	XM_015971860	rna32566	ogfod2	XP_015827346.1
Group_6075_0	XM_015971910	rna32614	rchy1	XP_015827396.1
Group_7940_0	XM_015971956	rna32655	cdca2	XP_015827442.1
Group_4093_0	XM_015971982	rna32680	dgcr8	XP_015827468.1
Group_3849_0	XM_015972029	rna32725	kiaa1671	XP_015827515.1
Group_2898_1	XM_015972043	rna32738	LOC107393582	XP_015827529.1
Group_6982_0	XM_015972131	rna32825	glt1d1	XP_015827617.1
Group_7636_0	XM_015972177	rna32869	LOC107393651	XP_015827663.1
Group_273_7	XM_015972218	rna32910	LOC107393676	XP_015827704.1
Group_486_6	XM_015972438	rna32930	tmc1	XP_015827924.1
Group_394_1	XM_015972249	rna32941	LOC107393700	XP_015827735.1
Group_50_2	XM_015972387	rna33079	klf9	XP_015827873.1
Group_5328_0	XM_015972611	rna33277	pole	XP_015828097.1
Group_103_21	XM_015973065	rna33373	LOC107394212	XP_015828551.1
Group_6641_0	XM_015973091	rna33395	csgr18h2orf68	XP_015828577.1
Group_6222_0	XM_015972747	rna33506	naa35	XP_015828233.1
Group_1156_7	XM_015972748	rna33507	agtpbp1	XP_015828234.1
Group_4963_0	XM_015972794	rna33550	ccser1	XP_015828280.1
Group_362_9	XM_015973183	rna33811	lipg	XP_015828669.1
Group_8085_0	XM_015973193	rna33820	LOC107394300	XP_015828679.1
Group_8181_0	XM_015973272	rna33828	mcidas	XP_015828758.1
Group_4367_0	XM_015973242	rna33875	gldc	XP_015828728.1
Group_42_34	XM_015959604	rna2025	LOC107385609	XP_015815090.1
Group_3043_1	XM_015958210	rna1880	LOC107384762	XP_015813696.1
Group_5909_0	XM_015956509	rna1698	LOC107383719	XP_015811995.1
Group_1317_4	XM_015951390	rna1250	LOC107380237	XP_015806876.1
Group_2739_0	XM_015950812	rna1188	pdgfc	XP_015806298.1
Group_163_1	XM_015950640	rna1172	ctso	XP_015806126.1
Group_145_0	XM_015975207	rna35867	LOC107395757	XP_015830693.1
Group_5718_0	XM_015950349	rna1139	maea	XP_015805835.1
Group_2508_1	XM_015950308	rna1134	spon2	XP_015805794.1
Group_3287_0	XM_015954097	rna970	LOC107382102	XP_015809583.1
Group_1682_2	XM_015948550	rna943	cfl1	XP_015804036.1
Group_6762_0	XM_015948015	rna885	mcts1	XP_015803501.1
Group_152_21	XM_015947256	rna816	LOC107377572	XP_015802742.1
Group_5534_0	XM_015945151	rna586	kiaa0141	XP_015800637.1
Group_5748_0	XM_015943698	rna438	atp5o	XP_015799184.1
Group_7276_0	XM_015943584	rna427	nudcd2	XP_015799070.1
Group_8144_0	XM_015976650	rna382	slc25a53	XP_015832136.1
Group_510_6	XM_015948735	rna172	LOC107378241	XP_015804221.1
Group_48_47	XM_015948856	rna68	gabra4	XP_015804342.1
Group_3159_0	XM_015975192	rna35854	LOC107395744	XP_015830678.1
Group_791_1	XM_015948491	rna9673	LOC107378342	XP_015803977.1
Group_521_3	XM_015948548	rna9727	kank2	XP_015804034.1
Group_6466_0	XM_015948584	rna9759	polr3k	XP_015804070.1
Group_4555_0	XM_015948601	rna9778	kdm8	XP_015804087.1
Group_329_2	XM_015949022	rna10137	LOC107378679	XP_015804508.1
Group_1600_0	XM_015949100	rna10353	mboat1	XP_015804586.1
Group_2718_0	XM_015949061	rna10398	gpn2	XP_015804547.1
Group_60_17	XM_015949140	rna10309	LOC107378759	XP_015804626.1
Group_1810_0	XM_015949176	rna10276	fam84b	XP_015804662.1
Group_115_3	XM_015949263	rna10504	fzd6	XP_015804749.1
Group_136_11	XM_015949248	rna10519	LOC107378829	XP_015804734.1
Group_311_1	XM_015949419	rna10585	nfatc1	XP_015804905.1
Group_1835_1	XM_015949883	rna11037	ensa	XP_015805369.1
Group_8119_1	XM_015950031	rna11195	LOC107379321	XP_015805517.1
Group_1472_2	XM_015950097	rna11264	smpdl3b	XP_015805583.1
Group_461_1	XM_015950215	rna11374	vamp1	XP_015805701.1
Group_12_2	XM_015950219	rna11379	ptpn6	XP_015805705.1
Group_35_35	XM_015950272	rna11432	LOC107379496	XP_015805758.1
Group_70_30	XM_015950524	rna11488	LOC107379671	XP_015806010.1
Group_6342_0	XM_015950651	rna11674	cldn12	XP_015806137.1
Group_249_9	XM_015950642	rna11681	LOC107379739	XP_015806128.1
Group_6355_0	XM_015950644	rna11710	alg2	XP_015806130.1
Group_8937_0	XM_015950510	rna11796	znf804b	XP_015805996.1
Group_5515_0	XM_015964961	rna25832	tmem5	XP_015820447.1
Group_2612_1	XM_015964960	rna25830	csgr13h19orf12	XP_015820446.1
Group_7323_0	XM_015964862	rna25732	spty2d1	XP_015820348.1
Group_1380_1	XM_015964832	rna25697	LOC107388996	XP_015820318.1
Group_3472_1	XM_015964826	rna25690	pamr1	XP_015820312.1
Group_6372_0	XM_015964799	rna25662	fanci	XP_015820285.1
Group_5745_0	XM_015964098	rna25589	fam185a	XP_015819584.1
Group_5413_0	XM_015964646	rna25516	rbm28	XP_015820132.1
Group_1367_0	XM_015964625	rna25496	LOC107388862	XP_015820111.1
Group_1138_4	XM_015964624	rna25495	fam107b	XP_015820110.1
Group_91_10	XM_015964613	rna25484	LOC107388852	XP_015820099.1
Group_5787_0	XM_015964577	rna25450	LOC107388840	XP_015820063.1
Group_1036_2	XM_015964488	rna25363	znf592	XP_015819974.1
Group_259_8	XM_015964431	rna25308	tbc1d2b	XP_015819917.1
Group_6514_0	XM_015964429	rna25303	fbxl22	XP_015819915.1
Group_2588_1	XM_015964409	rna25286	islr2	XP_015819895.1
Group_5672_0	XM_015964401	rna25275	vwa9	XP_015819887.1
Group_4484_0	XM_015964352	rna25219	rapsn	XP_015819838.1
Group_205_2	XM_015964087	rna25189	lrrc10b	XP_015819573.1
Group_115_27	XM_015964129	rna24993	LOC107388573	XP_015819615.1
Group_1043_1	XM_015965076	rna2843	dnajb14	XP_015820562.1
Group_1784_2	XM_015965154	rna2836	bnc2	XP_015820640.1
Group_2189_0	XM_015942236	rna40037	pkd2	XP_015797722.1
Group_678_5	XM_015963821	rna24736	cav1	XP_015819307.1
Group_257_11	XM_015965752	rna2772	smad1	XP_015821238.1
Group_6912_0	XM_015966718	rna2680	ccdc40	XP_015822204.1
Group_9164_0	XM_015968974	rna2484	LOC107391609	XP_015824460.1
Group_7934_0	XM_015955887	rna17034	smim12	XP_015811373.1
Group_55_43	XM_015955933	rna17074	hoxa1	XP_015811419.1
Group_5_34	XM_015955985	rna17143	col9a2	XP_015811471.1
Group_114_18	XM_015956196	rna17482	dnajb4	XP_015811682.1
Group_5574_0	XM_015956626	rna17753	atp6v0b	XP_015812112.1
Group_359_7	XM_015956658	rna17784	gata6	XP_015812144.1
Group_40_18	XM_015956824	rna17948	LOC107383924	XP_015812310.1
Group_17_21	XM_015956969	rna18093	kif2c	XP_015812455.1
Group_51_27	XM_015957219	rna18340	LOC107384138	XP_015812705.1
Group_87_13	XM_015957740	rna18421	LOC107384462	XP_015813226.1
Group_948_0	XM_015957326	rna18453	zswim5	XP_015812812.1
Group_6435_0	XM_015957330	rna18457	toe1	XP_015812816.1
Group_27_49	XM_015957345	rna18469	slc6a9	XP_015812831.1
Group_5702_0	XM_015957464	rna18592	catip	XP_015812950.1
Group_8_73	XM_015957475	rna18604	pcdh8	XP_015812961.1
Group_5532_0	XM_015944008	rna5126	mad2l1bp	XP_015799494.1
Group_2896_0	XM_015943835	rna5298	LOC107375363	XP_015799321.1
Group_1027_4	XM_015944125	rna5321	prdx3	XP_015799611.1
Group_97_14	XM_015944019	rna5425	ltbp1	XP_015799505.1
Group_103_15	XM_015944204	rna5473	bmp5	XP_015799690.1
Group_2151_0	XM_015944196	rna5466	adk	XP_015799682.1
Group_7867_0	XM_015944179	rna5450	znf511	XP_015799665.1
Group_348_1	XM_015944177	rna5448	myof	XP_015799663.1
Group_220_6	XM_015944619	rna5879	ppm1b	XP_015800105.1
Group_1567_0	XM_015944635	rna5894	pnpt1	XP_015800121.1
Group_8000_0	XM_015944677	rna5932	mrpl57	XP_015800163.1
Group_1834_1	XM_015944908	rna6166	dkk1	XP_015800394.1
Group_2472_1	XM_015944930	rna6185	LOC107376041	XP_015800416.1
Group_1158_3	XM_015969914	rna30665	znf503	XP_015825400.1
Group_3116_0	XM_015944976	rna6229	LOC107376049	XP_015800462.1
Group_1783_2	XM_015945863	rna6476	LOC107376647	XP_015801349.1
Group_5230_1	XM_015945741	rna6595	mrps7	XP_015801227.1
Group_7407_0	XM_015945699	rna6647	ndufb10	XP_015801185.1
Group_4000_0	XM_015945600	rna6745	dnaaf5	XP_015801086.1
Group_426_8	XM_015945591	rna6753	srl	XP_015801077.1
Group_5865_0	XM_015945574	rna6771	ccnf	XP_015801060.1
Group_2965_0	XM_015945389	rna6970	atp5j2	XP_015800875.1
Group_3949_0	XM_015945292	rna7065	rrp7a	XP_015800778.1
Group_3045_0	XM_015945249	rna7109	LOC107376244	XP_015800735.1
Group_2079_0	XM_015945145	rna7212	LOC107376179	XP_015800631.1
Group_4_70	XM_015975725	rna36391	myo18a	XP_015831211.1
Group_6664_0	XM_015951995	rna13138	polr2i	XP_015807481.1
Group_6494_0	XM_015951989	rna13126	trappc4	XP_015807475.1
Group_5374_0	XM_015951990	rna13125	rps25	XP_015807476.1
Group_1213_2	XM_015951651	rna12873	dus4l	XP_015807137.1
Group_3496_1	XM_015951615	rna12836	LOC107380381	XP_015807101.1
Group_4238_0	XM_015951521	rna12736	LOC107380329	XP_015807007.1
Group_5314_0	XM_015951492	rna12710	LOC107380316	XP_015806978.1
Group_154_0	XM_015951478	rna12690	slc1a5	XP_015806964.1
Group_301_1	XM_015951473	rna12685	ap2s1	XP_015806959.1
Group_4848_0	XM_015951426	rna12638	clasrp	XP_015806912.1
Group_6279_0	XM_015943711	rna5007	ints12	XP_015799197.1
Group_127_6	XM_015943621	rna4905	ugt8	XP_015799107.1
Group_913_0	XM_015943583	rna4868	apbb2	XP_015799069.1
Group_21_46	XM_015943219	rna4489	prkaa1	XP_015798705.1
Group_5023_0	XM_015943055	rna4321	rpl7a	XP_015798541.1
Group_1712_2	XM_015942994	rna4267	LOC107374754	XP_015798480.1
Group_6238_0	XM_015942874	rna4146	rad1	XP_015798360.1
Group_2345_1	XM_015942754	rna4063	pappa	XP_015798240.1
Group_1204_2	XM_015942530	rna4031	LOC107374381	XP_015798016.1
Group_7071_0	XM_015942336	rna4008	mtfp1	XP_015797822.1
Group_2932_1	XM_015941730	rna3932	tesc	XP_015797216.1
Group_7173_0	XM_015940876	rna3809	fyb	XP_015796362.1
Group_2392_0	XM_015975755	rna3573	bcl7a	XP_015831241.1
Group_62_0	XM_015974402	rna3460	LOC107395114	XP_015829888.1
Group_1400_1-Group_1400_2	XM_015974485	rna3469	nkx6-1	XP_015829971.1
Group_351_0	XM_015970406	rna3281	smap1	XP_015825892.1
Group_575_0	XM_015971336	rna3195	LOC107393147	XP_015826822.1
Group_297_1	XM_015965485	rna26351	LOC107389369	XP_015820971.1
Group_281_0	XM_015965506	rna26372	parp9	XP_015820992.1
Group_2433_1	XM_015966629	rna27443	rprm	XP_015822115.1
Group_6788_0	XM_015966588	rna27399	cd302	XP_015822074.1
Group_44_20	XM_015966558	rna27370	LOC107390062	XP_015822044.1
Group_988_5	XM_015966226	rna27072	LOC107389838	XP_015821712.1
Group_1937_0	XM_015966150	rna27002	tmem182	XP_015821636.1
Group_5076_0	XM_015965754	rna26595	tbccd1	XP_015821240.1
Group_89_33	XM_015952358	rna13353	LOC107380934	XP_015807844.1
