Group_1189_1	XM_015946529	rna7763	ddit4l	XP_015802015.1
Group_3870_0	XM_015953223	rna14106	gpatch1	XP_015808709.1
Group_46_29	XM_015953341	rna14184	spg7	XP_015808827.1
Group_423_2	XM_015953164	rna14218	lgr4	XP_015808650.1
Group_297_4	XM_015953153	rna14230	ctdspl2	XP_015808639.1
Group_1617_0	XM_015953118	rna14269	LOC107381441	XP_015808604.1
Group_6425_0	XM_015953102	rna14287	copb1	XP_015808588.1
Group_2278_0	XM_015953077	rna14312	ipo7	XP_015808563.1
Group_1799_1	XM_015953052	rna14328	LOC107381408	XP_015808538.1
Group_76_4	XM_015953039	rna14348	gnao1	XP_015808525.1
Group_183_9	XM_015953028	rna14358	vrk3	XP_015808514.1
Group_3_28	XM_015953029	rna14359	rab27a	XP_015808515.1
Group_39_31	XM_015952918	rna14474	foxf1	XP_015808404.1
Group_83_8	XM_015953699	rna14643	lrp4	XP_015809185.1
Group_749_7	XM_015953617	rna14726	gramd2	XP_015809103.1
Group_975_0	XM_015953583	rna14764	LOC107381742	XP_015809069.1
Group_257_0	XM_015965159	rna26028	LOC107389156	XP_015820645.1
Group_4080_0	XM_015953409	rna14950	nkpd1	XP_015808895.1
Group_2835_0	XM_015952714	rna13856	nsun3	XP_015808200.1
Group_6660_0	XM_015974244	rna34859	mrpl46	XP_015829730.1
Group_17_2	XM_015977300	rna38007	LOC107397337	XP_015832786.1
Group_1224_0	XM_015973305	rna33938	ctnnal1	XP_015828791.1
Group_254_11	XM_015973590	rna34213	LOC107394596	XP_015829076.1
Group_1198_2	XM_015975681	rna36346	nfkbia	XP_015831167.1
Group_968_0	XM_015973686	rna34312	cgn	XP_015829172.1
Group_547_2	XM_015973793	rna34417	stmn2	XP_015829279.1
Group_1503_1	XM_015973851	rna34468	runx1t1	XP_015829337.1
Group_1595_0	XM_015967279	rna27861	LOC107390519	XP_015822765.1
Group_201_7	XM_015967027	rna28116	LOC107390371	XP_015822513.1
Group_6285_0	XM_015966981	rna28160	plekhm2	XP_015822467.1
Group_6283_0	XM_015966980	rna28161	ddost	XP_015822466.1
Group_2484_0	XM_015967477	rna28202	dnajc16	XP_015822963.1
Group_1612_1	XM_015967498	rna28224	impdh2	XP_015822984.1
Group_42_29	XM_015967390	rna28250	sema3g	XP_015822876.1
Group_10_14	XM_015967412	rna28268	sgk2	XP_015822898.1
Group_451_7	XM_015967529	rna28322	arhgef16	XP_015823015.1
Group_473_5	XM_015967451	rna28327	hes2	XP_015822937.1
Group_2_50	XM_015967568	rna28362	LOC107390707	XP_015823054.1
Group_2_52	XM_015967567	rna28363	LOC107390706	XP_015823053.1
Group_6317_0	XM_015967624	rna28418	exosc10	XP_015823110.1
Group_4926_0	XM_015967771	rna28556	rpl10a	XP_015823257.1
Group_1286_1	XM_015967803	rna28588	LOC107390839	XP_015823289.1
Group_1115_1	XM_015967817	rna28601	LOC107390850	XP_015823303.1
Group_5251_0	XM_015967908	rna28689	mfsd5	XP_015823394.1
Group_4566_0	XM_015968070	rna28835	spata2	XP_015823556.1
Group_6519_0	XM_015968075	rna28842	aar2	XP_015823561.1
Group_1018_3	XM_015968287	rna29047	LOC107391158	XP_015823773.1
Group_57_18	XM_015968385	rna29143	rnd1	XP_015823871.1
Group_86_19	XM_015968429	rna29183	LOC107391241	XP_015823915.1
Group_54_13	XM_015960002	rna21079	LOC107385859	XP_015815488.1
Group_1335_2	XM_015960021	rna21096	top1	XP_015815507.1
Group_3113_0	XM_015959935	rna21008	eif4e3	XP_015815421.1
Group_25_14	XM_015959831	rna20897	LOC107385745	XP_015815317.1
Group_2500_1	XM_015959781	rna20845	ruvbl1	XP_015815267.1
Group_5266_0	XM_015959691	rna20758	mettl1	XP_015815177.1
Group_5923_0	XM_015959572	rna20647	fam72a	XP_015815058.1
Group_555_6	XM_015959571	rna20646	foxp4	XP_015815057.1
Group_5340_0	XM_015959439	rna20516	evc	XP_015814925.1
Group_5971_0	XM_015959432	rna20508	stx18	XP_015814918.1
Group_4222_0	XM_015959408	rna20486	dnai1	XP_015814894.1
Group_5621_0	XM_015959334	rna20410	wdr1	XP_015814820.1
Group_19_38	XM_015959325	rna20402	drd5	XP_015814811.1
Group_40_28	XM_015959211	rna20279	cdh22	XP_015814697.1
Group_90_1	XM_015959004	rna20070	LOC107385243	XP_015814490.1
Group_8470_0	XM_015958909	rna19973	LOC107385190	XP_015814395.1
Group_5969_0	XM_015958738	rna19815	ndufaf3	XP_015814224.1
Group_4905_0	XM_015958733	rna19813	tmem43	XP_015814219.1
Group_3143_0	XM_015958559	rna19644	LOC107385001	XP_015814045.1
Group_6766_0	XM_015958499	rna19584	LOC107384962	XP_015813985.1
Group_1052_1	XM_015958061	rna19133	fam171b	XP_015813547.1
Group_62_25	XM_015960582	rna21165	LOC107386278	XP_015816068.1
Group_7430_0	XM_015960521	rna21224	srrm4	XP_015816007.1
Group_832_0	XM_015960749	rna21747	LOC107386391	XP_015816235.1
Group_2709_0	XM_015960797	rna21791	LOC107386421	XP_015816283.1
Group_68_12	XM_015960814	rna21807	ephb4	XP_015816300.1
Group_97_15	XM_015960851	rna21842	ltbp3	XP_015816337.1
Group_5765_0	XM_015960875	rna21865	dpagt1	XP_015816361.1
Group_125_22	XM_015960973	rna21963	LOC107386527	XP_015816459.1
Group_5723_0	XM_015960987	rna21975	LOC107386534	XP_015816473.1
Group_19_32	XM_015961129	rna22113	LOC107386608	XP_015816615.1
Group_4431_0	XM_015961284	rna22265	lars	XP_015816770.1
Group_642_1	XM_015961316	rna22299	LOC107386738	XP_015816802.1
Group_615_1	XM_015961348	rna22327	LOC107386746	XP_015816834.1
Group_1978_3	XM_015961437	rna22345	LOC107386810	XP_015816923.1
Group_48_8	XM_015961397	rna22381	LOC107386782	XP_015816883.1
Group_566_3	XM_015961419	rna22402	pdlim4	XP_015816905.1
Group_5530_0	XM_015975103	rna35766	smyd4	XP_015830589.1
Group_158_8	XM_015961668	rna22635	LOC107386961	XP_015817154.1
Group_890_3	XM_015961673	rna22639	LOC107386965	XP_015817159.1
Group_7212_0	XM_015961791	rna22759	supt4h1	XP_015817277.1
Group_1326_2	XM_015961802	rna22769	LOC107387046	XP_015817288.1
Group_7727_0	XM_015961807	rna22778	ggnbp2	XP_015817293.1
Group_121_25	XM_015963408	rna24286	rdh13	XP_015818894.1
Group_198_11	XM_015963349	rna24235	LOC107388017	XP_015818835.1
Group_145_11	XM_015963347	rna24232	LOC107388014	XP_015818833.1
Group_761_0	XM_015963151	rna24034	lgi1	XP_015818637.1
Group_1945_1	XM_015963086	rna23972	LOC107387857	XP_015818572.1
Group_937_1	XM_015963022	rna23840	LOC107387822	XP_015818508.1
Group_54_33	XM_015963003	rna23822	rgr	XP_015818489.1
Group_86_20	XM_015976124	rna36791	mmp21	XP_015831610.1
Group_34_34	XM_015962543	rna23659	LOC107387524	XP_015818029.1
Group_3159_1	XM_015962802	rna23614	cdc42ep4	XP_015818288.1
Group_842_0	XM_015962774	rna23585	tanc2	XP_015818260.1
Group_1683_4	XM_015962661	rna23472	LOC107387618	XP_015818147.1
Group_6098_0	XM_015962411	rna23455	pnpo	XP_015817897.1
Group_723_1	XM_015962415	rna23449	cbx1	XP_015817901.1
Group_1717_2	XM_015962417	rna23448	snx11	XP_015817903.1
Group_849_0	XM_015962476	rna23394	LOC107387485	XP_015817962.1
Group_88_7	XM_015962153	rna23257	LOC107387280	XP_015817639.1
Group_448_2	XM_015962330	rna23083	brdt	XP_015817816.1
Group_4743_0	XM_015974320	rna34931	tomm70	XP_015829806.1
Group_1889_1	XM_015971645	rna32355	LOC107393353	XP_015827131.1
Group_963_3	XM_015971581	rna32290	LOC107393306	XP_015827067.1
Group_6726_0	XM_015971483	rna32202	fpgt	XP_015826969.1
Group_96_15	XM_015971282	rna32176	LOC107393110	XP_015826768.1
Group_5298_0	XM_015971298	rna32014	cers1	XP_015826784.1
Group_6_64	XM_015970540	rna31992	LOC107392649	XP_015826026.1
Group_3520_0	XM_015970951	rna31591	pla2g4a	XP_015826437.1
Group_97_20	XM_015969195	rna30165	fbln5	XP_015824681.1
Group_4748_0	XM_015969485	rna30254	slc18b1	XP_015824971.1
Group_394_6	XM_015969556	rna30326	LOC107392002	XP_015825042.1
Group_532_3	XM_015969585	rna30355	zfp36l1	XP_015825071.1
Group_5792_0	XM_015969786	rna30541	lclat1	XP_015825272.1
Group_1356_0	XM_015969794	rna30547	fermt2	XP_015825280.1
Group_33_14	XM_015969803	rna30557	gjd2	XP_015825289.1
Group_2502_3	XM_015969888	rna30640	nipal3	XP_015825374.1
Group_1026_0	XM_015959621	rna20694	endou	XP_015815107.1
Group_284_9	XM_015970045	rna30787	six1	XP_015825531.1
Group_2606_1	XM_015970144	rna30888	LOC107392378	XP_015825630.1
Group_28_1	XM_015970257	rna30994	LOC107392445	XP_015825743.1
Group_1678_0	XM_015970266	rna31004	LOC107392453	XP_015825752.1
Group_3714_1	XM_015970269	rna31009	eif2ak4	XP_015825755.1
Group_7146_0	XM_015970300	rna31038	srp14	XP_015825786.1
Group_7904_0	XM_015970310	rna31049	bub1b	XP_015825796.1
Group_287_7	XM_015970476	rna31216	LOC107392592	XP_015825962.1
Group_5545_0	XM_015970376	rna31116	syf2	XP_015825862.1
Group_2381_0	XM_015970409	rna31145	hmgcl	XP_015825895.1
Group_1211_0	XM_015970447	rna31187	fndc5	XP_015825933.1
Group_6005_0	XM_015969127	rna29890	tssc1	XP_015824613.1
Group_914_4	XM_015972032	rna32729	unc119b	XP_015827518.1
Group_6817_0	XM_015972061	rna32757	anapc5	XP_015827547.1
Group_3138_1	XM_015942322	rna40135	LOC107374178	XP_015797808.1
Group_249_4	XM_015972230	rna32921	rorb	XP_015827716.1
Group_3018_0	XM_015972257	rna32949	hectd4	XP_015827743.1
Group_8147_0	XM_015972399	rna33092	hspb11	XP_015827885.1
Group_507_3	XM_015972455	rna33134	LOC107393848	XP_015827941.1
Group_15_21	XM_015972481	rna33272	LOC107393872	XP_015827967.1
Group_5591_0	XM_015972623	rna33290	mvk	XP_015828109.1
Group_261_1	XM_015972660	rna33326	LOC107393983	XP_015828146.1
Group_1849_0	XM_015973041	rna33351	ewsr1	XP_015828527.1
Group_6021_0	XM_015973064	rna33371	LOC107394210	XP_015828550.1
Group_926_2	XM_015973067	rna33396	mat2a	XP_015828553.1
Group_6343_0	XM_015972724	rna33484	bri3bp	XP_015828210.1
Group_3_30	XM_015972777	rna33535	rasef	XP_015828263.1
Group_21_9	XM_015972822	rna33575	plk2	XP_015828308.1
Group_2926_1	XM_015972957	rna33698	LOC107394163	XP_015828443.1
Group_2275_1	XM_015973101	rna33731	letm2	XP_015828587.1
Group_7197_0	XM_015973243	rna33876	coq2	XP_015828729.1
Group_2054_0	XM_015962436	rna2322	usp44	XP_015817922.1
Group_7834_0	XM_015960528	rna2127	rad51ap1	XP_015816014.1
Group_349_0	XM_015960238	rna2100	ttll1	XP_015815724.1
Group_3997_1	XM_015959730	rna2037	snd1	XP_015815216.1
Group_1192_1	XM_015959210	rna1985	chchd3	XP_015814696.1
Group_144_16	XM_015959199	rna1984	plxna4	XP_015814685.1
Group_5819_0	XM_015957822	rna1838	zcrb1	XP_015813308.1
Group_820_3	XM_015957762	rna1835	pdzrn4	XP_015813248.1
Group_2308_0	XM_015948675	rna960	npas4	XP_015804161.1
Group_535_6	XM_015947762	rna866	sowahd	XP_015803248.1
Group_7876_0	XM_015947775	rna865	LOC107377863	XP_015803261.1
Group_1484_1	XM_015947103	rna802	LOC107377481	XP_015802589.1
Group_421_5	XM_015946671	rna759	mid2	XP_015802157.1
Group_4394_0	XM_015944456	rna515	rbm22	XP_015799942.1
Group_19_54	XM_015944065	rna479	adra1b	XP_015799551.1
Group_1493_1	XM_015943972	rna469	reep2	XP_015799458.1
Group_599_5	XM_015943652	rna435	sfxn1	XP_015799138.1
Group_94_17	XM_015968020	rna28786	wnt5a	XP_015823506.1
Group_99_9	XM_015946868	rna91	LOC107377308	XP_015802354.1
Group_4002_0	XM_015948482	rna9665	xab2	XP_015803968.1
Group_764_1	XM_015948585	rna9763	LOC107378392	XP_015804071.1
Group_1015_2	XM_015948633	rna9814	tbc1d17	XP_015804119.1
Group_190_8	XM_015948671	rna9852	LOC107378456	XP_015804157.1
Group_340_11	XM_015948678	rna9859	cntnap1	XP_015804164.1
Group_2892_1	XM_015948811	rna9994	tmub2	XP_015804297.1
Group_633_0	XM_015948930	rna10181	nphs1	XP_015804416.1
Group_50_5	XM_015949026	rna10128	LOC107378685	XP_015804512.1
Group_379_5	XM_015975910	rna36588	LOC107396290	XP_015831396.1
Group_3163_0	XM_015949062	rna10395	kdf1	XP_015804548.1
Group_2031_2	XM_015949064	rna10396	nr0b2	XP_015804550.1
Group_458_1	XM_015949054	rna10404	LOC107378705	XP_015804540.1
Group_520_3	XM_015948936	rna10224	LOC107378632	XP_015804422.1
Group_4882_0	XM_015949125	rna10324	ice1	XP_015804611.1
Group_60_18	XM_015949143	rna10308	LOC107378760	XP_015804629.1
Group_106_10	XM_015949224	rna10405	LOC107378816	XP_015804710.1
Group_1621_0	XM_015949455	rna10628	has2	XP_015804941.1
Group_888_2	XM_015949718	rna10880	lmna	XP_015805204.1
Group_3_93	XM_015949787	rna10948	LOC107379171	XP_015805273.1
Group_4190_1	XM_015950100	rna11266	themis2	XP_015805586.1
Group_1734_2	XM_015950142	rna11305	LOC107379412	XP_015805628.1
Group_0_116	XM_015950292	rna11452	znf574	XP_015805778.1
Group_2615_3	XM_015950529	rna11494	lipe	XP_015806015.1
Group_240_8	XM_015950599	rna11564	LOC107379711	XP_015806085.1
Group_855_2	XM_015950403	rna11630	rnf115	XP_015805889.1
Group_4328_0	XM_015965263	rna26137	fa2h	XP_015820749.1
Group_2075_1	XM_015965240	rna26113	LOC107389216	XP_015820726.1
Group_31_26	XM_015964103	rna25854	LOC107388532	XP_015819589.1
Group_2286_2	XM_015964930	rna25804	mterf2	XP_015820416.1
Group_480_1	XM_015964904	rna25770	mob2	XP_015820390.1
Group_2482_1	XM_015964823	rna25687	pdhx	XP_015820309.1
Group_404_2	XM_015964718	rna25582	LOC107388915	XP_015820204.1
Group_311_6	XM_015964709	rna25572	LOC107388908	XP_015820195.1
Group_8761_0	XM_015964706	rna25568	LOC107388905	XP_015820192.1
Group_777_3	XM_015964616	rna25488	LOC107388855	XP_015820102.1
Group_228_3	XM_015964522	rna25396	LOC107388810	XP_015820008.1
Group_1685_2	XM_015964504	rna25377	LOC107388798	XP_015819990.1
Group_1188_3	XM_015964115	rna25310	LOC107388552	XP_015819601.1
Group_42_27	XM_015964411	rna25287	sema7a	XP_015819897.1
Group_624_5	XM_015964163	rna25027	LOC107388597	XP_015819649.1
Group_2190_2	XM_015964132	rna24999	appl2	XP_015819618.1
Group_286_7	XM_015964128	rna24994	mov10l1	XP_015819614.1
Group_1047_5	XM_015964073	rna24988	twf1	XP_015819559.1
Group_25_3	XM_015964020	rna24936	LOC107388473	XP_015819506.1
Group_13_2	XM_015963994	rna24905	LOC107388454	XP_015819480.1
Group_1741_2	XM_015964865	rna2859	LOC107389014	XP_015820351.1
Group_5290_0	XM_015965167	rna2835	cntln	XP_015820653.1
Group_38_35	XM_015965709	rna2777	smarca5	XP_015821195.1
Group_1125_1	XM_015965733	rna2774	hhip	XP_015821219.1
Group_522_5	XM_015966113	rna2739	LOC107389772	XP_015821599.1
Group_1012_2	XM_015966471	rna2702	LOC107390002	XP_015821957.1
Group_6960_0	XM_015967847	rna2563	nsmce1	XP_015823333.1
Group_6085_0	XM_015968318	rna2465	wdr83os	XP_015823804.1
Group_340_4	XM_015956068	rna17358	LOC107383449	XP_015811554.1
Group_88_28	XM_015956071	rna17361	LOC107383451	XP_015811557.1
Group_2397_1	XM_015956194	rna17468	fam73a	XP_015811680.1
Group_119_12	XM_015956283	rna17561	LOC107383560	XP_015811769.1
Group_1201_0	XM_015956375	rna17658	LOC107383615	XP_015811861.1
Group_2758_0	XM_015956664	rna17790	abhd3	XP_015812150.1
Group_96_9	XM_015956677	rna17804	pth1r	XP_015812163.1
Group_1448_3	XM_015956712	rna17837	asb10	XP_015812198.1
Group_7858_0	XM_015956756	rna17879	ccdc178	XP_015812242.1
Group_75_14	XM_015957094	rna18222	capn10	XP_015812580.1
Group_522_2	XM_015957101	rna18228	LOC107384072	XP_015812587.1
Group_1889_0	XM_015957217	rna18332	LOC107384135	XP_015812703.1
Group_156_10	XM_015957273	rna18394	ca8	XP_015812759.1
Group_2589_1	XM_015957346	rna18470	LOC107384220	XP_015812832.1
Group_568_1	XM_015943996	rna5138	btbd3	XP_015799482.1
Group_2356_0	XM_015943913	rna5221	srf	XP_015799399.1
Group_664_2	XM_015944133	rna5313	rab11fip2	XP_015799619.1
Group_553_5	XM_015944173	rna5708	adgrb3	XP_015799659.1
Group_6405_0	XM_015944426	rna5693	bag2	XP_015799912.1
Group_42_25	XM_015944402	rna5668	LOC107375715	XP_015799888.1
Group_2216_0	XM_015944184	rna5454	LOC107375596	XP_015799670.1
Group_2970_1	XM_015944610	rna5870	hint1	XP_015800096.1
Group_1048_3	XM_015944800	rna6062	LOC107375952	XP_015800286.1
Group_5919_0	XM_015944819	rna6078	pgbd5	XP_015800305.1
Group_5239_1	XM_015974880	rna35522	smndc1	XP_015830366.1
Group_30_10	XM_015944975	rna6227	LOC107376048	XP_015800461.1
Group_214_13	XM_015945969	rna6373	fam83g	XP_015801455.1
Group_240_0	XM_015945959	rna6383	LOC107376699	XP_015801445.1
Group_420_1	XM_015945719	rna6618	LOC107376564	XP_015801205.1
Group_8162_0	XM_015945110	rna6732	iqck	XP_015800596.1
Group_8485_0	XM_015945582	rna6768	csgr03h16orf59	XP_015801068.1
Group_9_60	XM_015945277	rna7078	LOC107376266	XP_015800763.1
Group_4015_0	XM_015976893	rna37585	sidt2	XP_015832379.1
Group_3681_0	XM_015951839	rna13082	atm	XP_015807325.1
Group_98_13	XM_015951803	rna13045	serpini1	XP_015807289.1
Group_5313_0	XM_015951794	rna13032	scn2b	XP_015807280.1
Group_163_0	XM_015951705	rna12943	ctsc	XP_015807191.1
Group_109_14	XM_015951644	rna12866	LOC107380405	XP_015807130.1
Group_95_7	XM_015951484	rna12695	LOC107380310	XP_015806970.1
Group_3192_1	XM_015951406	rna12616	dnajc30	XP_015806892.1
Group_7006_0	XM_015951292	rna12510	maml2	XP_015806778.1
Group_430_9	XM_015951206	rna12423	LOC107380128	XP_015806692.1
Group_7639_0	XM_015951177	rna12390	pih1d2	XP_015806663.1
Group_900_0	XM_015951023	rna12185	LOC107380026	XP_015806509.1
Group_1315_6	XM_015943763	rna5059	slc25a4	XP_015799249.1
Group_2875_0	XM_015943690	rna4986	LOC107375261	XP_015799176.1
Group_159_6	XM_015943646	rna4931	lrrtm1	XP_015799132.1
Group_19_55	XM_015943639	rna4922	adra1d	XP_015799125.1
Group_872_0	XM_015943616	rna4900	LOC107375207	XP_015799102.1
Group_694_0	XM_015942788	rna4068	brinp1	XP_015798274.1
Group_0_204-Group_0_5	XM_015942413	rna4016	LOC107374262	XP_015797899.1
Group_54_0	XM_015941934	rna3958	LOC107373784	XP_015797420.1
Group_1716_1	XM_015941459	rna3885	LOC107373299	XP_015796945.1
Group_361_3	XM_015941442	rna3879	LOC107373279	XP_015796928.1
Group_1935_2	XM_015940889	rna3810	LOC107372676	XP_015796375.1
Group_7177_0	XM_015974551	rna35174	LOC107395225	XP_015830037.1
Group_32_31	XM_015975719	rna3570	ddx55	XP_015831205.1
Group_82_11	XM_015970296	rna3308	LOC107392467	XP_015825782.1
Group_1317_5	XM_015970477	rna3279	LOC107392589	XP_015825963.1
Group_8110_0	XM_015966308	rna27568	LOC107389896	XP_015821794.1
Group_960_2	XM_015966725	rna27534	LOC107390160	XP_015822211.1
Group_8627_0	XM_015966673	rna27483	LOC107390124	XP_015822159.1
Group_953_6	XM_015966665	rna27475	march4	XP_015822151.1
Group_538_1	XM_015966586	rna27397	LOC107390075	XP_015822072.1
Group_318_0	XM_015966545	rna27357	cers6	XP_015822031.1
Group_232_3	XM_015966398	rna27212	LOC107389960	XP_015821884.1
Group_3854_0	XM_015966390	rna27205	cog3	XP_015821876.1
Group_4132_0	XM_015966356	rna27172	mospd2	XP_015821842.1
Group_5_50	XM_015966255	rna27096	col4a1	XP_015821741.1
Group_21_32	XM_015966239	rna27082	LOC107389842	XP_015821725.1
Group_7187_0	XM_015966160	rna27010	csgr14h2orf40	XP_015821646.1
Group_5_10	XM_015966092	rna26945	col8a1	XP_015821578.1
Group_3677_0	XM_015965952	rna26808	ssfa2	XP_015821438.1
Group_2519_1	XM_015965916	rna26760	eaf2	XP_015821402.1
Group_330_10	XM_015965915	rna26759	LOC107389662	XP_015821401.1
Group_4505_0	XM_015965905	rna26749	pdia5	XP_015821391.1
Group_2620_1	XM_015965837	rna26683	hao2	XP_015821323.1
Group_1035_1	XM_015952430	rna13761	hs6st3	XP_015807916.1
