Group_34_14	XM_015946248	rna7464	chrnb1	XP_015801734.1
Group_2471_1	XM_015967854	rna28636	tmem9	XP_015823340.1
Group_249_0	XM_015967909	rna28690	LOC107390905	XP_015823395.1
Group_55_20	XM_015967921	rna28706	hoxc4	XP_015823407.1
Group_676_1	XM_015967930	rna28711	nfe2	XP_015823416.1
Group_6590_0	XM_015967952	rna28734	ccdc115	XP_015823438.1
Group_243_2	XM_015941989	rna39748	LOC107373848	XP_015797475.1
Group_361_9	XM_015968059	rna28823	ggt7	XP_015823545.1
Group_3002_1	XM_015968068	rna28834	rnf114	XP_015823554.1
Group_2281_0	XM_015968080	rna28846	znf512b	XP_015823566.1
Group_1485_2	XM_015968086	rna28852	zbtb46	XP_015823572.1
Group_4247_0	XM_015968178	rna28941	fbxw12	XP_015823664.1
Group_1349_2	XM_015968270	rna29030	LOC107391153	XP_015823756.1
Group_660_0	XM_015968286	rna29046	LOC107391157	XP_015823772.1
Group_1284_0	XM_015968643	rna29536	LOC107391363	XP_015824129.1
Group_6828_0	XM_015968650	rna29539	LOC107391368	XP_015824136.1
Group_1140_2	XM_015960022	rna21097	LOC107385871	XP_015815508.1
Group_605_2	XM_015960035	rna21111	LOC107385878	XP_015815521.1
Group_73_7	XM_015959946	rna21022	cntn3	XP_015815432.1
Group_3203_1	XM_015960079	rna21009	prok2	XP_015815565.1
Group_2416_1	XM_015974411	rna35028	LOC107395123	XP_015829897.1
Group_1185_1	XM_015959795	rna20863	LOC107385722	XP_015815281.1
Group_13_32	XM_015959789	rna20856	LOC107385717	XP_015815275.1
Group_5605_0	XM_015959777	rna20843	rft1	XP_015815263.1
Group_9028_0	XM_015959616	rna20689	LOC107385620	XP_015815102.1
Group_210_1	XM_015959611	rna20684	dgka	XP_015815097.1
Group_4883_0	XM_015959562	rna20638	tmem183a	XP_015815048.1
Group_2484_1	XM_015959514	rna20590	LOC107385556	XP_015815000.1
Group_958_0	XM_015959436	rna20511	msx1	XP_015814922.1
Group_1209_3	XM_015960070	rna20416	LOC107385912	XP_015815556.1
Group_4907_0	XM_015959321	rna20398	lyar	XP_015814807.1
Group_1533_0	XM_015959298	rna20376	lrig1	XP_015814784.1
Group_6245_0	XM_015959285	rna20361	tmf1	XP_015814771.1
Group_2405_0	XM_015959243	rna20314	LOC107385403	XP_015814729.1
Group_590_4	XM_015959198	rna20267	tox2	XP_015814684.1
Group_472_0	XM_015959164	rna20233	nxph4	XP_015814650.1
Group_5295_0	XM_015960066	rna20135	terf2ip	XP_015815552.1
Group_5794_0	XM_015959061	rna20121	park7	XP_015814547.1
Group_344_0	XM_015958809	rna19883	LOC107385134	XP_015814295.1
Group_3062_1	XM_015958811	rna19882	LOC107385136	XP_015814297.1
Group_38_11	XM_015958804	rna19877	rad54l2	XP_015814290.1
Group_309_5	XM_015958766	rna19841	LOC107385115	XP_015814252.1
Group_25_0	XM_015958642	rna19722	LOC107385045	XP_015814128.1
Group_81_21	XM_015958592	rna19676	LOC107385025	XP_015814078.1
Group_1810_2	XM_015975492	rna36170	fam84a	XP_015830978.1
Group_32_21	XM_015975458	rna36168	ddx1	XP_015830944.1
Group_996_0	XM_015961141	rna22125	LOC107386615	XP_015816627.1
Group_4728_0	XM_015961173	rna22152	tbl2	XP_015816659.1
Group_2086_1	XM_015961166	rna22159	ncor1	XP_015816652.1
Group_609_5	XM_015961281	rna22262	kctd16	XP_015816767.1
Group_958_1	XM_015961291	rna22272	LOC107386720	XP_015816777.1
Group_206_1	XM_015961305	rna22288	LOC107386731	XP_015816791.1
Group_5965_0	XM_015961362	rna22344	htatsf1	XP_015816848.1
Group_8422_0	XM_015961410	rna22393	LOC107386788	XP_015816896.1
Group_258_1	XM_015961478	rna22446	tcf7	XP_015816964.1
Group_8322_0	XM_015961722	rna22689	LOC107386998	XP_015817208.1
Group_2297_0	XM_015961796	rna22764	LOC107387043	XP_015817282.1
Group_6591_0	XM_015961810	rna22774	znhit3	XP_015817296.1
Group_1641_0	XM_015963365	rna24249	LOC107388025	XP_015818851.1
Group_7702_0	XM_015963198	rna24086	LOC107387928	XP_015818684.1
Group_2474_1	XM_015963085	rna23971	LOC107387856	XP_015818571.1
Group_5013_0	XM_015962594	rna23916	coasy	XP_015818080.1
Group_715_1	XM_015962570	rna23892	samd8	XP_015818056.1
Group_65_22	XM_015963011	rna23830	LOC107387816	XP_015818497.1
Group_323_0	XM_015962545	rna23774	dock1	XP_015818031.1
Group_7134_0	XM_015962953	rna23772	LOC107387777	XP_015818439.1
Group_145_15	XM_015962786	rna23596	LOC107387674	XP_015818272.1
Group_6229_0	XM_015962430	rna23436	snf8	XP_015817916.1
Group_2594_1	XM_015962477	rna23392	syde1	XP_015817963.1
Group_6381_0	XM_015962307	rna23100	dr1	XP_015817793.1
Group_111_14	XM_015962343	rna23070	sox14	XP_015817829.1
Group_3_122	XM_015971642	rna32351	LOC107393351	XP_015827128.1
Group_1987_1	XM_015971623	rna32338	sbno2	XP_015827109.1
Group_2569_1	XM_015971612	rna32323	cilp2	XP_015827098.1
Group_860_5	XM_015971334	rna32054	LOC107393148	XP_015826820.1
Group_1259_1	XM_015971335	rna32053	LOC107393149	XP_015826821.1
Group_596_3	XM_015971277	rna32052	osbpl9	XP_015826763.1
Group_69_21	XM_015970612	rna31918	adgrl4	XP_015826098.1
Group_6350_0	XM_015970815	rna31722	ndufa7	XP_015826301.1
Group_43_20	XM_015970942	rna31612	LOC107392881	XP_015826428.1
Group_92_24	XM_015971143	rna31383	LOC107393016	XP_015826629.1
Group_662_1	XM_015969232	rna29978	LOC107391788	XP_015824718.1
Group_213_1	XM_015969352	rna30052	LOC107391873	XP_015824838.1
Group_6503_0	XM_015969354	rna30059	manba	XP_015824840.1
Group_1564_2	XM_015969375	rna30077	LOC107391884	XP_015824861.1
Group_7869_0	XM_015969447	rna30151	LOC107391934	XP_015824933.1
Group_771_3	XM_015969704	rna30462	LOC107392115	XP_015825190.1
Group_1122_2	XM_015969871	rna30624	ythdf2	XP_015825357.1
Group_467_3	XM_015969879	rna30632	cnksr1	XP_015825365.1
Group_7746_0	XM_015969906	rna30643	tmem234	XP_015825392.1
Group_679_4	XM_015969918	rna30669	rlf	XP_015825404.1
Group_2251_2	XM_015969957	rna30704	colec11	XP_015825443.1
Group_5125_0	XM_015969983	rna30727	itgb1bp1	XP_015825469.1
Group_190_1	XM_015959627	rna20699	LOC107385629	XP_015815113.1
Group_1418_1	XM_015959623	rna20698	smarcc2	XP_015815109.1
Group_442_4	XM_015959626	rna20697	myl6	XP_015815112.1
Group_5637_0	XM_015959625	rna20696	tsfm	XP_015815111.1
Group_207_4	XM_015959620	rna20693	LOC107385624	XP_015815106.1
Group_405_6	XM_015970042	rna30782	slc38a6	XP_015825528.1
Group_2940_0	XM_015970081	rna30823	ubr7	XP_015825567.1
Group_8554_0	XM_015970090	rna30831	LOC107392341	XP_015825576.1
Group_5812_0	XM_015970128	rna30870	ap5m1	XP_015825614.1
Group_4665_0	XM_015970135	rna30877	zdhhc22	XP_015825621.1
Group_853_4	XM_015970193	rna30931	tgfb3	XP_015825679.1
Group_7651_0	XM_015970194	rna30932	ift43	XP_015825680.1
Group_20_9	XM_015970198	rna30937	esrrb	XP_015825684.1
Group_2480_0	XM_015970208	rna30946	LOC107392413	XP_015825694.1
Group_2759_0	XM_015969614	rna30947	lrrc74a	XP_015825100.1
Group_1177_4	XM_015970220	rna30960	LOC107392422	XP_015825706.1
Group_3862_1	XM_015970299	rna31039	LOC107392473	XP_015825785.1
Group_1101_0	XM_015970478	rna31215	LOC107392593	XP_015825964.1
Group_5799_0	XM_015970410	rna31149	gale	XP_015825896.1
Group_65_15	XM_015970432	rna31159	pax1	XP_015825918.1
Group_39_20	XM_015970429	rna31161	foxa2	XP_015825915.1
Group_2300_1	XM_015970431	rna31165	LOC107392554	XP_015825917.1
Group_6156_0	XM_015971878	rna32582	anapc7	XP_015827364.1
Group_30_6	XM_015971920	rna32623	LOC107393518	XP_015827406.1
Group_42_23	XM_015971958	rna32657	sema4c	XP_015827444.1
Group_6775_0	XM_015971962	rna32662	gnb1l	XP_015827448.1
Group_200_4	XM_015972027	rna32724	crybb3	XP_015827513.1
Group_361_2	XM_015972059	rna32756	ggt1	XP_015827545.1
Group_159_10	XM_015972063	rna32760	LOC107393595	XP_015827549.1
Group_3454_1	XM_015972069	rna32766	cabin1	XP_015827555.1
Group_2540_0	XM_015972097	rna32789	LOC107393613	XP_015827583.1
Group_439_2	XM_015972133	rna32827	LOC107393631	XP_015827619.1
Group_81_4	XM_015972142	rna32837	hmcn2	XP_015827628.1
Group_506_5	XM_015972144	rna32839	zbtb34	XP_015827630.1
Group_2448_0	XM_015972207	rna32902	npc1l1	XP_015827693.1
Group_1421_4	XM_015972214	rna32903	LOC107393674	XP_015827700.1
Group_51_45	XM_015972278	rna32966	LOC107393720	XP_015827764.1
Group_6322_0	XM_015972406	rna33098	mblac2	XP_015827892.1
Group_7241_0	XM_015972460	rna33140	wdr54	XP_015827946.1
Group_2418_0	XM_015972483	rna33155	tmem161b	XP_015827969.1
Group_1825_1	XM_015972539	rna33208	LOC107393912	XP_015828025.1
Group_576_3	XM_015972609	rna33274	gal3st1	XP_015828095.1
Group_5318_0	XM_015972648	rna33316	pxmp2	XP_015828134.1
Group_452_4	XM_015972658	rna33324	ssh1	XP_015828144.1
Group_2034_1	XM_015972743	rna33503	LOC107394028	XP_015828229.1
Group_3170_0	XM_015972752	rna33512	slc28a3	XP_015828238.1
Group_440_4	XM_015972813	rna33567	LOC107394066	XP_015828299.1
Group_1895_0	XM_015972886	rna33632	cdc14b	XP_015828372.1
Group_4804_0	XM_015973105	rna33739	cdc45	XP_015828591.1
Group_15_11	XM_015973106	rna33740	cldn5	XP_015828592.1
Group_1961_0	XM_015973211	rna33841	tmem8b	XP_015828697.1
Group_6429_0	XM_015961367	rna2207	nup37	XP_015816853.1
Group_1330_3	XM_015959934	rna2063	LOC107385809	XP_015815420.1
Group_3475_1	XM_015959802	rna2051	prrt4	XP_015815288.1
Group_556_0	XM_015957514	rna1806	tfec	XP_015813000.1
Group_94_25	XM_015957032	rna1756	wnt7b	XP_015812518.1
Group_1867_1	XM_015956827	rna1736	creld2	XP_015812313.1
Group_416_6	XM_015975687	rna36353	adad1	XP_015831173.1
Group_4290_0	XM_015950695	rna1175	tdo2	XP_015806181.1
Group_206_2	XM_015949493	rna1052	LOC107378969	XP_015804979.1
Group_516_3	XM_015948985	rna994	LOC107378661	XP_015804471.1
Group_5400_0	XM_015948886	rna973	tex11	XP_015804372.1
Group_1748_0	XM_015948686	rna962	LOC107378466	XP_015804172.1
Group_885_3	XM_015948595	rna951	ccdc85b	XP_015804081.1
Group_2667_0	XM_015948561	rna949	yif1a	XP_015804047.1
Group_2213_1	XM_015948216	rna900	xkrx	XP_015803702.1
Group_8_66	XM_015946579	rna749	LOC107377141	XP_015802065.1
Group_1500_0	XM_015945732	rna655	tlx3	XP_015801218.1
Group_987_2	XM_015944225	rna494	LOC107375611	XP_015799711.1
Group_77_20	XM_015943240	rna395	abcb7	XP_015798726.1
Group_8558_0	XM_015975225	rna35879	LOC107395772	XP_015830711.1
Group_462_7	XM_015975194	rna35855	LOC107395745	XP_015830680.1
Group_1106_2	XM_015972105	rna32801	ndel1	XP_015827591.1
Group_197_12	XM_015948557	rna9736	LOC107378376	XP_015804043.1
Group_198_12	XM_015948599	rna9776	LOC107378402	XP_015804085.1
Group_6027_0	XM_015948630	rna9806	nudt1	XP_015804116.1
Group_154_17	XM_015948641	rna9823	LOC107378437	XP_015804127.1
Group_90_9	XM_015948648	rna9829	LOC107378441	XP_015804134.1
Group_164_9	XM_015948794	rna9978	LOC107378536	XP_015804280.1
Group_1226_0	XM_015948850	rna10038	LOC107378563	XP_015804336.1
Group_22_48	XM_015949039	rna10119	ankrd28	XP_015804525.1
Group_1681_2	XM_015975933	rna36582	clec3b	XP_015831419.1
Group_262_8	XM_015949120	rna10331	irx2	XP_015804606.1
Group_2805_0	XM_015949155	rna10297	ddc	XP_015804641.1
Group_181_6	XM_015949519	rna10699	aldh2	XP_015805005.1
Group_6709_0	XM_015949864	rna11021	elp6	XP_015805350.1
Group_136_10	XM_015950059	rna11224	pou3f1	XP_015805545.1
Group_268_5	XM_015950102	rna11268	LOC107379378	XP_015805588.1
Group_7723_0	XM_015950144	rna11307	nat14	XP_015805630.1
Group_395_3	XM_015950186	rna11349	kel	XP_015805672.1
Group_2701_0	XM_015950230	rna11389	mlf2	XP_015805716.1
Group_7698_0	XM_015950280	rna11438	abhd16a	XP_015805766.1
Group_327_1	XM_015950281	rna11440	LOC107379501	XP_015805767.1
Group_5002_0	XM_015950515	rna11800	fam188a	XP_015806001.1
Group_735_4	XM_015965415	rna26286	LOC107389327	XP_015820901.1
Group_1116_2	XM_015965211	rna26087	necab2	XP_015820697.1
Group_2497_0	XM_015964992	rna25864	LOC107389096	XP_015820478.1
Group_31_46	XM_015964984	rna25856	tspan9	XP_015820470.1
Group_2506_0	XM_015964806	rna25674	unc45a	XP_015820292.1
Group_8710_0	XM_015964791	rna25654	znf469	XP_015820277.1
Group_1939_0	XM_015964720	rna25584	prr5	XP_015820206.1
Group_1612_2	XM_015964651	rna25519	LOC107388878	XP_015820137.1
Group_833_3	XM_015964644	rna25513	hgf	XP_015820130.1
Group_91_13	XM_015964565	rna25439	vwf	XP_015820051.1
Group_2501_1	XM_015964511	rna25385	LOC107388802	XP_015819997.1
Group_6513_0	XM_015964412	rna25293	man2c1	XP_015819898.1
Group_2865_1	XM_015964410	rna25285	stra6	XP_015819896.1
Group_257_1	XM_015964383	rna25249	smad3	XP_015819869.1
Group_975_3	XM_015964375	rna25243	LOC107388708	XP_015819861.1
Group_2582_0	XM_015964256	rna25125	fibin	XP_015819742.1
Group_171_6	XM_015963879	rna24796	hapln3	XP_015819365.1
Group_369_4	XM_015966679	rna2684	LOC107390126	XP_015822165.1
Group_0_164	XM_015968265	rna2470	znf490	XP_015823751.1
Group_111_19	XM_015955644	rna16778	LOC107383169	XP_015811130.1
Group_779_4	XM_015955941	rna17091	LOC107383378	XP_015811427.1
Group_5_15	XM_015955982	rna17140	col16a1	XP_015811468.1
Group_28_2	XM_015955986	rna17144	LOC107383398	XP_015811472.1
Group_1461_2	XM_015956657	rna17783	cables1	XP_015812143.1
Group_6328_0	XM_015956674	rna17800	thoc1	XP_015812160.1
Group_5802_0	XM_015956742	rna17867	spidr	XP_015812228.1
Group_13_54	XM_015956796	rna17916	LOC107383904	XP_015812282.1
Group_2104_1	XM_015956967	rna18092	ptch2	XP_015812453.1
Group_1271_2	XM_015957202	rna18325	LOC107384127	XP_015812688.1
Group_722_4	XM_015957206	rna18329	LOC107384132	XP_015812692.1
Group_381_1	XM_015944006	rna5128	flrt3	XP_015799492.1
Group_62_10	XM_015943994	rna5141	jag1	XP_015799480.1
Group_6740_0	XM_015944121	rna5324	mocos	XP_015799607.1
Group_3989_0	XM_015944424	rna5691	znf451	XP_015799910.1
Group_5655_0	XM_015944405	rna5677	xpo5	XP_015799891.1
Group_204_10	XM_015944370	rna5636	slc25a16	XP_015799856.1
Group_2333_1	XM_015944345	rna5612	crtac1	XP_015799831.1
Group_5079_1	XM_015976375	rna37038	fbxo9	XP_015831861.1
Group_1601_0	XM_015944181	rna5455	LOC107375593	XP_015799667.1
Group_2379_0	XM_015944678	rna5935	LOC107375869	XP_015800164.1
Group_2022_1	XM_015944798	rna6059	bicc1	XP_015800284.1
Group_4652_0	XM_015944810	rna6070	ubac2	XP_015800296.1
Group_8194_0	XM_015944816	rna6073	mzt1	XP_015800302.1
Group_5570_0	XM_015944815	rna6074	bora	XP_015800301.1
Group_1092_3	XM_015944820	rna6079	LOC107375968	XP_015800306.1
Group_116_2	XM_015944849	rna6109	dhx32	XP_015800335.1
Group_919_2	XM_015944883	rna6142	sh3pxd2a	XP_015800369.1
Group_44_14	XM_015945117	rna6517	LOC107376164	XP_015800603.1
Group_1090_1	XM_015945724	rna6615	lmtk2	XP_015801210.1
Group_2188_0	XM_015945723	rna6616	LOC107376566	XP_015801209.1
Group_493_4	XM_015945715	rna6630	LOC107376561	XP_015801201.1
Group_5415_0	XM_015945714	rna6631	rai1	XP_015801200.1
Group_8321_0	XM_015945604	rna6740	ccp110	XP_015801090.1
Group_3_40	XM_015945107	rna6783	LOC107376156	XP_015800593.1
Group_5982_0	XM_015945291	rna7070	ndufa6	XP_015800777.1
Group_32_23	XM_015945268	rna7093	ddx47	XP_015800754.1
Group_7_41	XM_015975543	rna36214	LOC107396041	XP_015831029.1
Group_8011_0	XM_015952144	rna13296	kcne4	XP_015807630.1
Group_7080_0	XM_015952031	rna13172	fam118b	XP_015807517.1
Group_73_22	XM_015951842	rna13085	dscam	XP_015807328.1
Group_2231_1	XM_015951841	rna13084	bace2	XP_015807327.1
Group_1675_0	XM_015951760	rna12996	rnf7	XP_015807246.1
Group_304_6	XM_015951734	rna12972	pde2a	XP_015807220.1
Group_382_8	XM_015951654	rna12876	LOC107380412	XP_015807140.1
Group_228_0	XM_015951647	rna12869	LOC107380406	XP_015807133.1
Group_1843_2	XM_015951628	rna12845	rilp	XP_015807114.1
Group_223_10	XM_015951558	rna12774	arhgef12	XP_015807044.1
Group_2674_1	XM_015951550	rna12765	LOC107380345	XP_015807036.1
Group_4666_1	XM_015951497	rna12714	mre11a	XP_015806983.1
Group_6578_0	XM_015951476	rna12688	tmem160	XP_015806962.1
Group_192_0	XM_015951436	rna12650	map3k10	XP_015806922.1
Group_7205_0	XM_015951434	rna12646	csgr06h19orf47	XP_015806920.1
Group_2816_0	XM_015951386	rna12594	mab21l1	XP_015806872.1
Group_2325_1	XM_015951331	rna12545	slc25a15	XP_015806817.1
Group_7289_0	XM_015951178	rna12394	csgr06h11orf57	XP_015806664.1
Group_116_6	XM_015943780	rna5074	dhx15	XP_015799266.1
Group_5705_0	XM_015943762	rna5057	helt	XP_015799248.1
Group_358_8	XM_015943558	rna4844	pvalb	XP_015799044.1
Group_3125_1	XM_015943220	rna4490	aif1l	XP_015798706.1
Group_2889_0	XM_015943166	rna4445	LOC107374869	XP_015798652.1
Group_64_15	XM_015943095	rna4369	adamts6	XP_015798581.1
Group_6353_0	XM_015943032	rna4305	dolpp1	XP_015798518.1
Group_6452_0	XM_015942998	rna4270	rpl28	XP_015798484.1
Group_4937_0	XM_015942483	rna4025	fbxw5	XP_015797969.1
Group_5297_0	XM_015942457	rna4022	LOC107374306	XP_015797943.1
Group_8108_0	XM_015942442	rna4020	tmem141	XP_015797928.1
Group_93_15	XM_015942276	rna4002	tbx3	XP_015797762.1
Group_812_1	XM_015977145	rna3737	LOC107397213	XP_015832631.1
Group_2301_1	XM_015974302	rna3448	auh	XP_015829788.1
Group_680_3	XM_015974314	rna3449	nfil3	XP_015829800.1
Group_1658_0	XM_015971635	rna3166	LOC107393345	XP_015827121.1
Group_2225_1	XM_015966829	rna27653	LOC107390231	XP_015822315.1
Group_1084_0	XM_015966720	rna27529	LOC107390158	XP_015822206.1
Group_1727_0	XM_015966652	rna27468	tmem41a	XP_015822138.1
Group_133_1	XM_015966616	rna27428	acvr1	XP_015822102.1
Group_6445_0	XM_015966487	rna27302	nup62	XP_015821973.1
Group_1711_2	XM_015966480	rna27294	cdca7	XP_015821966.1
Group_50_4	XM_015966474	rna27290	sp9	XP_015821960.1
Group_718_6	XM_015966465	rna27283	atf2	XP_015821951.1
Group_676_2	XM_015966452	rna27268	nfe2l2	XP_015821938.1
Group_6963_0	XM_015966353	rna27170	gpr143	XP_015821839.1
Group_3822_0	XM_015966282	rna27122	lrrc58	XP_015821768.1
Group_51_23	XM_015966243	rna27086	LOC107389844	XP_015821729.1
Group_824_3	XM_015966178	rna27028	LOC107389812	XP_015821664.1
Group_582_3	XM_015966173	rna27024	LOC107389810	XP_015821659.1
Group_731_4	XM_015966164	rna27015	LOC107389804	XP_015821650.1
Group_1796_1	XM_015966109	rna26964	LOC107389771	XP_015821595.1
Group_1030_2	XM_015966096	rna26947	LOC107389760	XP_015821582.1
Group_1318_3	XM_015966086	rna26939	abi3bp	XP_015821572.1
Group_5444_0	XM_015966079	rna26931	atp6ap2	XP_015821565.1
Group_6386_0	XM_015966035	rna26892	cln5	XP_015821521.1
Group_153_2	XM_015965987	rna26845	zic5	XP_015821473.1
Group_674_4	XM_015965986	rna26841	tmtc4	XP_015821472.1
Group_2198_0	XM_015965970	rna26825	LOC107389704	XP_015821456.1
Group_4118_1	XM_015965964	rna26812	rpl8	XP_015821450.1
Group_8213_0	XM_015965917	rna26761	LOC107389664	XP_015821403.1
Group_1359_2	XM_015965874	rna26718	LOC107389635	XP_015821360.1
Group_6810_1	XM_015965836	rna26682	wars2	XP_015821322.1
Group_272_0	XM_015965828	rna26674	man1a2	XP_015821314.1
Group_111_11	XM_015952682	rna13510	sox1	XP_015808168.1
