OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end
Group_740_2	003992	apba1b	amyloid beta (A4) precursor protein-binding%2C family A%2C member 1b [Source:ZFIN%3BAcc:ZDB-GENE-070925-3]	chr8	10294066	10335965
Group_31_0	000137	kcna2	potassium voltage-gated channel subfamily A member 2 [Source:HGNC Symbol%3BAcc:HGNC:6220]	chr8	8163821	8165314
Group_1554_3	025949	mstna	myostatin a [Source:ZFIN%3BAcc:ZDB-GENE-050208-735]	chr12	14281786	14285972
Group_1366_2	025945	elmo1	engulfment and cell motility 1 (ced-12 homolog%2C C. elegans) [Source:ZFIN%3BAcc:ZDB-GENE-040426-2069]	chr12	14762287	14837997
Group_99_12	024446	galnt5	polypeptide N-acetylgalactosaminyltransferase 5	chr9	15400548	15483066
Group_511_4	011466	ppp2r2aa	protein phosphatase 2%2C regulatory subunit B%2C alpha a [Source:ZFIN%3BAcc:ZDB-GENE-130530-565]	chr19	13014380	13020547
Group_65_11	011433	rph3ab	rabphilin 3A homolog (mouse)%2C b [Source:ZFIN%3BAcc:ZDB-GENE-090706-3]	chr19	13037089	13059853
Group_379_4	000183	dpysl5a	dihydropyrimidinase-like 5a [Source:ZFIN%3BAcc:ZDB-GENE-030131-3136]	chr18	16523082	16531050
Group_11_23	031968	grm1b	glutamate receptor%2C metabotropic 1b [Source:ZFIN%3BAcc:ZDB-GENE-090821-3]	chr18	16034691	16057372
Group_375_0	026135	ap1m2	adaptor related protein complex 1 mu 2 subunit	chr10	44194299	44205329
Group_154_9	010747	si:ch211-173d10.4	si:ch211-173d10.4 [Source:ZFIN%3BAcc:ZDB-GENE-121214-331]	chr16	19618156	19698802
Group_1319_0	010753	si:ch211-166g5.4	si:ch211-166g5.4 [Source:ZFIN%3BAcc:ZDB-GENE-121214-319]	chr16	20098976	20105102
Group_1249_0	010754	fam57bb	family with sequence similarity 57%2C member Bb [Source:ZFIN%3BAcc:ZDB-GENE-110603-2]	chr16	20106984	20121141
Group_7361_0	010777	pagr1	PAXIP1 associated glutamate-rich protein 1	chr16	20125811	20128432
Group_145_12	022709	lpar2a	lysophosphatidic acid receptor 2a [Source:ZFIN%3BAcc:ZDB-GENE-040801-97]	chr3	2233914	2240853
Group_0_110	000196	loc107378318		chr3	2103367	2105036
Group_8497_0	022721	loc107395248		chr3	1477537	1481339
Group_3962_0	005174	tsku	tsukushi%2C small leucine rich proteoglycan%2C transcript variant X1	chr9	33101164	33118989
Group_5595_0	005168	echdc3	enoyl-CoA hydratase domain containing 3%2C transcript variant X1	chr9	32009769	32012640
Group_1201_0	027294	arid3b	AT-rich interaction domain 3B%2C transcript variant X1	chr18	8376470	8463143
Group_1662_1	027295	fam219b	family with sequence similarity 219%2C member B [Source:ZFIN%3BAcc:ZDB-GENE-050327-82]	chr18	8362836	8373882
Group_2036_0	027296	cox5a	cytochrome c oxidase subunit 5A [Source:HGNC Symbol%3BAcc:HGNC:2267]	chr18	8356357	8360696
Group_518_0	027297	ap2a1	adaptor related protein complex 2 alpha 1 subunit%2C transcript variant X1	chr18	8274735	8352040
Group_374_7	027287	prmt1	protein arginine methyltransferase 1%2C transcript variant X1	chr18	8265719	8300919
Group_14_35	030159	raraa	retinoic acid receptor%2C alpha a [Source:ZFIN%3BAcc:ZDB-GENE-980526-284]	chr16	17288846	17388164
Group_79_22	019157	ldlra	low density lipoprotein receptor a [Source:ZFIN%3BAcc:ZDB-GENE-031217-1]	chr6	60555531	60585767
Group_32_4	030849	tnxba	tenascin XBa [Source:ZFIN%3BAcc:ZDB-GENE-070103-5]	chr3	14900430	14914221
Group_2463_1	030847	colq	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase [Source:ZFIN%3BAcc:ZDB-GENE-110411-119]	chr3	14158224	14196588
Group_5052_0	014621	vps18	VPS18%2C CORVET/HOPS core subunit	chr1	67815321	67821134
Group_5035_0	006182	ankrd46b	ankyrin repeat domain 46b [Source:ZFIN%3BAcc:ZDB-GENE-050114-7]	chr1	15280357	15283739
Group_9222_0	010529	si:dkey-9i23.8	si:dkey-9i23.8 [Source:ZFIN%3BAcc:ZDB-GENE-090313-367]	chr10	47164638	47205985
Group_42_6	025863	si:ch73-380n15.2	si:ch73-380n15.2 [Source:ZFIN%3BAcc:ZDB-GENE-090313-161]	chr6	35748154	35820566
Group_1518_1	025874	napba	N-ethylmaleimide-sensitive factor attachment protein%2C beta a [Source:ZFIN%3BAcc:ZDB-GENE-050522-230]	chr6	34877575	34895054
Group_6204_0	028705	pdxdc1	pyridoxal-dependent decarboxylase domain containing 1	chr18	6793844	6843618
Group_110_11	003351	sox9a	SRY (sex determining region Y)-box 9a [Source:ZFIN%3BAcc:ZDB-GENE-001103-1]	chr6	48354667	48356538
Group_113_20	029654	dnajb4	DnaJ heat shock protein family (Hsp40) member B4	chr5	25026931	25042141
Group_5640_0	032225	pak1ip1	PAK1 interacting protein 1	chr5	25122864	25125452
Group_5415_0	029665	mppe1	metallophosphoesterase 1	chr5	25211196	25232990
Group_1889_1	029666	ctsz	cathepsin Z [Source:HGNC Symbol%3BAcc:HGNC:2547]	chr5	25234055	25240931
Group_1447_0	029205	tkt	transketolase	chr13	11936712	11947428
Group_466_2	029231	si:ch211-269e2.1	si:ch211-269e2.1 [Source:ZFIN%3BAcc:ZDB-GENE-070912-267]	chr13	9659052	9670842
Group_2711_0	032133	rangap1a	RAN GTPase activating protein 1a [Source:ZFIN%3BAcc:ZDB-GENE-060929-492]	chr6	57181228	57199114
Group_18_46	032135	loc107376261		chr6	58659534	58660565
Group_6196_0	024945	taz	tafazzin%2C transcript variant X1	chr6	59146482	59150524
Group_1879_0	022684	lhb	lutropin subunit beta precursor  [Source:RefSeq peptide%3BAcc:NP_001131125]	NORv12scf331	263117	264661
Group_56_27	016272	rhogd	ras homolog gene family%2C member Gd [Source:ZFIN%3BAcc:ZDB-GENE-040426-1504]	NORv12scf33495	3868	12706
Group_3659_0	010832	rqcd1	RCD1 required for cell differentiation1 homolog (S. pombe)	chr12	16003242	16009935
Group_880_0	032038	myc	v-myc avian myelocytomatosis viral oncogene homolog	chr10	17746734	17770534
Group_920_1	020535	pias1a	protein inhibitor of activated STAT%2C 1a [Source:ZFIN%3BAcc:ZDB-GENE-120727-5]	chr18	12146314	12200425
Group_3_104	020536	rxfp3.3a1	relaxin/insulin-like family peptide receptor 3.3a1 [Source:ZFIN%3BAcc:ZDB-GENE-121030-1]	chr18	12140951	12145419
Group_6211_0	020541	srp54	signal recognition particle 54kDa	chr18	11606723	11619611
Group_2289_1	020542	sec23a	Sec23 homolog A%2C COPII coat complex component	chr18	11591624	11601889
Group_7872_0	020552	sep15	selenoprotein 15 [Source:ZFIN%3BAcc:ZDB-GENE-030327-1]	chr18	11568759	11582730
Group_424_3	032021	lmcd1	LIM and cysteine rich domains 1	chr14	39194802	39201171
Group_5476_0	019801	podxl2	podocalyxin like 2	chr14	39226306	39232916
Group_5098_0	009747	mrps7	mitochondrial ribosomal protein S7	chr6	44674373	44676808
Group_7579_0	014291	mat2b	methionine adenosyltransferase 2B	NORv12scf33858	5373	16999
Group_2630_1	004390	si:dkeyp-74a11.1	si:dkeyp-74a11.1 [Source:ZFIN%3BAcc:ZDB-GENE-081104-474]	chr9	29390702	29422538
Group_2663_1	004395	hacd2	3-hydroxyacyl-CoA dehydratase 2	chr9	30303366	30317546
Group_120_14	006154	ugt5b2	UDP glucuronosyltransferase 5 family%2C polypeptide B2 [Source:ZFIN%3BAcc:ZDB-GENE-100406-4]	chr11	73631	75283
Group_87_22	002646	loc107396927		NORv12scf33913	2772	9503
Group_2428_1	005132	bub3	BUB3 mitotic checkpoint protein	chr16	27279864	27281481
Group_47_13	027830	sema7a	semaphorin 7A (John Milton Hagen blood group)	chr4	24720774	24740219
Group_137_12	000586	col6a3	collagen type VI alpha 3 chain [Source:HGNC Symbol%3BAcc:HGNC:2213]	NORv12scf33939	90157	124103
Group_826_3	016053	gprc5ba	G protein-coupled receptor%2C class C%2C group 5%2C member Ba [Source:ZFIN%3BAcc:ZDB-GENE-030131-8162]	chr6	46537587	46540631
Group_8133_0	016055	iqck	IQ motif containing K	chr6	46561348	46583603
Group_5443_0	025690	tac1	tachykinin precursor 1	chr5	6093647	6128232
Group_7225_0	027378	si:dkey-48p11.3	si:dkey-48p11.3 [Source:ZFIN%3BAcc:ZDB-GENE-100427-1]	chr2	35004207	35019456
Group_734_2	027377	slc41a2b	solute carrier family 41 (magnesium transporter)%2C member 2b [Source:ZFIN%3BAcc:ZDB-GENE-100427-2]	chr2	35017961	35071022
Group_1104_3	011738	vangl2	VANGL planar cell polarity protein 2 [Source:HGNC Symbol%3BAcc:HGNC:15511]	chr1	24378576	24388745
Group_7465_0	013158	psenen	presenilin enhancer gamma secretase subunit	chr3	16348577	16349306
Group_6_49	017847	rps6ka4	ribosomal protein S6 kinase%2C polypeptide 4 [Source:ZFIN%3BAcc:ZDB-GENE-060526-284]	chr15	22363160	22372033
Group_3878_0	004586	glod5	glyoxalase domain containing 5 [Source:ZFIN%3BAcc:ZDB-GENE-050522-174]	chr2	68099425	68100619
Group_5647_0	017560	msmo1	methylsterol monooxygenase 1%2C transcript variant X3	NORv12scf34058	9827	16464
Group_7682_0	017562	med28	mediator complex subunit 28	NORv12scf34058	68026	77430
Group_8480_0	002357	si:dkey-19b23.7	si:dkey-19b23.7 [Source:ZFIN%3BAcc:ZDB-GENE-141216-311]	chr1	32185429	32190051
Group_4_14	025684	rab3ab	RAB3A%2C member RAS oncogene family%2C b [Source:ZFIN%3BAcc:ZDB-GENE-041210-268]	chr17	20379011	20403903
Group_6247_0	013513	alg10	asparagine-linked glycosylation 10 [Source:ZFIN%3BAcc:ZDB-GENE-110310-8]	chr2	27905594	27905764
Group_756_2	031133	rpz	rapunzel [Source:ZFIN%3BAcc:ZDB-GENE-070117-651]	chr3	35340709	35341371
Group_1125_2	031072	slc52a3	solute carrier family 52 member 3	chr13	38179491	38181056
Group_409_6	016264	bco2b	beta-carotene oxygenase 2b [Source:ZFIN%3BAcc:ZDB-GENE-060421-7448]	chr7	4147134	4149677
Group_798_4	008632	hdac3	histone deacetylase 3	chr15	39436058	39458880
Group_33_6	006225	tspan35	tetraspanin 35 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1362]	chr6	61255750	61270295
Group_201_4	008944	loc107378965		chr3	30182857	30212383
Group_236_10	002230	lgals3b	lectin%2C galactoside binding soluble 3b [Source:ZFIN%3BAcc:ZDB-GENE-030131-4324]	chr1	65388902	65391992
Group_94_19	002240	loc107378104		chr1	65443193	65456444
Group_800_3	010454	ptbp3	polypyrimidine tract binding protein 3%2C transcript variant X1	chr8	13347656	13375048
Group_5023_1	010460	ugcg	UDP-glucose ceramide glucosyltransferase	chr8	13385052	13392670
Group_7077_0	010461	mocs2	molybdenum cofactor synthesis 2%2C transcript variant X1	chr8	13401682	13403565
Group_2419_0	010456	fsd1l	fibronectin type III and SPRY domain containing 1 like%2C transcript variant X1	chr8	13587058	13590367
Group_6696_0	031724	znhit3	zinc finger HIT-type containing 3%2C transcript variant X1	chr15	32804669	32806733
Group_2420_1	006379	fam222ba	family with sequence similarity 222%2C member Ba [Source:ZFIN%3BAcc:ZDB-GENE-060526-355]	chr15	32927833	32940407
Group_105_6	000677	plekhg4b	pleckstrin homology and RhoGEF domain containing G4B [Source:HGNC Symbol%3BAcc:HGNC:29399]	chr15	14557693	14631302
Group_1368_1	017390	nubpl	nucleotide binding protein like%2C transcript variant X1	chr18	5401496	5410675
Group_2171_2	003101	bcl7bb	B-cell CLL/lymphoma 7B%2C b [Source:ZFIN%3BAcc:ZDB-GENE-010328-17]	chr7	14393120	14395464
Group_56_13	004566	si:ch211-133l11.10	si:ch211-133l11.10 [Source:ZFIN%3BAcc:ZDB-GENE-141219-14]	chr10	48721800	48756465
Group_3172_1	020420	unknown		chr16	17719294	17721277
Group_5176_0	022572	zgc:56106	zgc:56106 [Source:ZFIN%3BAcc:ZDB-GENE-040426-904]	chr4	37432301	37436777
Group_158_2	004578	unknown		chr14	50969943	50971007
Group_30_35	004580	arl4cb	ADP-ribosylation factor-like 4Cb [Source:ZFIN%3BAcc:ZDB-GENE-040426-2382]	chr14	50872031	50872612
Group_4679_0	014146	aptx	aprataxin%2C transcript variant X1	chr8	3253487	3257943
Group_4193_0	014148	rps6	ribosomal protein S6	chr8	3195059	3201210
Group_2910_0	014144	ccdc149b	coiled-coil domain containing 149b [Source:ZFIN%3BAcc:ZDB-GENE-040718-465]	chr8	3070772	3082804
Group_1342_3	028640	srsf7a	serine/arginine-rich splicing factor 7a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1798]	chr7	27491667	27498760
Group_2387_0	022535	gpr142	G protein-coupled receptor 142 [Source:ZFIN%3BAcc:ZDB-GENE-130603-30]	chr3	8588439	8596487
Group_826_0	022536	gprc5c	G protein-coupled receptor class C group 5 member C%2C transcript variant X2	chr3	8559199	8573033
Group_845_2	029634	neu3	neuraminidase 3 [Source:HGNC Symbol%3BAcc:HGNC:7760]	chr8	49354733	49359226
Group_3505_0	025668	akap8l	A kinase (PRKA) anchor protein 8-like [Source:ZFIN%3BAcc:ZDB-GENE-040426-2303]	chr4	45248027	45259969
Group_445_4	010175	phactr3a	phosphatase and actin regulator 3a [Source:ZFIN%3BAcc:ZDB-GENE-080220-4]	chr13	14759243	14804807
Group_1803_0	022214	pfn2	profilin 2 [Source:HGNC Symbol%3BAcc:HGNC:8882]	chr5	51743837	51746703
Group_1400_2	021260	gdi2	GDP dissociation inhibitor 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-2485]	chr2	27522422	27533082
Group_74_11	012154	si:dkey-166k12.1	si:dkey-166k12.1 [Source:ZFIN%3BAcc:ZDB-GENE-120215-78]	chr5	4280830	4295311
Group_5839_0	016584	srfbp1	serum response factor binding protein 1	chr5	2481449	2483189
Group_5005_0	008833	si:dkeyp-84f3.5	si:dkeyp-84f3.5 [Source:ZFIN%3BAcc:ZDB-GENE-050208-162]	chr6	38260616	38262535
Group_32_29	009553	angptl4	angiopoietin like 4	chr5	51936966	52001073
Group_259_4	031973	irx4b	iroquois homeobox 4b [Source:ZFIN%3BAcc:ZDB-GENE-040712-4]	chr5	2954295	2956145
Group_5844_1	031974	ndufs6	NADH:ubiquinone oxidoreductase subunit S6	chr5	2900311	2901843
Group_1429_1	024660	tnfaip8l2b	tumor necrosis factor%2C alpha-induced protein 8-like 2b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1359]	chr3	39803090	39845611
Group_2560_0	024665	lysmd1	LysM domain containing 1	chr3	39847644	39853694
Group_121_2	024662	lingo4b	leucine rich repeat and Ig domain containing 4b [Source:ZFIN%3BAcc:ZDB-GENE-091214-3]	chr3	40090952	40092760
Group_155_12	031283	tlr18	toll-like receptor 18 [Source:ZFIN%3BAcc:ZDB-GENE-040220-2]	chr3	40160010	40202006
Group_1934_0	014119	lrrk1	leucine-rich repeat kinase 1 [Source:ZFIN%3BAcc:ZDB-GENE-101019-2]	chr6	19086952	19255019
Group_740_3	008868	apba1a	amyloid beta (A4) precursor protein-binding%2C family A%2C member 1a [Source:ZFIN%3BAcc:ZDB-GENE-060526-175]	chr19	892697	928760
Group_2848_1	004147	adob	2-aminoethanethiol (cysteamine) dioxygenase b [Source:ZFIN%3BAcc:ZDB-GENE-040426-2267]	chr6	37894047	37924920
Group_456_6	004155	egr2a	early growth response 2a [Source:ZFIN%3BAcc:ZDB-GENE-030723-6]	chr6	37860303	37890473
Group_4096_0	030359	cfap206	cilia and flagella associated protein 206%2C transcript variant X1	chr14	57987628	58006302
Group_7214_0	009483	nus1	NUS1 dehydrodolichyl diphosphate synthase subunit	chr14	58276440	58294401
Group_15_7	009487	ankrd6b	ankyrin repeat domain 6b [Source:ZFIN%3BAcc:ZDB-GENE-030916-4]	chr14	58356595	58415113
Group_711_1	005978	prkag2a	protein kinase%2C AMP-activated%2C gamma 2 non-catalytic subunit a [Source:ZFIN%3BAcc:ZDB-GENE-060929-160]	chr10	450654	496290
Group_1625_0	005975	chodl	chondrolectin	chr10	431533	440639
Group_6765_0	010381	bx640406.1	unknown	chr18	12930793	12931929
Group_140_7	004513	sept6	septin 6%2C transcript variant X1	chr2	55502221	55510223
Group_58_16	004519	ube2a	ubiquitin conjugating enzyme E2 A	chr2	55524629	55567379
Group_1579_2	004873	ube2ql1	ubiquitin conjugating enzyme E2 Q family like 1%2C transcript variant X1	chr5	3062483	3076876
Group_3867_1	028936	naglu	N-acetylglucosaminidase%2C alpha%2C transcript variant X1	chr16	1958979	1979758
Group_96_15	024841	crhr2	corticotropin releasing hormone receptor 2 [Source:HGNC Symbol%3BAcc:HGNC:2358]	chr5	30652527	30743039
Group_426_3	024848	myl13	myosin%2C light chain 13 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1593]	chr5	30749928	30753847
Group_1830_1	012976	p3h4	prolyl 3-hydroxylase family member 4 (non-enzymatic)	chr3	5449774	5458166
Group_5392_0	021401	med4	mediator complex subunit 4	chr9	35759427	35793029
Group_973_2	021397	itm2bb	integral membrane protein 2Bb [Source:ZFIN%3BAcc:ZDB-GENE-040426-2139]	chr9	35743756	35785840
Group_317_4	017191	abcg2d	ATP-binding cassette%2C sub-family G (WHITE)%2C member 2d [Source:ZFIN%3BAcc:ZDB-GENE-050517-38]	chr4	42649221	42660711
Group_5820_0	029550	uxs1	UDP-glucuronate decarboxylase 1	chr9	24368720	24411754
Group_6985_0	029562	si:dkeyp-118h3.6	si:dkeyp-118h3.6 [Source:ZFIN%3BAcc:ZDB-GENE-050809-8]	chr9	24520350	24521759
Group_6136_0	031883	nob1	NIN1/RPN12 binding protein 1 homolog	chr11	9399124	9402404
Group_5218_0	028967	armt1	acidic residue methyltransferase 1%2C transcript variant X1	chr1	39796214	39800317
Group_119_8	003831	hmx4	H6 family homeobox 4 [Source:ZFIN%3BAcc:ZDB-GENE-060825-142]	chr8	57787376	57788179
Group_3207_0-Group_3207_1	027541	ompb	olfactory marker protein b [Source:ZFIN%3BAcc:ZDB-GENE-030103-1]	chr14	748583	749053
Group_2854_1	002303	nxnl1	nucleoredoxin-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-070424-115]	chr4	48351626	48357595
Group_937_3	002304	colgalt1	collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol%3BAcc:HGNC:26182]	chr4	48368428	48394803
Group_342_4	029907	slc27a1b	solute carrier family 27 (fatty acid transporter)%2C member 1b [Source:ZFIN%3BAcc:ZDB-GENE-061013-672]	chr4	48420738	48433389
Group_59_3	031608	adgre5b.3	adhesion G protein-coupled receptor E5b%2C duplicate 3 [Source:ZFIN%3BAcc:ZDB-GENE-121214-275]	chr4	48433391	48488258
Group_160_1	019153	lrrc8c	leucine rich repeat containing 8 family%2C member C [Source:ZFIN%3BAcc:ZDB-GENE-030131-2965]	chr16	46487313	46523772
Group_1167_0	000803	dck	deoxycytidine kinase	chr13	28860061	28868097
Group_1246_0	008158	btf3	basic transcription factor 3%2C transcript variant X2	chr13	28807624	28813908
Group_2886_1	009945	tgif1	TGFB-induced factor homeobox 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-475]	chr10	15888659	15890147
Group_905_3	009571	gpx7	glutathione peroxidase 7	chr17	31309389	31321804
Group_2983_1	002314	rnf170	ring finger protein 170 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2572]	chr8	39636022	39640083
Group_2446_0	013013	fam60al	family with sequence similarity 60%2C member A%2C like [Source:ZFIN%3BAcc:ZDB-GENE-031114-2]	chr11	14235533	14237042
Group_1673_1	013015	tmem41b	transmembrane protein 41B	chr11	14293898	14305845
Group_2243_1	013011	ipo7	importin 7 [Source:ZFIN%3BAcc:ZDB-GENE-030131-458]	chr11	14307305	14325329
Group_551_3	029870	si:ch211-51c14.1	si:ch211-51c14.1 [Source:ZFIN%3BAcc:ZDB-GENE-120215-48]	chr7	20646029	20722266
Group_613_0	010409	impg2	interphotoreceptor matrix proteoglycan 2	chr9	16689629	16713724
Group_2981_1	025350	cd99l2	CD99 molecule-like 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1986]	chr14	46782993	46788100
Group_454_0	031317	zgc:172079	zgc:172079 [Source:ZFIN%3BAcc:ZDB-GENE-080204-103]	chr14	46827377	46832259
Group_93_0	023459	wnt7bb	wingless-type MMTV integration site family%2C member 7Bb [Source:ZFIN%3BAcc:ZDB-GENE-081006-1]	chr4	31908474	31949932
Group_1728_0	000848	asb12b	ankyrin repeat and SOCS box-containing 12b [Source:ZFIN%3BAcc:ZDB-GENE-040822-25]	chr7	10715588	10718480
Group_4_110	014174	rab33a	RAB33A%2C member RAS oncogene family [Source:ZFIN%3BAcc:ZDB-GENE-060825-283]	chr2	77794737	77814323
Group_1232_0	031498	eif4ebp3	eukaryotic translation initiation factor 4E binding protein 3	chr1	34655972	34660169
Group_134_12	019530	zgc:158291	zgc:158291 [Source:ZFIN%3BAcc:ZDB-GENE-061215-70]	chr15	35253532	35255623
Group_299_5	031302	slc17a6b	solute carrier family 17 (vesicular glutamate transporter)%2C member 6b [Source:ZFIN%3BAcc:ZDB-GENE-030616-554]	chr11	11471247	11479801
Group_2280_0	025121	snx7	sorting nexin 7	chr2	35682321	35704992
Group_375_5	030902	ap3m2	adaptor-related protein complex 3%2C mu 2 subunit [Source:ZFIN%3BAcc:ZDB-GENE-021022-2]	chr19	6115721	6121454
Group_504_0	000882	ppp2r5cb	protein phosphatase 2%2C regulatory subunit B'%2C gamma b [Source:ZFIN%3BAcc:ZDB-GENE-041014-4]	chr1	66850417	66860450
Group_96_13	019336	calcrla	calcitonin receptor-like a [Source:ZFIN%3BAcc:ZDB-GENE-040822-26]	chr9	5339504	5346655
Group_6574_0	003255	ndufs3	NADH:ubiquinone oxidoreductase core subunit S3	chr11	41083909	41093684
Group_3958_0	028529	riok2	RIO kinase 2	chr19	19357350	19360160
Group_216_6	028517	lnpep	leucyl/cystinyl aminopeptidase	chr19	19266223	19278386
